=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmANHcBjW2BiAQxNPC3AHd80BfCgBgwQGYAdAO086YXAF0MAKDBR8DFEgoBPfAFoJCBBTzxwBAOxbt4etmUIALOTgRo8NOinZVhHPYe7GGNAOGjziFBuvhZ8BRQADgBOPXAmBhMI5jcRM3xWdBl5CTDnJTiPRMNk7H84QKCkcN5XLAhbdVIyUuZ2LkbI6N5DbiaMKMF4sXgJNF8CwJYANnDMIyyE+ARJFICJUIpqGclw5SiK3Hx1B0d12O7smcsQwdSUdP1mLvdpxBZL84XgkooDPnfmctNttWIakRoisvG9rqwpn4LqNwixmMYjvdZgN5oVFiFlolvGDwJhNr8qgQ9vYnNgJpDPElDKjAj5xjdohNPgSdpptFpgTQrPSIYjeogaf1fITAUDMRZuRQ4fjKqziXhYS4KYlHij8hc6VLmMzwNSIVsRYDOatNdg4Qg0O1OBtlTNBVZxaDwtTbj1KSN7T5HbMcXqEXdwAAnTwSL3YSm5Z5wEbYx2WU3gc2WxrWw4B4NctVBgqh3wR2Pq+CPHHmhrtG18wOJTDYDN9CiBnMUTyoZQ2OXE0kxFgtDDGZxIXsjW1wSM45Q-cDKHtffvXQd8zy5BOYSeYGdkvuMjALgMt9B0LUbxNbrWDrXDxf4GPC1nsjlx519q0cPEmWX-UXGrwDJ8jF9vle8BRoEGLYCCPpPq4QHRnMhZwEKKh3ve36WL+FDUm0KavrEBqsl+f4AWmPRVgEFrNvgQRwVCASWB67b-PKXZMBovZBL2IS9ggrrHHAQQHMOXysV87FfJxMFUehm6CZuwmbqJm7iXu+AaNiipySeCknpxWrcSOqlhn8hD3hpILxr6GDsTB3HUUMiy3p+RremsGEMvw-BAA
13:35:59: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:59: [INFO] Add ST45 footprint
13:35:59: [INFO] Add SW46 footprint
13:35:59: [INFO] Add D46 footprint
13:35:59: [INFO] Add SW47 footprint
13:35:59: [INFO] Add D47 footprint
13:35:59: [INFO] Add SW48 footprint
13:35:59: [INFO] Add D48 footprint
13:35:59: [INFO] Add SW49 footprint
13:35:59: [INFO] Add D49 footprint
13:35:59: [INFO] Add SW50 footprint
13:35:59: [INFO] Add D50 footprint
13:35:59: [INFO] Add SW51 footprint
13:35:59: [INFO] Add D51 footprint
13:35:59: [INFO] Add SW52 footprint
13:36:00: [INFO] Add D52 footprint
13:36:00: [INFO] Add SW53 footprint
13:36:00: [INFO] Add D53 footprint
13:36:00: [INFO] Add SW54 footprint
13:36:00: [INFO] Add D54 footprint
13:36:00: [INFO] Add SW55 footprint
13:36:00: [INFO] Add D55 footprint
13:36:00: [INFO] Add SW56 footprint
13:36:00: [INFO] Add D56 footprint
13:36:00: [INFO] Add SW56a footprint
13:36:00: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:00: [INFO] Add ST56a footprint
13:36:00: [INFO] Add SW57 footprint
13:36:00: [INFO] Add D57 footprint
13:36:00: [INFO] Add SW58 footprint
13:36:00: [INFO] Add D58 footprint
13:36:00: [INFO] Add SW59 footprint
13:36:00: [INFO] Add D59 footprint
13:36:00: [INFO] Add SW60 footprint
13:36:00: [INFO] Add D60 footprint
13:36:00: [INFO] Add SW61 footprint
13:36:00: [INFO] Add D61 footprint
13:36:00: [INFO] Add ST61 footprint
13:36:00: [INFO] Add SW61a footprint
13:36:00: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:00: [INFO] Add ST61a footprint
13:36:00: [INFO] Add SW62 footprint
13:36:00: [INFO] Add D62 footprint
13:36:00: [INFO] Add SW62a footprint
13:36:00: [INFO] Add SW63 footprint
13:36:00: [INFO] Add D63 footprint
13:36:00: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:00: [INFO] Add ST63 footprint
13:36:00: [INFO] Add SW64 footprint
13:36:00: [INFO] Add D64 footprint
13:36:00: [INFO] Add SW65 footprint
13:36:00: [INFO] Add D65 footprint
13:36:00: [INFO] Add SW66 footprint
13:36:00: [INFO] Add D66 footprint
13:36:01: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:01: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:01: [INFO] Layout offset: (38100000, 30670500)
13:36:01: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:01: [INFO] Placing additional elements for SW66
13:36:01: [INFO] Placing additional elements for SW65
13:36:01: [INFO] Placing additional elements for SW64
13:36:01: [INFO] Placing additional elements for SW63
13:36:01: [INFO] Placing additional elements for SW62a
13:36:01: [INFO] Placing additional elements for SW62
13:36:01: [INFO] Placing additional elements for SW61a
13:36:01: [INFO] Placing additional elements for SW61
13:36:01: [INFO] Placing additional elements for SW60
13:36:01: [INFO] Placing additional elements for SW59
13:36:01: [INFO] Placing additional elements for SW58
13:36:01: [INFO] Placing additional elements for SW57
13:36:01: [INFO] Placing additional elements for SW56a
13:36:01: [INFO] Placing additional elements for SW56
13:36:01: [INFO] Placing additional elements for SW55
13:36:01: [INFO] Placing additional elements for SW54
13:36:01: [INFO] Placing additional elements for SW53
13:36:01: [INFO] Placing additional elements for SW52
13:36:01: [INFO] Placing additional elements for SW51
13:36:01: [INFO] Placing additional elements for SW50
13:36:01: [INFO] Placing additional elements for SW49
13:36:01: [INFO] Placing additional elements for SW48
13:36:01: [INFO] Placing additional elements for SW47
13:36:01: [INFO] Placing additional elements for SW46
13:36:01: [INFO] Placing additional elements for SW45
13:36:01: [INFO] Placing additional elements for SW44
13:36:01: [INFO] Placing additional elements for SW43
13:36:01: [INFO] Placing additional elements for SW42
13:36:01: [INFO] Placing additional elements for SW41
13:36:01: [INFO] Placing additional elements for SW40
13:36:01: [INFO] Placing additional elements for SW39
13:36:01: [INFO] Placing additional elements for SW38
13:36:01: [INFO] Placing additional elements for SW37
