=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWANHcBjW2BiFYk8AXy3AAYMrwsJp4qkFNs95wCde-zKNAIz1sNBKOoYAzJJoAWUY3ws2FMRjRyMANm0ptADiVQVrNOqlC6gjEJG2hEx7Ian4QpBcdbHexwYAuhgAUGDuiKjs4ACeZmqUQrSSSQ7YSc7pMikYiomaOf5ZBvnG+QCcOdZVaeCpmRCchACGrW2SAO74CJap0gA6AHZDQzQ2cMrM5pRN3Hz8vXa+WUJFdXYlExGe3isDwwfCVfIjh3bgwWGTkegz+Nxt7ZRdHl6WCMluszzzeO-nlA+mXAH1c2A+eXBBUBukkH02IIwZShlRh1TRtQ+ThMLzgO3+Qn2pyS42uql2iKEy0payxm2uyDYdy4RBIxE6+E8TOwAAtus8JK9ojzBXjKJBRQBacmWaR2E4HIapC6hcJMG7Rb6PVoc17oWWfLbfX5-Shy2py4FysHgOWQ23Q7BytZyhFy5EO1FOuzjB32EzfNns57dcwGwmnJWG67yLzMwgmgTeiOKwbKy7hLXa3V4sOUeS0SODc2SAtCIsltzqljRXGMikFqgV6O4e4-eZJ8AF4EFm0F+0F6kFtYFhEFj0Fr1dn2luxpRpt7XNHPIfX5uwIIsfUnbPPYMtFa6eW7YXHHhsbrcA-fyq8iDMMqIhoWWTBN1ONySYcsfltnt6UJgm6-juxq-DmKCvroRafl8i7Zs+uYUt+P6nLB2DfsBaF-pyAEYbeIEmNWe7gN+1Lfms35BKqj4nrE8S1rhCT4e+2HzuA-7MaRdgwdeECcchGBYQcZYBm2iaIToJGYDovHsVmjw5lygnWHJOJMSpqEiXxHEaVBThqW4An6QqbEXIEQA
13:28:55: [INFO] Add SW88a footprint
13:28:55: [INFO] Add SW89 footprint
13:28:55: [INFO] Add D89 footprint
13:28:55: [INFO] Add SW90 footprint
13:28:55: [INFO] Add D90 footprint
13:28:55: [INFO] Add SW91 footprint
13:28:55: [INFO] Add D91 footprint
13:28:55: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:55: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:55: [INFO] Layout offset: (33337500, 28575000)
13:28:55: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:55: [INFO] Placing additional elements for SW91
13:28:55: [INFO] Placing additional elements for SW90
13:28:55: [INFO] Placing additional elements for SW89
13:28:55: [INFO] Placing additional elements for SW88a
13:28:55: [INFO] Placing additional elements for SW88
13:28:55: [INFO] Placing additional elements for SW87a
13:28:55: [INFO] Placing additional elements for SW87
13:28:55: [INFO] Placing additional elements for SW86a
13:28:55: [INFO] Placing additional elements for SW86
13:28:55: [INFO] Placing additional elements for SW85
13:28:55: [INFO] Placing additional elements for SW84a
13:28:55: [INFO] Placing additional elements for SW84
13:28:55: [INFO] Placing additional elements for SW83a
13:28:55: [INFO] Placing additional elements for SW83
13:28:55: [INFO] Placing additional elements for SW82a
13:28:55: [INFO] Placing additional elements for SW82
13:28:55: [INFO] Placing additional elements for SW81a
13:28:55: [INFO] Placing additional elements for SW81
13:28:55: [INFO] Placing additional elements for SW80
13:28:55: [INFO] Placing additional elements for SW79
13:28:55: [INFO] Placing additional elements for SW78a
13:28:55: [INFO] Placing additional elements for SW78
13:28:55: [INFO] Placing additional elements for SW77
13:28:55: [INFO] Placing additional elements for SW76
13:28:55: [INFO] Placing additional elements for SW75
13:28:55: [INFO] Placing additional elements for SW74
13:28:55: [INFO] Placing additional elements for SW73
13:28:55: [INFO] Placing additional elements for SW72
13:28:55: [INFO] Placing additional elements for SW71
13:28:55: [INFO] Placing additional elements for SW70
13:28:55: [INFO] Placing additional elements for SW69
13:28:55: [INFO] Placing additional elements for SW68
13:28:55: [INFO] Placing additional elements for SW67
13:28:55: [INFO] Placing additional elements for SW66a
13:28:55: [INFO] Placing additional elements for SW66
13:28:55: [INFO] Placing additional elements for SW65
13:28:55: [INFO] Placing additional elements for SW64a
13:28:55: [INFO] Placing additional elements for SW64
13:28:55: [INFO] Placing additional elements for SW63
13:28:55: [INFO] Placing additional elements for SW62
13:28:55: [INFO] Placing additional elements for SW61
13:28:55: [INFO] Placing additional elements for SW60
13:28:55: [INFO] Placing additional elements for SW59
13:28:55: [INFO] Placing additional elements for SW58
13:28:55: [INFO] Placing additional elements for SW57
13:28:55: [INFO] Placing additional elements for SW56
13:28:55: [INFO] Placing additional elements for SW55
13:28:55: [INFO] Placing additional elements for SW54
13:28:55: [INFO] Placing additional elements for SW53
13:28:55: [INFO] Placing additional elements for SW52
13:28:55: [INFO] Placing additional elements for SW51
13:28:55: [INFO] Placing additional elements for SW50
13:28:55: [INFO] Placing additional elements for SW49
13:28:55: [INFO] Placing additional elements for SW48
13:28:55: [INFO] Placing additional elements for SW47
13:28:55: [INFO] Placing additional elements for SW46
13:28:55: [INFO] Placing additional elements for SW45
13:28:55: [INFO] Placing additional elements for SW44
13:28:55: [INFO] Placing additional elements for SW43
13:28:55: [INFO] Placing additional elements for SW42
13:28:55: [INFO] Placing additional elements for SW41
13:28:55: [INFO] Placing additional elements for SW40
13:28:55: [INFO] Placing additional elements for SW39
13:28:55: [INFO] Placing additional elements for SW38
13:28:55: [INFO] Placing additional elements for SW37
13:28:55: [INFO] Placing additional elements for SW36
13:28:55: [INFO] Placing additional elements for SW35
13:28:55: [INFO] Placing additional elements for SW34
13:28:55: [INFO] Placing additional elements for SW33
13:28:55: [INFO] Placing additional elements for SW32
13:28:55: [INFO] Placing additional elements for SW31
13:28:55: [INFO] Placing additional elements for SW30a
13:28:55: [INFO] Placing additional elements for SW30
13:28:55: [INFO] Placing additional elements for SW29
13:28:55: [INFO] Placing additional elements for SW28
13:28:55: [INFO] Placing additional elements for SW27
13:28:55: [INFO] Placing additional elements for SW26
13:28:55: [INFO] Placing additional elements for SW25
13:28:55: [INFO] Placing additional elements for SW24
13:28:55: [INFO] Placing additional elements for SW23
13:28:55: [INFO] Placing additional elements for SW22
13:28:55: [INFO] Placing additional elements for SW21
13:28:55: [INFO] Placing additional elements for SW20
13:28:55: [INFO] Placing additional elements for SW19
13:28:55: [INFO] Placing additional elements for SW18
13:28:55: [INFO] Placing additional elements for SW17
13:28:55: [INFO] Placing additional elements for SW16
13:28:55: [INFO] Placing additional elements for SW15
13:28:55: [INFO] Placing additional elements for SW14
13:28:55: [INFO] Placing additional elements for SW13
13:28:55: [INFO] Placing additional elements for SW12
13:28:55: [INFO] Placing additional elements for SW11
13:28:55: [INFO] Placing additional elements for SW10
13:28:55: [INFO] Placing additional elements for SW9
13:28:55: [INFO] Placing additional elements for SW8
13:28:55: [INFO] Placing additional elements for SW7
13:28:55: [INFO] Placing additional elements for SW6
13:28:55: [INFO] Placing additional elements for SW5
13:28:55: [INFO] Placing additional elements for SW4
13:28:55: [INFO] Placing additional elements for SW3
13:28:55: [INFO] Placing additional elements for SW2
13:28:55: [INFO] Placing additional elements for SW1
13:28:55: [INFO] Routing SW91 with D91
13:28:55: [INFO] Using internal autorouter method
13:28:55: [INFO] Routing pad 'SW91:2' at (426402500, 133032500) with pad 'D91:2' at (428942500, 140712500) using coordinate system rotated by 0 degree(s)
13:28:55: [INFO] Adding track segment (B.Cu): [(426402500, 133032500), (426402500, 138172500)]
13:28:55: [INFO] Adding track segment (B.Cu): [(426402500, 138172500), (428942500, 140712500)]
13:28:55: [INFO] Routing SW90 with D90
13:28:55: [INFO] Using internal autorouter method
13:28:55: [INFO] Routing pad 'SW90:2' at (407352500, 133032500) with pad 'D90:2' at (409892500, 140712500) using coordinate system rotated by 0 degree(s)
13:28:55: [INFO] Adding track segment (B.Cu): [(407352500, 133032500), (407352500, 138172500)]
13:28:55: [INFO] Adding track segment (B.Cu): [(407352500, 138172500), (409892500, 140712500)]
13:28:55: [INFO] Routing SW89 with D89
13:28:55: [INFO] Using internal autorouter method
13:28:55: [INFO] Routing pad 'SW89:2' at (388302500, 133032500) with pad 'D89:2' at (390842500, 140712500) using coordinate system rotated by 0 degree(s)
13:28:55: [INFO] Adding track segment (B.Cu): [(388302500, 133032500), (388302500, 138172500)]
13:28:55: [INFO] Adding track segment (B.Cu): [(388302500, 138172500), (390842500, 140712500)]
13:28:55: [INFO] Routing SW88a with D88
13:28:55: [INFO] Using internal autorouter method
13:28:55: [INFO] Routing pad 'SW88a:2' at (362108750, 133032500) with pad 'D88:2' at (362267500, 140712500) using coordinate system rotated by 0 degree(s)
13:28:55: [INFO] Routing SW88 with D88
13:28:55: [INFO] Using internal autorouter method
13:28:55: [INFO] Routing pad 'SW88:2' at (359727500, 133032500) with pad 'D88:2' at (362267500, 140712500) using coordinate system rotated by 0 degree(s)
13:28:55: [INFO] Routing SW87a with D87
