=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbZAHQDsyzCFxcIBjWPAYgEM33wc8qA2C80lXABdbACgw4AJ6N86LLgLZ8NbkVURo8ORkUN44JnWMnOiwmlVKAzFcIAWO9iROeTgOxOAHE4CcThBVzImpghEsw2zDHWnB9ZnYORQB3RjQuJQQ+AUplDShZeQyqTzCfMP9gtBVRCXAEPMUG0LhNQt08VPgEFAU8BojWuMZDE1MMhqj+7BjplybsNwXS6fLpyunAq2aW+qJBvYQpw9mILsReiaIkfjJrRqGtOB0+w5XDtcON+hHWRJYrAALNIZNDYaq3UhIB5tbRFBYQnJQ9S1YDgMFBPBglqw57yFKMHruV5gwY-AxGMYMUHYY5g2bo5xWMFLLHYd5gz5gjaMraKbG7bEHbFTckJf5Wc5oeFskhI+6Y3EvPS-KnU-lEDlELlEb4Fbr4vDxQz-AE0xH8aHUVHgBVWe44-V4jrgKUy23gyENRXDClqsx4e4M+7zQOLe3siOfe48h2Yj0IXYOg4O0W+8WJSVpFDEjIOm5IjH5J7Ko2qqkBhPvB3R3X5Y1-TOKYHwdKKe4WgQ8GFOl558H4SHd63iNH2B7gceOkuG12Ey6KcdoSHj+Pj6wrnvnHqvcf2Tc+hv+gnwdwZcdeA-136mrMG3dEDdI1dWKf759b+cPuX8F+xGcukeFYnnAbZ4FOl5Iu4E5TnqTw9IBN4SueA5Diio64kcvSKDIcIutus4tqBKSWPezakYgiiQBRAC0fYLFkkIOsW86EJ0X7NmkJHZi6gIUQ0eDUYwdE5tCeBSPxNI-gIHYsXhYnpqMFYoQg7iQtBuwQep6ESJh0okkQ778MxqK4tK+Hzhg-bLkizQRk+-B2f+hJyGximNkk7EGrm7aGZC2LXn6ym+YxhbqM58n9ggRkCKSgUZp5c7ea8+b+eCIgYU65kKQRD42b+4VDEBYxWAAJowAAuABOACuACmKEOQIU7xSaEogTuKExWQLWxMVpggWei7YJBBWOg2t4dQu4GPpu43liVijlfA1X1Sp3WkL1RVIU2XkXN+BZjRlulZbOuHOgp-XGHe+1LZVtUNcN+XNelfU7RwjWbmSSX7V1X2tZSi17UNM2jS930Te1e2dcNRz-bDG1LgDx7Q9heDLXAq2PTN0k9elpmnS652lu5k2o3lm7HOulPI8B0P4ChYN42mkOZutNOxLlKmHS9tgE082U4e0OVfihz146c7ko+AGNY59H6S9uDPDUzm0zPkssPezCsA2TP0wzjPMS8dkgC2dwtTVZT2bqGZyWQ+TV47b+vunuNu00DP08K7I3u29FJ6wRVs4wgftDEH36O2rzsR9rBUx-b3Pu-zPEKcTs6x9bH6snbBrB5OtKbjnLv5272cewNe3ZSh2QFcXrOJZnoNFxX10gdKPk44O5f+wlbA3Qh36hz34eJ7DUfjsXTcF9FLec2Phstynrbm-JU0Ux+7zU5v+Rc8NiORr3Sme+cPCM5uKxim1u0u0PF+vrNO8I-f8-3knO-L6Bq8XevYubp828CprFzr9fe-9W4MBAtYGu4DX5wGgbDbuQDdZQ1vipYeyDx6wJxgfYBaDYZGzVj4T+gtxIW3Jn-D8PJAEvT1HvGaB89RXUgVXaaBda60JQWzFWm4mELUrj9fSKkkGcKPh5fuv9YYYNETjCe2BqF+SobvUWBDeEmzMt-EmzCB5oxlvdNaWcxqHnev3eWRjlFvzAR+Pk20gon0YGfHh1jjEB1QfQme0i8Y2JnnImxV9AYCM1gYnBc0fS5TuitLWqjnHqMJmncht8ImYyiTNcWatExcI+sNXxjp3FlzGvNOxAjzgIJmhwrxuTGClJniIipmSJEUKkXNTSj8CkQLKvo7GM8D4ZLgTuJJctoltJIZojOHF0adMoWNCGJizTZLmt9PJMwFntPbmwyeKyxG3nPtYmZRS26sO-LU9Jey+4AkkSHTZsirkQCCV0t8NypZ00SRMyJwSZ6EKnJYEZRMEkNwafg1Jc0qaF2sWmJZPTwUqLKcC1ZhydljRZrMnRRzYV9PWSENFo9LHXLBQ-WeeL0UHVhT8+Ja9GlAusZLbRAyUkF18dS5FFyC49MVtC9hc1GX7JYYIjFqs3z1PORSmpnKLGgMuVSsVBsfGirEdLO5ccXrRUFSi9+Y1HDCGEEAA
13:32:45: [INFO] Add SW25 footprint
13:32:45: [INFO] Add D25 footprint
13:32:45: [INFO] Add SW26 footprint
13:32:45: [INFO] Add D26 footprint
13:32:45: [INFO] Add SW27 footprint
13:32:45: [INFO] Add D27 footprint
13:32:45: [INFO] Add SW28 footprint
13:32:45: [INFO] Add D28 footprint
13:32:45: [INFO] Add SW29 footprint
13:32:45: [INFO] Add D29 footprint
13:32:45: [INFO] Add SW30 footprint
13:32:46: [INFO] Add D30 footprint
13:32:46: [INFO] Add SW31 footprint
13:32:46: [INFO] Add D31 footprint
13:32:46: [INFO] Add SW32 footprint
13:32:46: [INFO] Add D32 footprint
13:32:46: [INFO] Add SW33 footprint
13:32:46: [INFO] Add D33 footprint
13:32:46: [INFO] Add SW34 footprint
13:32:46: [INFO] Add D34 footprint
13:32:46: [INFO] Add SW35 footprint
13:32:46: [INFO] Add D35 footprint
13:32:46: [INFO] Add SW36 footprint
13:32:46: [INFO] Add D36 footprint
13:32:46: [INFO] Add SW37 footprint
13:32:46: [INFO] Add D37 footprint
13:32:46: [INFO] Add SW38 footprint
13:32:46: [INFO] Add D38 footprint
13:32:46: [INFO] Add ST38 footprint
13:32:46: [INFO] Add SW39 footprint
13:32:46: [INFO] Add D39 footprint
13:32:46: [INFO] Add SW40 footprint
13:32:46: [INFO] Add D40 footprint
13:32:46: [INFO] Add SW41 footprint
13:32:46: [INFO] Add D41 footprint
13:32:46: [INFO] Add SW42 footprint
13:32:46: [INFO] Add D42 footprint
13:32:46: [INFO] Add SW43 footprint
13:32:46: [INFO] Add D43 footprint
13:32:46: [INFO] Add SW44 footprint
13:32:46: [INFO] Add D44 footprint
13:32:46: [INFO] Add SW45 footprint
13:32:46: [INFO] Add D45 footprint
13:32:46: [INFO] Add SW46 footprint
13:32:46: [INFO] Add D46 footprint
13:32:46: [INFO] Add SW47 footprint
13:32:47: [INFO] Add D47 footprint
13:32:47: [INFO] Add SW48 footprint
13:32:47: [INFO] Add D48 footprint
13:32:47: [INFO] Add SW49 footprint
13:32:47: [INFO] Add D49 footprint
13:32:47: [INFO] Add SW50 footprint
13:32:47: [INFO] Add D50 footprint
13:32:47: [INFO] Add SW51 footprint
13:32:47: [INFO] Add D51 footprint
13:32:47: [INFO] Add SW52 footprint
13:32:47: [INFO] Add D52 footprint
13:32:47: [INFO] Add SW53 footprint
13:32:47: [INFO] Add D53 footprint
13:32:47: [INFO] Add SW54 footprint
13:32:47: [INFO] Add D54 footprint
13:32:47: [INFO] Add SW55 footprint
13:32:47: [INFO] Add D55 footprint
13:32:47: [INFO] Add SW56 footprint
13:32:47: [INFO] Add D56 footprint
13:32:47: [INFO] Add SW57 footprint
13:32:47: [INFO] Add D57 footprint
13:32:47: [INFO] Add SW58 footprint
13:32:47: [INFO] Add D58 footprint
13:32:47: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:47: [INFO] Add ST58 footprint
13:32:47: [INFO] Add SW58a footprint
13:32:47: [INFO] Add ST58a footprint
13:32:47: [INFO] Add SW59 footprint
13:32:47: [INFO] Add D59 footprint
13:32:47: [INFO] Add SW60 footprint
13:32:47: [INFO] Add D60 footprint
13:32:47: [INFO] Add SW61 footprint
13:32:47: [INFO] Add D61 footprint
13:32:47: [INFO] Add SW62 footprint
13:32:47: [INFO] Add D62 footprint
13:32:47: [INFO] Add ST62 footprint
13:32:47: [INFO] Add SW62a footprint
13:32:47: [INFO] Add SW63 footprint
13:32:47: [INFO] Add D63 footprint
13:32:47: [INFO] Add SW64 footprint
13:32:47: [INFO] Add D64 footprint
13:32:47: [INFO] Add SW65 footprint
13:32:48: [INFO] Add D65 footprint
13:32:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:48: [INFO] Add ST65 footprint
13:32:48: [INFO] Add SW65a footprint
13:32:48: [INFO] Add SW66 footprint
13:32:48: [INFO] Add D66 footprint
13:32:48: [INFO] Add SW67 footprint
13:32:48: [INFO] Add D67 footprint
13:32:48: [INFO] Add SW68 footprint
13:32:48: [INFO] Add D68 footprint
13:32:48: [INFO] Add SW69 footprint
13:32:48: [INFO] Add D69 footprint
13:32:48: [INFO] Add SW70 footprint
13:32:48: [INFO] Add D70 footprint
