=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsAaO4Ces4CYkBGAVg3AGNdwBiAQ3ofAF8yE0FwBdNAKDClyECAdlKYc8ALTIAnGIpVq5ZSuas0hQl179o8QklFkJcaUjllK8Gg0YtMbLRghXMSlcrUO0ecM4H6yAj24I6+6oQAzH5wLoq29F6hGijafBB6iEh4xrhmhCGE7Gm6gkjE8iZmMmQA7mV4xIUaMXHW7h5JReGxAXAySJFNZEWaMeCjPW1uwrNz4-X6hsOYo6nc6dh5yEWYrjYJSTkcG6VLkblSsnVloiE5Tr37Har3Pq19ABxInwVkD48MtskAhdgp2glaAsGitwA8enCNNF-M8PJ43oR1jogedLPFDiELoC+pofoSNAiicjMESsZsAE6CHKYTIoQaVPLEEF49poyghNjU5KpdTEcZsABsJRxcDZEuaQqKItWaDFIzQUtOMq5CFhOSFOWViLVmBymuxfQl7J5Mzms2h8Dw5JN0wOtiSF3Nm0yOo5V3M8kWcAMjXJ0S14EZUiEZEywh+l1MyBQ8lRaKSbGE4rQn2zMmzhBOFrjAeaWfVufV+fVhelfXjerQ5dNOfGOWrLdrEZLqcUdvtN0dy3Jue7gmQF3EwIse3x7vJXc4QA
13:28:02: [INFO] Add SW53 footprint
13:28:02: [INFO] Add D53 footprint
13:28:02: [INFO] Detected layout convertible to matrix annotated keyboard
13:28:02: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:28:02: [INFO] Layout offset: (20955000, 25717500)
13:28:02: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:28:02: [INFO] Placing additional elements for SW53
13:28:02: [INFO] Placing additional elements for SW52
13:28:02: [INFO] Placing additional elements for SW51
13:28:02: [INFO] Placing additional elements for SW50
13:28:02: [INFO] Placing additional elements for SW49
13:28:02: [INFO] Placing additional elements for SW48
13:28:02: [INFO] Placing additional elements for SW47
13:28:02: [INFO] Placing additional elements for SW46
13:28:02: [INFO] Placing additional elements for SW45
13:28:02: [INFO] Placing additional elements for SW44
13:28:02: [INFO] Placing additional elements for SW43
13:28:02: [INFO] Placing additional elements for SW42
13:28:02: [INFO] Placing additional elements for SW41
13:28:02: [INFO] Placing additional elements for SW40
13:28:02: [INFO] Placing additional elements for SW39
13:28:02: [INFO] Placing additional elements for SW38
13:28:02: [INFO] Placing additional elements for SW37
13:28:02: [INFO] Placing additional elements for SW36
13:28:02: [INFO] Placing additional elements for SW35
13:28:02: [INFO] Placing additional elements for SW34
13:28:02: [INFO] Placing additional elements for SW33
13:28:02: [INFO] Placing additional elements for SW32
13:28:02: [INFO] Placing additional elements for SW31
13:28:02: [INFO] Placing additional elements for SW30
13:28:02: [INFO] Placing additional elements for SW29
13:28:02: [INFO] Placing additional elements for SW28
13:28:02: [INFO] Placing additional elements for SW27
13:28:02: [INFO] Placing additional elements for SW26
13:28:02: [INFO] Placing additional elements for SW25
13:28:02: [INFO] Placing additional elements for SW24
13:28:02: [INFO] Placing additional elements for SW23
13:28:02: [INFO] Placing additional elements for SW22
13:28:02: [INFO] Placing additional elements for SW21
13:28:02: [INFO] Placing additional elements for SW20
13:28:02: [INFO] Placing additional elements for SW19
13:28:02: [INFO] Placing additional elements for SW18
13:28:02: [INFO] Placing additional elements for SW17
13:28:02: [INFO] Placing additional elements for SW16
13:28:02: [INFO] Placing additional elements for SW15
13:28:02: [INFO] Placing additional elements for SW14
13:28:02: [INFO] Placing additional elements for SW13
13:28:02: [INFO] Placing additional elements for SW12
13:28:02: [INFO] Placing additional elements for SW11
13:28:02: [INFO] Placing additional elements for SW10
13:28:02: [INFO] Placing additional elements for SW9
13:28:02: [INFO] Placing additional elements for SW8
13:28:02: [INFO] Placing additional elements for SW7
13:28:02: [INFO] Placing additional elements for SW6
13:28:02: [INFO] Placing additional elements for SW5
13:28:02: [INFO] Placing additional elements for SW4
13:28:02: [INFO] Placing additional elements for SW3
13:28:02: [INFO] Placing additional elements for SW2
13:28:02: [INFO] Placing additional elements for SW1
13:28:02: [INFO] Routing SW53 with D53
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW53:2' at (339725000, 130175000) with pad 'D53:2' at (342265000, 137855000) using coordinate system rotated by 0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(339725000, 130175000), (339725000, 135315000)]
13:28:02: [INFO] Adding track segment (B.Cu): [(339725000, 135315000), (342265000, 137855000)]
13:28:02: [INFO] Routing SW52 with D52
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW52:2' at (320675000, 130175000) with pad 'D52:2' at (323215000, 137855000) using coordinate system rotated by 0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(320675000, 130175000), (320675000, 135315000)]
13:28:02: [INFO] Adding track segment (B.Cu): [(320675000, 135315000), (323215000, 137855000)]
13:28:02: [INFO] Routing SW51 with D51
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW51:2' at (301625000, 130175000) with pad 'D51:2' at (304165000, 137855000) using coordinate system rotated by 0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(301625000, 130175000), (301625000, 135315000)]
13:28:02: [INFO] Adding track segment (B.Cu): [(301625000, 135315000), (304165000, 137855000)]
13:28:02: [INFO] Routing SW50 with D50
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW50:2' at (256897420, 133967842) with pad 'D50:2' at (260978676, 140951920) using coordinate system rotated by 348.0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(256897420, 133967842), (257966085, 138995521)]
13:28:02: [INFO] Adding track segment (B.Cu): [(257966085, 138995521), (260978676, 140951920)]
13:28:02: [INFO] Routing SW49 with D49
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW49:2' at (220829489, 140660538) with pad 'D49:2' at (224910745, 147644616) using coordinate system rotated by 348.0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(220829489, 140660538), (221898154, 145688217)]
13:28:02: [INFO] Adding track segment (B.Cu): [(221898154, 145688217), (224910745, 147644616)]
13:28:02: [INFO] Routing SW48 with D48
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW48:2' at (170590626, 144839089) with pad 'D48:2' at (171478359, 152879357) using coordinate system rotated by 12.0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(170590626, 144839089), (169521959, 149866765)]
13:28:02: [INFO] Adding track segment (B.Cu): [(169521959, 149866765), (171478359, 152879357)]
13:28:02: [INFO] Routing SW47 with D47
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW47:2' at (142640059, 138898012) with pad 'D47:2' at (143527792, 146938280) using coordinate system rotated by 12.0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(142640059, 138898012), (141571392, 143925690)]
13:28:02: [INFO] Adding track segment (B.Cu): [(141571392, 143925690), (143527792, 146938280)]
13:28:02: [INFO] Routing SW46 with D46
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW46:2' at (111230555, 133195496) with pad 'D46:2' at (112118288, 141235764) using coordinate system rotated by 12.0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(111230555, 133195496), (110161888, 138223173)]
13:28:02: [INFO] Adding track segment (B.Cu): [(110161888, 138223173), (112118288, 141235764)]
13:28:02: [INFO] Routing SW45 with D45
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW45:2' at (57785000, 130175000) with pad 'D45:2' at (60325000, 137855000) using coordinate system rotated by 0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(57785000, 130175000), (57785000, 135315000)]
13:28:02: [INFO] Adding track segment (B.Cu): [(57785000, 135315000), (60325000, 137855000)]
13:28:02: [INFO] Routing SW44 with D44
13:28:02: [INFO] Using internal autorouter method
13:28:02: [INFO] Routing pad 'SW44:2' at (339725000, 111125000) with pad 'D44:2' at (342265000, 118805000) using coordinate system rotated by 0 degree(s)
13:28:02: [INFO] Adding track segment (B.Cu): [(339725000, 111125000), (339725000, 116265000)]
13:28:02: [INFO] Adding track segment (B.Cu): [(339725000, 116265000), (342265000, 118805000)]
13:28:03: [INFO] Routing SW43 with D43
13:28:03: [INFO] Using internal autorouter method
