=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:52: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoDsBWAvgGjuADFguDhNPABxLmY75YCM9xcpscAzEmrQMZvgBiAIYjRzcAGcAtvwBOAewAuAfQCmPRuGy4C9ACwAdAHbHTJ82eOq84ALpYAUGChs8qbrgCebALRvqvPwCKCGh4tL8WrQEeMYAogDKAMLMEHzwgjxZ2VE6DKku8PT+NHn0RCTg6bjCoiLiAO5sCNp09Ox2js5kcG4e4E1FXK30WDaV1ZnZWbngo0yVPcVI7CMMC7jzFSwDbPTDtPMd9k6sRSgrtN7wfkgAnIEZtXWz83qdp4W9SAj913C3Ua4QZwfboVoIMYFSYCaYzCH5RZsO7uBGaWiQ8rQoKhMK0EHIX5o45dM6gi5-XxuB64GF1epo94nZz-QH45o-UrgdhQiZBOF8Vo87Zk5b0Lk8rF8p70oSNPao2iSkmfJYANiQeiuVPcjxquJCs0lTNJ4FZbl+esEsvlQyJtC14x2IP29twWqYzNFaE12pubnQVuCBtmHu24A9HQdDBNn1kbDVtB6nACXl8PpQQYFswIUby72iWDQ4gIao+3TYnHYXNG4dGebmWALmyL5bJnDQXMh4chDchzfAkOLXq+nDuQqwDZ5A55xaVWDLI56WtpQRt7LtXK1Iqq-LhtsQnNaWrzaTX9NDC7b4HjN0TuB6lGrfoBnEhq6e2daBBQJaw5D-O4-2Ka8egucdDivSDf0ggDIKAyCQKXNhKDdQcsBg3BITgrCsAQ3CkNNMCqAnTDuX-cQeXw8iQPnTRkPgC5yCDG1jww7FP33DdD3BaMcLPGULzYoDbFsIA
13:27:52: [INFO] Add Net-(D68-A) net
13:27:52: [INFO] Add Net-(D69-A) net
13:27:52: [INFO] Add Net-(D7-A) net
13:27:52: [INFO] Add Net-(D8-A) net
13:27:52: [INFO] Add Net-(D9-A) net
13:27:52: [INFO] Add ROW0 net
13:27:52: [INFO] Add ROW1 net
13:27:52: [INFO] Add ROW2 net
13:27:52: [INFO] Add ROW3 net
13:27:52: [INFO] Add ROW4 net
13:27:52: [INFO] Add SW1 footprint
13:27:52: [INFO] Add D1 footprint
13:27:53: [INFO] Add SW2 footprint
13:27:53: [INFO] Add D2 footprint
13:27:53: [INFO] Add SW3 footprint
13:27:53: [INFO] Add D3 footprint
13:27:53: [INFO] Add SW4 footprint
13:27:53: [INFO] Add D4 footprint
13:27:53: [INFO] Add SW5 footprint
13:27:53: [INFO] Add D5 footprint
13:27:53: [INFO] Add SW6 footprint
13:27:53: [INFO] Add D6 footprint
13:27:53: [INFO] Add SW7 footprint
13:27:53: [INFO] Add D7 footprint
13:27:53: [INFO] Add SW8 footprint
13:27:53: [INFO] Add D8 footprint
13:27:53: [INFO] Add SW9 footprint
13:27:53: [INFO] Add D9 footprint
13:27:53: [INFO] Add SW10 footprint
13:27:53: [INFO] Add D10 footprint
13:27:53: [INFO] Add SW11 footprint
13:27:53: [INFO] Add D11 footprint
13:27:53: [INFO] Add SW12 footprint
13:27:53: [INFO] Add D12 footprint
13:27:53: [INFO] Add SW13 footprint
13:27:53: [INFO] Add D13 footprint
13:27:53: [INFO] Add SW14 footprint
13:27:53: [INFO] Add D14 footprint
13:27:53: [INFO] Add ST14 footprint
13:27:53: [INFO] Add SW15 footprint
13:27:53: [INFO] Add D15 footprint
13:27:53: [INFO] Add SW16 footprint
13:27:53: [INFO] Add D16 footprint
13:27:53: [INFO] Add SW17 footprint
13:27:53: [INFO] Add D17 footprint
13:27:53: [INFO] Add SW18 footprint
13:27:53: [INFO] Add D18 footprint
13:27:53: [INFO] Add SW19 footprint
13:27:54: [INFO] Add D19 footprint
13:27:54: [INFO] Add SW20 footprint
13:27:54: [INFO] Add D20 footprint
13:27:54: [INFO] Add SW21 footprint
13:27:54: [INFO] Add D21 footprint
13:27:54: [INFO] Add SW22 footprint
13:27:54: [INFO] Add D22 footprint
13:27:54: [INFO] Add SW23 footprint
13:27:54: [INFO] Add D23 footprint
13:27:54: [INFO] Add SW24 footprint
13:27:54: [INFO] Add D24 footprint
13:27:54: [INFO] Add SW25 footprint
13:27:54: [INFO] Add D25 footprint
13:27:54: [INFO] Add SW26 footprint
13:27:54: [INFO] Add D26 footprint
13:27:54: [INFO] Add SW27 footprint
13:27:54: [INFO] Add D27 footprint
13:27:54: [INFO] Add SW28 footprint
13:27:54: [INFO] Add D28 footprint
13:27:54: [INFO] Add SW29 footprint
13:27:54: [INFO] Add D29 footprint
13:27:54: [INFO] Add SW30 footprint
13:27:54: [INFO] Add D30 footprint
13:27:54: [INFO] Add SW31 footprint
13:27:54: [INFO] Add D31 footprint
13:27:54: [INFO] Add SW32 footprint
13:27:54: [INFO] Add D32 footprint
13:27:54: [INFO] Add SW33 footprint
13:27:54: [INFO] Add D33 footprint
13:27:54: [INFO] Add SW34 footprint
13:27:54: [INFO] Add D34 footprint
13:27:54: [INFO] Add SW35 footprint
13:27:54: [INFO] Add D35 footprint
13:27:54: [INFO] Add SW36 footprint
13:27:55: [INFO] Add D36 footprint
13:27:55: [INFO] Add SW37 footprint
13:27:55: [INFO] Add D37 footprint
13:27:55: [INFO] Add SW38 footprint
13:27:55: [INFO] Add D38 footprint
13:27:55: [INFO] Add SW39 footprint
13:27:55: [INFO] Add D39 footprint
13:27:55: [INFO] Add SW40 footprint
13:27:55: [INFO] Add D40 footprint
13:27:55: [INFO] Add SW41 footprint
13:27:55: [INFO] Add D41 footprint
13:27:55: [INFO] Add SW42 footprint
13:27:55: [INFO] Add D42 footprint
13:27:55: [INFO] Add SW43 footprint
13:27:55: [INFO] Add D43 footprint
13:27:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:55: [INFO] Add ST43 footprint
13:27:55: [INFO] Add SW44 footprint
13:27:55: [INFO] Add D44 footprint
13:27:55: [INFO] Add SW45 footprint
13:27:55: [INFO] Add D45 footprint
13:27:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:55: [INFO] Add ST45 footprint
13:27:55: [INFO] Add SW46 footprint
13:27:55: [INFO] Add D46 footprint
13:27:55: [INFO] Add SW47 footprint
13:27:55: [INFO] Add D47 footprint
13:27:55: [INFO] Add SW48 footprint
13:27:55: [INFO] Add D48 footprint
13:27:55: [INFO] Add SW49 footprint
13:27:55: [INFO] Add D49 footprint
13:27:55: [INFO] Add SW50 footprint
13:27:55: [INFO] Add D50 footprint
13:27:55: [INFO] Add SW51 footprint
13:27:55: [INFO] Add D51 footprint
13:27:55: [INFO] Add SW52 footprint
13:27:55: [INFO] Add D52 footprint
13:27:55: [INFO] Add SW53 footprint
13:27:56: [INFO] Add D53 footprint
13:27:56: [INFO] Add SW54 footprint
13:27:56: [INFO] Add D54 footprint
13:27:56: [INFO] Add SW55 footprint
13:27:56: [INFO] Add D55 footprint
13:27:56: [INFO] Add SW56 footprint
13:27:56: [INFO] Add D56 footprint
13:27:56: [INFO] Add SW57 footprint
13:27:56: [INFO] Add D57 footprint
13:27:56: [INFO] Add SW58 footprint
13:27:56: [INFO] Add D58 footprint
13:27:56: [INFO] Add SW59 footprint
13:27:56: [INFO] Add D59 footprint
13:27:56: [INFO] Add SW60 footprint
13:27:56: [INFO] Add D60 footprint
13:27:56: [INFO] Add SW61 footprint
13:27:56: [INFO] Add D61 footprint
13:27:56: [INFO] Add SW62 footprint
13:27:56: [INFO] Add D62 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:56: [INFO] Add ST62 footprint
13:27:56: [INFO] Add SW63 footprint
13:27:56: [INFO] Add D63 footprint
13:27:56: [INFO] Add SW64 footprint
13:27:56: [INFO] Add D64 footprint
13:27:56: [INFO] Add SW65 footprint
13:27:56: [INFO] Add D65 footprint
13:27:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:27:56: [INFO] Add ST65 footprint
13:27:56: [INFO] Add SW66 footprint
13:27:56: [INFO] Add D66 footprint
13:27:56: [INFO] Add SW67 footprint
13:27:56: [INFO] Add D67 footprint
13:27:56: [INFO] Add SW68 footprint
13:27:56: [INFO] Add D68 footprint
13:27:56: [INFO] Add SW69 footprint
13:27:56: [INFO] Add D69 footprint
13:27:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:27:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:27:57: [INFO] Layout offset: (33337500, 28575000)
13:27:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:27:57: [INFO] Placing additional elements for SW69
13:27:57: [INFO] Placing additional elements for SW68
13:27:57: [INFO] Placing additional elements for SW67
13:27:57: [INFO] Placing additional elements for SW66
13:27:57: [INFO] Placing additional elements for SW65
13:27:57: [INFO] Placing additional elements for SW64
13:27:57: [INFO] Placing additional elements for SW63
13:27:57: [INFO] Placing additional elements for SW62
13:27:57: [INFO] Placing additional elements for SW61
13:27:57: [INFO] Placing additional elements for SW60
13:27:57: [INFO] Placing additional elements for SW59
13:27:57: [INFO] Placing additional elements for SW58
13:27:57: [INFO] Placing additional elements for SW57
13:27:57: [INFO] Placing additional elements for SW56
13:27:57: [INFO] Placing additional elements for SW55
13:27:57: [INFO] Placing additional elements for SW54
13:27:57: [INFO] Placing additional elements for SW53
13:27:57: [INFO] Placing additional elements for SW52
13:27:57: [INFO] Placing additional elements for SW51
13:27:57: [INFO] Placing additional elements for SW50
13:27:57: [INFO] Placing additional elements for SW49
13:27:57: [INFO] Placing additional elements for SW48
13:27:57: [INFO] Placing additional elements for SW47
13:27:57: [INFO] Placing additional elements for SW46
13:27:57: [INFO] Placing additional elements for SW45
13:27:57: [INFO] Placing additional elements for SW44
13:27:57: [INFO] Placing additional elements for SW43
13:27:57: [INFO] Placing additional elements for SW42
13:27:57: [INFO] Placing additional elements for SW41
13:27:57: [INFO] Placing additional elements for SW40
13:27:57: [INFO] Placing additional elements for SW39
13:27:57: [INFO] Placing additional elements for SW38
13:27:57: [INFO] Placing additional elements for SW37
13:27:57: [INFO] Placing additional elements for SW36
13:27:57: [INFO] Placing additional elements for SW35
13:27:57: [INFO] Placing additional elements for SW34
13:27:57: [INFO] Placing additional elements for SW33
