=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BWVdQ7cAXRQCgwpY4BmNcATwYFoMA6AThMwpGuOPgYBGAVkIix8RgLIy89eJJZlhVWnLgA2Fu3hduADmIsse2arjrSKa9rpG4J3mXQBjBuADEAOxBweBSKBg2BHYsPvD+XgmJoZYoAEyRDPwaaRlqMb6BwUHJDhHOuuKGnDy8+XF+iUlh4rl29uBkLeW2CFXGPMgslTgqURboBjjdUczoru4ClcKjEosoyqK2CiwGGxUCBlo0dFEGc9Vm4+CV1itqB46UxxDzNZ7gseh+AIa-fyXXcKtSreAqNBIAyrpO5wLITHIwkEfAp-f4PMrPWxI158OpfcE+NYtRHtAxdTFRXrnfrcQboVLkGFXALkaYMWZsC5w8AM5abKLtBl7LYCFnCgWioRPHS2M6cmnmAQM2781YsFlOTE4jx4-xFYpKoGI3UNcEAhnQ1Xwbksy0VE36gIAlkYmUCvpuGomgnmlDEq1tSXkt0MKnyz20gTMEYBq6mVkU9kehYsZh8-ap9atbboePitW5qVs+BynGKzMqjOFzUy7XvT7+VG-AHMCLG0H1H1RhEB7nxu1Yk1N74A+Ouk4SZNejv4s3d-0Vdrx4MT+BhnFhhs-JsA3ox3RXWpTRPyKd8AS9dNYi9ZmE58C1fP3Fi1I61i6mG9tgPtXoDqLcrU-4Fg+QLFtE1IRtyvQLli7S1Cuuh6NwqTvNq3pziwvSVrYPCHo8FAUEAA
13:34:10: [INFO] Adding track segment (B.Cu): [(231140000, 95310000), (233680000, 97850000)]
13:34:10: [INFO] Routing SW60 with D60
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW60:2' at (250190000, 92075000) with pad 'D60:2' at (252730000, 99755000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(250190000, 92075000), (250190000, 97215000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(250190000, 97215000), (252730000, 99755000)]
13:34:10: [INFO] Routing SW59 with D59
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW59:2' at (269240000, 95885000) with pad 'D59:2' at (271780000, 103565000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(269240000, 95885000), (269240000, 101025000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(269240000, 101025000), (271780000, 103565000)]
13:34:10: [INFO] Routing SW58 with D58
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW58:2' at (288290000, 97790000) with pad 'D58:2' at (290830000, 105470000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(288290000, 97790000), (288290000, 102930000)]
13:34:10: [INFO] Adding track segment (B.Cu): [(288290000, 102930000), (290830000, 105470000)]
13:34:10: [INFO] Routing SW57 with D57
13:34:10: [INFO] Using internal autorouter method
13:34:10: [INFO] Routing pad 'SW57:2' at (307340000, 95885000) with pad 'D57:2' at (309880000, 103565000) using coordinate system rotated by 0 degree(s)
13:34:10: [INFO] Adding track segment (B.Cu): [(307340000, 95885000), (307340000, 101025000)]
