=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdLADnAF0UAoMKWOAJjXAE9GBaDAOjMICsJTCia44+RgEZhWACzjJ8IayyFFDeDNUoAnFVr0CcAaw7xufQbJQCNx5DoBsBuhHNxL-FaRQZxIlL20tq+Uv46UkHUbpqIZly8CNasUtjBRMJpFDFGjCzoHl4p6GlieHGh4GkKFcY+1SjqddJZeq55ygkWvN5tdi3wjqUoLrnuiVYNaREjQYNwUW3hAWlRHUrxhZPJDSw4C8SsLDmGmwXsk33HohmLwiy1EnF7TXdVLPrjL92evSXgFgDZ4OB6jDaXHpTMGzQEoeYgkJglY3dbfBy-SxMAEIW6HYS4r5ncAAJ2kuPQJIcPFMlI8ZBprGMllpkM8Ah4cgJ6W+ZPgTCcTMmrKKUh4GG5Cl5jAQuiFUJFXDFEtYuLs0osstYVJCjPQzN4iosHK5qvBGs8Avlfz1bM4yu56gt9opcRZmIdZpylCAA
13:40:36: [INFO] Placing additional elements for SW6
13:40:36: [INFO] Placing additional elements for SW5
13:40:36: [INFO] Placing additional elements for SW4
13:40:36: [INFO] Placing additional elements for SW3
13:40:36: [INFO] Placing additional elements for SW2
13:40:36: [INFO] Placing additional elements for SW1
13:40:36: [INFO] Routing SW44 with D44
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW44:2' at (250190000, 92075000) with pad 'D44:2' at (252730000, 99755000) using coordinate system rotated by 0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 92075000), (250190000, 97215000)]
13:40:36: [INFO] Adding track segment (B.Cu): [(250190000, 97215000), (252730000, 99755000)]
13:40:36: [INFO] Routing SW43 with D43
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW43:2' at (227984093, 94026250) with pad 'D43:2' at (232186617, 100938036) using coordinate system rotated by 347.0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(227984093, 94026250), (229140340, 99034510)]
13:40:36: [INFO] Adding track segment (B.Cu): [(229140340, 99034510), (232186617, 100938036)]
13:40:36: [INFO] Routing SW42 with D42
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW42:2' at (206786256, 100922734) with pad 'D42:2' at (212435883, 106712008) using coordinate system rotated by 334.0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(206786256, 100922734), (209039482, 105542533)]
13:40:36: [INFO] Adding track segment (B.Cu): [(209039482, 105542533), (212435883, 106712008)]
13:40:36: [INFO] Routing SW41 with D41
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW41:2' at (187683091, 112410935) with pad 'D41:2' at (194490222, 116780943) using coordinate system rotated by 321.0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(187683091, 112410935), (190917797, 116405466)]
13:40:36: [INFO] Adding track segment (B.Cu): [(190917797, 116405466), (194490222, 116780943)]
13:40:36: [INFO] Routing SW40 with D40
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW40:2' at (159164810, 115607882) with pad 'D40:2' at (156305580, 123174837) using coordinate system rotated by 39.0 degree(s)
13:40:36: [INFO] Adding track segment (B.Cu): [(159164810, 115607882), (155930102, 119602412)]
13:40:36: [INFO] Adding track segment (B.Cu): [(155930102, 119602412), (156305580, 123174837)]
13:40:36: [INFO] Routing SW39 with D39
13:40:36: [INFO] Using internal autorouter method
13:40:36: [INFO] Routing pad 'SW39:2' at (140679617, 103149659) with pad 'D39:2' at (139595864, 111165859) using coordinate system rotated by 26.0 degree(s)
