=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:27:44: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1KAdAOwYYBY0BGcDCHecPLAYM6YA7rkqoKAE1wAXAE4BXAKblMTRvVYcu2XHwCGR42QpsaGlu2FV2lrdbN3NVnZmoJ724d339BAjZi8BLomDLwCipq4F6OcL68eMYmMdQAzHFu4OaZLg7Z1MxZNubF+d66PPgBgRTBcKHSckqqFCVVfilGpu5oKB2Y5gMV8bYAbIM5aJOjbok1tUHikuEt0e1zPnpJ3Qa90wQlALpoAFBgULjIYeAAnisIt9V8xCRpFqOU2y-J3QfmOhfGzUNhxb5OMHAigecGlNCeaF9PIaVgQoZoFGaNEgtDlVE0eH47GEmH9OFOEYE9ETCkY2bU3FHJGHOGnC4QaDwG4xBCkhI7RYBA7pfngPnZUXZPkIGyi2UUPnpOWYmx85gqjWK-oqlBqmY-Lr-erXGKihmaajohZ8Wo4M1oAjbLlwNhISgOi0MUH65kaH3sy4um4UX57ZbwN0oGI4zpJO0HdA0yqYdDZVgK1MImysZUUdB5zCsLVZkvgVh6-M6iiscaG3bG0S4KMxx32UXWwW2pYxdBO3Qut0EZ5GlIR11IJ4UAAW13qssjq3A04XrookFXAFoJE8YgQZu3rIHOdclw0h9GKON+Tb-MK92Lr9l99lr5nwPv39fCx-VVe8TY+5ltelaYPuoG3m8RDjsgu4UPuXr0B29ZCkID79gKLoSMOoajqkNZtvkUrgMe4DnpOl6YAAHJ8GgSih3b3hQACctGaPRA6PCODZjia3IUTENFAnRN5dneaEUDR2SsdkNHvqx740T+rE-jRZasWWNGgeArEQWJ4Z8ROw6CQe+SAgx4mBCZfqaOZLGOs6XG4TxJiGcgxmSaZGjmBwpHBmezYCWYVr2Em2zkXBQyAqFokRZROSgjFna-AmhnjEFQwZElFnhjEbDUFSmhhWYwzZcFXlFaJKU9iVFUMMVmWERoDU5OYNn1YSfmnrcDwhBRzn4AZTaLpFCVsR18xkYFo1sNF+RpuF03xflzjNfEt6pcNcDpTNWXzet+mNlNI3LQVMWTXFeWlftk3VcKhlNGskStDE52lOYiELeV7X0F9UVNZVvnnEG3UUL1jT9ZgYZHeRp3jb92ZxqhdRPXAURtOo+2ZreQ3HROcNQmt2NiZteMEHle1EzlMOBct11U0jjFCM0z0bJjDMCtDvFbS230xcTd0Sf9P3oLKxzHEAA
13:27:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:48: [INFO] Add ST60 footprint
13:27:48: [INFO] Add SW60a footprint
13:27:48: [INFO] Add ST60a footprint
13:27:48: [INFO] Add SW61 footprint
13:27:48: [INFO] Add D61 footprint
13:27:48: [INFO] Add SW62 footprint
13:27:48: [INFO] Add D62 footprint
13:27:48: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:27:48: [INFO] Add ST62 footprint
13:27:48: [INFO] Add SW62a footprint
13:27:48: [INFO] Add SW63 footprint
13:27:48: [INFO] Add D63 footprint
13:27:48: [INFO] Add SW64 footprint
13:27:48: [INFO] Add D64 footprint
13:27:48: [INFO] Add SW65 footprint
13:27:48: [INFO] Add D65 footprint
13:27:48: [INFO] Add SW66 footprint
13:27:48: [INFO] Add D66 footprint
13:27:48: [INFO] Add SW67 footprint
13:27:48: [INFO] Add D67 footprint
13:27:49: [INFO] Add SW68 footprint
13:27:49: [INFO] Add D68 footprint
13:27:49: [INFO] Add SW68a footprint
13:27:49: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:27:49: [INFO] Add ST68a footprint
13:27:49: [INFO] Add SW69 footprint
13:27:49: [INFO] Add D69 footprint
13:27:49: [INFO] Add SW70 footprint
13:27:49: [INFO] Add D70 footprint
13:27:49: [INFO] Add SW71 footprint
13:27:49: [INFO] Add D71 footprint
13:27:49: [INFO] Add SW72 footprint
13:27:49: [INFO] Add D72 footprint
13:27:49: [INFO] Add SW73 footprint
13:27:49: [INFO] Add D73 footprint
13:27:49: [INFO] Add SW74 footprint
13:27:49: [INFO] Add D74 footprint
13:27:49: [INFO] Add SW75 footprint
13:27:49: [INFO] Add D75 footprint
13:27:49: [INFO] Add SW76 footprint
13:27:49: [INFO] Add D76 footprint
13:27:49: [INFO] Add SW77 footprint
13:27:49: [INFO] Add D77 footprint
13:27:49: [INFO] Add SW77a footprint
13:27:49: [INFO] Add SW78 footprint
13:27:49: [INFO] Add D78 footprint
13:27:49: [INFO] Add SW78a footprint
13:27:49: [INFO] Add SW79 footprint
13:27:49: [INFO] Add D79 footprint
13:27:49: [INFO] Add ST79 footprint
13:27:49: [INFO] Add SW79a footprint
13:27:49: [INFO] Add ST79a footprint
13:27:49: [INFO] Add SW80 footprint
13:27:49: [INFO] Add D80 footprint
13:27:49: [INFO] Add SW80a footprint
13:27:49: [INFO] Add SW81 footprint
