=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoDsBWANHcBPWcAGJAJk2wGN9wBiAQ3ofAF8twCMCAdAOx5-YCM4LBErwa5SVOHYAJvgAuAJwCuAUxbZBfXt0EzRVOg3rNW7Yjv4Yh5jAit6bMthgAsj-XbSfnIqPhEaJquAGy+tloYKBEu7AAcsXYAnElwENDwQSGCXLrWka4CAmlFlvlOhYIOFfoAuhgAUGAB8MjoORy+BAathCTBdiW1HHEY5TrsPXY1k6N2HiPT6X1EpJ0+S2PhW3Yxu1GJBxmBA52pB0V5c8tFwzdjAhO6U72Z-etDsy-zK+9BrDE2GoUmknQEbkeaBcCBskIazRObVQZFwp0+2AEv3AWMKWOILixCEJ7hJ0NYWNCJJQJPiJOSJIEt1xeJsBP8AHd8MQQrjif5-khBpi4YzydhYQJoQiWu92qiufABEKQsRsWrCmr2dg1fydaTWGrxeA1VTDdEXGq6eaGeamZabJq2b0gTQTKZWIq4MrhSabN8eFjlkj+qjXSDQZRVaK7ca3P7wDKQ8RiELWHh4ABaNZhoyyBCyABGhchnvwytIrAAFtzPQSlWnsFX697WJAW9mzqxJQHuLjE01Zfh5en8J30ICjJHKGWGx1u9jJTDxsu9eBYaWJRhjbCzVuaQvrVvbVv7Qvii6jO7aC4vamMev-Y4gwPEX1iD7R1mc5PxNR80WJZmKezyBs4SZ9J+2AZnA44KuWXbYPG1y6BqLjxvcqF+Cs4bXre3KIeAyGOGqwbgOG07AURK6sPGa7xpu1Fxhge7UQeSEYEe1EntRZ4cRenIEfO-HaiGPohBh0qDiGI4UFe7r4Q2D6YChPCwmRXoVr6mCYWpvwQJphGYKB3Dqb0XqhEZLGOGZglKdpNiqaZ+ngIZymOjZLluQ5TyeRpCHuQIva2X8py5n+lEhDpjE6cxEKvkOyITnJf4AcWjGGQ5TlLqwOmeZEBkIQ5Jk5SsXooFF1kVKVhUNj5unOYUOkldhtXeiquVPtV4F1EAA
13:36:04: [INFO] Add SW42 footprint
13:36:04: [INFO] Add D42 footprint
13:36:04: [INFO] Add SW43 footprint
13:36:04: [INFO] Add D43 footprint
13:36:04: [INFO] Add SW44 footprint
13:36:04: [INFO] Add D44 footprint
13:36:04: [INFO] Add SW45 footprint
13:36:05: [INFO] Add D45 footprint
13:36:05: [INFO] Add SW46 footprint
13:36:05: [INFO] Add D46 footprint
13:36:05: [INFO] Add SW47 footprint
13:36:05: [INFO] Add D47 footprint
13:36:05: [INFO] Add SW48 footprint
13:36:05: [INFO] Add D48 footprint
13:36:05: [INFO] Add SW49 footprint
13:36:05: [INFO] Add D49 footprint
13:36:05: [INFO] Add SW50 footprint
13:36:05: [INFO] Add D50 footprint
13:36:05: [INFO] Add SW51 footprint
13:36:05: [INFO] Add D51 footprint
13:36:05: [INFO] Add SW52 footprint
13:36:05: [INFO] Add D52 footprint
13:36:05: [INFO] Add SW53 footprint
13:36:05: [INFO] Add D53 footprint
13:36:05: [INFO] Add SW54 footprint
13:36:05: [INFO] Add D54 footprint
13:36:05: [INFO] Add SW55 footprint
13:36:05: [INFO] Add D55 footprint
13:36:05: [INFO] Add SW56 footprint
13:36:05: [INFO] Add D56 footprint
13:36:05: [INFO] Add SW57 footprint
13:36:05: [INFO] Add D57 footprint
13:36:05: [INFO] Add SW58 footprint
13:36:05: [INFO] Add D58 footprint
13:36:05: [INFO] Add SW59 footprint
13:36:05: [INFO] Add D59 footprint
13:36:06: [INFO] Add SW60 footprint
13:36:06: [INFO] Add D60 footprint
13:36:06: [INFO] Add SW61 footprint
13:36:06: [INFO] Add D61 footprint
13:36:06: [INFO] Add SW62 footprint
13:36:06: [INFO] Add D62 footprint
13:36:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:06: [INFO] Add ST62 footprint
13:36:06: [INFO] Add SW62a footprint
13:36:06: [INFO] Add ST62a footprint
13:36:06: [INFO] Add SW63 footprint
13:36:06: [INFO] Add D63 footprint
13:36:06: [INFO] Add SW64 footprint
13:36:06: [INFO] Add D64 footprint
13:36:06: [INFO] Add SW65 footprint
13:36:06: [INFO] Add D65 footprint
13:36:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:06: [INFO] Add ST65 footprint
13:36:06: [INFO] Add SW65a footprint
13:36:06: [INFO] Add SW66 footprint
13:36:06: [INFO] Add D66 footprint
13:36:06: [INFO] Add SW67 footprint
13:36:06: [INFO] Add D67 footprint
13:36:06: [INFO] Add SW68 footprint
13:36:06: [INFO] Add D68 footprint
13:36:06: [INFO] Add SW69 footprint
13:36:06: [INFO] Add D69 footprint
13:36:06: [INFO] Add SW70 footprint
13:36:06: [INFO] Add D70 footprint
13:36:06: [INFO] Add SW71 footprint
13:36:06: [INFO] Add D71 footprint
13:36:06: [INFO] Add SW72 footprint
13:36:06: [INFO] Add D72 footprint
13:36:06: [INFO] Add SW73 footprint
13:36:06: [INFO] Add D73 footprint
13:36:06: [INFO] Add SW74 footprint
13:36:06: [INFO] Add D74 footprint
13:36:06: [INFO] Add SW75 footprint
13:36:06: [INFO] Add D75 footprint
13:36:06: [INFO] Add SW76 footprint
13:36:07: [INFO] Add D76 footprint
13:36:07: [INFO] Add SW77 footprint
13:36:07: [INFO] Add D77 footprint
13:36:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:07: [INFO] Add ST77 footprint
13:36:07: [INFO] Add SW78 footprint
13:36:07: [INFO] Add D78 footprint
13:36:07: [INFO] Add SW79 footprint
13:36:07: [INFO] Add D79 footprint
13:36:07: [INFO] Add SW80 footprint
13:36:07: [INFO] Add D80 footprint
13:36:07: [INFO] Add SW81 footprint
13:36:07: [INFO] Add D81 footprint
13:36:07: [INFO] Add SW81a footprint
13:36:07: [INFO] Add SW82 footprint
13:36:07: [INFO] Add D82 footprint
13:36:07: [INFO] Add SW82a footprint
13:36:07: [INFO] Add SW83 footprint
13:36:07: [INFO] Add D83 footprint
13:36:07: [INFO] Add SW83a footprint
13:36:07: [INFO] Add SW84 footprint
13:36:07: [INFO] Add D84 footprint
13:36:07: [INFO] Add ST84 footprint
13:36:07: [INFO] Add SW84a footprint
13:36:07: [INFO] Add ST84a footprint
13:36:07: [INFO] Add SW85 footprint
13:36:07: [INFO] Add D85 footprint
13:36:07: [INFO] Add SW86 footprint
13:36:07: [INFO] Add D86 footprint
13:36:07: [INFO] Add SW86a footprint
13:36:07: [INFO] Add SW87 footprint
13:36:07: [INFO] Add D87 footprint
13:36:07: [INFO] Add SW87a footprint
13:36:07: [INFO] Add SW88 footprint
13:36:07: [INFO] Add D88 footprint
13:36:07: [INFO] Add SW88a footprint
13:36:07: [INFO] Add SW89 footprint
13:36:07: [INFO] Add D89 footprint
13:36:07: [INFO] Add SW90 footprint
13:36:07: [INFO] Add D90 footprint
13:36:08: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:08: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:08: [INFO] Layout offset: (33337500, 23812500)
13:36:08: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:08: [INFO] Placing additional elements for SW90
13:36:08: [INFO] Placing additional elements for SW89
13:36:08: [INFO] Placing additional elements for SW88a
13:36:08: [INFO] Placing additional elements for SW88
13:36:08: [INFO] Placing additional elements for SW87a
13:36:08: [INFO] Placing additional elements for SW87
13:36:08: [INFO] Placing additional elements for SW86a
13:36:08: [INFO] Placing additional elements for SW86
13:36:08: [INFO] Placing additional elements for SW85
13:36:08: [INFO] Placing additional elements for SW84a
13:36:08: [INFO] Placing additional elements for SW84
13:36:08: [INFO] Placing additional elements for SW83a
13:36:08: [INFO] Placing additional elements for SW83
13:36:08: [INFO] Placing additional elements for SW82a
13:36:08: [INFO] Placing additional elements for SW82
13:36:08: [INFO] Placing additional elements for SW81a
13:36:08: [INFO] Placing additional elements for SW81
13:36:08: [INFO] Placing additional elements for SW80
13:36:08: [INFO] Placing additional elements for SW79
13:36:08: [INFO] Placing additional elements for SW78
13:36:08: [INFO] Placing additional elements for SW77
13:36:08: [INFO] Placing additional elements for SW76
13:36:08: [INFO] Placing additional elements for SW75
13:36:08: [INFO] Placing additional elements for SW74
13:36:08: [INFO] Placing additional elements for SW73
13:36:08: [INFO] Placing additional elements for SW72
13:36:08: [INFO] Placing additional elements for SW71
13:36:08: [INFO] Placing additional elements for SW70
13:36:08: [INFO] Placing additional elements for SW69
13:36:08: [INFO] Placing additional elements for SW68
13:36:08: [INFO] Placing additional elements for SW67
13:36:08: [INFO] Placing additional elements for SW66
13:36:08: [INFO] Placing additional elements for SW65a
13:36:08: [INFO] Placing additional elements for SW65
13:36:08: [INFO] Placing additional elements for SW64
13:36:08: [INFO] Placing additional elements for SW63
13:36:08: [INFO] Placing additional elements for SW62a
13:36:08: [INFO] Placing additional elements for SW62
13:36:08: [INFO] Placing additional elements for SW61
13:36:08: [INFO] Placing additional elements for SW60
13:36:08: [INFO] Placing additional elements for SW59
13:36:08: [INFO] Placing additional elements for SW58
13:36:08: [INFO] Placing additional elements for SW57
13:36:08: [INFO] Placing additional elements for SW56
13:36:08: [INFO] Placing additional elements for SW55
13:36:08: [INFO] Placing additional elements for SW54
13:36:08: [INFO] Placing additional elements for SW53
13:36:08: [INFO] Placing additional elements for SW52
13:36:08: [INFO] Placing additional elements for SW51
13:36:08: [INFO] Placing additional elements for SW50
13:36:08: [INFO] Placing additional elements for SW49
13:36:08: [INFO] Placing additional elements for SW48
13:36:08: [INFO] Placing additional elements for SW47
13:36:08: [INFO] Placing additional elements for SW46
13:36:08: [INFO] Placing additional elements for SW45
13:36:08: [INFO] Placing additional elements for SW44
13:36:08: [INFO] Placing additional elements for SW43
13:36:08: [INFO] Placing additional elements for SW42
