=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwGYC+AaO4FuQHQHYEEAMO4G4SOALEYfqQuALpoBQYUsiSAdAOwBWCgGNu4AMT9pM8pgDu3BLwBMwzAAtuKivJVLe68Bv3xsmSKbgBaYqsHpMOvPQLYmrDhGhmVAo2LwkiIhoeCOlDhIdG5knpw+iH5qouISAIaZWXLgimb+EdRRMfjOOUUItK6lceycAJ7cdimYgZhSMtLhFKTEct5KqUEZWZndmKT6PWhIOaTUc2iC-Vzwdg7TAGyL-IsAHIsAnCuJ6xGMTNMIUxNRi5UnTYbnOMtX21e78RCNa4ZD7VCYQi2D6FHcOWwNywM0haAW4KWcI+mGwu0RB0Rx0RCDBqJwl3x1xWbUkozGum0IOK1V6jz+GyJbyJKJhCC+dQgeUQzwoOjxEFJEiBIXG4DKfLQ0J0s0lCKcSMlrJ06IVmIV2IVuJyzkJ4pwNy5BkZ+pcdFB9Lg6wBZPJYuczNNypwHK8uQMQgiVAF4CFIrEXrIFCo0KosswVHlkUdVFZVFVkXVkU1kW1wYJJLSnS6lPgyRNVDN9At319aXJ6Ry3PzhTQPr9IrFFXKUpb4fARSjRUdRVZRQTRSTRRTFXr5btubgfk9FAq0Wq-MtygCWezTZw21LQorVYMagiwmIJW9K25yn3FGECGPddPe5NwhUN7Hw39u-gm3sB7Qm2fmeGO6TueD5oIcf4YEa+QXpgV5HtUJ4Qe6UEgdc4FwJBPLQeAV5VHQCHoasVr-K0q6dGKV6OlerJXq6DRPC0ZYAROCjGt+cF4UGME4DehIYcu35PvBnGCmkb6Tvw36-kJvGMe0gEsfkKHsfQhY5FegkcTJZ68lxlQ8SwzBAA
13:30:08: [INFO] Add SW87 footprint
13:30:08: [INFO] Add D87 footprint
13:30:08: [INFO] Add SW88 footprint
13:30:08: [INFO] Add D88 footprint
13:30:08: [INFO] Add SW89 footprint
13:30:08: [INFO] Add D89 footprint
13:30:08: [INFO] Detected layout convertible to matrix annotated keyboard
13:30:08: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:30:08: [INFO] Layout offset: (28575000, 23812500)
13:30:08: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:30:08: [INFO] Placing additional elements for SW89
13:30:08: [INFO] Placing additional elements for SW88
13:30:08: [INFO] Placing additional elements for SW87
13:30:08: [INFO] Placing additional elements for SW86a
13:30:08: [INFO] Placing additional elements for SW86
13:30:08: [INFO] Placing additional elements for SW85a
13:30:08: [INFO] Placing additional elements for SW85
13:30:08: [INFO] Placing additional elements for SW84a
13:30:08: [INFO] Placing additional elements for SW84
13:30:08: [INFO] Placing additional elements for SW83
13:30:08: [INFO] Placing additional elements for SW82a
13:30:08: [INFO] Placing additional elements for SW82
13:30:08: [INFO] Placing additional elements for SW81a
13:30:08: [INFO] Placing additional elements for SW81
13:30:08: [INFO] Placing additional elements for SW80a
13:30:08: [INFO] Placing additional elements for SW80
13:30:08: [INFO] Placing additional elements for SW79a
13:30:08: [INFO] Placing additional elements for SW79
13:30:08: [INFO] Placing additional elements for SW78
13:30:08: [INFO] Placing additional elements for SW77
13:30:08: [INFO] Placing additional elements for SW76a
13:30:08: [INFO] Placing additional elements for SW76
13:30:08: [INFO] Placing additional elements for SW75
13:30:08: [INFO] Placing additional elements for SW74
13:30:08: [INFO] Placing additional elements for SW73
13:30:08: [INFO] Placing additional elements for SW72
13:30:08: [INFO] Placing additional elements for SW71
13:30:08: [INFO] Placing additional elements for SW70
13:30:08: [INFO] Placing additional elements for SW69
13:30:08: [INFO] Placing additional elements for SW68
13:30:08: [INFO] Placing additional elements for SW67
13:30:08: [INFO] Placing additional elements for SW66
13:30:08: [INFO] Placing additional elements for SW65
13:30:08: [INFO] Placing additional elements for SW64
13:30:08: [INFO] Placing additional elements for SW63a
13:30:08: [INFO] Placing additional elements for SW63
13:30:08: [INFO] Placing additional elements for SW62
13:30:08: [INFO] Placing additional elements for SW61
13:30:08: [INFO] Placing additional elements for SW60
13:30:08: [INFO] Placing additional elements for SW59
13:30:08: [INFO] Placing additional elements for SW58
13:30:08: [INFO] Placing additional elements for SW57
13:30:08: [INFO] Placing additional elements for SW56
13:30:08: [INFO] Placing additional elements for SW55
13:30:08: [INFO] Placing additional elements for SW54
13:30:08: [INFO] Placing additional elements for SW53
13:30:08: [INFO] Placing additional elements for SW52
13:30:08: [INFO] Placing additional elements for SW51
13:30:08: [INFO] Placing additional elements for SW50
13:30:08: [INFO] Placing additional elements for SW49
13:30:08: [INFO] Placing additional elements for SW48
13:30:08: [INFO] Placing additional elements for SW47a
13:30:08: [INFO] Placing additional elements for SW47
13:30:08: [INFO] Placing additional elements for SW46
13:30:08: [INFO] Placing additional elements for SW45
13:30:08: [INFO] Placing additional elements for SW44
13:30:08: [INFO] Placing additional elements for SW43
13:30:08: [INFO] Placing additional elements for SW42
13:30:08: [INFO] Placing additional elements for SW41
13:30:08: [INFO] Placing additional elements for SW40
13:30:08: [INFO] Placing additional elements for SW39
13:30:08: [INFO] Placing additional elements for SW38
13:30:08: [INFO] Placing additional elements for SW37
13:30:08: [INFO] Placing additional elements for SW36
13:30:08: [INFO] Placing additional elements for SW35
13:30:08: [INFO] Placing additional elements for SW34
13:30:08: [INFO] Placing additional elements for SW33
13:30:08: [INFO] Placing additional elements for SW32
13:30:08: [INFO] Placing additional elements for SW31
13:30:08: [INFO] Placing additional elements for SW30a
13:30:08: [INFO] Placing additional elements for SW30
13:30:08: [INFO] Placing additional elements for SW29
13:30:08: [INFO] Placing additional elements for SW28
13:30:08: [INFO] Placing additional elements for SW27
13:30:08: [INFO] Placing additional elements for SW26
13:30:08: [INFO] Placing additional elements for SW25
13:30:08: [INFO] Placing additional elements for SW24
13:30:08: [INFO] Placing additional elements for SW23
13:30:08: [INFO] Placing additional elements for SW22
13:30:08: [INFO] Placing additional elements for SW21
13:30:08: [INFO] Placing additional elements for SW20
13:30:08: [INFO] Placing additional elements for SW19
13:30:08: [INFO] Placing additional elements for SW18
13:30:08: [INFO] Placing additional elements for SW17
13:30:08: [INFO] Placing additional elements for SW16
13:30:08: [INFO] Placing additional elements for SW15
13:30:08: [INFO] Placing additional elements for SW14
13:30:08: [INFO] Placing additional elements for SW13
13:30:08: [INFO] Placing additional elements for SW12
13:30:08: [INFO] Placing additional elements for SW11
13:30:08: [INFO] Placing additional elements for SW10
13:30:08: [INFO] Placing additional elements for SW9
13:30:08: [INFO] Placing additional elements for SW8
13:30:08: [INFO] Placing additional elements for SW7
13:30:08: [INFO] Placing additional elements for SW6
13:30:08: [INFO] Placing additional elements for SW5
13:30:08: [INFO] Placing additional elements for SW4
13:30:08: [INFO] Placing additional elements for SW3
13:30:08: [INFO] Placing additional elements for SW2
13:30:08: [INFO] Placing additional elements for SW1
13:30:08: [INFO] Routing SW89 with D89
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW89:2' at (374015000, 213995000) with pad 'D89:2' at (376555000, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(374015000, 213995000), (374015000, 219135000)]
13:30:08: [INFO] Adding track segment (B.Cu): [(374015000, 219135000), (376555000, 221675000)]
13:30:08: [INFO] Routing SW88 with D88
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW88:2' at (354965000, 213995000) with pad 'D88:2' at (357505000, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(354965000, 213995000), (354965000, 219135000)]
13:30:08: [INFO] Adding track segment (B.Cu): [(354965000, 219135000), (357505000, 221675000)]
13:30:08: [INFO] Routing SW87 with D87
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW87:2' at (335915000, 213995000) with pad 'D87:2' at (338455000, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(335915000, 213995000), (335915000, 219135000)]
13:30:08: [INFO] Adding track segment (B.Cu): [(335915000, 219135000), (338455000, 221675000)]
13:30:08: [INFO] Routing SW86a with D86
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW86a:2' at (302577500, 213995000) with pad 'D86:2' at (307498750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW86 with D86
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW86:2' at (304958750, 213995000) with pad 'D86:2' at (307498750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW85a with D85
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW85a:2' at (278765000, 213995000) with pad 'D85:2' at (283686250, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW85 with D85
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW85:2' at (281146250, 213995000) with pad 'D85:2' at (283686250, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW84a with D84
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW84a:2' at (254952500, 213995000) with pad 'D84:2' at (259873750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW84 with D84
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW84:2' at (257333750, 213995000) with pad 'D84:2' at (259873750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW83 with D83
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW83:2' at (233521250, 213995000) with pad 'D83:2' at (236061250, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(233521250, 213995000), (233521250, 219135000)]
13:30:08: [INFO] Adding track segment (B.Cu): [(233521250, 219135000), (236061250, 221675000)]
13:30:08: [INFO] Routing SW82a with D82
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW82a:2' at (173990000, 213995000) with pad 'D82:2' at (164623750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Routing SW82 with D82
13:30:08: [INFO] Using internal autorouter method
13:30:08: [INFO] Routing pad 'SW82:2' at (162083750, 213995000) with pad 'D82:2' at (164623750, 221675000) using coordinate system rotated by 0 degree(s)
13:30:08: [INFO] Adding track segment (B.Cu): [(162083750, 213995000), (162083750, 219135000)]
