=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBGDDwsJp4cAmJM9LcBDHHQ7O8gHQDsOO6CjwBjWNgDEAQ3ETwmZvQDMXTux5NiQnEjrYA7kLLTa9Mgu71wAXQwAoMFCHIqNHaVT6y+FQKHhh-X36k0eIx8JHA4yADs1NhBwTGGHk5hLoFy5lY2gvDeEpKOakhR+rL0ACweWSJ+-q6mIWrqVLUMFV5iuaJM4EkUTTRuOLLp1hA9lNHgpfQRHqHk4-nORTQlOCjG7Hi8cBCV3tW+AdirAGwbW7N2C9h77bldY8vH9OuKHEHDNnOFKDQAnlc+tgpjgAByfCAAJzmNEhANINFCyF+2HhcAAtHgbm0DoJ9MoLCNwNC1KVULC0VNsKFMRp-kJMcV6IxCTYSaQUJQKUIUbZ4OjevT+ZFebcOp19FMqBDibpydh2XAKLJeXChFS+RjkFjwGjMTRbrijuBVjLFRQNWr4G5qVcVUKMTh9HgyGa0SVbfBkPbUQynf0MK7WVDQhbVWidUiNLy9f6ZCyMlCebDQ0hQeH1YirhrY0yg4niWjOQ5PVqkDrY3Tsdk7nltAUJiCAJxm1NN7nWrNetMxv0GnEHY14IbBwtCD2a5Dph2MgMjgvmpBNjMI0vI3v8uMGfNEyFCCLy4mhWRIH1j+AaqPt32bpnz3fHpCW91d5Jn3MB8qjxUn0orpWvuoE4fvEX4Lo+-6RgUmi6n6+IYPebJqDBP5ICcHZwMWvJRicG6OlW3TjpKgYIBsbgEKOOF4fYvI9MRZCkW87ADK0NbisaUo4GRpjfo+04KpSgFPjOOqGoOTLlCsGAoK245LhhE7fPxsG3gGMm8XJy4YTamrqKCInOtJskXhhUHOHhs4yJJMjqQufooXM6haaW6InjpIEGCcXR0DMGmkDpVoAS5J4WVueBeakvngWoFAIP+ikMiecUGQGEXYG4UUPjF5YYZeiVoSlzxpSaGCZWyczKv+WGvq5PYiQRSSyPR8hMSUFEFjSJ7KWiNH9mxHQcYGRitXUOyeDWRqLEqzUbKa34MgeqoVU+kE1eoESFQY4LfmiOk0k5oWGdt0X+ag8VrWdm1uMdWWnehAmZi5FAVnBUk3Uh-JLWoE6BWZ+ElipjrwS2O26Bdh2pCDJ1hEl50ueoyU3kDAZQ7dMM5Q9JnwwVSOWSVqNskW1yarS92A7SMFigNU3qI2gZgbuDIUF9pC-qtLmRCJfVVOJNAsO1u67TVyDOeTYX0AL5XfTj55wHlm4Y2LTLhMZ6O4QpwtoRD6US+YZhAA
13:35:10: [INFO] Add D37 footprint
13:35:10: [INFO] Add SW38 footprint
13:35:10: [INFO] Add D38 footprint
13:35:10: [INFO] Add SW39 footprint
13:35:10: [INFO] Add D39 footprint
13:35:10: [INFO] Add SW40 footprint
13:35:10: [INFO] Add D40 footprint
13:35:10: [INFO] Add SW41 footprint
13:35:10: [INFO] Add D41 footprint
13:35:10: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:10: [INFO] Add ST41 footprint
13:35:10: [INFO] Add SW42 footprint
13:35:10: [INFO] Add D42 footprint
13:35:10: [INFO] Add SW43 footprint
13:35:10: [INFO] Add D43 footprint
13:35:10: [INFO] Add SW44 footprint
13:35:10: [INFO] Add D44 footprint
13:35:10: [INFO] Add SW45 footprint
13:35:10: [INFO] Add D45 footprint
13:35:10: [INFO] Add SW46 footprint
13:35:10: [INFO] Add D46 footprint
13:35:10: [INFO] Add SW47 footprint
13:35:10: [INFO] Add D47 footprint
13:35:10: [INFO] Add SW48 footprint
13:35:10: [INFO] Add D48 footprint
13:35:10: [INFO] Add SW49 footprint
13:35:10: [INFO] Add D49 footprint
13:35:10: [INFO] Add SW50 footprint
13:35:10: [INFO] Add D50 footprint
13:35:10: [INFO] Add SW51 footprint
13:35:10: [INFO] Add D51 footprint
13:35:10: [INFO] Add SW52 footprint
13:35:10: [INFO] Add D52 footprint
13:35:10: [INFO] Add SW53 footprint
13:35:10: [INFO] Add D53 footprint
13:35:10: [INFO] Add SW54 footprint
13:35:10: [INFO] Add D54 footprint
13:35:10: [INFO] Add SW54a footprint
13:35:10: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:35:10: [INFO] Add ST54a footprint
13:35:10: [INFO] Add SW55 footprint
13:35:10: [INFO] Add D55 footprint
13:35:11: [INFO] Add SW56 footprint
13:35:11: [INFO] Add D56 footprint
13:35:11: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:11: [INFO] Add ST56 footprint
13:35:11: [INFO] Add SW57 footprint
13:35:11: [INFO] Add D57 footprint
13:35:11: [INFO] Add SW58 footprint
13:35:11: [INFO] Add D58 footprint
13:35:11: [INFO] Add SW59 footprint
13:35:11: [INFO] Add D59 footprint
13:35:11: [INFO] Add ST59 footprint
13:35:11: [INFO] Add SW59a footprint
13:35:11: [INFO] Add ST59a footprint
13:35:11: [INFO] Add SW60 footprint
13:35:11: [INFO] Add D60 footprint
13:35:11: [INFO] Add SW61 footprint
13:35:11: [INFO] Add D61 footprint
13:35:11: [INFO] Add SW62 footprint
13:35:11: [INFO] Add D62 footprint
13:35:11: [INFO] Add ST62 footprint
13:35:11: [INFO] Add SW62a footprint
13:35:11: [INFO] Add ST62a footprint
13:35:11: [INFO] Add SW63 footprint
13:35:11: [INFO] Add D63 footprint
13:35:11: [INFO] Add SW64 footprint
13:35:11: [INFO] Add D64 footprint
13:35:11: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:11: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:11: [INFO] Layout offset: (38100000, 28575000)
13:35:11: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:11: [INFO] Placing additional elements for SW64
13:35:11: [INFO] Placing additional elements for SW63
13:35:11: [INFO] Placing additional elements for SW62a
13:35:11: [INFO] Placing additional elements for SW62
13:35:11: [INFO] Placing additional elements for SW61
13:35:11: [INFO] Placing additional elements for SW60
13:35:11: [INFO] Placing additional elements for SW59a
13:35:11: [INFO] Placing additional elements for SW59
13:35:11: [INFO] Placing additional elements for SW58
13:35:11: [INFO] Placing additional elements for SW57
13:35:11: [INFO] Placing additional elements for SW56
13:35:11: [INFO] Placing additional elements for SW55
13:35:11: [INFO] Placing additional elements for SW54a
13:35:11: [INFO] Placing additional elements for SW54
13:35:11: [INFO] Placing additional elements for SW53
13:35:11: [INFO] Placing additional elements for SW52
13:35:11: [INFO] Placing additional elements for SW51
13:35:11: [INFO] Placing additional elements for SW50
13:35:11: [INFO] Placing additional elements for SW49
13:35:11: [INFO] Placing additional elements for SW48
13:35:11: [INFO] Placing additional elements for SW47
13:35:11: [INFO] Placing additional elements for SW46
13:35:11: [INFO] Placing additional elements for SW45
13:35:11: [INFO] Placing additional elements for SW44
13:35:11: [INFO] Placing additional elements for SW43
13:35:11: [INFO] Placing additional elements for SW42
13:35:11: [INFO] Placing additional elements for SW41
13:35:11: [INFO] Placing additional elements for SW40
13:35:11: [INFO] Placing additional elements for SW39
13:35:11: [INFO] Placing additional elements for SW38
13:35:11: [INFO] Placing additional elements for SW37
13:35:11: [INFO] Placing additional elements for SW36
13:35:11: [INFO] Placing additional elements for SW35
13:35:11: [INFO] Placing additional elements for SW34
13:35:11: [INFO] Placing additional elements for SW33
13:35:11: [INFO] Placing additional elements for SW32
13:35:11: [INFO] Placing additional elements for SW31
13:35:11: [INFO] Placing additional elements for SW30
13:35:11: [INFO] Placing additional elements for SW29
13:35:11: [INFO] Placing additional elements for SW28
13:35:11: [INFO] Placing additional elements for SW27
13:35:11: [INFO] Placing additional elements for SW26
13:35:11: [INFO] Placing additional elements for SW25
13:35:11: [INFO] Placing additional elements for SW24
13:35:11: [INFO] Placing additional elements for SW23
13:35:11: [INFO] Placing additional elements for SW22
13:35:11: [INFO] Placing additional elements for SW21
13:35:11: [INFO] Placing additional elements for SW20
13:35:11: [INFO] Placing additional elements for SW19
13:35:11: [INFO] Placing additional elements for SW18
13:35:11: [INFO] Placing additional elements for SW17
13:35:11: [INFO] Placing additional elements for SW16
13:35:11: [INFO] Placing additional elements for SW15
13:35:11: [INFO] Placing additional elements for SW14
13:35:11: [INFO] Placing additional elements for SW13a
13:35:11: [INFO] Placing additional elements for SW13
13:35:11: [INFO] Placing additional elements for SW12
13:35:11: [INFO] Placing additional elements for SW11
13:35:11: [INFO] Placing additional elements for SW10
13:35:11: [INFO] Placing additional elements for SW9
13:35:11: [INFO] Placing additional elements for SW8
13:35:11: [INFO] Placing additional elements for SW7
13:35:11: [INFO] Placing additional elements for SW6
13:35:11: [INFO] Placing additional elements for SW5
13:35:11: [INFO] Placing additional elements for SW4
13:35:11: [INFO] Placing additional elements for SW3
13:35:11: [INFO] Placing additional elements for SW2
13:35:11: [INFO] Placing additional elements for SW1
13:35:11: [INFO] Routing SW64 with D64
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW64:2' at (297815000, 113982500) with pad 'D64:2' at (300355000, 121662500) using coordinate system rotated by 0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(297815000, 113982500), (297815000, 119122500)]
13:35:11: [INFO] Adding track segment (B.Cu): [(297815000, 119122500), (300355000, 121662500)]
13:35:11: [INFO] Routing SW63 with D63
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW63:2' at (272781542, 115227970) with pad 'D63:2' at (275981233, 122657369) using coordinate system rotated by 355.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(272781542, 115227970), (273229521, 120348410)]
13:35:11: [INFO] Adding track segment (B.Cu): [(273229521, 120348410), (275981233, 122657369)]
13:35:11: [INFO] Routing SW62a with D62
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW62a:2' at (238625693, 119883112) with pad 'D62:2' at (233080429, 128659368) using coordinate system rotated by 350.0 degree(s)
13:35:11: [INFO] Routing SW62 with D62
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW62:2' at (229245399, 121537111) with pad 'D62:2' at (233080429, 128659368) using coordinate system rotated by 350.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(229245399, 121537111), (230137950, 126599021)]
13:35:11: [INFO] Adding track segment (B.Cu): [(230137950, 126599021), (233080429, 128659368)]
13:35:11: [INFO] Routing SW61 with D61
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW61:2' at (210484811, 124845109) with pad 'D61:2' at (214319841, 131967366) using coordinate system rotated by 350.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(210484811, 124845109), (211377362, 129907020)]
13:35:11: [INFO] Adding track segment (B.Cu): [(211377362, 129907020), (214319841, 131967366)]
13:35:11: [INFO] Routing SW60 with D60
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW60:2' at (170813394, 125065642) with pad 'D60:2' at (171981187, 133070031) using coordinate system rotated by 10.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(170813394, 125065642), (169920841, 130127553)]
13:35:11: [INFO] Adding track segment (B.Cu): [(169920841, 130127553), (171981187, 133070031)]
13:35:11: [INFO] Routing SW59a with D59
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW59a:2' at (142672513, 120103645) with pad 'D59:2' at (153220599, 129762033) using coordinate system rotated by 10.0 degree(s)
13:35:11: [INFO] Routing SW59 with D59
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW59:2' at (152052806, 121757644) with pad 'D59:2' at (153220599, 129762033) using coordinate system rotated by 10.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(152052806, 121757644), (151160254, 126819555)]
13:35:11: [INFO] Adding track segment (B.Cu): [(151160254, 126819555), (153220599, 129762033)]
13:35:11: [INFO] Routing SW58 with D58
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW58:2' at (108531125, 115338658) with pad 'D58:2' at (110392103, 123210807) using coordinate system rotated by 5.0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(108531125, 115338658), (108083144, 120459095)]
13:35:11: [INFO] Adding track segment (B.Cu): [(108083144, 120459095), (110392103, 123210807)]
13:35:11: [INFO] Routing SW57 with D57
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW57:2' at (83502500, 113982500) with pad 'D57:2' at (86042500, 121662500) using coordinate system rotated by 0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(83502500, 113982500), (83502500, 119122500)]
13:35:11: [INFO] Adding track segment (B.Cu): [(83502500, 119122500), (86042500, 121662500)]
13:35:11: [INFO] Routing SW56 with D56
13:35:11: [INFO] Using internal autorouter method
13:35:11: [INFO] Routing pad 'SW56:2' at (62071250, 90170000) with pad 'D56:2' at (64611250, 97850000) using coordinate system rotated by 0 degree(s)
13:35:11: [INFO] Adding track segment (B.Cu): [(62071250, 90170000), (62071250, 95310000)]
13:35:11: [INFO] Adding track segment (B.Cu): [(62071250, 95310000), (64611250, 97850000)]
13:35:11: [INFO] Routing SW55 with D55
13:35:11: [INFO] Using internal autorouter method
