=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:45: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBPWikAmTbAY33AGIUbbwBfLcTARgBZwsJp5kTxy8KqRGiGTBBgSdskljO74AHKjSNZGFtImb5XKPmQsAzE0HZKAQ2s3xGloRng5xhQd5IlKJgGcAthQATgD2AC4A+gCmpCzy6s6abAA6AHap6WmZGamR0gC6GABQYO5whEx4HsRmFJSiYr4BQnbgLFJObXpwivAAnERqTJ3a2J1drZqO+uZUNrZMAO74hPGdyVkpkiM9BPwzdfXk8eXsbjwE6Kuaxtmbmh2Jt3LgBcU7LAM1QlZzlk5L8A+g2w5W2AlqhyOTBOZ3w-Uu0M0I3AJ3GJym3XAALgQOO11ubTB5z48VMJlhgNUXwstDoi3wH2q2AAFstFo5KfxmRycUxIDyALTIYikyYE+6vErEqlkWq-P70ykI7CmMH7SEtMkUnHC4HgMnIsldCD7Wk0f7LAaihziomGT6y74a60cfTnD4IPEmcXySUmuW-C3wQhWphsKS3UFudWHFrh42lLSqeLxtUBuZBsqh7Dxwi3VUvIpShkoJD8SpwIUy8HfM0oOPXQtvUp8Cr4KtMmsWeWZxl6zBg7F9+KsbVJ9CKnHZ5gYXpuIfT1j5IvvABsZbb8CrE8dNLNLVY41YGJn5L9Xdmgcnw7Djw2MNvCEj9zdDJDyvA8ZY+ZfmIXItvG0Ni1c9AgZcNsECc4IPAQIKxDfh3U3SsQ2Mbxd2EWN4kkVxzwrKslCUbCMAxd5qUvDNiI4c9zlMbB8OQLxiLQJti0BciDnqFo2lwldcHbRiiKGEixyuai+No5CCJQK4WJohkpN1PFeObBjPCEkERNfQE8XE5tJPogTPBkxE5IkhTDK3JSmFMFSSjUwjRVIxNRT0ti4Do-irOM0UzP0iyvMraycwwOyIAcjTPy0zF3RTDA3J2TyHJMkKWKYTA-Pc1tLKCpATA4ntr0XaKIH-ftQtYxLFOMjiNUnFZ0viyrYPbdgmCghljAdUoBRDSQct6pA0OIpRmvOAUuv6wKCKUArA2I+ttKnKaYy44i53krc2CQKbkrmyidFXMb2z62qsOE0bNsrSbqsc4TFpihkdquDbzK2nbbpSiYjquwbdqMgDNMut7ro+gbBLxB73mexFXv897-u8pjER+kG-uqwH9QwYH4dBxHcrulUMChxMYaJuH3IFbb8ek0VUdx9HwencMccpm6mcJqKSfdMmoopnYBTQMHpsYr7MCO296cpkNOzU-KMJ+DMisxzBWYFoWadFs6uPq5NGvrPI8iAA
13:38:47: [INFO] Add SW11 footprint
13:38:47: [INFO] Add D11 footprint
13:38:47: [INFO] Add SW12 footprint
13:38:47: [INFO] Add D12 footprint
13:38:47: [INFO] Add SW13 footprint
13:38:47: [INFO] Add D13 footprint
13:38:47: [INFO] Add SW14 footprint
13:38:47: [INFO] Add D14 footprint
13:38:47: [INFO] Add SW15 footprint
13:38:47: [INFO] Add D15 footprint
13:38:47: [INFO] Add SW16 footprint
13:38:47: [INFO] Add D16 footprint
13:38:47: [INFO] Add SW17 footprint
13:38:47: [INFO] Add D17 footprint
13:38:47: [INFO] Add SW18 footprint
13:38:47: [INFO] Add D18 footprint
13:38:47: [INFO] Add SW19 footprint
13:38:47: [INFO] Add D19 footprint
13:38:47: [INFO] Add SW20 footprint
13:38:47: [INFO] Add D20 footprint
13:38:47: [INFO] Add SW21 footprint
13:38:47: [INFO] Add D21 footprint
13:38:47: [INFO] Add SW22 footprint
13:38:47: [INFO] Add D22 footprint
13:38:47: [INFO] Add SW23 footprint
13:38:47: [INFO] Add D23 footprint
13:38:47: [INFO] Add SW24 footprint
13:38:47: [INFO] Add D24 footprint
13:38:47: [INFO] Add SW25 footprint
13:38:47: [INFO] Add D25 footprint
13:38:47: [INFO] Add SW26 footprint
13:38:47: [INFO] Add D26 footprint
13:38:47: [INFO] Add SW27 footprint
13:38:47: [INFO] Add D27 footprint
13:38:47: [INFO] Add SW28 footprint
13:38:48: [INFO] Add D28 footprint
13:38:48: [INFO] Add SW29 footprint
13:38:48: [INFO] Add D29 footprint
13:38:48: [INFO] Add SW30 footprint
13:38:48: [INFO] Add D30 footprint
13:38:48: [INFO] Add ST30 footprint
13:38:48: [INFO] Add SW30a footprint
13:38:48: [INFO] Add SW31 footprint
13:38:48: [INFO] Add D31 footprint
13:38:48: [INFO] Add SW32 footprint
13:38:48: [INFO] Add D32 footprint
13:38:48: [INFO] Add SW33 footprint
13:38:48: [INFO] Add D33 footprint
13:38:48: [INFO] Add SW34 footprint
13:38:48: [INFO] Add D34 footprint
13:38:48: [INFO] Add SW35 footprint
13:38:48: [INFO] Add D35 footprint
13:38:48: [INFO] Add SW36 footprint
13:38:48: [INFO] Add D36 footprint
13:38:48: [INFO] Add SW37 footprint
13:38:48: [INFO] Add D37 footprint
13:38:48: [INFO] Add SW38 footprint
13:38:48: [INFO] Add D38 footprint
13:38:48: [INFO] Add SW39 footprint
13:38:48: [INFO] Add D39 footprint
13:38:48: [INFO] Add SW40 footprint
13:38:48: [INFO] Add D40 footprint
