=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGLAOgHbfds28eQwZRaY4EAB4EWAOgBMAVmZ4C4RszadhXLeIjR4SAIamzGhDXb6oaxJAeOLrDPWZW3CNvPHgrPzQwAZl8rEMCAFlCMKMDFaPjAgDZBbisxdwwUnXSbQwREM3NmAHcCeSYvDGRUrnlrLCkZBWUEMvgK5NqPPLtHJ0qXGp16zz9q2tHwAF0MACgwcGl4GllkVtsjQqLjX3a4VcVBoIaJTYL+h2cp5hOx+oCEE8fwevCn4N962I+f14xEh9Af9soIThkPqChODelsdrtSgRDoN6sMwacmvA5OtEStZEdmPUodw7rCLpdnCdiVxSYSJjpSbMFpiDvjmPkTDs9ki1gSEMoIQY+hTBhFXL5lGMxS9lC8xe9wMoFWK-so-mLgcpgWLqWLBedOUVuR0WoNlLqMUseWw2uVTcwdbUxZ4hVtLtAzVkneKmYtlgd2XZ4ca4PJ7QhkJaOfYRcwkuLmJGxvGXpGXvGFZGFfG-pG-vHgZHAa6CsHcaz1oN49SBWSkGh0FX6YJa40DdsjYNI2ihPH9f65Bt9mHK3GvTpJXWUA3kL5VEYSBRqHRnN3avGBDpapR6L6WVYENGyzh8EYQ6slIMABzsWqR-X7C988AATktj-D4BvLvb7pDSU-G8glqG99SPLlrwBWo3whV8oJ0GDfBvalELbaMZ1nQY3ySJDql8N9Zz3K0VhUU8iDIKhaDGD9L2YUC71cWpt0eFkww2cCjVItRz0-N95BAhMzmjP9yzDWiECAgSf2HXksJiKSp2PcAaOfG9FGgwSIBUuT1IQzTfwpctB2YAATAhSEIABXShBg03d5j9AgIl5UTZOYPiBJY9slO0ujgk8qcRNtE1xLgiIArQoMuXLJ9IN0wQ+MCwzgrgbENjM+ALOs2y9K8jjzEglCMB8Ij-WcnFD2FfoQxHZ8PJ0ICpwwucyPARdKJXGLAP8hqeqYoRKDyqqnC4s9XNCt9wt694S0NAq-PioQ3wVN9Fu4ZampnFq1Ha5d6EKjTgK3HQdxmaYgA
13:31:22: [INFO] Add SW18 footprint
13:31:22: [INFO] Add D18 footprint
13:31:22: [INFO] Add SW19 footprint
13:31:22: [INFO] Add D19 footprint
13:31:22: [INFO] Add SW20 footprint
13:31:22: [INFO] Add D20 footprint
13:31:22: [INFO] Add SW21 footprint
13:31:22: [INFO] Add D21 footprint
13:31:22: [INFO] Add SW22 footprint
13:31:22: [INFO] Add D22 footprint
13:31:22: [INFO] Add SW22a footprint
13:31:22: [INFO] Add SW23 footprint
13:31:22: [INFO] Add D23 footprint
13:31:22: [INFO] Add SW23a footprint
13:31:22: [INFO] Add SW24 footprint
13:31:23: [INFO] Add D24 footprint
13:31:23: [INFO] Add SW25 footprint
13:31:23: [INFO] Add D25 footprint
13:31:23: [INFO] Add SW26 footprint
13:31:23: [INFO] Add D26 footprint
13:31:23: [INFO] Add SW27 footprint
13:31:23: [INFO] Add D27 footprint
13:31:23: [INFO] Add SW28 footprint
13:31:23: [INFO] Add D28 footprint
13:31:23: [INFO] Add SW29 footprint
13:31:23: [INFO] Add D29 footprint
13:31:23: [INFO] Add SW30 footprint
13:31:23: [INFO] Add D30 footprint
13:31:23: [INFO] Add SW30a footprint
13:31:23: [INFO] Add SW31 footprint
13:31:23: [INFO] Add D31 footprint
13:31:23: [INFO] Add SW32 footprint
13:31:23: [INFO] Add D32 footprint
13:31:23: [INFO] Add SW33 footprint
13:31:23: [INFO] Add D33 footprint
13:31:23: [INFO] Add SW34 footprint
13:31:23: [INFO] Add D34 footprint
13:31:23: [INFO] Add SW35 footprint
13:31:23: [INFO] Add D35 footprint
13:31:23: [INFO] Add SW36 footprint
13:31:23: [INFO] Add D36 footprint
13:31:23: [INFO] Add SW36a footprint
13:31:23: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:23: [INFO] Add ST36a footprint
13:31:23: [INFO] Add SW37 footprint
13:31:23: [INFO] Add D37 footprint
13:31:23: [INFO] Add SW38 footprint
13:31:23: [INFO] Add D38 footprint
13:31:23: [INFO] Add SW39 footprint
13:31:23: [INFO] Add D39 footprint
13:31:23: [INFO] Add SW40 footprint
13:31:23: [INFO] Add D40 footprint
