=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:02: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4CetFIMwAcG4AxruAMQDstd4AviQIxoLgYTTwBMSP6TOXhVSY8YxII0PDnC65CSaiiaZ0sgLpoAUGCi5mywdlwBaZIWJCKlAIYPHkzNPacyt8RLXhpzOQrwzMgqPuj+7sKY9o4OcuAA7rg8YWjUADoAdllZrgEGQfyqJOgIOdmZfvHoGRW5aP7aeoF4AiQ48BZIzDwkUVR09D69bvIFcD1I0jYilF5izuAAbDLgTfrcE6jt5pbWHrOxcSRJhcWYrBFj-XPzi6yy7pvBRT4rV8ts+adb55-Ua10+g6cC6PT6tkGtEW+C+6xaRjamBBXSsEMOR3iPyMoRIvSuEBu83Iw1WT1wAE5jD5qGTMLSCQdolCASdkq8SLSAfDxqwZtEjnYseyBD5YYyiXcxXSWlTRSRiI9MMQJbZBcLeNSFWlyllWKMWsgTNitcq2LrMpd4sRauUrTznmyzj4ACwNfLPfDbTAmv4UuFAiAAJ0MvUwQc2LuMJCDIKMJhRRmmTNEUqkaHw8WkLqzaBQuaWgOa4y6f1YmZYaBzlfzlcLDt2HMwvQrzar8V6tbb9cD42Q8swsNb4Fh1cHefisJ7xee3sSIr+bq7hLVmNdaGnwMbaJ9hlQ68zPJDnXB4eebvDcaKJE2ZijCfMSfR0WJi3QhZKE8-Y-A6EPvdvP4Vg-TAVi7T4fxWf8Z3MKNcXpDd4lpcDaR-WloI2cwUCbcBiBA3CvzNH9iAwlozGwpF501eDwH9fMG06PgH06SxaX5Kh1SdX4fH9Q9NCAA
13:36:05: [INFO] Add SW25 footprint
13:36:05: [INFO] Add D25 footprint
13:36:05: [INFO] Add SW26 footprint
13:36:05: [INFO] Add D26 footprint
13:36:05: [INFO] Add SW27 footprint
13:36:05: [INFO] Add D27 footprint
13:36:05: [INFO] Add SW28 footprint
13:36:05: [INFO] Add D28 footprint
13:36:05: [INFO] Add SW29 footprint
13:36:05: [INFO] Add D29 footprint
13:36:05: [INFO] Add SW30 footprint
13:36:05: [INFO] Add D30 footprint
13:36:05: [INFO] Add SW31 footprint
13:36:05: [INFO] Add D31 footprint
13:36:05: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:05: [INFO] Add ST31 footprint
13:36:05: [INFO] Add SW32 footprint
13:36:05: [INFO] Add D32 footprint
13:36:05: [INFO] Add SW33 footprint
13:36:05: [INFO] Add D33 footprint
13:36:05: [INFO] Add SW34 footprint
13:36:05: [INFO] Add D34 footprint
13:36:05: [INFO] Add SW35 footprint
13:36:05: [INFO] Add D35 footprint
13:36:05: [INFO] Add SW36 footprint
13:36:05: [INFO] Add D36 footprint
13:36:05: [INFO] Add SW37 footprint
13:36:05: [INFO] Add D37 footprint
13:36:05: [INFO] Add SW38 footprint
13:36:05: [INFO] Add D38 footprint
13:36:05: [INFO] Add SW39 footprint
13:36:05: [INFO] Add D39 footprint
13:36:05: [INFO] Add SW40 footprint
13:36:05: [INFO] Add D40 footprint
13:36:05: [INFO] Add ST40 footprint
13:36:06: [INFO] Add SW40a footprint
13:36:06: [INFO] Add SW41 footprint
13:36:06: [INFO] Add D41 footprint
13:36:06: [INFO] Add SW42 footprint
13:36:06: [INFO] Add D42 footprint
13:36:06: [INFO] Add SW43 footprint
13:36:06: [INFO] Add D43 footprint
13:36:06: [INFO] Add SW44 footprint
13:36:06: [INFO] Add D44 footprint
13:36:06: [INFO] Add SW45 footprint
13:36:06: [INFO] Add D45 footprint
13:36:06: [INFO] Add SW46 footprint
13:36:06: [INFO] Add D46 footprint
13:36:06: [INFO] Add SW47 footprint
13:36:06: [INFO] Add D47 footprint
13:36:06: [INFO] Add SW48 footprint
13:36:06: [INFO] Add D48 footprint
13:36:06: [INFO] Add SW49 footprint
13:36:06: [INFO] Add D49 footprint
13:36:06: [INFO] Add SW50 footprint
13:36:06: [INFO] Add D50 footprint
13:36:06: [INFO] Add SW51 footprint
13:36:06: [INFO] Add D51 footprint
13:36:06: [INFO] Add SW52 footprint
13:36:06: [INFO] Add D52 footprint
13:36:06: [INFO] Add SW53 footprint
13:36:06: [INFO] Add D53 footprint
13:36:06: [INFO] Add SW54 footprint
13:36:06: [INFO] Add D54 footprint
13:36:06: [INFO] Add SW55 footprint
13:36:06: [INFO] Add D55 footprint
13:36:06: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:06: [INFO] Add ST55 footprint
13:36:06: [INFO] Add SW56 footprint
13:36:06: [INFO] Add D56 footprint
13:36:06: [INFO] Add SW57 footprint
13:36:06: [INFO] Add D57 footprint
13:36:07: [INFO] Add SW58 footprint
13:36:07: [INFO] Add D58 footprint
13:36:07: [INFO] Add SW59 footprint
13:36:07: [INFO] Add D59 footprint
13:36:07: [INFO] Add SW60 footprint
13:36:07: [INFO] Add D60 footprint
13:36:07: [INFO] Add SW61 footprint
13:36:07: [INFO] Add D61 footprint
13:36:07: [INFO] Add SW62 footprint
13:36:07: [INFO] Add D62 footprint
13:36:07: [INFO] Add SW63 footprint
13:36:07: [INFO] Add D63 footprint
13:36:07: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:07: [INFO] Add ST63 footprint
13:36:07: [INFO] Add SW63a footprint
13:36:07: [INFO] Add SW64 footprint
13:36:07: [INFO] Add D64 footprint
13:36:07: [INFO] Add SW65 footprint
13:36:07: [INFO] Add D65 footprint
13:36:07: [INFO] Add SW66 footprint
13:36:07: [INFO] Add D66 footprint
