=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:39: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAgzgW1ggE4D2ALgPoCmkAjDeAL5bgAMGAbADoB2PPbAJj68Rwyi0xwIeAuEbM2XUdzb0FGAOzCeNDGqngZ8cCQrU68hGy3LdQ5du6V9EAB4EWAOgEBWZkYRJcAB3AhpPHyYrDAksCGhjREhklMtWPSDBTIwAZmyAFmyfbKVhNljom2FdCvSADmyATmyaWtUaRxyYlvthLor42RQ0VCDQ+HDI9Roczu648Hd4Lw0-BHG4Saj0ujn9Hd6RLv3VWeVjyTcPT1XmDa3pjvOMAR6514WEhEQNX7+ggImMhUWj0band6ORzOcAAXQwACgwFAhiNRttdKURIIocpKB8DICggALMIRDEcRyqS7gUkTcnMXRVES6FyGfDGUwgiwU5k6F64sR5BZLOBeXz+DmBO5kqYIGo0r5IFKpCn7OxBXTC+UYQqMjDFfVY-jzHV87gK-UNfXNfWtTV6J7CfKm8Csw48F0DFGJNHIMaytVnZ2mq7LG5rEKBu1OkQu9V6D3ceMOmaOFMi663dbRnW7ZQugluxPpl6KoZ-f6S2Rc8xgu3BuMChx4vLwpGDX1otICSnKHEtsR6gyigTbXvmuyCkSUQ0j64SnBSuQy+ly8C971KpIq6DjjLMXtF3vaje6oK9udn40qV0TxyWhC961PjC21-2w+Oxx+Wq9mhJr+5ZdiMAZrvuabKEBmbhtmUbgV++bCH4+z-oBB4fo2PAoTSoorJG9wMh+sbYWWnwVpWGgAsutagj2JZQc206UMOZ6QchTGDk4c5hmK3iRtuu7QNWxj0UhIh+NqnbfH6YGbERbHoae-5YdwklwoiyKiroCAAJ4EAAtF4kZ0vJ65dDe1ILKZDwIF0k4ZO2yL6fARkRCJRDAnWaQWVSnG4pQ7C4QQY7MPZD7+S2lBUTBfGLuyshybZ4D9MB3xCT5GEpWRdm5EEXSsV0V6+f2rrhbYZUYC+2Xvtln65eJPDsJVAGOM1W6ot2q5mdsxyqe1wWwQRuZ1SR3DNfsxxJhN+V6P1GG8fh3XJccY3NUWU1tTl0lIJRMVLjWXl0b1c1bUm0JUU5vH5PxzDbrJHkrjmCEIF6QTxo4dSuoWjiNN9uQPuUg1wAZ4RsM9fGRgAJgQpCEAArpQ2y-aGiyGcZzAw-AcOI8jyibu9uqOATzAuj4xP-TeJOvZoFO1C6dR04TjRM7FbkCUMGXdRjCBY3AONI8wjgaKj93dts8YsML-2NdwIv0wxwjyzShHrvGqnK+RiRcxDPPgHzAt40rC0+jJ4uk3oUvKCL+zxmNNtpbtlHUYdZjHRbrXW3o048NFjvDKBj1JQp6vS2ygm7nJesGwjgsINLBI7QH6AS5bCcqyNdvpx7SYi0Wode4npvKpH3PubzsOx0bIgi1JxfJ+iHtW8bdeq6nsu14Tnst-7e0u5yR08h7GsA1xvsddrpcHaJZdwTHuNC17w5Jw9EPhL47fNzX54e-bO80932+sQXxvL-XOv65XC-x17PH16v8E9bv0tXvGucGhnL3gCf293xHKpBHnnHcA0sgpazNoHNeIdvxezAQYbcfdHq0SHgfd+N4Lr+wfkSZa0D2LbyCldNG8AfARjuhRSs-dPJuxQd-b2ygvpjWhHA2hSY-qMLxMwl0qlWh0OYnA3ioNPDg3vl1ae0pdbl0vtjKui9hBsOBuzMhk8AGYyvsAimbINg5FTuTfGJstGp0Zno+ghDRTsFIQgMWkDH7JR+soP6RdRSKIrtI6+IC9GOMMmDVRrj1G2CyBbfIFMi7-1SN1UKNMqbbUfhE2h5ojyYPNjTFmHiNIdiIXADQFipH8xkTfYQJ5-YXw2LEl0QS9GtxCqnKJlT4ClKqhTNsmleJZLghsaOajq48F7GfDYGhqkU0KKYggrThrhmhp02RIhLyfzgNowJFNX59gKR-BYBiLYpJWcUYZ8BRllwmb4rp3Bez8MfvMmm5SVmnIQc7JBg96yRIpug1sRSp4JRnhDc5tDNnTI4GkrSIzskbHMRvC2UT9orySd8iml1mkZL2S43JbiKYviTsUqpCy9GopiQMrFiTQKGJRczIlOzMnZKAUc3s740VvJKanS5vzaouiidSnFFt4lvnxegHBoLkkU2aLCWEQA
13:31:43: [INFO] Add SW41c footprint
13:31:43: [INFO] Add SW42 footprint
13:31:43: [INFO] Add D42 footprint
13:31:43: [INFO] Add SW42a footprint
13:31:44: [INFO] Add SW42b footprint
13:31:44: [INFO] Add SW43 footprint
13:31:44: [INFO] Add D43 footprint
13:31:44: [INFO] Add SW44 footprint
13:31:44: [INFO] Add D44 footprint
13:31:44: [INFO] Add SW45 footprint
13:31:44: [INFO] Add D45 footprint
13:31:44: [INFO] Add SW46 footprint
13:31:44: [INFO] Add D46 footprint
13:31:44: [INFO] Add SW47 footprint
13:31:44: [INFO] Add D47 footprint
13:31:44: [INFO] Add SW48 footprint
13:31:44: [INFO] Add D48 footprint
13:31:44: [INFO] Add SW49 footprint
13:31:44: [INFO] Add D49 footprint
13:31:44: [INFO] Add SW49a footprint
13:31:44: [INFO] Add SW49b footprint
13:31:44: [INFO] Add SW50 footprint
13:31:44: [INFO] Add D50 footprint
13:31:44: [INFO] Add SW50a footprint
13:31:44: [INFO] Add SW50b footprint
13:31:44: [INFO] Add SW51 footprint
13:31:44: [INFO] Add D51 footprint
13:31:44: [INFO] Add SW52 footprint
13:31:44: [INFO] Add D52 footprint
13:31:44: [INFO] Add SW53 footprint
13:31:44: [INFO] Add D53 footprint
13:31:44: [INFO] Add SW54 footprint
13:31:44: [INFO] Add D54 footprint
13:31:44: [INFO] Add SW54a footprint
13:31:44: [INFO] Add SW55 footprint
13:31:44: [INFO] Add D55 footprint
13:31:44: [INFO] Add SW55a footprint
13:31:44: [INFO] Add SW56 footprint
13:31:44: [INFO] Add D56 footprint
13:31:44: [INFO] Add SW56a footprint
13:31:45: [INFO] Add SW56b footprint
13:31:45: [INFO] Add SW57 footprint
13:31:45: [INFO] Add D57 footprint
13:31:45: [INFO] Add SW58 footprint
13:31:45: [INFO] Add D58 footprint
13:31:45: [INFO] Add SW58a footprint
13:31:45: [INFO] Add SW59 footprint
13:31:45: [INFO] Add D59 footprint
13:31:45: [INFO] Add SW59a footprint
13:31:45: [INFO] Add SW59b footprint
13:31:45: [INFO] Add SW60 footprint
13:31:45: [INFO] Add D60 footprint
13:31:45: [INFO] Add SW60a footprint
13:31:45: [INFO] Add SW61 footprint
13:31:45: [INFO] Add D61 footprint
13:31:45: [INFO] Add SW61a footprint
13:31:45: [INFO] Add ST61a footprint
13:31:45: [INFO] Add SW62 footprint
13:31:45: [INFO] Add D62 footprint
13:31:45: [INFO] Add SW63 footprint
13:31:45: [INFO] Add D63 footprint
13:31:45: [INFO] Add SW63a footprint
13:31:45: [INFO] Add ST63a footprint
13:31:45: [INFO] Add SW63b footprint
13:31:45: [INFO] Add ST63b footprint
13:31:45: [INFO] Add SW63c footprint
13:31:45: [INFO] Add SW63d footprint
13:31:45: [INFO] Add ST63d footprint
13:31:45: [INFO] Add SW64 footprint
13:31:45: [INFO] Add D64 footprint
13:31:45: [INFO] Add SW64a footprint
13:31:45: [INFO] Add ST64a footprint
13:31:45: [INFO] Add SW65 footprint
13:31:45: [INFO] Add D65 footprint
13:31:45: [INFO] Add SW65a footprint
13:31:45: [INFO] Add ST65a footprint
13:31:45: [INFO] Add SW66 footprint
13:31:45: [INFO] Add D66 footprint
13:31:45: [INFO] Add SW66a footprint
13:31:45: [INFO] Add ST66a footprint
13:31:45: [INFO] Add SW66b footprint
13:31:45: [INFO] Add SW66c footprint
13:31:45: [INFO] Add SW67 footprint
13:31:45: [INFO] Add D67 footprint
13:31:46: [INFO] Add SW67a footprint
13:31:46: [INFO] Add SW68 footprint
13:31:46: [INFO] Add D68 footprint
13:31:46: [INFO] Add SW68a footprint
13:31:46: [INFO] Add SW68b footprint
13:31:46: [INFO] Add SW68c footprint
13:31:46: [INFO] Add SW69 footprint
13:31:46: [INFO] Add D69 footprint
13:31:46: [INFO] Add SW69a footprint
13:31:46: [INFO] Add SW69b footprint
13:31:46: [INFO] Add SW70 footprint
13:31:46: [INFO] Add D70 footprint
13:31:46: [INFO] Add SW70a footprint
13:31:46: [INFO] Add SW70b footprint
13:31:46: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:46: [INFO] Using key 1U distance: (19.05, 19.05) mm
