=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:29: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhAB6xy4B0ATAKw5TlKQuuYP4CMReW1P4fAGYepclTrZeAFgH5acrADZR4MvAm0pgrMkUAORQE5wAXSwAoMGvLJKyLQ066Bzw06wnzViAE9yALRUDgzQ8EgAhlHR7AjOhMSM4YisbNrO3B78HiIesh4KiWEIiNExDADu5JyUjnHKADoAds3N+ITe1lXwNXXg1AStLU3tqsXMqdDaA5xDbQQCA9RzIwsMA0Iro+tY0ltrCAO0+wlwEOOlZRGx-Y3D86diPTT0CBdo6NNYhp3nTJdlATdOA1SQMISDe5NeICCGzKEwor-SbQSrkITaCGbBEHP7JK7XTFYY44x7gYGgvoQpQrRFnGwaF6hf4fVA3CF6cHfWGeMyWazqOBKJkIfyM17k6oi8AAC3IAwQFX4zwlMuVIIYJHVQReXxpUK4fJ8SRKKKBUrBh0hQ0NO3hNqwmStywNjsWWGxDqdtz2ru9R323F+4DFFGlFwJ7OtwwyPPtMbdSOSZrR8AxXM9CadeJKkdTIN1XJJQ1jiQphYQ1Npbs64AhuGr2Xp5ctdcdjbGyMm5rTRMzzWcTZzkSuPYLrYhxYTTbb+pLfCNXQtVOjA49qhbK-ja9y9IuKcV8vsK-70PXSdzo-zlKJU53PLnCZEwc3RIbOPyzeXRO3Z8-w5Sbt83TSsPWrf8TRHQFb3Ah9YJfb8uXfedClA39nFQgCD0leBqGPPtq0wyCAXKQ9ngnYlCI3RDQMfNcFAQ8iV2QhMVESQUanwN4u1SMcQLbU9nDY+kOMoLjiLzMjxxXOizxUUxTCAA
13:42:32: [INFO] Add D33 footprint
13:42:32: [INFO] Add SW33a footprint
13:42:32: [INFO] Add SW34 footprint
13:42:32: [INFO] Add D34 footprint
13:42:32: [INFO] Add SW35 footprint
13:42:32: [INFO] Add D35 footprint
13:42:32: [INFO] Add SW36 footprint
13:42:32: [INFO] Add D36 footprint
13:42:32: [INFO] Detected layout convertible to matrix annotated keyboard
13:42:32: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:42:32: [INFO] Layout offset: (28575000, 28575000)
13:42:32: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:42:32: [INFO] Placing additional elements for SW36
13:42:32: [INFO] Placing additional elements for SW35
13:42:32: [INFO] Placing additional elements for SW34
13:42:32: [INFO] Placing additional elements for SW33a
13:42:32: [INFO] Placing additional elements for SW33
13:42:32: [INFO] Placing additional elements for SW32c
13:42:32: [INFO] Placing additional elements for SW32b
13:42:32: [INFO] Placing additional elements for SW32a
13:42:32: [INFO] Placing additional elements for SW32
13:42:32: [INFO] Placing additional elements for SW31d
13:42:32: [INFO] Placing additional elements for SW31c
13:42:32: [INFO] Placing additional elements for SW31b
13:42:32: [INFO] Placing additional elements for SW31a
13:42:32: [INFO] Placing additional elements for SW31
13:42:32: [INFO] Placing additional elements for SW30c
13:42:32: [INFO] Placing additional elements for SW30b
13:42:32: [INFO] Placing additional elements for SW30a
13:42:32: [INFO] Placing additional elements for SW30
13:42:32: [INFO] Placing additional elements for SW29a
13:42:32: [INFO] Placing additional elements for SW29
13:42:32: [INFO] Placing additional elements for SW28
13:42:32: [INFO] Placing additional elements for SW27a
13:42:32: [INFO] Placing additional elements for SW27
13:42:32: [INFO] Placing additional elements for SW26a
13:42:32: [INFO] Placing additional elements for SW26
13:42:32: [INFO] Placing additional elements for SW25a
13:42:32: [INFO] Placing additional elements for SW25
13:42:32: [INFO] Placing additional elements for SW24a
13:42:32: [INFO] Placing additional elements for SW24
13:42:32: [INFO] Placing additional elements for SW23a
13:42:32: [INFO] Placing additional elements for SW23
13:42:32: [INFO] Placing additional elements for SW22a
13:42:32: [INFO] Placing additional elements for SW22
13:42:32: [INFO] Placing additional elements for SW21a
13:42:32: [INFO] Placing additional elements for SW21
13:42:32: [INFO] Placing additional elements for SW20
13:42:32: [INFO] Placing additional elements for SW19
13:42:32: [INFO] Placing additional elements for SW18
13:42:32: [INFO] Placing additional elements for SW17
13:42:32: [INFO] Placing additional elements for SW16
13:42:32: [INFO] Placing additional elements for SW15
13:42:32: [INFO] Placing additional elements for SW14
13:42:32: [INFO] Placing additional elements for SW13
13:42:32: [INFO] Placing additional elements for SW12
13:42:32: [INFO] Placing additional elements for SW11
13:42:32: [INFO] Placing additional elements for SW10
13:42:32: [INFO] Placing additional elements for SW9
13:42:32: [INFO] Placing additional elements for SW8
13:42:32: [INFO] Placing additional elements for SW7
13:42:32: [INFO] Placing additional elements for SW6
13:42:32: [INFO] Placing additional elements for SW5
13:42:32: [INFO] Placing additional elements for SW4
13:42:32: [INFO] Placing additional elements for SW3
13:42:32: [INFO] Placing additional elements for SW2
13:42:32: [INFO] Placing additional elements for SW1
13:42:32: [INFO] Routing SW36 with D36
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW36:2' at (226377500, 94932500) with pad 'D36:2' at (228917500, 102612500) using coordinate system rotated by 0 degree(s)
13:42:32: [INFO] Adding track segment (B.Cu): [(226377500, 94932500), (226377500, 100072500)]
13:42:32: [INFO] Adding track segment (B.Cu): [(226377500, 100072500), (228917500, 102612500)]
13:42:32: [INFO] Routing SW35 with D35
13:42:32: [INFO] Using internal autorouter method
13:42:32: [INFO] Routing pad 'SW35:2' at (207327500, 94932500) with pad 'D35:2' at (209867500, 102612500) using coordinate system rotated by 0 degree(s)
