=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3BjggCwA6AdhRQAxHh4FEZWXm0LgC6OAUGOAE9YcaigBMhfAGNh4AMRpFS8Lny1q9OBGjxRk8DPjypJ0yobtN4WmKu0AzHZzEnGJ0idpN24WPHYGQgAOK0IATlCiDUCiDhiEW3jHPAhDfDkAQyzsqwB3X1VGEhYaHA1uPlTZOVMzQoQy7yhhPQY0+Wychnz4BBQA-Aa4rQNq2pNzQZxEqeSplwYGt0WcDxTm+D9MQqQcLwZdkIOcCOOEaPxdhGHwK5nbojmIHsR+naIyVgoG8t5gcDEjXWOhE-Ta1U6WTywj62wYgOGVSMNXGkwB0ysgLm6IW+EByzxqyaIK2A3AaD2VgpR3wFNOtKiVNiTISTXaCiUimhm38hQpxS+5B+XD+SPS4xkhXsQJGINa0ghkO5cD8EilRBKQplYuMqPV2OluPA0oJxqJDGl+1lvl5DCCOBp4Ht9KdjLtzPdrPW7MhGWVqrJ9oQ9k1gIuOpRtTRQbcFX4IL6+h9Su6MNt+GI2vALz6aoYmcRG1eSbGevzq010vD2ZteYze0rWZJ-lTPLh+DCDs1merzZLyN9ysThU7wdDWZzbwYo+YgrDIsqRYwYPwQl0K9GyIlQ-QZMzSEbhcne4bgulhebElbr3b4E7QW7dGnJ0fF9r-fSg+vucDj3HhfZbdCiDT4WARBd4xhVA6zvP85yfDsPn-KwZ2QuMfF6e1VxaXdwWRTkuW-Ft8AAC18bpbF6DcSMoxAGEgWiAFpRBg-lZxYIYIIwxAKQVLcywZMdBU49Ci0TPDPxTfBJxg89NU471SyjdUxHkuhOE4IA
13:29:50: [INFO] Add SW64 footprint
13:29:50: [INFO] Add D64 footprint
13:29:50: [INFO] Add SW65 footprint
13:29:50: [INFO] Add D65 footprint
13:29:50: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:50: [INFO] Add ST65 footprint
13:29:50: [INFO] Add SW65a footprint
13:29:50: [INFO] Add SW66 footprint
13:29:50: [INFO] Add D66 footprint
13:29:50: [INFO] Add SW67 footprint
13:29:50: [INFO] Add D67 footprint
13:29:50: [INFO] Add SW68 footprint
13:29:50: [INFO] Add D68 footprint
13:29:50: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:50: [INFO] Add ST68 footprint
13:29:50: [INFO] Add SW68a footprint
13:29:50: [INFO] Add SW69 footprint
13:29:50: [INFO] Add D69 footprint
13:29:50: [INFO] Add SW70 footprint
13:29:50: [INFO] Add D70 footprint
13:29:50: [INFO] Add SW70a footprint
13:29:51: [INFO] Add SW71 footprint
13:29:51: [INFO] Add D71 footprint
13:29:51: [INFO] Add SW72 footprint
13:29:51: [INFO] Add D72 footprint
13:29:51: [INFO] Add SW72a footprint
13:29:51: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:51: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:51: [INFO] Layout offset: (28575000, 23812500)
13:29:51: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:51: [INFO] Placing additional elements for SW72a
13:29:51: [INFO] Placing additional elements for SW72
13:29:51: [INFO] Placing additional elements for SW71
13:29:51: [INFO] Placing additional elements for SW70a
