=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2VdAVm3AF0UAoMKWOAJjXAE9GBaDAOmNaxNccfIwCMJTCgAsw0fFKTysvA3gTW5IdTry45dB3jceADkUCUpOWsRKrVWvSNwThC+iwZhUsTYJwYhpkKH6aKN469AEIrC5ukmIUqgH86ABsFFF6LIZcvGngSUIp4oky-owe4JkqIrbBNSjaTnoG7Plm1UnWpfDIrJnW2R3GBd0RPklh9QFBkpkzEADGjOAAxIRb2+ALkyMxcZ2ErKvwG8uXV7usLDh9cIUnOAeMuaOuBZIsJbNltxUHtUTnU9I0Ti1dLZ2vFeOZvg4HgN0Cdhq0Pm52md0JttlsbugWN5VNiLldLgTwCwlg1waEfCdIujDnkxnxJLF7n8iJJTFlmW8jmzCrFfmCOYDufpeZLxaw+ZDolUhZ8uhLelLeNJWABnAC2awATgB7AAuAH0AKbLIKU7WkAA6ADtna6Xe63c7LTSArxkeAAJxWT0e0Nuy1i2x+3UG86UvloqGwvhYtbrACGmazPn1RrNVptfglGBDWDEIZDluJ9VJ63JFJja0psR94kafJptaz2cb5xNFuttplJdD0wroctXL0nDE7VzceLpcmDzE-r5I7dSSZUJZGK+rG1rZ5rCDfle8HeycK2urcvQ2sjAWqQcf-3QQe39ENb3ehqfPFidBDRcaQeGkdoAAtxB4aptRedE-0YdIwNONN61WVgoPUGDJG1WQRm-YwmF-AJTB4TJ0ACGceCwdAu27dMfCwwIcJPfkoUQ+AAz4VgqLEGjMOg58KkoSggA
13:30:35: [INFO] Add ROW2 net
13:30:35: [INFO] Add ROW3 net
13:30:35: [INFO] Add ROW4 net
13:30:35: [INFO] Add ROW5 net
13:30:35: [INFO] Add ROW6 net
13:30:35: [INFO] Add ROW7 net
13:30:35: [INFO] Add ROW8 net
13:30:35: [INFO] Add ROW9 net
13:30:35: [INFO] Add SW1 footprint
13:30:35: [INFO] Add D1 footprint
13:30:35: [INFO] Add SW2 footprint
13:30:35: [INFO] Add D2 footprint
13:30:35: [INFO] Add SW3 footprint
13:30:35: [INFO] Add D3 footprint
13:30:35: [INFO] Add SW4 footprint
13:30:35: [INFO] Add D4 footprint
13:30:35: [INFO] Add SW5 footprint
13:30:35: [INFO] Add D5 footprint
13:30:35: [INFO] Add SW6 footprint
13:30:35: [INFO] Add D6 footprint
13:30:35: [INFO] Add SW7 footprint
13:30:35: [INFO] Add D7 footprint
13:30:35: [INFO] Add SW8 footprint
13:30:35: [INFO] Add D8 footprint
13:30:35: [INFO] Add SW9 footprint
13:30:35: [INFO] Add D9 footprint
13:30:35: [INFO] Add SW10 footprint
13:30:35: [INFO] Add D10 footprint
13:30:35: [INFO] Add SW11 footprint
13:30:35: [INFO] Add D11 footprint
13:30:35: [INFO] Add SW12 footprint
13:30:35: [INFO] Add D12 footprint
13:30:35: [INFO] Add SW13 footprint
13:30:36: [INFO] Add D13 footprint
13:30:36: [INFO] Add SW14 footprint
13:30:36: [INFO] Add D14 footprint
13:30:36: [INFO] Add SW15 footprint
13:30:36: [INFO] Add D15 footprint
13:30:36: [INFO] Add SW16 footprint
13:30:36: [INFO] Add D16 footprint
