=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:28: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwGNZYMQCGxJ4AvpuAMzoBsAOgHZNMAM6C4lATOgOwtmjdpwC66AFBgoebmkoBPPKxTcMWXPHD4+uveUrtWXOBGjwVaypoLY79g1gTpjhjifDPOb7ibPLVdRw8bRJSCid0XzcqD2dYtwAWPxkLQOsQ-HsHCM90ZLckOPQit1oU8zhLIJtQsMJHPPLMfzS1XOc+D3YADmK+8SlWuDkgpTaazOy7Rt5XLBp58F5vBfceKI8aaKxeBLX95fyt443StfOj5tNgrSJ6jwB3WVyaBiE2FwqA9soaLo2fT+6AGkmklW4vCw4zgAFpqhk7np9JRnvAEOksAALWSo3zo+TY-GISiQYnwwK5IyCJhecCDcGyQngGEUviTO71BqovAYpC5RJfFq3WzTRoYJaC1bgDDSwU7GWbSiCw4YQ6CgpYDCa8CCy4YS6C64QNGINC5DDvQTOebDBEaTJc8X8DyCoFakH0sHDbjOaF4ClWB13aa4KkuGmMOkMn3M1kqdmIghOnkE9m5WhCm61LJi3J8LPgTPSgvSzMKgsKzOHAuHTM6gs6zOXAvnCA55G6J5M35YAtWoQ2r1DVIjP0sgP2kV1MLdtP8yg9OiRlYeACcy4+jFXMYn8DZQVNGN74CXrEjNGlG-PW8v3wmqZGlMXEdvWfbUzzL6v6ywS4VG4KkuhwbocS46huOpLpcG5ttO9yzo+cjpi+A5MHM95mkG8Gdl0uRLqCI4QsyOYplgR7mpQCBGHEQ7ChRC5OCIKQ5qGc5wHwHTxCxjoPI+fIdOw1yeM4xrgAxgkusKlRTh2naNAgnRxL0tGeqIohAA
13:32:29: [INFO] Add SW10 footprint
13:32:29: [INFO] Add D10 footprint
13:32:29: [INFO] Add SW11 footprint
13:32:29: [INFO] Add D11 footprint
13:32:29: [INFO] Add SW12 footprint
13:32:30: [INFO] Add D12 footprint
13:32:30: [INFO] Add SW13 footprint
13:32:30: [INFO] Add D13 footprint
13:32:30: [INFO] Add SW14 footprint
13:32:30: [INFO] Add D14 footprint
13:32:30: [INFO] Add SW15 footprint
13:32:30: [INFO] Add D15 footprint
13:32:30: [INFO] Add SW16 footprint
13:32:30: [INFO] Add D16 footprint
13:32:30: [INFO] Add SW17 footprint
13:32:30: [INFO] Add D17 footprint
13:32:30: [INFO] Add SW18 footprint
13:32:30: [INFO] Add D18 footprint
13:32:30: [INFO] Add SW19 footprint
13:32:30: [INFO] Add D19 footprint
13:32:30: [INFO] Add SW20 footprint
13:32:30: [INFO] Add D20 footprint
13:32:30: [INFO] Add SW21 footprint
13:32:30: [INFO] Add D21 footprint
13:32:30: [INFO] Add SW22 footprint
13:32:30: [INFO] Add D22 footprint
13:32:30: [INFO] Add SW23 footprint
13:32:30: [INFO] Add D23 footprint
13:32:30: [INFO] Add SW24 footprint
13:32:30: [INFO] Add D24 footprint
13:32:30: [INFO] Add SW25 footprint
13:32:30: [INFO] Add D25 footprint
13:32:30: [INFO] Add SW26 footprint
13:32:30: [INFO] Add D26 footprint
13:32:30: [INFO] Add SW27 footprint
13:32:30: [INFO] Add D27 footprint
13:32:30: [INFO] Add SW28 footprint
13:32:30: [INFO] Add D28 footprint
13:32:30: [INFO] Add SW29 footprint
13:32:30: [INFO] Add D29 footprint
13:32:30: [INFO] Add SW30 footprint
13:32:31: [INFO] Add D30 footprint
13:32:31: [INFO] Add SW31 footprint
13:32:31: [INFO] Add D31 footprint
13:32:31: [INFO] Add SW32 footprint
13:32:31: [INFO] Add D32 footprint
13:32:31: [INFO] Add SW33 footprint
13:32:31: [INFO] Add D33 footprint
13:32:31: [INFO] Add ST33 footprint
13:32:31: [INFO] Add SW33a footprint
13:32:31: [INFO] Add SW34 footprint
13:32:31: [INFO] Add D34 footprint
13:32:31: [INFO] Add SW35 footprint
13:32:31: [INFO] Add D35 footprint
13:32:31: [INFO] Add SW36 footprint
13:32:31: [INFO] Add D36 footprint
13:32:31: [INFO] Add SW37 footprint
13:32:31: [INFO] Add D37 footprint
13:32:31: [INFO] Add SW38 footprint
13:32:31: [INFO] Add D38 footprint
13:32:31: [INFO] Add SW39 footprint
13:32:31: [INFO] Add D39 footprint
13:32:31: [INFO] Add SW40 footprint
13:32:31: [INFO] Add D40 footprint
13:32:31: [INFO] Add SW41 footprint
13:32:31: [INFO] Add D41 footprint
13:32:31: [INFO] Add SW42 footprint
13:32:31: [INFO] Add D42 footprint
13:32:31: [INFO] Add SW43 footprint
13:32:31: [INFO] Add D43 footprint
13:32:31: [INFO] Add SW44 footprint
13:32:31: [INFO] Add D44 footprint
13:32:31: [INFO] Add SW45 footprint
13:32:31: [INFO] Add D45 footprint
13:32:31: [INFO] Add SW46 footprint
13:32:31: [INFO] Add D46 footprint
13:32:31: [INFO] Add SW47 footprint
13:32:31: [INFO] Add D47 footprint
13:32:32: [INFO] Add SW48 footprint
13:32:32: [INFO] Add D48 footprint
13:32:32: [INFO] Add SW49 footprint
13:32:32: [INFO] Add D49 footprint
13:32:32: [INFO] Add SW50 footprint
13:32:32: [INFO] Add D50 footprint
13:32:32: [INFO] Add SW51 footprint
13:32:32: [INFO] Add D51 footprint
13:32:32: [INFO] Add SW52 footprint
13:32:32: [INFO] Add D52 footprint
13:32:32: [INFO] Add SW53 footprint
13:32:32: [INFO] Add D53 footprint
13:32:32: [INFO] Add SW54 footprint
13:32:32: [INFO] Add D54 footprint
13:32:32: [INFO] Add SW55 footprint
13:32:32: [INFO] Add D55 footprint
13:32:32: [INFO] Add SW56 footprint
13:32:32: [INFO] Add D56 footprint
13:32:32: [INFO] Add SW57 footprint
13:32:32: [INFO] Add D57 footprint
13:32:32: [INFO] Add SW58 footprint
13:32:32: [INFO] Add D58 footprint
