=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoCsAaO4Ces4EYBfDcABjQXAwmngHZUjMAWc8AXTQCgwpcAmVMRzwAtCSQAOWikak0fSnGq48SErLJNFy+CgbEWCqr3ir1BtFo7cdcPekzC4YydI1oU2k4n3M0edi4eGjhxB2xcFykZYjISAB0AOySkuMU5AOMQvFUYv08LADYU5MS8NBJAm29CwUdI8UK+PLli0qS+Cq9s33AWBPbE-qrg3GRwpxc3YnKKLNx6FvQKa1H4AQmG1xbyoyVvM1lyrXndXvQ920PidCsg23shLeijj26x8-8R2zCn0XEXjMKiVUl0gZl9tlcrJ0AVMOg2iVypVVrZapt-kgmjs0IjSggwZCVJ8BiV0Cj7t5xn9nOJpphOnMiXReoVWKjvBsaVF6eBOpcDmpZJ0Tsy7Kz5O9TELiGy7tUQo96pjAQy3qcfC02QEOSFfsradthcDBmliJ0IVdobL1Zg2Xiksjvt4WAaXHhmrICUy0b1aOzKXq6hEVdJiAATXAAFwATgBXACm7lJpTIloO1MwkfgscTshYDrKX11uH14GzcFzSaBKdB6eymfL0fj1fhuJBRZ1gdw6O54g94QAzgBbXDgGMAeyjAH0EwBjHLgdyFi0djsJyoa61+WtDfxrwYJhQl+BlyYAsOYEdj9IVqvG3dpqX4Rt3luye0d8pdhU94PnpAB2Ia94HHKdZwXAJXkLAk8APEoE3rYklhNMl90GdcVm7eBewNcRmmA0dQNvZs81idtBn5Z9cgjUjWz6VDSkMZ0Qlwpsc3fIEYMlLdgzfMi213C5nRjFRwhjEImGDGMnAATkA4gQhcDFnCkiQWgJY9KVE+AEDITAJNwPRXXHOSkAJTAlNUEzJj0EhwgAC2Qr1i20yI9OIQzTFUcpLNLJAbMiOzHOc4h-U8DkdOcPBxOyToDLM3zvGU7k1Jaf0rDYIA
13:35:23: [INFO] Add SW41 footprint
13:35:23: [INFO] Add D41 footprint
13:35:23: [INFO] Add SW42 footprint
13:35:23: [INFO] Add D42 footprint
13:35:23: [INFO] Add SW43 footprint
13:35:23: [INFO] Add D43 footprint
13:35:23: [INFO] Add SW44 footprint
13:35:23: [INFO] Add D44 footprint
13:35:23: [INFO] Add SW45 footprint
13:35:23: [INFO] Add D45 footprint
13:35:23: [INFO] Add SW46 footprint
13:35:23: [INFO] Add D46 footprint
13:35:23: [INFO] Detected layout convertible to matrix annotated keyboard
13:35:23: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:35:23: [INFO] Layout offset: (38100000, 28575000)
13:35:23: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:35:23: [INFO] Placing additional elements for SW46
13:35:23: [INFO] Placing additional elements for SW45
13:35:23: [INFO] Placing additional elements for SW44
13:35:23: [INFO] Placing additional elements for SW43
13:35:23: [INFO] Placing additional elements for SW42
13:35:23: [INFO] Placing additional elements for SW41
13:35:23: [INFO] Placing additional elements for SW40
13:35:23: [INFO] Placing additional elements for SW39
13:35:23: [INFO] Placing additional elements for SW38
13:35:23: [INFO] Placing additional elements for SW37
13:35:23: [INFO] Placing additional elements for SW36
13:35:23: [INFO] Placing additional elements for SW35
13:35:23: [INFO] Placing additional elements for SW34
13:35:23: [INFO] Placing additional elements for SW33
13:35:23: [INFO] Placing additional elements for SW32
13:35:23: [INFO] Placing additional elements for SW31a
13:35:23: [INFO] Placing additional elements for SW31
13:35:23: [INFO] Placing additional elements for SW30
13:35:23: [INFO] Placing additional elements for SW29
13:35:23: [INFO] Placing additional elements for SW28
13:35:23: [INFO] Placing additional elements for SW27
13:35:23: [INFO] Placing additional elements for SW26
