=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOVdAFm3AF0UAoMKWOAJjXAE9GBaDAOkIHYSmFE1xx8jAIxCspMRPgA2IeTl4G8aa3KjqdBXACsrDvG59irLIfka4pFSht76puOYGsAxo3ABifkCg8BkUDAAdADsoqKwMWx94fy8U1JCrFElbAjhJJkcs9UT0PwBDcor0sjCY6MjJMKpaehyEEy5eBEJvXz9UtKEGnHUcy3RjHBcDFnQ3D0FWBtERqUGUNXE7ZVZjDYMtcZEm-TtjWY6LNZsV+Acdp2PXC890Yv8KyrWIutjGot7+ikquAGoVNjk8kJjGCIG8yh9SsDjN9ag14lM7G1zmZOt1XgDAcCWMNwYwxuBFBQMTkZuxngt0CxlqTNEIWHstkJKRyIVyjtTGGc6TjLqwWNcWfY+c5mhA5rwXuA4QjEWyaj9InEEgT+kTMtkpPlWJSYUreirgZSUXU0Y8DAgeEL5TxJMhWG1mQZ+DwMEJ+PzZXZSI72iKBEI2iSDIYfX6qYG4UFgqwACaMAAuACcAK4AU1C1t+poh5HxSXhHzE4DT8Czecchfq+oxNbgdfzi3VtSwxakperGZzHcOjdBdoHtaHasbPYNmn7rfbfNHzcDmcYCCw6Ezo1YOV4DWxiB4TCFiaT-GBbRlJ33Loj63H67Mm73XEkLtD7iYsdY-pvLTvvef6PpQlBAA
13:34:03: [INFO] Adding track segment (B.Cu): [(157324624, 97478651), (158254329, 100948355)]
13:34:03: [INFO] Routing SW21 with D21
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW21:2' at (150369625, 109525065) with pad 'D21:2' at (148729329, 117446139) using coordinate system rotated by 30.0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(150369625, 109525065), (147799624, 113976435)]
13:34:03: [INFO] Adding track segment (B.Cu): [(147799624, 113976435), (148729329, 117446139)]
13:34:03: [INFO] Routing SW20 with D20
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW20:2' at (126365000, 97409000) with pad 'D20:2' at (128905000, 105089000) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(126365000, 97409000), (126365000, 102549000)]
13:34:03: [INFO] Adding track segment (B.Cu): [(126365000, 102549000), (128905000, 105089000)]
13:34:03: [INFO] Routing SW19 with D19
13:34:03: [INFO] Using internal autorouter method
13:34:03: [INFO] Routing pad 'SW19:2' at (107315000, 94932500) with pad 'D19:2' at (109855000, 102612500) using coordinate system rotated by 0 degree(s)
13:34:03: [INFO] Adding track segment (B.Cu): [(107315000, 94932500), (107315000, 100072500)]
13:34:03: [INFO] Adding track segment (B.Cu): [(107315000, 100072500), (109855000, 102612500)]
13:34:03: [INFO] Routing SW18 with D18
13:34:03: [INFO] Using internal autorouter method
