=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:46: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoDsBWANHcBjW2BiAQxNPAF8twEMEAdAO0cZoXCwj3nAJz-4pUaARmZMGrdthoAmMS1pTqGAMzyJioRgAs6yVrR7NcCNHjDUaStm3Hwt4Utsynq19qmd8PUmWv2MNHAAXQwAKDAofGF-YVojNg5cb15+PkFsONFxBUTMjDkcjTzwOLUi-XzdCrs4wxq802jLf0wSzEcqTBcut16PXqDQiKbzJBlMbC5CXxIM8Bl4hs9k7lS0+cXssUqFgoSlRfKdu0Xqk5LF+ouVszgLdH8ANjsXzuwXno++74GTVZms3mLyG4UidwsVioKiWN2hGG24l2MMKcOwMOOSLsMPOWMaAJ4aXS-hh1zxt2ajyoKGMXjWsyI8xp73ANK+rJ+HL+HNBIyi8Bk40m4AAnvhkFDpLCse86YQiXh-CIjCzZCqlDRMQpVTp1QZ1cNwfhFlMUgz5nF6DVZQT1gJYgi9flUTKlGUnaVdda3YEDWDRvdLFRpj4gf5FlaTjaQ3biVQth7Fi7tYdVImvVHU2SU4aA5Dg2aw-DI674YiU-DkxoWRiPTinXLCUT5qSDcEgA
13:28:50: [INFO] Placing additional elements for SW31
13:28:50: [INFO] Placing additional elements for SW30
13:28:50: [INFO] Placing additional elements for SW29
13:28:50: [INFO] Placing additional elements for SW28
13:28:50: [INFO] Placing additional elements for SW27
13:28:50: [INFO] Placing additional elements for SW26
13:28:50: [INFO] Placing additional elements for SW25
13:28:50: [INFO] Placing additional elements for SW24a
13:28:50: [INFO] Placing additional elements for SW24
13:28:50: [INFO] Placing additional elements for SW23a
13:28:50: [INFO] Placing additional elements for SW23
13:28:50: [INFO] Placing additional elements for SW22a
13:28:50: [INFO] Placing additional elements for SW22
13:28:50: [INFO] Placing additional elements for SW21a
13:28:50: [INFO] Placing additional elements for SW21
13:28:50: [INFO] Placing additional elements for SW20a
13:28:50: [INFO] Placing additional elements for SW20
13:28:50: [INFO] Placing additional elements for SW19a
13:28:50: [INFO] Placing additional elements for SW19
13:28:50: [INFO] Placing additional elements for SW18a
13:28:50: [INFO] Placing additional elements for SW18
13:28:50: [INFO] Placing additional elements for SW17a
13:28:50: [INFO] Placing additional elements for SW17
13:28:50: [INFO] Placing additional elements for SW16a
13:28:50: [INFO] Placing additional elements for SW16
13:28:50: [INFO] Placing additional elements for SW15a
13:28:50: [INFO] Placing additional elements for SW15
