=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JAaO4Ces4AGFANm3AGMDwBiAQwcfHIHcCAmAX3IUxIB0AdkKGFMCcAF1MAKDBQCCABwoAzFhz54AWmIbK1GhWMnw3HLzRTZ86PATp9WuLtLkq8WoybnwYwsxwEB44RibGZjyYAdJyEHaIqo7kzq4AnL68SIF+fIHBht4MkRZ8IsKC-jliaOWi0dZxCvYoACwpBK68OGwtSL7sDdgFnmHhJeCqDbG2iklkmp3EGeRT2eSDJDlTW8MGo0V0Ob2IKP0bmFZ7CcTs+iG04RG+U1Yz8YptHTrE3fuhh2OnwwvnaAT2DzGpl8WBiNg+9iSSicSxQKxwWHWOHauyC-y8RSB8HYKDuoMu+WaRFJ90MTyoMIp7ypDju3xcv3chUJrA4NN8ZHBeMh9ImZAkzISCCSKJ+aN8aEwWPAZFxIwBPJ6wPOOEVapZZy5o1FCqZ8JZaENizlGCNoTQDsdYrNTSlNPZrnUdoJ3iJpzJ5CUQzxJ1ZOvAaWm5qlrXd1o58vIkeVQa2ksUJCteFRtpwkMdTt8kdx4CDVxwkbe5oATooxDhqwkpg3nLG2TgblnUkl6-ioc9yGIJFFhzgxOwcrwJ4PMKpGrN7ANxNtlxdpzgphP0y0A9jVxj9+B2uvwFgt9HtabRyrMCfFSeyHPt3BBlriXHwCwJ+-c+BBAQABdqwAVwAUyLcQ6kEXghQRal9FDfkk1vKCYPnODX0-T5dwjSCKiEXhRwgE4SXbT9vxfZIcH-eAgLAiD2FQ5dmVrHQEF7RtFBJfQEm0biPRJVpw14OcZ1aSdMHEmdsmfbQexeWcckGKSN0kpSlXQqk+McRlRL3FTTzU8h2hki8dCSHDFT0m8DMVAyyFM11Oh7Xkd3DSNVCgwZYKwlpfy-PkyJouA6PA5DWi8qMnPMlBe0Q-yKNI-RgtCiDPPwwRBiIqk9Fc-13MkyKJUkIA
13:37:29: [INFO] Add SW22 footprint
13:37:29: [INFO] Add D22 footprint
13:37:29: [INFO] Add SW23 footprint
13:37:29: [INFO] Add D23 footprint
13:37:30: [INFO] Add SW24 footprint
13:37:30: [INFO] Add D24 footprint
13:37:30: [INFO] Add SW25 footprint
13:37:30: [INFO] Add D25 footprint
13:37:30: [INFO] Add SW26 footprint
13:37:30: [INFO] Add D26 footprint
13:37:30: [INFO] Add SW27 footprint
13:37:30: [INFO] Add D27 footprint
13:37:30: [INFO] Add SW28 footprint
13:37:30: [INFO] Add D28 footprint
13:37:30: [INFO] Add SW29 footprint
13:37:30: [INFO] Add D29 footprint
13:37:30: [INFO] Add SW30 footprint
13:37:30: [INFO] Add D30 footprint
13:37:30: [INFO] Add SW31 footprint
13:37:30: [INFO] Add D31 footprint
13:37:30: [INFO] Add SW32 footprint
13:37:30: [INFO] Add D32 footprint
13:37:30: [INFO] Add SW33 footprint
13:37:30: [INFO] Add D33 footprint
13:37:30: [INFO] Add SW34 footprint
13:37:30: [INFO] Add D34 footprint
13:37:30: [INFO] Add SW35 footprint
13:37:30: [INFO] Add D35 footprint
13:37:30: [INFO] Add SW36 footprint
13:37:30: [INFO] Add D36 footprint
13:37:30: [INFO] Add SW37 footprint
13:37:30: [INFO] Add D37 footprint
13:37:30: [INFO] Add SW38 footprint
13:37:30: [INFO] Add D38 footprint
13:37:30: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:37:30: [INFO] Add ST38 footprint
13:37:30: [INFO] Add SW39 footprint
13:37:30: [INFO] Add D39 footprint
13:37:30: [INFO] Add SW40 footprint
13:37:30: [INFO] Add D40 footprint
13:37:30: [INFO] Add SW41 footprint
13:37:30: [INFO] Add D41 footprint
13:37:31: [INFO] Add SW42 footprint
13:37:31: [INFO] Add D42 footprint
13:37:31: [INFO] Add SW43 footprint
13:37:31: [INFO] Add D43 footprint
13:37:31: [INFO] Add SW44 footprint
13:37:31: [INFO] Add D44 footprint
