=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:31: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwDoBMBWANHcBPWcBGJTbAY33AGIB2Wu8AXy3AAYMXwBdDAKDCnwFqzPPAC0LJAE5m5eFVKKljZpgIouvftHgA2YiPwTpaJtjYJNfCDrgAWA9lFxjUs6wwFwzNhqw3BIlNVT0t-cDlsSgBDWLjvbAB3fBR3NTQAHQA7bOy2DnDbFGI0zztcnKy2LxCCTMq8zyttfARDcUl0dwJ2ZoD4An1qElwjSQAOEciFJUUVbF1PDW5rAXgHdHaXSRkyChi42ITwZIGS5h6auAhpylm57ow-a7XCIhZ3RYIwhbKEiFOhHOvzqfVexWGW2Mmz28gOh3m4BQvRWLXWUMkkKSgiQw3cyKuN3293I+Ke-1eBEkwWwwnUxzpPyJcLo9GYgOKXWYdLQYNsyCxEX2hyO7JSqBp4DahKFcJJiLaz36cCkwPA4yWxw13wptxF0WOHNxku19QqPQKL1sQTFZzxzG15QaWUuWs8ZsqrsKOMFt1ZtERjoq2R6StlUX1hp9JvdwZd5NRyoFI0BQXcdia3oGDhTOMlMjqcYtFKKxttQPzsedXqt+ExU32-uoiILCCL5OYBad5o72ALHpDCa0EAAToI2NhbNQkJMofoEA25fdEWw7Mc2LyfBhdOuMM3E69p1zsD0fuAemuLhhNyft8cevvh4e1ciz8jL9hkTekXeD7Zxu4bRnm0H5StexxtDuf74KqMInOKx7gBmN7MhGIqIhmUFPlOZZOGM0jlmmzAZpYB5juIVLMNanIjM4YjvLIxLLqU4zHJgUhsZ4lrgGoXjQQMRCTJ8GCscwiwcWJXHHF8fHYYIxR1O4wiibSGASapVIMp4smrNaRCIRqKnqmpbqaQ62l8oEErlhClYcfxhAZnhHQmIxcKRoRaoFnxnBAA
13:31:36: [INFO] Routing pad 'SW66:2' at (332087827, 153646461) with pad 'D66:2' at (335922857, 160768718) using coordinate system rotated by 350.0 degree(s)
13:31:36: [INFO] Adding track segment (B.Cu): [(332087827, 153646461), (332980377, 158708371)]
13:31:36: [INFO] Adding track segment (B.Cu): [(332980377, 158708371), (335922857, 160768718)]
13:31:36: [INFO] Routing SW65 with D65
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW65:2' at (292056179, 159737927) with pad 'D65:2' at (295891209, 166860184) using coordinate system rotated by 350.0 degree(s)
13:31:36: [INFO] Adding track segment (B.Cu): [(292056179, 159737927), (292948730, 164799838)]
13:31:36: [INFO] Adding track segment (B.Cu): [(292948730, 164799838), (295891209, 166860184)]
13:31:36: [INFO] Routing SW64b with D64
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW64b:2' at (433546250, 113982500) with pad 'D64:2' at (407511250, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW64a with D64
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW64a:2' at (421640000, 133032500) with pad 'D64:2' at (407511250, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW64 with D64
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW64:2' at (404971250, 133032500) with pad 'D64:2' at (407511250, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW63a with D63
13:31:36: [INFO] Using internal autorouter method
13:31:36: [INFO] Routing pad 'SW63a:2' at (407352500, 113982500) with pad 'D63:2' at (397986250, 140712500) using coordinate system rotated by 0 degree(s)
13:31:36: [INFO] Routing SW63 with D63
13:31:36: [INFO] Using internal autorouter method
