=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:38: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwKBGGuuCaeSpBFcza+5iDnjg8WMeLIM0-CtQTNwjebLQBmBY3UqALBrS6VKPUZUA2PeZUEB2XCICGjpwoDuuBDypoAHAB0AdgEB1LQYgnaExESSmIzeNmxwHOiYQvjiEp6MBEGB-nwK1H55wdLgALpoAFBgUO6oFGkiUdGeCEwUqh0sdeycKbbCeE7OFG7w9KhtZWGD6Rk4nl0ymO3KmF3r4O1aG2oK7QZ7R9toJnvnp5Z716fWs+Nwk9wU7cW5jKE9TZFRMeBdeKzRKTLhjXCggYAC3cY3kEwamCh8KeFEgKIAtBwuJ5tD5cgFGPxKjVWPUXpg8V9wOgvmS+mDUhERo5XBCkAQKeA8StwkMFosKOgVty0Ft0Fs8bsafsKHiTugTnjLuhLnjbuhrnz8C17phHsgcXL8SV-J8FOggT1EtiBj8Bf88TlTUSKtVaj8WfY2QijZhTNICf52iKCIHTSGErhbY0Irr-gHqWG6b0kv1Y0MvT7EP1PAH6EH2in7QsE2KFGGtgHpWHpQGTmGTgHLmHLgHbmGtXMHCzs5NOXm0Hrtc0WmWreAw-ESbVEsgud5uuAAJzdelpxnd4a98G+hfh3JdFOPSGeVcF01Hmwn3MURcIINX2YljLZ0y3zCL7SPtdbrO7p4P3ARdTB-Y92T9Fc0FAy9fxtREt3jTxFz1YCfAUVdp3dddtA5AYAE9o3TJlMx3fV2X3C9DxmTBzx-XlwBvfcH1ghiXwkACCGQ-R6JsT0yMYiiz2g3jynKIA
13:29:41: [INFO] Add D24 footprint
13:29:41: [INFO] Add SW25 footprint
13:29:41: [INFO] Add D25 footprint
13:29:41: [INFO] Add SW26 footprint
13:29:41: [INFO] Add D26 footprint
13:29:41: [INFO] Add SW27 footprint
13:29:41: [INFO] Add D27 footprint
13:29:41: [INFO] Add SW28 footprint
13:29:41: [INFO] Add D28 footprint
13:29:41: [INFO] Add SW29 footprint
13:29:41: [INFO] Add D29 footprint
13:29:41: [INFO] Add SW30 footprint
13:29:41: [INFO] Add D30 footprint
13:29:41: [INFO] Add SW31 footprint
13:29:41: [INFO] Add D31 footprint
13:29:41: [INFO] Add SW32 footprint
13:29:41: [INFO] Add D32 footprint
13:29:41: [INFO] Add SW33 footprint
13:29:41: [INFO] Add D33 footprint
13:29:41: [INFO] Add SW34 footprint
13:29:42: [INFO] Add D34 footprint
13:29:42: [INFO] Add SW35 footprint
13:29:42: [INFO] Add D35 footprint
13:29:42: [INFO] Add SW36 footprint
13:29:42: [INFO] Add D36 footprint
13:29:42: [INFO] Add SW37 footprint
13:29:42: [INFO] Add D37 footprint
13:29:42: [INFO] Add SW38 footprint
13:29:42: [INFO] Add D38 footprint
13:29:42: [INFO] Add SW39 footprint
13:29:42: [INFO] Add D39 footprint
13:29:42: [INFO] Add SW40 footprint
13:29:42: [INFO] Add D40 footprint
13:29:42: [INFO] Add SW41 footprint
13:29:42: [INFO] Add D41 footprint
13:29:42: [INFO] Add SW42 footprint
13:29:42: [INFO] Add D42 footprint
13:29:42: [INFO] Add SW43 footprint
13:29:42: [INFO] Add D43 footprint
13:29:42: [INFO] Add SW44 footprint
13:29:42: [INFO] Add D44 footprint
13:29:42: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:42: [INFO] Add ST44 footprint
13:29:42: [INFO] Add SW44a footprint
13:29:42: [INFO] Add ST44a footprint
13:29:42: [INFO] Add SW45 footprint
13:29:42: [INFO] Add D45 footprint
13:29:42: [INFO] Add SW46 footprint
13:29:42: [INFO] Add D46 footprint
13:29:42: [INFO] Add SW47 footprint
13:29:42: [INFO] Add D47 footprint
13:29:42: [INFO] Add SW48 footprint
13:29:42: [INFO] Add D48 footprint
13:29:42: [INFO] Add SW49 footprint
13:29:42: [INFO] Add D49 footprint
13:29:42: [INFO] Add SW50 footprint
13:29:42: [INFO] Add D50 footprint
13:29:42: [INFO] Add SW51 footprint
13:29:43: [INFO] Add D51 footprint
13:29:43: [INFO] Add SW52 footprint
13:29:43: [INFO] Add D52 footprint
13:29:43: [INFO] Add SW53 footprint
13:29:43: [INFO] Add D53 footprint
13:29:43: [INFO] Add SW54 footprint
13:29:43: [INFO] Add D54 footprint
13:29:43: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:43: [INFO] Add ST54 footprint
13:29:43: [INFO] Add SW54a footprint
13:29:43: [INFO] Add SW55 footprint
13:29:43: [INFO] Add D55 footprint
13:29:43: [INFO] Add SW56 footprint
13:29:43: [INFO] Add D56 footprint
13:29:43: [INFO] Add SW57 footprint
13:29:43: [INFO] Add D57 footprint
13:29:43: [INFO] Add SW58 footprint
13:29:43: [INFO] Add D58 footprint
13:29:43: [INFO] Add SW59 footprint
13:29:43: [INFO] Add D59 footprint
13:29:43: [INFO] Add SW60 footprint
13:29:43: [INFO] Add D60 footprint
13:29:43: [INFO] Add SW61 footprint
13:29:43: [INFO] Add D61 footprint
13:29:43: [INFO] Add SW62 footprint
13:29:43: [INFO] Add D62 footprint
13:29:43: [INFO] Add SW63 footprint
13:29:43: [INFO] Add D63 footprint
13:29:43: [INFO] Add SW64 footprint
13:29:43: [INFO] Add D64 footprint
13:29:43: [INFO] Add SW65 footprint
13:29:43: [INFO] Add D65 footprint
13:29:43: [INFO] Add SW66 footprint
13:29:43: [INFO] Add D66 footprint
13:29:43: [INFO] Add SW67 footprint
13:29:43: [INFO] Add D67 footprint
13:29:43: [INFO] Add SW68 footprint
13:29:44: [INFO] Add D68 footprint
13:29:44: [INFO] Add SW69 footprint
13:29:44: [INFO] Add D69 footprint
13:29:44: [INFO] Add SW70 footprint
13:29:44: [INFO] Add D70 footprint
13:29:44: [INFO] Add SW71 footprint
13:29:44: [INFO] Add D71 footprint
13:29:44: [INFO] Add SW71a footprint
13:29:44: [INFO] Add SW72 footprint
13:29:44: [INFO] Add D72 footprint
13:29:44: [INFO] Add SW72a footprint
13:29:44: [INFO] Add SW73 footprint
13:29:44: [INFO] Add D73 footprint
13:29:44: [INFO] Add ST73 footprint
13:29:44: [INFO] Add SW73a footprint
13:29:44: [INFO] Add ST73a footprint
13:29:44: [INFO] Add SW74 footprint
13:29:44: [INFO] Add D74 footprint
13:29:44: [INFO] Add SW75 footprint
13:29:44: [INFO] Add D75 footprint
13:29:44: [INFO] Add SW76 footprint
13:29:44: [INFO] Add D76 footprint
13:29:44: [INFO] Add SW77 footprint
13:29:44: [INFO] Add D77 footprint
13:29:44: [INFO] Add SW78 footprint
13:29:44: [INFO] Add D78 footprint
13:29:44: [INFO] Add SW78a footprint
13:29:44: [INFO] Add SW79 footprint
13:29:44: [INFO] Add D79 footprint
13:29:44: [INFO] Add SW79a footprint
13:29:44: [INFO] Add SW80 footprint
13:29:44: [INFO] Add D80 footprint
13:29:44: [INFO] Detected layout convertible to matrix annotated keyboard
13:29:44: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:29:44: [INFO] Layout offset: (38100000, 28575000)
13:29:44: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:29:44: [INFO] Placing additional elements for SW80
13:29:44: [INFO] Placing additional elements for SW79a
13:29:44: [INFO] Placing additional elements for SW79
13:29:44: [INFO] Placing additional elements for SW78a
13:29:44: [INFO] Placing additional elements for SW78
13:29:44: [INFO] Placing additional elements for SW77
13:29:44: [INFO] Placing additional elements for SW76
13:29:44: [INFO] Placing additional elements for SW75
13:29:44: [INFO] Placing additional elements for SW74
13:29:44: [INFO] Placing additional elements for SW73a
13:29:44: [INFO] Placing additional elements for SW73
13:29:44: [INFO] Placing additional elements for SW72a
13:29:44: [INFO] Placing additional elements for SW72
13:29:44: [INFO] Placing additional elements for SW71a
13:29:44: [INFO] Placing additional elements for SW71
13:29:44: [INFO] Placing additional elements for SW70
13:29:44: [INFO] Placing additional elements for SW69
13:29:44: [INFO] Placing additional elements for SW68
13:29:44: [INFO] Placing additional elements for SW67
13:29:44: [INFO] Placing additional elements for SW66
13:29:44: [INFO] Placing additional elements for SW65
13:29:44: [INFO] Placing additional elements for SW64
13:29:44: [INFO] Placing additional elements for SW63
13:29:44: [INFO] Placing additional elements for SW62
13:29:44: [INFO] Placing additional elements for SW61
13:29:44: [INFO] Placing additional elements for SW60
13:29:44: [INFO] Placing additional elements for SW59
13:29:44: [INFO] Placing additional elements for SW58
13:29:44: [INFO] Placing additional elements for SW57
13:29:44: [INFO] Placing additional elements for SW56
13:29:44: [INFO] Placing additional elements for SW55
13:29:44: [INFO] Placing additional elements for SW54a
13:29:44: [INFO] Placing additional elements for SW54
13:29:44: [INFO] Placing additional elements for SW53
13:29:44: [INFO] Placing additional elements for SW52
13:29:44: [INFO] Placing additional elements for SW51
13:29:44: [INFO] Placing additional elements for SW50
13:29:44: [INFO] Placing additional elements for SW49
13:29:44: [INFO] Placing additional elements for SW48
13:29:44: [INFO] Placing additional elements for SW47
13:29:44: [INFO] Placing additional elements for SW46
13:29:44: [INFO] Placing additional elements for SW45
13:29:44: [INFO] Placing additional elements for SW44a
13:29:44: [INFO] Placing additional elements for SW44
13:29:44: [INFO] Placing additional elements for SW43
13:29:44: [INFO] Placing additional elements for SW42
13:29:44: [INFO] Placing additional elements for SW41
13:29:44: [INFO] Placing additional elements for SW40
13:29:44: [INFO] Placing additional elements for SW39
13:29:44: [INFO] Placing additional elements for SW38
13:29:44: [INFO] Placing additional elements for SW37
13:29:44: [INFO] Placing additional elements for SW36
13:29:44: [INFO] Placing additional elements for SW35
13:29:44: [INFO] Placing additional elements for SW34
13:29:44: [INFO] Placing additional elements for SW33
13:29:44: [INFO] Placing additional elements for SW32
13:29:44: [INFO] Placing additional elements for SW31
13:29:44: [INFO] Placing additional elements for SW30
13:29:44: [INFO] Placing additional elements for SW29
13:29:44: [INFO] Placing additional elements for SW28
13:29:44: [INFO] Placing additional elements for SW27
13:29:44: [INFO] Placing additional elements for SW26
13:29:44: [INFO] Placing additional elements for SW25
13:29:44: [INFO] Placing additional elements for SW24
13:29:44: [INFO] Placing additional elements for SW23
13:29:44: [INFO] Placing additional elements for SW22
13:29:44: [INFO] Placing additional elements for SW21
13:29:44: [INFO] Placing additional elements for SW20
13:29:44: [INFO] Placing additional elements for SW19
13:29:44: [INFO] Placing additional elements for SW18
13:29:44: [INFO] Placing additional elements for SW17
13:29:44: [INFO] Placing additional elements for SW16
13:29:44: [INFO] Placing additional elements for SW15
13:29:44: [INFO] Placing additional elements for SW14
13:29:44: [INFO] Placing additional elements for SW13
13:29:44: [INFO] Placing additional elements for SW12
13:29:44: [INFO] Placing additional elements for SW11
13:29:44: [INFO] Placing additional elements for SW10
13:29:44: [INFO] Placing additional elements for SW9a
13:29:44: [INFO] Placing additional elements for SW9
13:29:44: [INFO] Placing additional elements for SW8
13:29:44: [INFO] Placing additional elements for SW7
13:29:44: [INFO] Placing additional elements for SW6
13:29:44: [INFO] Placing additional elements for SW5
