=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIBDI48AXw3AAY1LwLqBGOzahZiHecPLXvs+mgDM7KLkpIE6TJ3wB2BYoEs0AFlHR4EqRVnc+-cipTMqaAGynqcq2gAcG8ZOnZc3YiSNmAnLYa1BBiZAtgwITThtFz0eAxwvRhFA9UCTQMswsS1nBLQGG0yIqN03Qg8CZTMGB0DfQQRaAF00ACgwLMRUCgBPJx0ZUrj4igYaU1HgzFHQqeFHbKkvUZTZtNmM2YLZmtm62f9xvMnwCZmTvKT9lfOGNZuNjlLyiooAd1wEJby5AB0AO3+-2oATg4T6KC+1UODD25wa8zgDCQlEhvwB6MYpgQ30BGLy4GabQgAAsPl4hDRcf8JgjigMuLEDJVsUIqX9sZMwQsIRRsZQ2aMQeAOVi0DNHgznqZSfBPhQKaz0f8+bTnCUGUNTO94EieZhsddsXdsRthWgtmadmbYRyhRzjhyzhzLmaGIa8sa8g9wNrEahyV62RSQVzImr6fgpV4OVaOTaxSGOki5NFSoolG9cEj+uAZYg3mwdV1MMTC4iKJAywBaKIB-JB-GE9oRbOpjVxSoKtkiwrggP8pV-QWmCnHCnipPhn1ZpApgPXCl3CmmikWilWimw0dC0djvJnUcu0cLj2iGLphRaj45eU4wfBhGqZHq-CauvmBtMJsSyPlK9FxYKFUNQ2XMfEgLQFBQPA0EOjpVx2yZLxgIHXEUNMYCGDZdCIIQNl0ETc8L2lMkKHQRVcQI1UcxiKVM1lG9MGA1RoMIwYO2QiwMPNbirWA2FMKFTDjkws5MJdTDrkwtYf3cP96M6OcIPrQc5DGXsALbeRiM4mEEVbF85I8f8-SUpi71xNSRMDVTG1aZtrxcX05UwAjsPU2CYjfMixXwjzQwMiMjJIBTWy8dAWMHOx-OnTTwsgtlosTX0wp8j8opi31zEY8B0H8RLMpnQDXLySLcSS0QUpyvKoIy5Kir1XKbPKwq4p8lSWsTIopyI9NKjyq08thdB4W-DpkBcXpuUMspjIoPMXKa1D0Uws92KQ5T3OsvDBzy7iKPRPaNLDGinnkzAqsaiKCuOdBapazlYr9K6LBuyrcDkeL8oyx7Lq++70Wi27msBmCID+9q0Qegl7NDIRiwQ18OPara1slc6nsW8i-K-WHxoRqaTq0-RkfM5b-mAsS8ncqmdsosV9r8tgxoiCb4vJv5KdMPKae53zdoZnyDv+EaCUaIA
13:36:50: [INFO] Add SW17 footprint
13:36:50: [INFO] Add D17 footprint
13:36:50: [INFO] Add SW18 footprint
13:36:50: [INFO] Add D18 footprint
13:36:50: [INFO] Add SW19 footprint
13:36:50: [INFO] Add D19 footprint
13:36:50: [INFO] Add SW20 footprint
13:36:50: [INFO] Add D20 footprint
13:36:51: [INFO] Add SW21 footprint
13:36:51: [INFO] Add D21 footprint
13:36:51: [INFO] Add SW22 footprint
13:36:51: [INFO] Add D22 footprint
13:36:51: [INFO] Add SW23 footprint
13:36:51: [INFO] Add D23 footprint
13:36:51: [INFO] Add SW24 footprint
13:36:51: [INFO] Add D24 footprint
13:36:51: [INFO] Add SW25 footprint
13:36:51: [INFO] Add D25 footprint
13:36:51: [INFO] Add SW26 footprint
13:36:51: [INFO] Add D26 footprint
13:36:51: [INFO] Add SW27 footprint
13:36:51: [INFO] Add D27 footprint
13:36:51: [INFO] Add SW28 footprint
13:36:51: [INFO] Add D28 footprint
13:36:51: [INFO] Add SW29 footprint
13:36:51: [INFO] Add D29 footprint
13:36:51: [INFO] Add SW30 footprint
13:36:51: [INFO] Add D30 footprint
13:36:51: [INFO] Add SW31 footprint
13:36:51: [INFO] Add D31 footprint
13:36:51: [INFO] Add SW32 footprint
13:36:51: [INFO] Add D32 footprint
13:36:51: [INFO] Add SW33 footprint
13:36:51: [INFO] Add D33 footprint
13:36:51: [INFO] Add SW34 footprint
13:36:51: [INFO] Add D34 footprint
13:36:51: [INFO] Add SW35 footprint
13:36:51: [INFO] Add D35 footprint
13:36:51: [INFO] Add SW36 footprint
13:36:51: [INFO] Add D36 footprint
13:36:51: [INFO] Add SW37 footprint
13:36:51: [INFO] Add D37 footprint
13:36:51: [INFO] Add SW38 footprint
13:36:52: [INFO] Add D38 footprint
13:36:52: [INFO] Add SW39 footprint
13:36:52: [INFO] Add D39 footprint
13:36:52: [INFO] Add ST39 footprint
13:36:52: [INFO] Add SW39a footprint
13:36:52: [INFO] Add SW40 footprint
13:36:52: [INFO] Add D40 footprint
13:36:52: [INFO] Add SW41 footprint
13:36:52: [INFO] Add D41 footprint
13:36:52: [INFO] Add SW42 footprint
13:36:52: [INFO] Add D42 footprint
13:36:52: [INFO] Add SW43 footprint
13:36:52: [INFO] Add D43 footprint
13:36:52: [INFO] Add SW44 footprint
13:36:52: [INFO] Add D44 footprint
13:36:52: [INFO] Add SW45 footprint
13:36:52: [INFO] Add D45 footprint
13:36:52: [INFO] Add SW46 footprint
13:36:52: [INFO] Add D46 footprint
13:36:52: [INFO] Add SW47 footprint
13:36:52: [INFO] Add D47 footprint
13:36:52: [INFO] Add SW48 footprint
13:36:52: [INFO] Add D48 footprint
13:36:52: [INFO] Add SW49 footprint
13:36:52: [INFO] Add D49 footprint
13:36:52: [INFO] Add SW50 footprint
13:36:52: [INFO] Add D50 footprint
13:36:52: [INFO] Add SW51 footprint
13:36:52: [INFO] Add D51 footprint
13:36:52: [INFO] Add SW52 footprint
13:36:52: [INFO] Add D52 footprint
13:36:52: [INFO] Add SW53 footprint
13:36:52: [INFO] Add D53 footprint
13:36:52: [INFO] Add SW54 footprint
13:36:53: [INFO] Add D54 footprint
13:36:53: [INFO] Add SW55 footprint
13:36:53: [INFO] Add D55 footprint
13:36:53: [INFO] Add SW56 footprint
13:36:53: [INFO] Add D56 footprint
13:36:53: [INFO] Add SW57 footprint
13:36:53: [INFO] Add D57 footprint
13:36:53: [INFO] Add SW58 footprint
13:36:53: [INFO] Add D58 footprint
13:36:53: [INFO] Add SW59 footprint
13:36:53: [INFO] Add D59 footprint
13:36:53: [INFO] Add SW60 footprint
13:36:53: [INFO] Add D60 footprint
13:36:53: [INFO] Add SW61 footprint
13:36:53: [INFO] Add D61 footprint
13:36:53: [INFO] Add SW62 footprint
13:36:53: [INFO] Add D62 footprint
13:36:53: [INFO] Add SW63 footprint
13:36:53: [INFO] Add D63 footprint
13:36:53: [INFO] Add SW64 footprint
13:36:53: [INFO] Add D64 footprint
13:36:53: [INFO] Add SW64a footprint
13:36:53: [INFO] Add ST64a footprint
13:36:53: [INFO] Add SW65 footprint
13:36:53: [INFO] Add D65 footprint
13:36:53: [INFO] Add SW66 footprint
13:36:53: [INFO] Add D66 footprint
13:36:53: [INFO] Add SW67 footprint
13:36:53: [INFO] Add D67 footprint
13:36:53: [INFO] Add ST67 footprint
13:36:53: [INFO] Add SW67a footprint
13:36:53: [INFO] Add SW68 footprint
13:36:53: [INFO] Add D68 footprint
13:36:54: [INFO] Add SW69 footprint
13:36:54: [INFO] Add D69 footprint
13:36:54: [INFO] Add SW70 footprint
13:36:54: [INFO] Add D70 footprint
13:36:54: [INFO] Add SW71 footprint
13:36:54: [INFO] Add D71 footprint
13:36:54: [INFO] Add SW72 footprint
13:36:54: [INFO] Add D72 footprint
13:36:54: [INFO] Add SW73 footprint
13:36:54: [INFO] Add D73 footprint
13:36:54: [INFO] Add SW74 footprint
13:36:54: [INFO] Add D74 footprint
13:36:54: [INFO] Add SW75 footprint
13:36:54: [INFO] Add D75 footprint
13:36:54: [INFO] Add SW76 footprint
13:36:54: [INFO] Add D76 footprint
13:36:54: [INFO] Add SW77 footprint
13:36:54: [INFO] Add D77 footprint
13:36:54: [INFO] Add SW78 footprint
13:36:54: [INFO] Add D78 footprint
13:36:54: [INFO] Add SW79 footprint
13:36:54: [INFO] Add D79 footprint
13:36:54: [INFO] Add SW80 footprint
13:36:54: [INFO] Add D80 footprint
13:36:54: [INFO] Add SW80a footprint
13:36:54: [INFO] Add SW81 footprint
13:36:54: [INFO] Add D81 footprint
13:36:54: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:54: [INFO] Add ST81 footprint
13:36:54: [INFO] Add SW81a footprint
13:36:54: [INFO] Add ST81a footprint
13:36:54: [INFO] Add SW82 footprint
13:36:54: [INFO] Add D82 footprint
13:36:54: [INFO] Add SW83 footprint
13:36:55: [INFO] Add D83 footprint
13:36:55: [INFO] Add SW84 footprint
13:36:55: [INFO] Add D84 footprint
13:36:55: [INFO] Add SW85 footprint
13:36:55: [INFO] Add D85 footprint
13:36:55: [INFO] Add SW86 footprint
13:36:55: [INFO] Add D86 footprint
13:36:55: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:55: [INFO] Add ST86 footprint
13:36:55: [INFO] Add SW86a footprint
13:36:55: [INFO] Add SW87 footprint
13:36:55: [INFO] Add D87 footprint
13:36:55: [INFO] Add SW88 footprint
13:36:55: [INFO] Add D88 footprint
13:36:55: [INFO] Add SW89 footprint
13:36:55: [INFO] Add D89 footprint
13:36:55: [INFO] Add SW90 footprint
13:36:55: [INFO] Add D90 footprint
13:36:55: [INFO] Add SW91 footprint
13:36:55: [INFO] Add D91 footprint
13:36:55: [INFO] Add SW92 footprint
13:36:55: [INFO] Add D92 footprint
13:36:55: [INFO] Add SW93 footprint
13:36:55: [INFO] Add D93 footprint
13:36:55: [INFO] Add SW94 footprint
13:36:55: [INFO] Add D94 footprint
13:36:55: [INFO] Add SW95 footprint
13:36:55: [INFO] Add D95 footprint
13:36:55: [INFO] Add SW96 footprint
13:36:55: [INFO] Add D96 footprint
13:36:55: [INFO] Add SW97 footprint
13:36:55: [INFO] Add D97 footprint
13:36:56: [INFO] Add SW98 footprint
13:36:56: [INFO] Add D98 footprint
13:36:56: [INFO] Add SW99 footprint
13:36:56: [INFO] Add D99 footprint
13:36:56: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:56: [INFO] Add ST99 footprint
13:36:56: [INFO] Add SW99a footprint
13:36:56: [INFO] Add SW100 footprint
13:36:56: [INFO] Add D100 footprint
13:36:56: [INFO] Add SW101 footprint
13:36:56: [INFO] Add D101 footprint
13:36:56: [INFO] Add ST101 footprint
13:36:56: [INFO] Add SW101a footprint
13:36:56: [INFO] Add ST101a footprint
13:36:56: [INFO] Add SW101b footprint
13:36:56: [INFO] Add SW102 footprint
13:36:56: [INFO] Add D102 footprint
13:36:56: [INFO] Add SW103 footprint
13:36:56: [INFO] Add D103 footprint
13:36:56: [INFO] Add SW104 footprint
13:36:56: [INFO] Add D104 footprint
13:36:56: [INFO] Add ST104 footprint
13:36:56: [INFO] Add SW104a footprint
13:36:56: [INFO] Add ST104a footprint
13:36:56: [INFO] Add SW104b footprint
13:36:56: [INFO] Add SW105 footprint
13:36:56: [INFO] Add D105 footprint
13:36:56: [INFO] Add SW105a footprint
13:36:56: [INFO] Add SW106 footprint
13:36:56: [INFO] Add D106 footprint
13:36:56: [INFO] Add SW106a footprint
13:36:56: [INFO] Add SW107 footprint
13:36:56: [INFO] Add D107 footprint
13:36:56: [INFO] Add SW107a footprint
13:36:56: [INFO] Add SW108 footprint
13:36:56: [INFO] Add D108 footprint
13:36:56: [INFO] Add ST108 footprint
13:36:56: [INFO] Add SW108a footprint
13:36:56: [INFO] Add ST108a footprint
13:36:56: [INFO] Add SW109 footprint
13:36:56: [INFO] Add D109 footprint
13:36:57: [INFO] Add SW110 footprint
13:36:57: [INFO] Add D110 footprint
13:36:57: [INFO] Add SW110a footprint
13:36:57: [INFO] Add SW111 footprint
13:36:57: [INFO] Add D111 footprint
13:36:57: [INFO] Add SW111a footprint
13:36:57: [INFO] Add SW112 footprint
13:36:57: [INFO] Add D112 footprint
13:36:57: [INFO] Add SW112a footprint
13:36:57: [INFO] Add SW113 footprint
13:36:57: [INFO] Add D113 footprint
13:36:57: [INFO] Add SW114 footprint
13:36:57: [INFO] Add D114 footprint
13:36:57: [INFO] Add SW115 footprint
13:36:57: [INFO] Add D115 footprint
13:36:57: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:57: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:36:57: [INFO] Layout offset: (38100000, 28575000)
13:36:57: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:36:57: [INFO] Placing additional elements for SW115
13:36:57: [INFO] Placing additional elements for SW114
13:36:57: [INFO] Placing additional elements for SW113
13:36:57: [INFO] Placing additional elements for SW112a
13:36:57: [INFO] Placing additional elements for SW112
13:36:57: [INFO] Placing additional elements for SW111a
13:36:57: [INFO] Placing additional elements for SW111
13:36:57: [INFO] Placing additional elements for SW110a
13:36:57: [INFO] Placing additional elements for SW110
13:36:57: [INFO] Placing additional elements for SW109
13:36:57: [INFO] Placing additional elements for SW108a
13:36:57: [INFO] Placing additional elements for SW108
13:36:57: [INFO] Placing additional elements for SW107a
13:36:57: [INFO] Placing additional elements for SW107
13:36:57: [INFO] Placing additional elements for SW106a
13:36:57: [INFO] Placing additional elements for SW106
13:36:57: [INFO] Placing additional elements for SW105a
13:36:57: [INFO] Placing additional elements for SW105
13:36:57: [INFO] Placing additional elements for SW104b
13:36:57: [INFO] Placing additional elements for SW104a
13:36:57: [INFO] Placing additional elements for SW104
13:36:57: [INFO] Placing additional elements for SW103
13:36:57: [INFO] Placing additional elements for SW102
13:36:57: [INFO] Placing additional elements for SW101b
13:36:57: [INFO] Placing additional elements for SW101a
13:36:57: [INFO] Placing additional elements for SW101
13:36:57: [INFO] Placing additional elements for SW100
13:36:57: [INFO] Placing additional elements for SW99a
