=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareAvgGgQBi7uDhAB6xy4B0ArDlOUgOzMuZ34CMRcp5VATLQTR4SNOmx4s-buHwBmWfgAsSrNW694A6pLlYAbGsZqAHGoCcm8GW2VBezoXZYOXFxxkfFxG33u6HsoAOgB2YWH4zjx+doFSHNQR4aFR1rYUNHQiCIiQ+QWyAO7k-HQAJuQALgBOAK4ApnrJka7gALpYAFBg4ACe-kL0oijiyGwIHATpg3pT7jE5SAWFc9KyUz6TWKp0Uxp7hhtYJofmh1aHHNHg8wu3rl7bHFsQS6PixaVrHLsxGVR4g9Eh1usBwGVolpMkMSvAODQ9GUFm8GHkVtAkes6GUthCdrIygcEGUjDiToSsOcSVhLjTrpS3IynviXtZ3mNxnQ4XAEUDkSEUmEplDYjCsSDfBk+dzyAjBHQABalbkyeFZBCKtW8ugkbUAWh0enkrkFyXmoJ64BNooBGvAPIRjCBJpRw1yGMxdBNLJNeJNf2t6lkJrJCBNp3DVJDtJjDO9rnurqeqJGLFYsvg-ACxtNLVCIpmcWyaM5EyDkv+swTL3zFs6VuU0ylg0zcGzDjoTY4+ch7LRnvLTZZTbxTcDTeJ4CbYenFK70YXdLn8YQ3bdHLGX3Vzr03deYr5e9cGgbvWl1EozroA3ghqvQ3e6eYQ9Nlt6t7g94VwlLW70tC2q2CCOjmdC0G6oGdggtApg6cpgTBWAHjyBiIeAtAGPmNrWKBQIQbg+ZNqKeEAYmRHTGe0K-A+N7kPe16-mmz7lhBeIQYGEGnmC1H2p+36Pn+nxtvKQLdr2bQLp4ElutK9o8h2+E7NhkkxFBSlYUKoSurhpQPmRpgqfcBEUcZ5Fad2sgQfwpnvtCl4-vB8BodBGHqCpMhUWKDmwnprm0GaKR+rp6r+e5WnBb4Cn6eBVIqYo7TtEAA
13:28:59: [INFO] Add D21 footprint
13:28:59: [INFO] Add SW22 footprint
13:28:59: [INFO] Add D22 footprint
13:28:59: [INFO] Add SW23 footprint
13:28:59: [INFO] Add D23 footprint
13:28:59: [INFO] Add SW24 footprint
13:28:59: [INFO] Add D24 footprint
13:28:59: [INFO] Add SW25 footprint
13:28:59: [INFO] Add D25 footprint
13:28:59: [INFO] Add SW26 footprint
13:28:59: [INFO] Add D26 footprint
13:28:59: [INFO] Add SW27 footprint
13:28:59: [INFO] Add D27 footprint
13:28:59: [INFO] Add SW28 footprint
13:28:59: [INFO] Add D28 footprint
13:28:59: [INFO] Add SW29 footprint
13:28:59: [INFO] Add D29 footprint
13:28:59: [INFO] Add SW30 footprint
13:28:59: [INFO] Add D30 footprint
13:28:59: [INFO] Add SW31 footprint
13:28:59: [INFO] Add D31 footprint
13:28:59: [INFO] Add ST31 footprint
13:28:59: [INFO] Add SW32 footprint
13:28:59: [INFO] Add D32 footprint
13:28:59: [INFO] Add SW33 footprint
13:29:00: [INFO] Add D33 footprint
13:29:00: [INFO] Add SW34 footprint
13:29:00: [INFO] Add D34 footprint
13:29:00: [INFO] Add SW35 footprint
13:29:00: [INFO] Add D35 footprint
13:29:00: [INFO] Add SW36 footprint
13:29:00: [INFO] Add D36 footprint
13:29:00: [INFO] Add SW37 footprint
13:29:00: [INFO] Add D37 footprint
13:29:00: [INFO] Add SW38 footprint
13:29:00: [INFO] Add D38 footprint
13:29:00: [INFO] Add SW39 footprint
13:29:00: [INFO] Add D39 footprint
13:29:00: [INFO] Add SW40 footprint
13:29:00: [INFO] Add D40 footprint
13:29:00: [INFO] Add SW41 footprint
13:29:00: [INFO] Add D41 footprint
13:29:00: [INFO] Add SW42 footprint
13:29:00: [INFO] Add D42 footprint
13:29:00: [INFO] Add SW43 footprint
13:29:00: [INFO] Add D43 footprint
13:29:00: [INFO] Add SW44 footprint
