=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:28:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcBjW2BiAQxNPAF8twAGDa8AXQwCgwp8UlNsBPfAWmpIA7N1z5wBYdJkUqCOuCwQ88STg2a52WgiXYFeqrRT7wC08YwBmMwttWALHYzOraFx6sA2F7+XiasSkJGYA7hyUOhjCADoAdgkJtPQB0PBC6FE0MUmJ8boucfnJGHpMrBDpiKho2SiKafiZYhHwyHVU1o1wKhIEmlr1ZWbdRtgNltjdU+ANDtM2Zg1ui6tzGF6LWxv+i3t9QSGhVG01nRO5JfEK9BVs1QgAnCJifPCCXFSqhDKyp-hkOgqAALDinUztL7YEGQxBUSBwz5ZKiOK55QyMFgPQG1KjvOCfMQ-STHIjacBo1K9dgZPHYM7IUTZTDUw6EQYaClo8bgTC8tGzTCzNELPlLVGuMyYdZonaYHZog6BX5-YThDi1bJo4oYnrs0nHCmYdX3KqAgAcr3xAiEF3F3jyCUxZtpNWBvFtXGy3n1bpaAPgnBR2GEdCd8QabJV6k5FLDvN9szDs19YrDYt96zD619OzDO19ypJwRCGqhzKoYeL-TV6p9MX0BtLZGyYdN2PNUJD4AtfuqAYZuJ7T3D1260cZWqofYQEYnTfAU5HZXnfrO3mn2D71jX1PAo7Qe8XU-tfcd4-7zWhMakaopo72vcbVFHHcqbs4xP6ZPL7vto7UGu4wQMuZ6rpeIFLsOAEQXkYwnpqlbbhgKDAYh3bgbukEYXAwbgY46GvpsRE0qe2TnuhrpgW2Y55A0iZwfkDGLgO9LQVCsFAZesyzmuUygbisFzjxuHCBRNj8bhHQSRe8GoYwDBAA
13:28:53: [INFO] Add SW20 footprint
13:28:53: [INFO] Add D20 footprint
13:28:53: [INFO] Add SW21 footprint
13:28:53: [INFO] Add D21 footprint
13:28:53: [INFO] Add SW22 footprint
13:28:53: [INFO] Add D22 footprint
13:28:53: [INFO] Add SW23 footprint
13:28:53: [INFO] Add D23 footprint
13:28:53: [INFO] Add SW24 footprint
13:28:53: [INFO] Add D24 footprint
13:28:54: [INFO] Add SW25 footprint
13:28:54: [INFO] Add D25 footprint
13:28:54: [INFO] Add SW26 footprint
13:28:54: [INFO] Add D26 footprint
13:28:54: [INFO] Add SW27 footprint
13:28:54: [INFO] Add D27 footprint
13:28:54: [INFO] Add SW28 footprint
13:28:54: [INFO] Add D28 footprint
13:28:54: [INFO] Add SW29 footprint
13:28:54: [INFO] Add D29 footprint
13:28:54: [INFO] Add SW30 footprint
13:28:54: [INFO] Add D30 footprint
13:28:54: [INFO] Add SW31 footprint
13:28:54: [INFO] Add D31 footprint
13:28:54: [INFO] Add SW32 footprint
13:28:54: [INFO] Add D32 footprint
13:28:54: [INFO] Add SW33 footprint
13:28:54: [INFO] Add D33 footprint
13:28:54: [INFO] Add SW34 footprint
13:28:54: [INFO] Add D34 footprint
13:28:54: [INFO] Add SW35 footprint
13:28:54: [INFO] Add D35 footprint
13:28:54: [INFO] Add SW36 footprint
13:28:54: [INFO] Add D36 footprint
13:28:54: [INFO] Add SW37 footprint
13:28:54: [INFO] Add D37 footprint
13:28:54: [INFO] Add SW38 footprint
13:28:54: [INFO] Add D38 footprint
13:28:54: [INFO] Add SW39 footprint
13:28:54: [INFO] Add D39 footprint
13:28:54: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:28:54: [INFO] Add ST39 footprint
13:28:54: [INFO] Add SW39a footprint
13:28:54: [INFO] Add ST39a footprint
13:28:54: [INFO] Add SW40 footprint
13:28:54: [INFO] Add D40 footprint
13:28:55: [INFO] Add SW41 footprint
13:28:55: [INFO] Add D41 footprint
13:28:55: [INFO] Add SW42 footprint
13:28:55: [INFO] Add D42 footprint
13:28:55: [INFO] Add SW43 footprint
13:28:55: [INFO] Add D43 footprint
13:28:55: [INFO] Add SW44 footprint
13:28:55: [INFO] Add D44 footprint
13:28:55: [INFO] Add SW45 footprint
13:28:55: [INFO] Add D45 footprint
13:28:55: [INFO] Add SW46 footprint
13:28:55: [INFO] Add D46 footprint
13:28:55: [INFO] Add SW47 footprint
13:28:55: [INFO] Add D47 footprint
