=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsBfANHcBmDDwBdDAKDClkVS3AGNLwBiAdlbfE2wX3CwmnjIATOhrcAjLzj9KwlDXrwmtFao5iMQqeG45t3ACz6MKYwDYpM+ENScdGZsYAcxgJzHxBDeMnet3vT46BhY2VnUuDHEjYjIrKhE7cR4ggQT5bAB3SnFbGmTfaWClRlU1JM1tZMDsZKN8kyqMC1TKG1FahyaXBvcGzyafS3Bs+FyO8AL-IsVsULCIyaiapeiiUmBwIRSitLkaUbhc5gntwohZ5TL6O23prYwV7frsbdMabZbdtrzXro+MD0-n0-gMAUNwdMLiEwuEDj9EuC9LFyHskCcFCEAIY43HaQ42RHYPDnYpza43Gh4e54FZ4F64RpU5rDNLtOx4RzMoGMkGMsHEqKktLjDnLdZxChjJAiTElXF4+HSongAxRYaHXIqtVQkY5GUTNU1eLIDJkpiwrlZfXajAveIoJDca3Kw0YEHQ+UKrH4m1ugUQTUGuxqiHfQTUbCXUrXRah+6hlahmIbCAAJ0oGOwabSrgNNDTAE9KI6s+Bi-AALSEs0E9Fulwok35qMw2G+6zBmhqxxN8AZqtltLV+s0CtwEfO82Mb0+pVwGwnEONPvD9pyuaWjsLrvYNUWQiEIA
13:34:26: [INFO] Add SW11 footprint
13:34:26: [INFO] Add D11 footprint
13:34:26: [INFO] Add SW12 footprint
13:34:26: [INFO] Add D12 footprint
13:34:26: [INFO] Add SW13 footprint
13:34:26: [INFO] Add D13 footprint
13:34:26: [INFO] Add SW14 footprint
13:34:27: [INFO] Add D14 footprint
13:34:27: [INFO] Add SW15 footprint
13:34:27: [INFO] Add D15 footprint
13:34:27: [INFO] Add SW16 footprint
13:34:27: [INFO] Add D16 footprint
13:34:27: [INFO] Add SW17 footprint
13:34:27: [INFO] Add D17 footprint
13:34:27: [INFO] Add SW18 footprint
13:34:27: [INFO] Add D18 footprint
13:34:27: [INFO] Add SW19 footprint
13:34:27: [INFO] Add D19 footprint
13:34:27: [INFO] Add SW20 footprint
13:34:27: [INFO] Add D20 footprint
13:34:27: [INFO] Add SW21 footprint
13:34:27: [INFO] Add D21 footprint
13:34:27: [INFO] Add SW22 footprint
13:34:27: [INFO] Add D22 footprint
13:34:27: [INFO] Add SW23 footprint
13:34:27: [INFO] Add D23 footprint
13:34:27: [INFO] Add SW24 footprint
13:34:27: [INFO] Add D24 footprint
13:34:27: [INFO] Add SW25 footprint
13:34:27: [INFO] Add D25 footprint
13:34:27: [INFO] Add SW26 footprint
13:34:27: [INFO] Add D26 footprint
13:34:27: [INFO] Add SW27 footprint
13:34:27: [INFO] Add D27 footprint
13:34:27: [INFO] Add SW28 footprint
13:34:27: [INFO] Add D28 footprint
13:34:27: [INFO] Add SW29 footprint
13:34:27: [INFO] Add D29 footprint
13:34:27: [INFO] Add SW30 footprint
13:34:27: [INFO] Add D30 footprint
13:34:27: [INFO] Add SW31 footprint
13:34:28: [INFO] Add D31 footprint
13:34:28: [INFO] Add SW32 footprint
13:34:28: [INFO] Add D32 footprint
13:34:28: [INFO] Add SW33 footprint
13:34:28: [INFO] Add D33 footprint
13:34:28: [INFO] Add SW34 footprint
13:34:28: [INFO] Add D34 footprint
13:34:28: [INFO] Add SW35 footprint
13:34:28: [INFO] Add D35 footprint
13:34:28: [INFO] Add SW36 footprint
13:34:28: [INFO] Add D36 footprint
13:34:28: [INFO] Add SW37 footprint
13:34:28: [INFO] Add D37 footprint
13:34:28: [INFO] Add SW38 footprint
13:34:28: [INFO] Add D38 footprint
13:34:28: [INFO] Add SW39 footprint
13:34:28: [INFO] Add D39 footprint
13:34:28: [INFO] Add SW40 footprint
13:34:28: [INFO] Add D40 footprint
13:34:28: [INFO] Add SW41 footprint
13:34:28: [INFO] Add D41 footprint
13:34:28: [INFO] Add SW42 footprint
13:34:28: [INFO] Add D42 footprint
13:34:28: [INFO] Add SW43 footprint
13:34:28: [INFO] Add D43 footprint
13:34:28: [INFO] Add SW44 footprint
13:34:28: [INFO] Add D44 footprint
13:34:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:28: [INFO] Add ST44 footprint
13:34:28: [INFO] Add SW45 footprint
13:34:28: [INFO] Add D45 footprint
13:34:28: [INFO] Add SW46 footprint
13:34:28: [INFO] Add D46 footprint
13:34:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:34:28: [INFO] Add ST46 footprint
13:34:28: [INFO] Add SW47 footprint
13:34:28: [INFO] Add D47 footprint
13:34:28: [INFO] Add SW48 footprint
13:34:29: [INFO] Add D48 footprint
13:34:29: [INFO] Add SW49 footprint
13:34:29: [INFO] Add D49 footprint
13:34:29: [INFO] Add SW50 footprint
13:34:29: [INFO] Add D50 footprint
13:34:29: [INFO] Add SW51 footprint
13:34:29: [INFO] Add D51 footprint
13:34:29: [INFO] Add SW52 footprint
13:34:29: [INFO] Add D52 footprint
13:34:29: [INFO] Add SW53 footprint
13:34:29: [INFO] Add D53 footprint
13:34:29: [INFO] Add SW54 footprint
13:34:29: [INFO] Add D54 footprint
13:34:29: [INFO] Add SW55 footprint
13:34:29: [INFO] Add D55 footprint
13:34:29: [INFO] Add SW56 footprint
