=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:42: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBoEYGZUgAgjALA5VoFYMugGwYDeoAxqAFzIDEA7A46AL5IrgnlW1m98tsseKACZhkeIMjopuKUSl1xADnEBOcdA5To0ADoA7Q4ajbMMEcaMHTnAB7dwAOhHY2FaqBoBDX37wA7twirObQltYmMKAAupAAUMCkHjx8vALI0DCSmWh4WTj5MAqIydxefv5sQdTQLtihoFlmZZ40aemNBUVibFk5TdJFcrklg0p9kKqTGpNanClejEzV3HV0DXNicYmtqWkZoCLZeMfQMshnI0fFC+U+ld6Ba04bjcctXG0dFO+QvZcJKchmxjtdjmNjhNAdNAbNAfMkHsKo9nrV6n9dFZDM07m1lgxDmcIlZcUjQA5qM5XJj9JEDN1yYsHpU0Yg6jTQRZsQzojskl99vxGrBsjzRWZQKLzuLIJLpddpSVkSyqsgauyMWwJZwNRzNshpbqXpzDf9jdQRK8DVLINgeR8LYgrabbcoHXKnfqRZA1B7PsyfodpQH7gSlD7dHhpdsEgKAJ6Oerue5B1aWyOoWXQewvDYptqPJ7pxAELVmugenMxGJAA
13:39:46: [INFO] Placing additional elements for SW58
13:39:46: [INFO] Placing additional elements for SW57
13:39:46: [INFO] Placing additional elements for SW56
13:39:46: [INFO] Placing additional elements for SW55
13:39:46: [INFO] Placing additional elements for SW54
13:39:46: [INFO] Placing additional elements for SW53
13:39:46: [INFO] Placing additional elements for SW52
13:39:46: [INFO] Placing additional elements for SW51
13:39:46: [INFO] Placing additional elements for SW50
13:39:46: [INFO] Placing additional elements for SW49
13:39:46: [INFO] Placing additional elements for SW48
13:39:46: [INFO] Placing additional elements for SW47
13:39:46: [INFO] Placing additional elements for SW46
13:39:46: [INFO] Placing additional elements for SW45a
13:39:46: [INFO] Placing additional elements for SW45
13:39:46: [INFO] Placing additional elements for SW44a
13:39:46: [INFO] Placing additional elements for SW44
13:39:46: [INFO] Placing additional elements for SW43
13:39:46: [INFO] Placing additional elements for SW42
13:39:46: [INFO] Placing additional elements for SW41
13:39:46: [INFO] Placing additional elements for SW40
13:39:46: [INFO] Placing additional elements for SW39
13:39:46: [INFO] Placing additional elements for SW38
13:39:46: [INFO] Placing additional elements for SW37
13:39:46: [INFO] Placing additional elements for SW36
13:39:46: [INFO] Placing additional elements for SW35
13:39:46: [INFO] Placing additional elements for SW34
13:39:46: [INFO] Placing additional elements for SW33
13:39:46: [INFO] Placing additional elements for SW32
13:39:46: [INFO] Placing additional elements for SW31
13:39:46: [INFO] Placing additional elements for SW30
13:39:46: [INFO] Placing additional elements for SW29
13:39:46: [INFO] Placing additional elements for SW28
13:39:46: [INFO] Placing additional elements for SW27
13:39:46: [INFO] Placing additional elements for SW26
13:39:46: [INFO] Placing additional elements for SW25
13:39:46: [INFO] Placing additional elements for SW24
13:39:46: [INFO] Placing additional elements for SW23
13:39:46: [INFO] Placing additional elements for SW22
13:39:46: [INFO] Placing additional elements for SW21
13:39:46: [INFO] Placing additional elements for SW20
13:39:46: [INFO] Placing additional elements for SW19
13:39:46: [INFO] Placing additional elements for SW18
13:39:46: [INFO] Placing additional elements for SW17
13:39:46: [INFO] Placing additional elements for SW16
13:39:46: [INFO] Placing additional elements for SW15
13:39:46: [INFO] Placing additional elements for SW14
13:39:46: [INFO] Placing additional elements for SW13a
13:39:46: [INFO] Placing additional elements for SW13
13:39:46: [INFO] Placing additional elements for SW12
13:39:46: [INFO] Placing additional elements for SW11
13:39:46: [INFO] Placing additional elements for SW10
13:39:46: [INFO] Placing additional elements for SW9
13:39:46: [INFO] Placing additional elements for SW8
13:39:46: [INFO] Placing additional elements for SW7
13:39:46: [INFO] Placing additional elements for SW6
13:39:46: [INFO] Placing additional elements for SW5
13:39:46: [INFO] Placing additional elements for SW4
13:39:46: [INFO] Placing additional elements for SW3
13:39:46: [INFO] Placing additional elements for SW2
13:39:46: [INFO] Placing additional elements for SW1
13:39:46: [INFO] Routing SW63 with D63
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW63:2' at (97790000, 90170000) with pad 'D63:2' at (100330000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 90170000), (97790000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 95310000), (100330000, 97850000)]
13:39:46: [INFO] Routing SW62 with D62
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW62:2' at (78740000, 90170000) with pad 'D62:2' at (81280000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 90170000), (78740000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 95310000), (81280000, 97850000)]
13:39:46: [INFO] Routing SW61a with D61
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW61a:2' at (50165000, 90170000) with pad 'D61:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Routing SW61 with D61
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW61:2' at (59690000, 90170000) with pad 'D61:2' at (62230000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 90170000), (59690000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 95310000), (62230000, 97850000)]
13:39:46: [INFO] Routing SW60 with D60
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW60:2' at (40640000, 90170000) with pad 'D60:2' at (43180000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 90170000), (40640000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 95310000), (43180000, 97850000)]
13:39:46: [INFO] Routing SW59 with D59
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW59:2' at (345440000, 90170000) with pad 'D59:2' at (347980000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(345440000, 90170000), (345440000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(345440000, 95310000), (347980000, 97850000)]
13:39:46: [INFO] Routing SW58 with D58
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW58:2' at (326390000, 90170000) with pad 'D58:2' at (328930000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(326390000, 90170000), (326390000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(326390000, 95310000), (328930000, 97850000)]
13:39:46: [INFO] Routing SW57 with D57
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW57:2' at (307340000, 90170000) with pad 'D57:2' at (309880000, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(307340000, 90170000), (307340000, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(307340000, 95310000), (309880000, 97850000)]
13:39:46: [INFO] Routing SW56 with D56
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW56:2' at (285908750, 90170000) with pad 'D56:2' at (288448750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(285908750, 90170000), (285908750, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(285908750, 95310000), (288448750, 97850000)]
13:39:46: [INFO] Routing SW55 with D55
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW55:2' at (252571250, 90170000) with pad 'D55:2' at (255111250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(252571250, 90170000), (252571250, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(252571250, 95310000), (255111250, 97850000)]
13:39:46: [INFO] Routing SW54 with D54
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW54:2' at (238283750, 90170000) with pad 'D54:2' at (240823750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(238283750, 90170000), (238283750, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(238283750, 95310000), (240823750, 97850000)]
13:39:46: [INFO] Routing SW53 with D53
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW53:2' at (204946250, 90170000) with pad 'D53:2' at (207486250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(204946250, 90170000), (204946250, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(204946250, 95310000), (207486250, 97850000)]
13:39:46: [INFO] Routing SW52 with D52
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW52:2' at (166846250, 90170000) with pad 'D52:2' at (169386250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(166846250, 90170000), (166846250, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(166846250, 95310000), (169386250, 97850000)]
13:39:46: [INFO] Routing SW51 with D51
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW51:2' at (143033750, 90170000) with pad 'D51:2' at (145573750, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(143033750, 90170000), (143033750, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(143033750, 95310000), (145573750, 97850000)]
13:39:46: [INFO] Routing SW50 with D50
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW50:2' at (119221250, 90170000) with pad 'D50:2' at (121761250, 97850000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(119221250, 90170000), (119221250, 95310000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(119221250, 95310000), (121761250, 97850000)]
13:39:46: [INFO] Routing SW49 with D49
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW49:2' at (97790000, 71120000) with pad 'D49:2' at (100330000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 71120000), (97790000, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(97790000, 76260000), (100330000, 78800000)]
13:39:46: [INFO] Routing SW48 with D48
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW48:2' at (78740000, 71120000) with pad 'D48:2' at (81280000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 71120000), (78740000, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(78740000, 76260000), (81280000, 78800000)]
13:39:46: [INFO] Routing SW47 with D47
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW47:2' at (59690000, 71120000) with pad 'D47:2' at (62230000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 71120000), (59690000, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(59690000, 76260000), (62230000, 78800000)]
13:39:46: [INFO] Routing SW46 with D46
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW46:2' at (40640000, 71120000) with pad 'D46:2' at (43180000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 71120000), (40640000, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(40640000, 76260000), (43180000, 78800000)]
13:39:46: [INFO] Routing SW45a with D45
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW45a:2' at (343058750, 71120000) with pad 'D45:2' at (347980000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Routing SW45 with D45
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW45:2' at (345440000, 71120000) with pad 'D45:2' at (347980000, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Routing SW44a with D44
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW44a:2' at (321627500, 71120000) with pad 'D44:2' at (326548750, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Routing SW44 with D44
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW44:2' at (324008750, 71120000) with pad 'D44:2' at (326548750, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Routing SW43 with D43
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW43:2' at (302577500, 71120000) with pad 'D43:2' at (305117500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(302577500, 71120000), (302577500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(302577500, 76260000), (305117500, 78800000)]
13:39:46: [INFO] Routing SW42 with D42
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW42:2' at (283527500, 71120000) with pad 'D42:2' at (286067500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(283527500, 71120000), (283527500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(283527500, 76260000), (286067500, 78800000)]
13:39:46: [INFO] Routing SW41 with D41
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW41:2' at (264477500, 71120000) with pad 'D41:2' at (267017500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(264477500, 71120000), (264477500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(264477500, 76260000), (267017500, 78800000)]
13:39:46: [INFO] Routing SW40 with D40
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW40:2' at (245427500, 71120000) with pad 'D40:2' at (247967500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(245427500, 71120000), (245427500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(245427500, 76260000), (247967500, 78800000)]
13:39:46: [INFO] Routing SW39 with D39
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW39:2' at (226377500, 71120000) with pad 'D39:2' at (228917500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(226377500, 71120000), (226377500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(226377500, 76260000), (228917500, 78800000)]
13:39:46: [INFO] Routing SW38 with D38
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW38:2' at (207327500, 71120000) with pad 'D38:2' at (209867500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(207327500, 71120000), (207327500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(207327500, 76260000), (209867500, 78800000)]
13:39:46: [INFO] Routing SW37 with D37
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW37:2' at (188277500, 71120000) with pad 'D37:2' at (190817500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(188277500, 71120000), (188277500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(188277500, 76260000), (190817500, 78800000)]
13:39:46: [INFO] Routing SW36 with D36
13:39:46: [INFO] Using internal autorouter method
13:39:46: [INFO] Routing pad 'SW36:2' at (169227500, 71120000) with pad 'D36:2' at (171767500, 78800000) using coordinate system rotated by 0 degree(s)
13:39:46: [INFO] Adding track segment (B.Cu): [(169227500, 71120000), (169227500, 76260000)]
13:39:46: [INFO] Adding track segment (B.Cu): [(169227500, 76260000), (171767500, 78800000)]
13:39:46: [INFO] Routing SW35 with D35
