=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgCwF8A0dwAYUPGi14BGDVdLQgZnAF0UAoMKWOCtcAT2YFoMA6ATlKYUVPEyJCsAVlxx8zABySUhAEyz5EtuRy0GmuArad4PXgqnKA7LOELbWfg5UYN4uFwBsyz24JxvbRVCGnpGEw8+fksg1zF-QmV1eOZCZCDCGRStMhUbPUYE424o5RDsuEJA3KrQ-XdM4tM+dPRCFVE5dy41IXbdMINWdAizQTZ2zoNEiZQsrv8lWbU-VL6VAfr-TybI8xi2lF8KmcObWftZp2W4hbXlkIKIUaiD8Hbb6fXku6JW95U8y+y3ygwauzG63Kv0q1QBtSe7gQEJaQlU2FWRBIbHRlDqhWYww4JQEaJEmMqZKB7iW6FxP2BdI2+IMOxGJIsZOOMNO4HR5yZlyZ1yZxApvNxjzBLwEb3RnwaZIZDX+uOpCTJhFBW1SKNJOJU4rhuN8iP8yPZzV4-1YOBO2PQrDxZsJevGjvJJyErHVim9KmVGrYTs2BPgbOJVs5waOFLhTuhBi8-oF4FYQrTKBFmbFiJl0X9CqDHsDqRtgPF-q1LPBlr27pzRqrprB5r1-2Rdp5DvAyOdrdddchbGRU0VI7mFNpvYDlYnaRriz10fQyNTyIzyOzfdceZJBYnRfuq5Qpb+Qj7vpyM+rLqIbovhpOcL7LZ14d4qikbrYAHdUrwbzItyBgIIBf4AUBwQ0NQQA
13:37:02: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:02: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:02: [INFO] Layout offset: (28575000, 28575000)
13:37:02: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:02: [INFO] Placing additional elements for SW90
13:37:02: [INFO] Placing additional elements for SW89
13:37:02: [INFO] Placing additional elements for SW88
13:37:02: [INFO] Placing additional elements for SW87
13:37:02: [INFO] Placing additional elements for SW86
13:37:02: [INFO] Placing additional elements for SW85
13:37:02: [INFO] Placing additional elements for SW84
13:37:02: [INFO] Placing additional elements for SW83
13:37:02: [INFO] Placing additional elements for SW82
13:37:02: [INFO] Placing additional elements for SW81
13:37:02: [INFO] Placing additional elements for SW80
13:37:02: [INFO] Placing additional elements for SW79
13:37:02: [INFO] Placing additional elements for SW78
13:37:02: [INFO] Placing additional elements for SW77
13:37:02: [INFO] Placing additional elements for SW76
13:37:02: [INFO] Placing additional elements for SW75
13:37:02: [INFO] Placing additional elements for SW74
13:37:02: [INFO] Placing additional elements for SW73
13:37:02: [INFO] Placing additional elements for SW72
13:37:02: [INFO] Placing additional elements for SW71
13:37:02: [INFO] Placing additional elements for SW70
13:37:02: [INFO] Placing additional elements for SW69
13:37:02: [INFO] Placing additional elements for SW68
13:37:02: [INFO] Placing additional elements for SW67
13:37:02: [INFO] Placing additional elements for SW66
13:37:02: [INFO] Placing additional elements for SW65
13:37:02: [INFO] Placing additional elements for SW64
13:37:02: [INFO] Placing additional elements for SW63
13:37:02: [INFO] Placing additional elements for SW62
13:37:02: [INFO] Placing additional elements for SW61
13:37:02: [INFO] Placing additional elements for SW60
13:37:02: [INFO] Placing additional elements for SW59
13:37:02: [INFO] Placing additional elements for SW58
13:37:02: [INFO] Placing additional elements for SW57
13:37:02: [INFO] Placing additional elements for SW56
13:37:02: [INFO] Placing additional elements for SW55
13:37:02: [INFO] Placing additional elements for SW54
13:37:02: [INFO] Placing additional elements for SW53
