=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:47: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoCsAaO4DGtMGIB2I48AXw3AAY1LwBdNAKDClwBYkD1MBPXAWkpIAHN2y5weLNJlkK1AMzgMEaPGGpymaggBM9JizVxdnMX3iCkATi1U0CZdrT6VreAiEo7OpW5zwkgCGIaFO4ADuuLo+DmwAOgB2SUnUtG7GQrre8nEpyYk64boOCvmpDgbMqrjI2RQWcFbZdgg0VUa1bA0CQsIUAfgysq0OjgzV7iaoPZZC1mKDwaEh4VEemhRtjv4SUsM4o65wNR5ClKN64dt+J5G1m5jbbB2niLNNWYt7K6t2JbQJp14KZ6rxemYKOtEGZ-pVdoF9sM5JgSsc3tZHuASggdqiHOjxIjiCQodEkC0KDiXkC3iVMEs8L8gmtyZTMAp4XdGQdDhROYTjJiLvyxuFOVcEfhmayQbDRQgygUkm10ndMhSxNDkFw7BKlfltuK8srEkbaVN6fcNjlMN08W9FZDMNqsfaaYYIAAnWrUTDGFAiD78ABsSD9RKGBxR9heuRQ4WoIcTaAIrymgYUo1u4DacaeaATWzQyYtAaQbFt2LQOZK+erRfxpc9GZsVc5Oc59c5jfAnObk2MBAGexJRFl03Z4G6jYgjJlZI2U+6A+BcED5ghC0XMKr3Q9kx9lk8FCFQfBx84I8RvJj1GEKesKc8z-GLbPbFGaeLD+LT+LL5lrgmK6lSqbFGgv74v++KAe+wFIFmorfhykHGjBfYOIC8HwJi3QMqOY4TqYoF2mhQEeKYCCbnMNjXtKvwTsge5YfQdBAA
13:36:51: [INFO] Add D53 footprint
13:36:51: [INFO] Add SW54 footprint
13:36:51: [INFO] Add D54 footprint
13:36:51: [INFO] Add SW55 footprint
13:36:51: [INFO] Add D55 footprint
13:36:51: [INFO] Add SW56 footprint
13:36:51: [INFO] Add D56 footprint
13:36:51: [INFO] Add SW57 footprint
13:36:51: [INFO] Add D57 footprint
13:36:51: [INFO] Add SW58 footprint
13:36:51: [INFO] Add D58 footprint
13:36:51: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:51: [INFO] Add ST58 footprint
13:36:51: [INFO] Add SW58a footprint
13:36:51: [INFO] Add SW59 footprint
13:36:51: [INFO] Add D59 footprint
13:36:51: [INFO] Add SW60 footprint
13:36:51: [INFO] Add D60 footprint
13:36:51: [INFO] Add SW61 footprint
13:36:51: [INFO] Add D61 footprint
13:36:51: [INFO] Add SW62 footprint
13:36:51: [INFO] Add D62 footprint
13:36:51: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:36:51: [INFO] Add ST62 footprint
13:36:51: [INFO] Add SW63 footprint
13:36:51: [INFO] Add D63 footprint
13:36:51: [INFO] Add SW64 footprint
13:36:51: [INFO] Add D64 footprint
13:36:51: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:36:51: [INFO] Add ST64 footprint
13:36:51: [INFO] Add SW65 footprint
13:36:51: [INFO] Add D65 footprint
13:36:51: [INFO] Add SW66 footprint
13:36:51: [INFO] Add D66 footprint
13:36:51: [INFO] Detected layout convertible to matrix annotated keyboard
13:36:51: [INFO] Using key 1U distance: (19.05, 19.05) mm
