=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:05: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14A2VdAVm3AF0UAoMKWOAFjXAE9GBaDAOgA5irLE1xx8jJiXDkR1OuPgAmVh3jceATkKShKRaIVw+U8vrn0CcculVx1fLVKykDDJSZQvzhgIwquvFqKpE4oPq6WPhge4d7sATwIfADsIboYEYw+ih4ZcZYI-mqByKx+OHhucILohBT5EkV2vAJSfiKVljq1KLK0FozKNgla3eB++p2Mxqx1Zv2G1vHF-I5lnpnusxsN8H7DK0Fp6H7hU3vR27ELy82JKUsAxozgAMTJH5-gbSgZ53DZVjPeBvR5g8HfbZ5G4FJrqDSldDKCpiKo1cDJeowxoHO4CVgAO0YABcAE4AVwAplJlB1UV1CSSKdTWJi+vIqkNbvDtDS9JsjFJMfMOZYlrZ7GskRt-jlWTtsXs4YFCME+Wd6VlLuhMdcORLeElUkCXq8AIYWy2Q6V-TV7LnA9CvcEQoW-KiKxDKzSI8CFFGGdF8LGinHclrowp0wxjYPsgZKb2jKSFSZ2wWsYMihNWb0OSMy9Ny9DBrye-bhzSq45+sICqJSYN6+gG+7G9COt6Wq0p93-QEd02fL6N927L24+G+lgBtEmkHOl3PKQaEM5rmtviKFiDhfdi3W8AsNOGYO7p1L5esVfZ3x50h8J6m-dmw8sDW+LDn0FLw+r5sQKSjAIF+4Ckgy6CkrYSyWLw4oJO24Cdua+6iOAAAWWQ8DWLDRkhQ7DskaGYXs2FSCwZYckBaggaw4FaqwlicIo2HeohJEAmR16FhAyEvsRWE1qusiUEAA
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 95504000), (193040000, 100644000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 100644000), (195580000, 103184000)]
13:30:10: [INFO] Routing SW52 with D52
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW52:2' at (212090000, 92837000) with pad 'D52:2' at (214630000, 100517000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 92837000), (212090000, 97977000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 97977000), (214630000, 100517000)]
13:30:10: [INFO] Routing SW51 with D51
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW51:2' at (231140000, 90170000) with pad 'D51:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 90170000), (231140000, 95310000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 95310000), (233680000, 97850000)]
13:30:10: [INFO] Routing SW50 with D50
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW50:2' at (250190000, 93522800) with pad 'D50:2' at (252730000, 101202800) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 93522800), (250190000, 98662800)]
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 98662800), (252730000, 101202800)]
13:30:10: [INFO] Routing SW49 with D49
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW49:2' at (269240000, 96218375) with pad 'D49:2' at (271780000, 103898375) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 96218375), (269240000, 101358375)]
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 101358375), (271780000, 103898375)]
13:30:10: [INFO] Routing SW48 with D48
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW48:2' at (288290000, 107886500) with pad 'D48:2' at (290830000, 115566500) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 107886500), (288290000, 113026500)]
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 113026500), (290830000, 115566500)]
13:30:10: [INFO] Routing SW47 with D47
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW47:2' at (193040000, 76454000) with pad 'D47:2' at (195580000, 84134000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 76454000), (193040000, 81594000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(193040000, 81594000), (195580000, 84134000)]
13:30:10: [INFO] Routing SW46 with D46
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW46:2' at (212090000, 73787000) with pad 'D46:2' at (214630000, 81467000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 73787000), (212090000, 78927000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(212090000, 78927000), (214630000, 81467000)]
13:30:10: [INFO] Routing SW45 with D45
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW45:2' at (231140000, 71120000) with pad 'D45:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
13:30:10: [INFO] Adding track segment (B.Cu): [(231140000, 76260000), (233680000, 78800000)]
13:30:10: [INFO] Routing SW44 with D44
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW44:2' at (250190000, 74472800) with pad 'D44:2' at (252730000, 82152800) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 74472800), (250190000, 79612800)]
13:30:10: [INFO] Adding track segment (B.Cu): [(250190000, 79612800), (252730000, 82152800)]
13:30:10: [INFO] Routing SW43 with D43
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW43:2' at (269240000, 77168375) with pad 'D43:2' at (271780000, 84848375) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 77168375), (269240000, 82308375)]
13:30:10: [INFO] Adding track segment (B.Cu): [(269240000, 82308375), (271780000, 84848375)]
13:30:10: [INFO] Routing SW42 with D42
13:30:10: [INFO] Using internal autorouter method
13:30:10: [INFO] Routing pad 'SW42:2' at (288290000, 88836500) with pad 'D42:2' at (290830000, 96516500) using coordinate system rotated by 0 degree(s)
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 88836500), (288290000, 93976500)]
13:30:10: [INFO] Adding track segment (B.Cu): [(288290000, 93976500), (290830000, 96516500)]
13:30:10: [INFO] Routing SW41 with D41
13:30:10: [INFO] Using internal autorouter method
