=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPAXRQFBhSxwBMa4AnqQLQYB0A7AKyrpZnhoTTwCM7TCgAs3DihZ5CxPnH6Ua8eszaUs-aUQhK4K1pQDGpcAGImFy+CFYMW2aQSK6jA+mPwzh7z+uUFOPjaJPAU6Lr6augKXDwh8kIKYv6S9rykCuEuqokomkHEEa4sRiamAIaVVX7RKHYF6fBOWcrFpZ6mPr5CFIEyjeTOrTmUFLFwA4KjouLgFFIN8ZnU2aw9eWkrw27gHugVVZU1c3Wbcs1bem3uZV3ex059wXJhl5FCTuOTHzOUTgv9JZDK4jdBOfKAoqqdr7Q5HH71QHnYHvSgibBnUivKFrNEoL5LITosSLKFRcDoxHBABOchY0PQ1N09JK6DkkRR-AYZFZuzKlislAAFhkGOT0QCaXIAGwMdGM3Sy5bnBgADl5ESVMK8d2OJSeDgEao1q3JJU0lBKBLkXIwQhKJKRpHp6pRxXtqUWMuNbtB4BK0sxTR9LRBuPQ0oxXtFrtDqIjG0oketortSZm0fgLpN23Jkclhrgstjb3d6cDmcQIdLfqYUadRpLOPJdYt6DrKaNafbGYbcGzvvD4DrBYGxZzYZbKArfYQ1ebQlV9eeMYn8fAS7bG-x4kmDG728dK6z89Ni89ffHg-JS5nx6rTbPlAAnMvCyoEEu49c+R04eVZhFUJuXFadd3iRgyAuPYzAFCxAKxEChFfOw4iA+QxWQxMJl-WE4WOV9OwwrAbg6O5jCwo933peUax2GCDkOY50TbSZIN5BjyIIi97yvb8GVwsx-24itcCAA
13:39:00: [INFO] Add ROW3 net
13:39:00: [INFO] Add ROW4 net
13:39:00: [INFO] Add ROW5 net
13:39:00: [INFO] Add ROW6 net
13:39:00: [INFO] Add ROW7 net
13:39:00: [INFO] Add ROW8 net
13:39:00: [INFO] Add ROW9 net
13:39:00: [INFO] Add SW1 footprint
13:39:00: [INFO] Add D1 footprint
13:39:00: [INFO] Add SW2 footprint
13:39:00: [INFO] Add D2 footprint
13:39:00: [INFO] Add SW3 footprint
13:39:00: [INFO] Add D3 footprint
13:39:00: [INFO] Add SW4 footprint
13:39:00: [INFO] Add D4 footprint
13:39:00: [INFO] Add SW5 footprint
13:39:00: [INFO] Add D5 footprint
13:39:00: [INFO] Add SW6 footprint
13:39:00: [INFO] Add D6 footprint
13:39:00: [INFO] Add SW7 footprint
13:39:00: [INFO] Add D7 footprint
13:39:00: [INFO] Add SW8 footprint
13:39:00: [INFO] Add D8 footprint
13:39:00: [INFO] Add SW9 footprint
13:39:00: [INFO] Add D9 footprint
13:39:00: [INFO] Add SW10 footprint
13:39:00: [INFO] Add D10 footprint
13:39:00: [INFO] Add SW11 footprint
13:39:00: [INFO] Add D11 footprint
13:39:00: [INFO] Add SW12 footprint
13:39:00: [INFO] Add D12 footprint
13:39:00: [INFO] Add SW13 footprint
13:39:00: [INFO] Add D13 footprint
13:39:00: [INFO] Add SW14 footprint
13:39:00: [INFO] Add D14 footprint
13:39:00: [INFO] Add SW15 footprint
13:39:00: [INFO] Add D15 footprint
13:39:00: [INFO] Add SW16 footprint
13:39:01: [INFO] Add D16 footprint
13:39:01: [INFO] Add SW17 footprint
13:39:01: [INFO] Add D17 footprint
