=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SA0dwE9ZwAwoBMSAvpuPuggMwA6Ado41QuBawCzNMOvgBddACgwUPAgDsKSWQ7UkgkWOjwiaCrngBaQrIoBjPOADEk8xfDksVfOzgQj8Uwddur8tvKL3K6Gr5UnIHoivIAbCGSIQAcIQCcIQh2nl421D6YjsYmAIb5Bb4A7nhE1n60PCzoKQ7i8AgaWE5YJm7u5ayRntGecZ6JQqIQqnDqGM05BYUUJQ1o5Qg19tnObe1Gi9S+S5lYSwEUS8FHoTvo3fvovVf9V4mnyecIaeBLCHsQc4gLj-S8jCWtRGeEIJC2yBW9QIxDkVwQlze1BuSIQdwgAAtShD4lUGDRllloYQ4ajcQD8dsiaNGhNwC1TBZLLMJLCKFi1LMfPM6RjuYgKJB+bpYeUiNR-jx3kphtDxoYptNcsVWbIxYS6gz1u0PFhxa9xXtwOLDnr0CczWEzYjxSjxXdjegHmanhR9WlVq0meYVWpRW6JXigVDRmC6VqNpsA5DqaD-S6bcjfPr0dDaeqEOSeASPcTfi6iEHtkMxFqlcqWfNwRQCfg8fqoRGNrrwDn61S6qG2ZM1uXfWN462au3gfScpGWwSjQTTUOLUOrUPEQSUQSHQTnUPXVgc7my0r++o1TWMiHWeHx83yjnl0mT2ioRyxtfqFneJwNSD4CSX5m8R+2BLL9EGkfQsC0OARTAsc1m9aJf0UIC5SaHA8BFEgFV7A9Kx+UkPzrCkMFqcAALxIioW+dMKA-QtCM-GDWgnHDwkHD9wjI+j92mftGmrLAAIInhyKJSjWOoBAONHUS+JIjJJLPeAaBQpsdXKACUQA1MaXzWS-wpACZRUCQWOgiCoIvWDvRbADZwAxcAMiJDRnlcC0LDTDWj7HCqP44c6NeUj-Io881PQWihI7T0XGbHDJFC9igqJLiZiwUS8PEjjczS0KPkywzgJc8BpPSwTeAwI1Aoiz4itZGSaI46qVPcWL4oaxtFW47yxOSNrqIyujquKnLwrKsLBAEIA
13:40:53: [INFO] Add SW22 footprint
13:40:53: [INFO] Add D22 footprint
13:40:53: [INFO] Add SW23 footprint
13:40:53: [INFO] Add D23 footprint
13:40:53: [INFO] Add SW24 footprint
13:40:53: [INFO] Add D24 footprint
13:40:53: [INFO] Add SW25 footprint
13:40:53: [INFO] Add D25 footprint
13:40:53: [INFO] Add SW26 footprint
13:40:53: [INFO] Add D26 footprint
13:40:53: [INFO] Add SW27 footprint
13:40:53: [INFO] Add D27 footprint
13:40:53: [INFO] Add SW28 footprint
13:40:53: [INFO] Add D28 footprint
13:40:53: [INFO] Add SW29 footprint
13:40:53: [INFO] Add D29 footprint
13:40:54: [INFO] Add SW30 footprint
13:40:54: [INFO] Add D30 footprint
13:40:54: [INFO] Add SW31 footprint
13:40:54: [INFO] Add D31 footprint
13:40:54: [INFO] Add SW32 footprint
13:40:54: [INFO] Add D32 footprint
13:40:54: [INFO] Add SW33 footprint
13:40:54: [INFO] Add D33 footprint
13:40:54: [INFO] Add SW34 footprint
13:40:54: [INFO] Add D34 footprint
13:40:54: [INFO] Add SW35 footprint
13:40:54: [INFO] Add D35 footprint
13:40:54: [INFO] Add SW36 footprint
13:40:54: [INFO] Add D36 footprint
13:40:54: [INFO] Add SW37 footprint
13:40:54: [INFO] Add D37 footprint
13:40:54: [INFO] Add SW38 footprint
13:40:54: [INFO] Add D38 footprint
13:40:54: [INFO] Add SW39 footprint
13:40:54: [INFO] Add D39 footprint
13:40:54: [INFO] Add ST39 footprint
13:40:54: [INFO] Add SW39a footprint
13:40:54: [INFO] Add SW40 footprint
13:40:54: [INFO] Add D40 footprint
13:40:54: [INFO] Add SW41 footprint
13:40:54: [INFO] Add D41 footprint
13:40:54: [INFO] Add SW42 footprint
13:40:54: [INFO] Add D42 footprint
13:40:54: [INFO] Add SW43 footprint
13:40:54: [INFO] Add D43 footprint
13:40:54: [INFO] Add SW44 footprint
13:40:54: [INFO] Add D44 footprint
13:40:54: [INFO] Add SW45 footprint
13:40:54: [INFO] Add D45 footprint
13:40:54: [INFO] Add SW46 footprint
