=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:39:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMId5w8BDN9uzAd1wEZVymar04NczLJKlkK1BJypoAzAuoAWVWhSaAbJoKaAHJoCcm3rVlpeIq73n1s41uzYKe8fikGLeSgDoAdkFB1JZwENCeSAjomIz4xCQUHnD8sRQAFrgIKfLRceCZ+WkUkCUAtJQx3nYBwQ3ColB8SNTxzq5uKa21Qtb1IYFy4AC6aABQYC3wyH3gvDTNqfwE84u2EU5MeFLSPosOmIsqFIsaZ1oKi3qXBpfGl2aXFtfWm2I7SUTuOTUHAyGoSWjiicGqGQ6Oz2khkx2sCCBw2szTBXgB9iRI0cCWY33u3FasQxg0aaHk4ymn3wXRYv2ixIouV4SI2zVxuxhcPAuURDSCbNBuAhhQ5tO5uXCEFSyEZmGZrJBWw5MJwPlyp3laAuWu0TLQty1BJ5aEeWueWte+psCmZR2pzHFPWia3VAzGk2mYLmPiUNCRkuWRPmfpZ-MCgYofr5Q0jWxW-yjygDSodnL29LgBF9aAIKal2xpXUz6RD1ko+YUoZjDTj0uDOb8lcpXr+hQAnsKBEmK+HmUGCo2Ux9wAm5eBo8OB2lu5g-aSgv2cc5VZmEDmUFPHDLE3Pc1vlZ1i86Z2WTAf6wyyxYL6OG0nMX2Udveo2FxGUaNRkA
13:39:23: [INFO] Add D52 footprint
13:39:23: [INFO] Add SW52a footprint
13:39:23: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:23: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:23: [INFO] Layout offset: (38100000, 28575000)
13:39:23: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:23: [INFO] Placing additional elements for SW52a
13:39:23: [INFO] Placing additional elements for SW52
13:39:23: [INFO] Placing additional elements for SW51a
13:39:23: [INFO] Placing additional elements for SW51
13:39:23: [INFO] Placing additional elements for SW50a
13:39:23: [INFO] Placing additional elements for SW50
13:39:23: [INFO] Placing additional elements for SW49
13:39:23: [INFO] Placing additional elements for SW48a
13:39:23: [INFO] Placing additional elements for SW48
13:39:23: [INFO] Placing additional elements for SW47
13:39:23: [INFO] Placing additional elements for SW46a
13:39:23: [INFO] Placing additional elements for SW46
13:39:23: [INFO] Placing additional elements for SW45a
13:39:23: [INFO] Placing additional elements for SW45
13:39:23: [INFO] Placing additional elements for SW44a
13:39:23: [INFO] Placing additional elements for SW44
13:39:23: [INFO] Placing additional elements for SW43
13:39:23: [INFO] Placing additional elements for SW42
13:39:23: [INFO] Placing additional elements for SW41
13:39:23: [INFO] Placing additional elements for SW40
