=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:21: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0B2ArAXwDR3AAw4IAsAOgHaWVELh4QDGs+AxAIadfi760bUqFWuAC6OAFBgoLAEwoMecAE8WBFLOxKiBenAjR46zb0LE9Z2XqYtwrRg8c9tOAMwWiJDzgzek3tG8ADm8ATm8EXRcEOmiraPcGcGZ4Oy5uJQB3OVN+QRocKP0ZIw0tfARiX3EpAzkFU0qiutLNLJYEBqVK2OKUtkcnRpx4ircLSq9unwmcf2nA6ZDp8OnI2ZiN0fAexOLs+E7yneJyIUpXQusSuGNFfH609PZnfFkq-IoSK6TDRHR7uADv82vgABZyLJWQ4KJRg6GIJSQBEAWjupnepE+l16LVuZThOSUOIE5y+5hq0j+8mO72aNzu7RhmAx5iSj3sg2YrO27z24HeUzeMyU73mwsWwuWwtWwvWouIvQFxFGNlSHGeFmB8hMCqxZMu9L+6OJHzJ3yNagBSg5XO5etc2IpkmkHOeLyZIOOOM+PWutq5r3Al1kvrZxWNBIetg16SDhuukdBQPquvwPrJTX9Mbt8fGpqFwZF6bmFkukqL0qLsqL8pLm1NCFVyRj7q19RZjcdZLpiatafA331gkUltagOBnU79e7gkxZdOn3nv37gIh8FkpiHpJHztqNxpW5+EdXnqOR4QnyQx8HIyvx4gk66+G+s6E1-pAcG7fgaCPQXvT9W01M9n1vGJAIsIdQzJD9rifY4hzfSg4JXccLx3IRRzEF08Vca18FUcdQMQ4h71xcAABMWAAFwAJwAVwAUyPGDBGvCiEKPZCKA47N1VzT0-yUb4ANg8M1TYNsSIvS9xIo6j4Ho5iLzY98JJTGFSIQHi+MpPCCJUU98AQpRFLgZSWJEsjxO2b41JQkZ4I6MDX3vZsvycIT-3c-ipJAkyXO0uT2Kc6ym18pJTPwczLIvXSnNEUQgA
13:32:23: [INFO] Add SW20 footprint
13:32:23: [INFO] Add D20 footprint
13:32:23: [INFO] Add SW21 footprint
13:32:23: [INFO] Add D21 footprint
13:32:23: [INFO] Add SW22 footprint
13:32:23: [INFO] Add D22 footprint
13:32:23: [INFO] Add SW23 footprint
13:32:23: [INFO] Add D23 footprint
13:32:23: [INFO] Add SW24 footprint
13:32:23: [INFO] Add D24 footprint
13:32:23: [INFO] Add SW25 footprint
13:32:23: [INFO] Add D25 footprint
13:32:23: [INFO] Add SW26 footprint
13:32:23: [INFO] Add D26 footprint
13:32:23: [INFO] Add SW27 footprint
13:32:23: [INFO] Add D27 footprint
13:32:23: [INFO] Add SW28 footprint
13:32:23: [INFO] Add D28 footprint
13:32:23: [INFO] Add SW29 footprint
13:32:24: [INFO] Add D29 footprint
13:32:24: [INFO] Add SW30 footprint
13:32:24: [INFO] Add D30 footprint
13:32:24: [INFO] Add SW31 footprint
13:32:24: [INFO] Add D31 footprint
13:32:24: [INFO] Add SW32 footprint
13:32:24: [INFO] Add D32 footprint
13:32:24: [INFO] Add SW33 footprint
13:32:24: [INFO] Add D33 footprint
13:32:24: [INFO] Add SW34 footprint
13:32:24: [INFO] Add D34 footprint
13:32:24: [INFO] Add SW35 footprint
13:32:24: [INFO] Add D35 footprint
13:32:24: [INFO] Add SW36 footprint
13:32:24: [INFO] Add D36 footprint
13:32:24: [INFO] Add SW37 footprint
13:32:24: [INFO] Add D37 footprint
13:32:24: [INFO] Add SW38 footprint
13:32:24: [INFO] Add D38 footprint
13:32:24: [INFO] Add SW39 footprint
13:32:24: [INFO] Add D39 footprint
13:32:24: [INFO] Add SW40 footprint
13:32:24: [INFO] Add D40 footprint
13:32:24: [INFO] Add SW41 footprint
13:32:24: [INFO] Add D41 footprint
13:32:24: [INFO] Add SW42 footprint
13:32:24: [INFO] Add D42 footprint
13:32:24: [INFO] Add SW43 footprint
13:32:24: [INFO] Add D43 footprint
13:32:24: [INFO] Add SW44 footprint
13:32:24: [INFO] Add D44 footprint
13:32:24: [INFO] Add SW45 footprint
13:32:24: [INFO] Add D45 footprint
13:32:24: [INFO] Add SW46 footprint
13:32:24: [INFO] Add D46 footprint
13:32:24: [INFO] Add SW47 footprint
13:32:24: [INFO] Add D47 footprint
13:32:24: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:24: [INFO] Add ST47 footprint
13:32:24: [INFO] Add SW47a footprint
13:32:24: [INFO] Add ST47a footprint
13:32:24: [INFO] Add SW48 footprint
13:32:25: [INFO] Add D48 footprint
13:32:25: [INFO] Add SW49 footprint
13:32:25: [INFO] Add D49 footprint
13:32:25: [INFO] Add SW50 footprint
13:32:25: [INFO] Add D50 footprint
13:32:25: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:25: [INFO] Add ST50 footprint
13:32:25: [INFO] Add SW50a footprint
13:32:25: [INFO] Add SW51 footprint
13:32:25: [INFO] Add D51 footprint
13:32:25: [INFO] Add SW52 footprint
13:32:25: [INFO] Add D52 footprint
13:32:25: [INFO] Add SW53 footprint
13:32:25: [INFO] Add D53 footprint
13:32:25: [INFO] Add SW54 footprint
13:32:25: [INFO] Add D54 footprint
13:32:25: [INFO] Add SW55 footprint
13:32:25: [INFO] Add D55 footprint
13:32:25: [INFO] Add SW56 footprint
13:32:25: [INFO] Add D56 footprint
13:32:25: [INFO] Add SW57 footprint
13:32:25: [INFO] Add D57 footprint
13:32:25: [INFO] Add SW58 footprint
13:32:25: [INFO] Add D58 footprint
13:32:25: [INFO] Add SW59 footprint
13:32:25: [INFO] Add D59 footprint
13:32:25: [INFO] Add SW60 footprint
13:32:25: [INFO] Add D60 footprint
13:32:25: [INFO] Add SW61 footprint
13:32:25: [INFO] Add D61 footprint
13:32:25: [INFO] Add SW62 footprint
13:32:25: [INFO] Add D62 footprint
13:32:25: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:25: [INFO] Add ST62 footprint
13:32:25: [INFO] Add SW62a footprint
13:32:25: [INFO] Add SW63 footprint
13:32:25: [INFO] Add D63 footprint
13:32:25: [INFO] Add SW64 footprint
13:32:25: [INFO] Add D64 footprint
13:32:25: [INFO] Add SW64a footprint
13:32:25: [INFO] Add ST64a footprint
13:32:25: [INFO] Add SW65 footprint
13:32:25: [INFO] Add D65 footprint
13:32:25: [INFO] Add SW66 footprint
13:32:26: [INFO] Add D66 footprint
13:32:26: [INFO] Add SW67 footprint
13:32:26: [INFO] Add D67 footprint
13:32:26: [INFO] Add SW68 footprint
13:32:26: [INFO] Add D68 footprint
13:32:26: [INFO] Add SW69 footprint
13:32:26: [INFO] Add D69 footprint
13:32:26: [INFO] Add ST69 footprint
13:32:26: [INFO] Add SW70 footprint
13:32:26: [INFO] Add D70 footprint
13:32:26: [INFO] Add SW71 footprint
13:32:26: [INFO] Add D71 footprint
13:32:26: [INFO] Add SW72 footprint
13:32:26: [INFO] Add D72 footprint
13:32:26: [INFO] Add SW73 footprint
13:32:26: [INFO] Add D73 footprint
13:32:26: [INFO] Add SW74 footprint
