=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:41: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14AOAOgFZV0A2bcAXRQCgwpY4AmNcAT1YFoNihAOwVMKNrjj5WARlFYALJOnxKZUdSV4W8GcQwbxdRswJxSnHvH6DC8lKWU64C9Z2qP6TCFbg3hnADGrOAAxEIRkeD2GE7B8GGBScnRnFgyTmYybG5UKBna8ejhkRGpebFepqzU6L7+hEEhockp9pSZrDnk7igdVSqIlnwCPegyNNpmJGPgQjQDzhx1I4IinBMSU7KiE1pSzmqz8-uDegac8xKLZhYr1gKEdhsOnfCux6+L9Y-z6EVhACGwJB5XAE1ihWarSSYImBQOWW6onmCLmKEqJkGtW4qyeuz6b3YuXR-SxzgQwweJI4OG2RBJjRwNy6VL8v1EHC2iJ2nA4p0OjJQAqy+lEjWu5NubIanNe9JcQs85J+ayaCVCINBcshBwBLRhYI4CLOyM4jRN4H1pTK4oxxm8hxlj0a-2hhrlHQVZvQjTJjrMlPu7JJlLpPIZswAnAspazg-51uhKdyzqJKSKaiSY5ndGLODHJQHWHdcdT8ZxKY4FR9RDHlY7VQE3RqtcCwZTdRB9TDgun8kTstmBwX7SzVM7bP2vRHidHCd9Vtl1cU24CwQp7ZxN5bRWxZpvw933a0N8KiWoLuNFHFmmu4Vgj849PvdulJOCsJji-AcjIg2WIbNlaJ5tNuRgKjIAivhsWBFtUeb-qIFhohY3LgBYT7TMQMHjBM4bgpsH4yPCDrMAATl03ScORtzEJQpbkb4CDEEIpZmNBm7BgIDGiJuDYUawCjsbIrFcYBvB6JQfELuSlHWMJNFZBM6BmLwOTAb4AgYHIsGyY68l+Gw1GqXwegIH8EkCAg0l6Z4tBAA
13:31:47: [INFO] Adding track segment (B.Cu): [(274002500, 121599000), (276542500, 124139000)]
13:31:47: [INFO] Routing SW69 with D69
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW69:2' at (295529000, 118935500) with pad 'D69:2' at (298069000, 126615500) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(295529000, 118935500), (295529000, 124075500)]
13:31:47: [INFO] Adding track segment (B.Cu): [(295529000, 124075500), (298069000, 126615500)]
13:31:47: [INFO] Routing SW68 with D68
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW68:2' at (316865000, 116459000) with pad 'D68:2' at (319405000, 124139000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(316865000, 116459000), (316865000, 121599000)]
13:31:47: [INFO] Adding track segment (B.Cu): [(316865000, 121599000), (319405000, 124139000)]
13:31:47: [INFO] Routing SW67 with D67
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW67:2' at (335915000, 116459000) with pad 'D67:2' at (338455000, 124139000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(335915000, 116459000), (335915000, 121599000)]
13:31:47: [INFO] Adding track segment (B.Cu): [(335915000, 121599000), (338455000, 124139000)]
13:31:47: [INFO] Routing SW66 with D66
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW66:2' at (221615000, 99695000) with pad 'D66:2' at (224155000, 107375000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(221615000, 99695000), (221615000, 104835000)]
13:31:47: [INFO] Adding track segment (B.Cu): [(221615000, 104835000), (224155000, 107375000)]
13:31:47: [INFO] Routing SW65 with D65
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW65:2' at (240665000, 94932500) with pad 'D65:2' at (243205000, 102612500) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(240665000, 94932500), (240665000, 100072500)]
13:31:47: [INFO] Adding track segment (B.Cu): [(240665000, 100072500), (243205000, 102612500)]
13:31:47: [INFO] Routing SW64 with D64
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW64:2' at (259715000, 92646500) with pad 'D64:2' at (262255000, 100326500) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(259715000, 92646500), (259715000, 97786500)]
13:31:47: [INFO] Adding track segment (B.Cu): [(259715000, 97786500), (262255000, 100326500)]
13:31:47: [INFO] Routing SW63 with D63
13:31:47: [INFO] Using internal autorouter method
13:31:47: [INFO] Routing pad 'SW63:2' at (278765000, 90170000) with pad 'D63:2' at (281305000, 97850000) using coordinate system rotated by 0 degree(s)
13:31:47: [INFO] Adding track segment (B.Cu): [(278765000, 90170000), (278765000, 95310000)]
13:31:47: [INFO] Adding track segment (B.Cu): [(278765000, 95310000), (281305000, 97850000)]
13:31:47: [INFO] Routing SW62 with D62
13:31:47: [INFO] Using internal autorouter method
