=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:15: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwF8A0dwAYUPGzKBmXOCaeANgDoEBWVdG7Y8RogXRQCgwpY4BGPAE8+AWgyUAnPXz9ipPsjxYALMyw15veAmp08jDM0Zy0CnZQwzGajtwgj44ygA596LEbPaBu2tZRNOx4yRGExCX88QRxowi1Qqij0ciY8VPYuEL5BdEc4Z2k40xIfJXRBNTjNb1C-d3BUrxSUEvNESxlU2yyHCNcGwWb2-nquwPBg9oRwp0iGmdj0GaJaviSGgHY09G3M+x9c8HzCmRm2srOUKuWJtYtk8G3mp9bJ3uP+tyvhw7G8bZBD51WYFeYyAg7cCQ1alRJ6GQuKFI-Y8ABO+RUejwoVG2LyYl0-C213eBzRfAIWHQaPhjBp+XmOJyllBBEom3p4AAxnxwABiTZC4XMAAWLIakKBBxOEi54vg-EoktJU3AFPgnLwGMpzIsWoJirwvPgAoAhhbLeAZCo7uhbajphyGrabuBbTg1RqCgb1bjIQy+DR8T5RLbDQUsZyZJIobGjGrQmGY-E8LG5F6xFTtYy9QUqL78kraMa+YLhUKxRLESgE8CxMHC-15dW8EiM2wgA
13:40:19: [INFO] Routing pad 'SW38:2' at (293052500, 56832500) with pad 'D38:2' at (295592500, 64512500) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 56832500), (293052500, 61972500)]
13:40:19: [INFO] Adding track segment (B.Cu): [(293052500, 61972500), (295592500, 64512500)]
13:40:19: [INFO] Routing SW37 with D37
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW37:2' at (274002500, 53975000) with pad 'D37:2' at (276542500, 61655000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 53975000), (274002500, 59115000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(274002500, 59115000), (276542500, 61655000)]
13:40:19: [INFO] Routing SW36 with D36
13:40:19: [INFO] Using internal autorouter method
13:40:19: [INFO] Routing pad 'SW36:2' at (254952500, 52070000) with pad 'D36:2' at (257492500, 59750000) using coordinate system rotated by 0 degree(s)
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 52070000), (254952500, 57210000)]
13:40:19: [INFO] Adding track segment (B.Cu): [(254952500, 57210000), (257492500, 59750000)]
13:40:19: [INFO] Routing SW35 with D35
13:40:19: [INFO] Using internal autorouter method
