=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:10: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIB2I48AXw3AAY1LwMJp5KkF1Md5w8sfeyLqARjqZqCEVTQBmCdQAsIhrmasKHfAEMt2-qLQpZaAGyGChgByKoylm2y4uvPuT0BOQ4NoC0g4d8Hi9NZMtmoOeNo6LpKCMkGMcMwo0UIK-gb+Jv5mALpoAFBgwYioFACeNqrs4U48uuCCNBKNfpiNgW3SzWhpnRmdWZ1mFI2WI2ju457dvjMdEOpckVoSAO64CNEtUgA6AHb7+9RecEohyVO9DT7914KDd8OnxUlhnNy19duHB3tCVosIst6lIfAgfkcfOA8oUziU7Ot4IJUNEEE0goDajhUVCKGiOuA0XFMGirmjbmiHminoS0GMSRMJGjpnifK1aQErIi4MiLgzYhC9o0TnCkjjBGSbkyfIMFuFlhoJAALDbigiCuTo54JZFVcDc3V2FXwNGYVbiJGlTBKi08iiQW0AWhUfPAoIFv32LSsCSkKNZgnVnr2muEMKKCWQCNwyIIrtBIvs7yxINxmFBBNBxLdPQkoNuoIeoJpoPpOcm6Z8Jxzswx4WIJAo3OQrGi7t2weFPpsdkxnzbPiu7oLMu7ltbAY7P298VwciQcbemmBA8DGqh4YgBts0U1lEFzIBNX7FFDB7TotC1XeCrWGx3p5o58Tfac9U1BM12c1V01t01DyajSmplpqFbgKG1ahq0co3sCTYxgurqhvMxS8kujgnpgoa-lKj73Ee7wNkQyqqvhQY-OgiYJEYSDUNey6RO+PgUb86BhgUEYxrRi6YBU8DOkhGGEMRzGxNCnFwlG5S4IJeqAreCHjq6VGCgmXKIROmDsWpWpbppKloOCwbqXWyafEpcC0Vp4DoEYukvvK8Fmohhkss825uTBxR+r2x5vtE7G3OxsrFAQdHCbegUsYK7ESbCaEoEJfGycwvFJvgxFmNFnIUOx2bsQom7FNJDFLM5+qudF+4mRelWWm5unea+fCWQQ0X2bVYY5EAA
13:41:12: [INFO] Add D18 footprint
13:41:12: [INFO] Add SW19 footprint
13:41:12: [INFO] Add D19 footprint
13:41:12: [INFO] Add SW20 footprint
13:41:12: [INFO] Add D20 footprint
13:41:12: [INFO] Add SW21 footprint
13:41:12: [INFO] Add D21 footprint
13:41:12: [INFO] Add SW22 footprint
13:41:12: [INFO] Add D22 footprint
13:41:12: [INFO] Add SW23 footprint
13:41:13: [INFO] Add D23 footprint
13:41:13: [INFO] Add SW24 footprint
13:41:13: [INFO] Add D24 footprint
13:41:13: [INFO] Add SW25 footprint
13:41:13: [INFO] Add D25 footprint
13:41:13: [INFO] Add SW26 footprint
13:41:13: [INFO] Add D26 footprint
13:41:13: [INFO] Add SW27 footprint
13:41:13: [INFO] Add D27 footprint
13:41:13: [INFO] Add SW28 footprint
13:41:13: [INFO] Add D28 footprint
13:41:13: [INFO] Add SW29 footprint
13:41:13: [INFO] Add D29 footprint
13:41:13: [INFO] Add SW30 footprint
13:41:13: [INFO] Add D30 footprint
13:41:13: [INFO] Add SW31 footprint
13:41:13: [INFO] Add D31 footprint
13:41:13: [INFO] Add SW32 footprint
13:41:13: [INFO] Add D32 footprint
13:41:13: [INFO] Add ST32 footprint
13:41:13: [INFO] Add SW32a footprint
13:41:13: [INFO] Add SW33 footprint
13:41:13: [INFO] Add D33 footprint
13:41:13: [INFO] Add SW34 footprint
13:41:13: [INFO] Add D34 footprint
13:41:13: [INFO] Add SW35 footprint
13:41:13: [INFO] Add D35 footprint
13:41:13: [INFO] Add SW36 footprint
13:41:13: [INFO] Add D36 footprint
13:41:13: [INFO] Add SW37 footprint
13:41:13: [INFO] Add D37 footprint
13:41:13: [INFO] Add SW38 footprint
13:41:13: [INFO] Add D38 footprint
13:41:13: [INFO] Add SW39 footprint
13:41:13: [INFO] Add D39 footprint
13:41:13: [INFO] Add SW40 footprint
13:41:14: [INFO] Add D40 footprint
13:41:14: [INFO] Add SW41 footprint
13:41:14: [INFO] Add D41 footprint
