=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:56: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIDeoAeoBcdwDoBMBWAX3gkgEZY4ScKSBmGqAFgcjxYDYWB2FgDhYCcLUjGJRS5MWWpTS9eEgDG6SgGIAhpq00A7ipxFK4xgB0AdufNRRiFCux5iyjKFWL3H0IZKk2CuxjY+E4qrlra3saWFmbiNDhktNFWZKAAupAAUMBKoW4e7l7EpNAUSKiBuI6UzmrhmroqpFiExan+ta4Fhd4lMpQl8gOQzG1+w5xtPG38bUJtIjQlEkvSq3JloHoYza3DpKO2FZgtvWRsGdmgCTbl9lUhLhr1jTtYXHvX7bad+QVFlAS-S+Qy+hy+4y+k0BkGmMNmMPmMMWxASK1Raw6eS4ONxrzgOCq3jRhzulWqoF+3WUxPO6SyYFopX8xyCFN+9XU+MJ+G8TMkPzy1IBoCZoKZ4KZkKZ0NFsJoTIRcqRcpRlH5AtV-VyT05+OaHz5iU2x12jzUwqNvnp2TJcF8LWIAE8VABabAfc2uXF4q3MS45UAujDuh41IXdEWMZlHe7BcO6l7Ebb2onEaOkZJmEq3LZNNOUaM4LM5zYp5q89OQJIxcylrFPYXJlTsAugaNcEsxnV1JOUcttjPgLu5geVwtkTO17OlAN2g6OyjBuChz0JtQ+nFR41Vg40DMXBnzsOUvJ65tvT4Zruaos3sv5q-V+8Ni2Ri9wLjeDsvwWJ8L6qcu5TtEyzpGkQA
13:39:00: [INFO] Add SW45 footprint
13:39:00: [INFO] Add D45 footprint
13:39:00: [INFO] Add SW46 footprint
13:39:00: [INFO] Add D46 footprint
13:39:00: [INFO] Add SW47 footprint
13:39:00: [INFO] Add D47 footprint
13:39:00: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:00: [INFO] Add ST47 footprint
13:39:00: [INFO] Add SW48 footprint
13:39:00: [INFO] Add D48 footprint
13:39:00: [INFO] Add SW49 footprint
13:39:00: [INFO] Add D49 footprint
13:39:00: [INFO] Add SW50 footprint
13:39:00: [INFO] Add D50 footprint
13:39:00: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:39:00: [INFO] Add ST50 footprint
13:39:00: [INFO] Add SW51 footprint
13:39:00: [INFO] Add D51 footprint
13:39:00: [INFO] Add SW52 footprint
13:39:00: [INFO] Add D52 footprint
13:39:00: [INFO] Add SW53 footprint
13:39:00: [INFO] Add D53 footprint
13:39:00: [INFO] Add SW54 footprint
13:39:00: [INFO] Add D54 footprint
13:39:00: [INFO] Add SW55 footprint
13:39:00: [INFO] Add D55 footprint
13:39:00: [INFO] Add SW56 footprint
13:39:00: [INFO] Add D56 footprint
13:39:00: [INFO] Add SW57 footprint
13:39:00: [INFO] Add D57 footprint
13:39:00: [INFO] Add SW58 footprint
13:39:00: [INFO] Add D58 footprint
13:39:00: [INFO] Add SW59 footprint
13:39:00: [INFO] Add D59 footprint
13:39:00: [INFO] Add SW60 footprint
13:39:00: [INFO] Add D60 footprint
13:39:01: [INFO] Add SW61 footprint
13:39:01: [INFO] Add D61 footprint
13:39:01: [INFO] Add SW62 footprint
13:39:01: [INFO] Add D62 footprint
13:39:01: [INFO] Add SW63 footprint
13:39:01: [INFO] Add D63 footprint
13:39:01: [INFO] Add SW64 footprint
13:39:01: [INFO] Add D64 footprint
13:39:01: [INFO] Add SW65 footprint
13:39:01: [INFO] Add D65 footprint
13:39:01: [INFO] Add SW65a footprint
13:39:01: [INFO] Add SW66 footprint
13:39:01: [INFO] Add D66 footprint
13:39:01: [INFO] Add SW66a footprint
13:39:01: [INFO] Add SW67 footprint
13:39:01: [INFO] Add D67 footprint
13:39:01: [INFO] Add SW67a footprint
13:39:01: [INFO] Add SW68 footprint
13:39:01: [INFO] Add D68 footprint
13:39:01: [INFO] Add ST68 footprint
13:39:01: [INFO] Add SW68a footprint
13:39:01: [INFO] Add ST68a footprint
13:39:01: [INFO] Add SW69 footprint
13:39:01: [INFO] Add D69 footprint
13:39:01: [INFO] Add SW70 footprint
13:39:01: [INFO] Add D70 footprint
13:39:01: [INFO] Add SW70a footprint
13:39:01: [INFO] Add SW71 footprint
13:39:01: [INFO] Add D71 footprint
13:39:01: [INFO] Add SW72 footprint
13:39:01: [INFO] Add D72 footprint
13:39:01: [INFO] Add SW73 footprint
13:39:01: [INFO] Add D73 footprint
13:39:02: [INFO] Detected layout convertible to matrix annotated keyboard
13:39:02: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:39:02: [INFO] Layout offset: (28575000, 28575000)
13:39:02: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:39:02: [INFO] Placing additional elements for SW73
13:39:02: [INFO] Placing additional elements for SW72
13:39:02: [INFO] Placing additional elements for SW71
13:39:02: [INFO] Placing additional elements for SW70a
13:39:02: [INFO] Placing additional elements for SW70
13:39:02: [INFO] Placing additional elements for SW69
13:39:02: [INFO] Placing additional elements for SW68a
13:39:02: [INFO] Placing additional elements for SW68
13:39:02: [INFO] Placing additional elements for SW67a
13:39:02: [INFO] Placing additional elements for SW67
13:39:02: [INFO] Placing additional elements for SW66a
13:39:02: [INFO] Placing additional elements for SW66
13:39:02: [INFO] Placing additional elements for SW65a
13:39:02: [INFO] Placing additional elements for SW65
13:39:02: [INFO] Placing additional elements for SW64
13:39:02: [INFO] Placing additional elements for SW63
13:39:02: [INFO] Placing additional elements for SW62
13:39:02: [INFO] Placing additional elements for SW61
13:39:02: [INFO] Placing additional elements for SW60
13:39:02: [INFO] Placing additional elements for SW59
13:39:02: [INFO] Placing additional elements for SW58
13:39:02: [INFO] Placing additional elements for SW57
13:39:02: [INFO] Placing additional elements for SW56
13:39:02: [INFO] Placing additional elements for SW55
13:39:02: [INFO] Placing additional elements for SW54
13:39:02: [INFO] Placing additional elements for SW53
13:39:02: [INFO] Placing additional elements for SW52
13:39:02: [INFO] Placing additional elements for SW51
13:39:02: [INFO] Placing additional elements for SW50
13:39:02: [INFO] Placing additional elements for SW49
13:39:02: [INFO] Placing additional elements for SW48
13:39:02: [INFO] Placing additional elements for SW47
13:39:02: [INFO] Placing additional elements for SW46
13:39:02: [INFO] Placing additional elements for SW45
13:39:02: [INFO] Placing additional elements for SW44
13:39:02: [INFO] Placing additional elements for SW43
13:39:02: [INFO] Placing additional elements for SW42
13:39:02: [INFO] Placing additional elements for SW41
13:39:02: [INFO] Placing additional elements for SW40
13:39:02: [INFO] Placing additional elements for SW39
13:39:02: [INFO] Placing additional elements for SW38
13:39:02: [INFO] Placing additional elements for SW37
13:39:02: [INFO] Placing additional elements for SW36
13:39:02: [INFO] Placing additional elements for SW35
13:39:02: [INFO] Placing additional elements for SW34
13:39:02: [INFO] Placing additional elements for SW33
13:39:02: [INFO] Placing additional elements for SW32
13:39:02: [INFO] Placing additional elements for SW31
13:39:02: [INFO] Placing additional elements for SW30
13:39:02: [INFO] Placing additional elements for SW29
13:39:02: [INFO] Placing additional elements for SW28
13:39:02: [INFO] Placing additional elements for SW27
13:39:02: [INFO] Placing additional elements for SW26
13:39:02: [INFO] Placing additional elements for SW25
13:39:02: [INFO] Placing additional elements for SW24
13:39:02: [INFO] Placing additional elements for SW23
13:39:02: [INFO] Placing additional elements for SW22
13:39:02: [INFO] Placing additional elements for SW21
13:39:02: [INFO] Placing additional elements for SW20
13:39:02: [INFO] Placing additional elements for SW19
13:39:02: [INFO] Placing additional elements for SW18
13:39:02: [INFO] Placing additional elements for SW17
13:39:02: [INFO] Placing additional elements for SW16
13:39:02: [INFO] Placing additional elements for SW15a
13:39:02: [INFO] Placing additional elements for SW15
13:39:02: [INFO] Placing additional elements for SW14
13:39:02: [INFO] Placing additional elements for SW13
13:39:02: [INFO] Placing additional elements for SW12
13:39:02: [INFO] Placing additional elements for SW11
13:39:02: [INFO] Placing additional elements for SW10
13:39:02: [INFO] Placing additional elements for SW9
13:39:02: [INFO] Placing additional elements for SW8
13:39:02: [INFO] Placing additional elements for SW7
13:39:02: [INFO] Placing additional elements for SW6
13:39:02: [INFO] Placing additional elements for SW5
13:39:02: [INFO] Placing additional elements for SW4
13:39:02: [INFO] Placing additional elements for SW3
13:39:02: [INFO] Placing additional elements for SW2
13:39:02: [INFO] Placing additional elements for SW1
13:39:02: [INFO] Routing SW73 with D73
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW73:2' at (354965000, 113982500) with pad 'D73:2' at (357505000, 121662500) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(354965000, 113982500), (354965000, 119122500)]
13:39:02: [INFO] Adding track segment (B.Cu): [(354965000, 119122500), (357505000, 121662500)]
13:39:02: [INFO] Routing SW72 with D72
13:39:02: [INFO] Using internal autorouter method
13:39:02: [INFO] Routing pad 'SW72:2' at (335915000, 113982500) with pad 'D72:2' at (338455000, 121662500) using coordinate system rotated by 0 degree(s)
13:39:02: [INFO] Adding track segment (B.Cu): [(335915000, 113982500), (335915000, 119122500)]
