=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:58: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgGwDoCsBfANHcAGDBGcLCaeAJiR023wPAF0MAoMKWOAZi3AE92BaHEgDs6bngAsROCXYBOauAkYpjFrPLc+8QSLHY8KaRrj5FeDsbbxhi5ZeLXTdjEbWtScFFoFCAHKLmGGRWnvpKwQzMrNpwughk3tgAxuzgAMQAhtk54EHCVqnwGcmlZXniGAih7BKoQTg15JSKtI2OnnXhytWORdhZOdkV2MoF7iZc2LG6otz9JWWlI+C0Uh3yit6q0SZkPjpCgdy0RhvwZicYDjJOttzeNyaX2N5uu05JvL5IAeG0IXOXi2kQm30OSASXwWgyGK1oBT6aXSS2WrSqTVMHBBvVuMKGwxB4w+nim4LiR2hyNRqUU+3Wt08Cm4CBUUXUTn20x+x2w+zOjPYL3A+yed0UrLFnmFrPeHLCBwpv15IsiQPCrJCYJmQih82RBMyK32iLx1NRxoxQPw2JZVrNxVhuQlGGJ8vYFC+Ovq3C4DOeQio3GEbLBACdOtww7E-Eh8HNsJ5dF6BHUECquJZw9KyUmhCmdGmVSGsx8w0KvhHatw86hFfwi+EuFqy+wOHhEz8C3EKEG+QQADoAO2Hw7wjTBtabg5Hs-H7I8Alo3Pg+e4AAsPYouPhR3O6OHal8p-WOD7+zg98O2guTMntxhL7Pr4-b+ShIkN1vfY+r0PaIQh6FpWOY1l29YoJCKqsk+e77BOJJdooIawbO8Fvkmy7vkgn7YJu5DIb+z5DvsgGtjo7ZgRC3b8GeiQuruxFcAh7rUYRjF7sxb6xGueHftgIYcbOO5vuWOj4Me4Erj257gCGWr0EAA
13:36:01: [INFO] Add SW36 footprint
13:36:01: [INFO] Add D36 footprint
13:36:01: [INFO] Add SW37 footprint
13:36:01: [INFO] Add D37 footprint
13:36:01: [INFO] Add SW38 footprint
13:36:01: [INFO] Add D38 footprint
13:36:01: [INFO] Add SW39 footprint
13:36:01: [INFO] Add D39 footprint
13:36:01: [INFO] Add SW40 footprint
13:36:01: [INFO] Add D40 footprint
13:36:01: [INFO] Add SW41 footprint
13:36:01: [INFO] Add D41 footprint
13:36:01: [INFO] Add SW42 footprint
13:36:01: [INFO] Add D42 footprint
13:36:01: [INFO] Add SW43 footprint
13:36:01: [INFO] Add D43 footprint
13:36:01: [INFO] Add SW44 footprint
13:36:01: [INFO] Add D44 footprint
13:36:01: [INFO] Add SW45 footprint
13:36:01: [INFO] Add D45 footprint
13:36:01: [INFO] Add SW46 footprint
13:36:01: [INFO] Add D46 footprint
13:36:01: [INFO] Add SW47 footprint
13:36:01: [INFO] Add D47 footprint
13:36:01: [INFO] Add SW48 footprint
13:36:01: [INFO] Add D48 footprint
13:36:01: [INFO] Add SW49 footprint
13:36:01: [INFO] Add D49 footprint
13:36:01: [INFO] Add SW50 footprint
13:36:01: [INFO] Add D50 footprint
13:36:01: [INFO] Add SW50a footprint
13:36:01: [INFO] Add ST50a footprint
13:36:01: [INFO] Add SW51 footprint
13:36:02: [INFO] Add D51 footprint
13:36:02: [INFO] Add SW51a footprint
13:36:02: [INFO] Add ST51a footprint
13:36:02: [INFO] Add SW52 footprint
13:36:02: [INFO] Add D52 footprint
13:36:02: [INFO] Add SW53 footprint
13:36:02: [INFO] Add D53 footprint
13:36:02: [INFO] Add SW54 footprint
13:36:02: [INFO] Add D54 footprint
