=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:09: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrBEAYBp1SAIKQIyzgb1AD1ALjuAOgCYBWeUAY1wQGIB2Bx0AX3KiNQyr1Bov4Es2kAMypEAFnFQS0yADY5dOQA45ATjlIYwpCl0ddY3VPhdqvAIbWb4gO7UirBFCQkAOgDsvXqDvRY1ISk5Ny0AoLOiEiKusq6amaBeIQkUa4e3lmu4kTImT6eOQC6kABQwBjYeETEZAhhVjbW9tRIBGnkSJCGAY18EVRR3cYI3aZjkLJdCuLd8ZOJk5oz2nPI+pNIvaDdSKO7yBMYDnjtnVsFWd3+VUF1w8ixWwuHSEt3Z3WhFvSMDK0viEEAALRzkOwcL71UAgqFwboITDwgC0wQuoDySAkhS8e1ApQqn3w3wQAE9qGiCHQYf1BlRyABnAC2FgATgB7AAuAH0AKYUPSAhEdchg6FRLG4rLSwp8mCEyrJOC1YGgCl4Klq-rNFpM1k8YXtGmSnqcSi-elCBB5A55CaYqa5WbkPKvPJLR0rG3IfyOoWu5A7LGjcw8P7-YWqjFYnEyzw3c3VOAiUUNS2Da1vK545AE8pgETQcRFzbE9E-cO6yxRh7kItEaV5W4W8NWqJFh1F6YIIvPUBF15Fz1F70D30ljaT7bT0Ot2jV2sm+tHaVFlvJ9ra37-AEd5DKRVh8KZqISYvkc9l5UV9NV3VGjpns2X0Tm04ijHn47z3hWiHUHQz7eseTTNI+X7IAcV4-h+5zPm4Sb3Nu4a7soCH9lerxXmoR7KtG5AaiSKELg+AFAhiDZNnmSR0qeK4iNR16boQUB3qR4HkSKy69qu8aluadERFmpY5p4AnFMUQA
13:32:10: [INFO] Add D16 footprint
13:32:10: [INFO] Add ST16 footprint
13:32:10: [INFO] Add SW16a footprint
13:32:10: [INFO] Add SW17 footprint
13:32:10: [INFO] Add D17 footprint
13:32:10: [INFO] Add SW18 footprint
13:32:11: [INFO] Add D18 footprint
13:32:11: [INFO] Add SW19 footprint
13:32:11: [INFO] Add D19 footprint
13:32:11: [INFO] Add SW20 footprint
13:32:11: [INFO] Add D20 footprint
13:32:11: [INFO] Add SW21 footprint
13:32:11: [INFO] Add D21 footprint
13:32:11: [INFO] Add SW22 footprint
13:32:11: [INFO] Add D22 footprint
13:32:11: [INFO] Add SW23 footprint
13:32:11: [INFO] Add D23 footprint
13:32:11: [INFO] Add SW24 footprint
13:32:11: [INFO] Add D24 footprint
13:32:11: [INFO] Add SW25 footprint
13:32:11: [INFO] Add D25 footprint
13:32:11: [INFO] Add SW26 footprint
13:32:11: [INFO] Add D26 footprint
13:32:11: [INFO] Add SW27 footprint
13:32:11: [INFO] Add D27 footprint
13:32:11: [INFO] Add SW28 footprint
13:32:11: [INFO] Add D28 footprint
13:32:11: [INFO] Add SW29 footprint
13:32:11: [INFO] Add D29 footprint
13:32:11: [INFO] Add SW30 footprint
13:32:11: [INFO] Add D30 footprint
13:32:11: [INFO] Add SW31 footprint
13:32:11: [INFO] Add D31 footprint
13:32:11: [INFO] Add SW32 footprint
13:32:11: [INFO] Add D32 footprint
13:32:11: [INFO] Add SW33 footprint
13:32:11: [INFO] Add D33 footprint
13:32:11: [INFO] Add SW33a footprint
13:32:11: [INFO] Add SW34 footprint
13:32:11: [INFO] Add D34 footprint
13:32:11: [INFO] Add SW35 footprint
13:32:11: [INFO] Add D35 footprint
13:32:12: [INFO] Add SW36 footprint
13:32:12: [INFO] Add D36 footprint
13:32:12: [INFO] Add SW37 footprint
13:32:12: [INFO] Add D37 footprint
13:32:12: [INFO] Add SW38 footprint
13:32:12: [INFO] Add D38 footprint
13:32:12: [INFO] Add SW39 footprint
13:32:12: [INFO] Add D39 footprint
13:32:12: [INFO] Add SW40 footprint
13:32:12: [INFO] Add D40 footprint
13:32:12: [INFO] Add SW41 footprint
13:32:12: [INFO] Add D41 footprint
13:32:12: [INFO] Add SW42 footprint
13:32:12: [INFO] Add D42 footprint
13:32:12: [INFO] Add SW43 footprint
13:32:12: [INFO] Add D43 footprint
13:32:12: [INFO] Add SW44 footprint
13:32:12: [INFO] Add D44 footprint
13:32:12: [INFO] Add SW45 footprint
13:32:12: [INFO] Add D45 footprint
13:32:12: [INFO] Add SW46 footprint
13:32:12: [INFO] Add D46 footprint
13:32:12: [INFO] Add SW47 footprint
13:32:12: [INFO] Add D47 footprint
13:32:12: [INFO] Add SW48 footprint
13:32:12: [INFO] Add D48 footprint
13:32:12: [INFO] Add SW49 footprint
13:32:12: [INFO] Add D49 footprint
13:32:12: [INFO] Add SW50 footprint
13:32:12: [INFO] Add D50 footprint
13:32:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:12: [INFO] Add ST50 footprint
13:32:12: [INFO] Add SW50a footprint
13:32:12: [INFO] Add ST50a footprint
13:32:12: [INFO] Add SW51 footprint
13:32:12: [INFO] Add D51 footprint
13:32:12: [INFO] Add SW52 footprint
13:32:12: [INFO] Add D52 footprint
13:32:12: [INFO] Add SW53 footprint
13:32:12: [INFO] Add D53 footprint
13:32:12: [INFO] Add SW54 footprint
13:32:12: [INFO] Add D54 footprint
13:32:12: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:12: [INFO] Add ST54 footprint
13:32:13: [INFO] Add SW54a footprint
13:32:13: [INFO] Add SW55 footprint
13:32:13: [INFO] Add D55 footprint
13:32:13: [INFO] Add SW56 footprint
13:32:13: [INFO] Add D56 footprint
13:32:13: [INFO] Add SW57 footprint
13:32:13: [INFO] Add D57 footprint
13:32:13: [INFO] Add SW58 footprint
13:32:13: [INFO] Add D58 footprint
13:32:13: [INFO] Add SW59 footprint
13:32:13: [INFO] Add D59 footprint
13:32:13: [INFO] Add SW60 footprint
13:32:13: [INFO] Add D60 footprint
13:32:13: [INFO] Add SW61 footprint
13:32:13: [INFO] Add D61 footprint
13:32:13: [INFO] Add SW62 footprint
13:32:13: [INFO] Add D62 footprint
13:32:13: [INFO] Add SW63 footprint
13:32:13: [INFO] Add D63 footprint
13:32:13: [INFO] Add SW64 footprint
13:32:13: [INFO] Add D64 footprint
13:32:13: [INFO] Add SW65 footprint
13:32:13: [INFO] Add D65 footprint
13:32:13: [INFO] Add SW66 footprint
13:32:13: [INFO] Add D66 footprint
13:32:13: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:13: [INFO] Add ST66 footprint
13:32:13: [INFO] Add SW66a footprint
13:32:13: [INFO] Add SW67 footprint
13:32:13: [INFO] Add D67 footprint
13:32:13: [INFO] Add SW68 footprint
13:32:13: [INFO] Add D68 footprint
13:32:13: [INFO] Add SW69 footprint
13:32:13: [INFO] Add D69 footprint
13:32:13: [INFO] Add SW70 footprint
13:32:13: [INFO] Add D70 footprint
13:32:13: [INFO] Add SW71 footprint
13:32:13: [INFO] Add D71 footprint
13:32:13: [INFO] Add SW72 footprint
13:32:13: [INFO] Add D72 footprint
13:32:13: [INFO] Add SW73 footprint
13:32:14: [INFO] Add D73 footprint
13:32:14: [INFO] Add SW74 footprint
13:32:14: [INFO] Add D74 footprint
13:32:14: [INFO] Add ST74 footprint
13:32:14: [INFO] Add SW75 footprint
13:32:14: [INFO] Add D75 footprint
13:32:14: [INFO] Add SW76 footprint
13:32:14: [INFO] Add D76 footprint
13:32:14: [INFO] Add SW77 footprint
13:32:14: [INFO] Add D77 footprint
13:32:14: [INFO] Add SW78 footprint
13:32:14: [INFO] Add D78 footprint
13:32:14: [INFO] Add SW79 footprint
13:32:14: [INFO] Add D79 footprint
13:32:14: [INFO] Add SW80 footprint
13:32:14: [INFO] Add D80 footprint
13:32:14: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:14: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:14: [INFO] Layout offset: (28575000, 28575000)
13:32:14: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:14: [INFO] Placing additional elements for SW80
13:32:14: [INFO] Placing additional elements for SW79
13:32:14: [INFO] Placing additional elements for SW78
13:32:14: [INFO] Placing additional elements for SW77
13:32:14: [INFO] Placing additional elements for SW76
13:32:14: [INFO] Placing additional elements for SW75
13:32:14: [INFO] Placing additional elements for SW74
13:32:14: [INFO] Placing additional elements for SW73
13:32:14: [INFO] Placing additional elements for SW72
13:32:14: [INFO] Placing additional elements for SW71
13:32:14: [INFO] Placing additional elements for SW70
13:32:14: [INFO] Placing additional elements for SW69
13:32:14: [INFO] Placing additional elements for SW68
13:32:14: [INFO] Placing additional elements for SW67
13:32:14: [INFO] Placing additional elements for SW66a
13:32:14: [INFO] Placing additional elements for SW66
13:32:14: [INFO] Placing additional elements for SW65
13:32:14: [INFO] Placing additional elements for SW64
13:32:14: [INFO] Placing additional elements for SW63
13:32:14: [INFO] Placing additional elements for SW62
13:32:14: [INFO] Placing additional elements for SW61
13:32:14: [INFO] Placing additional elements for SW60
13:32:14: [INFO] Placing additional elements for SW59
13:32:14: [INFO] Placing additional elements for SW58
13:32:14: [INFO] Placing additional elements for SW57
13:32:14: [INFO] Placing additional elements for SW56
13:32:14: [INFO] Placing additional elements for SW55
13:32:14: [INFO] Placing additional elements for SW54a
13:32:14: [INFO] Placing additional elements for SW54
13:32:14: [INFO] Placing additional elements for SW53
13:32:14: [INFO] Placing additional elements for SW52
13:32:14: [INFO] Placing additional elements for SW51
13:32:14: [INFO] Placing additional elements for SW50a
13:32:14: [INFO] Placing additional elements for SW50
13:32:14: [INFO] Placing additional elements for SW49
13:32:14: [INFO] Placing additional elements for SW48
13:32:14: [INFO] Placing additional elements for SW47
13:32:14: [INFO] Placing additional elements for SW46
13:32:14: [INFO] Placing additional elements for SW45
13:32:14: [INFO] Placing additional elements for SW44
13:32:14: [INFO] Placing additional elements for SW43
13:32:14: [INFO] Placing additional elements for SW42
13:32:14: [INFO] Placing additional elements for SW41
13:32:14: [INFO] Placing additional elements for SW40
13:32:14: [INFO] Placing additional elements for SW39
13:32:14: [INFO] Placing additional elements for SW38
13:32:14: [INFO] Placing additional elements for SW37
13:32:14: [INFO] Placing additional elements for SW36
