=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:01: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0SC+AaO4DsmAGAHQDtTSDMFxs8ryyTLqBdTAKDCljgCY1aATx4EUvJLQDGPcAGJcCxeCw5KBGnAjR4o8VJmzJR48trMN4SrwuUAzDcwAWDVpFiJOafDkBDP-9McADZCCxDqWhDrSMx7bFcdd31vQ2MjQMtMJAcgh1wHAA4XbkTxFTpozRK4UQ9wLxxZfwDyygBOBwR1MyoI1SprNk4EvgEcYUS6hrk09PKEUNoFvvAFytXYiwXnGJ3grLDMXJj8pYOz45wF06vMIvj6g2a-CwB3Hl5y-AQGCkWq7Q1NDzTAdM5dLa9SEIQYcLiA-h1d7wBDA2i8f4QaapNIZDErDHrDFxHAYvbgEL3fZg-YQmIIAnnUlHCwYm7gDFUiDIxBonD4Wy-EgLboAtwYdGg1lUUUcqEPbHPHwWAAWH3K+N4QtsmOquglzJh2qo4CG8I+Y3APNRuAN4B1oqxBlm0nKOpWOvWOpJ9qchxhFnw2Vo+EudHZOuDOB1YZ1NydKUUSloPP4ZVoOoKQpFxUBtWSjRdGR1NN9dOj8rFKKSniez2LA2NrDh3J4qPTOEchCF+OK2KL5S7P0YpF7DzzNceKSVbwtHfAXeII5IGMdU8LswyXfWXZ9XfJ+CpdFL31l3xWXajC5ZtC78fXvnrKbbKFtg7uuZfU2dm-fpaHspDn0CaNEmCiquqt6Nsui6fqUdpDlqMEmmaIwIEEr51BMcAALSiLaBaPs0GT4M4qHVIiQg8Hhk7Wu45QSEuDCMRYEjDsxup0fOEhIRxa79puz7wBh3GgkKLEKnWxEMVk4n-OAEhBHJa5cXaEi4MpcFwLYloCbiMnlgplZoZO2JgfkBm8YwQ6mi21TIJhVHwDRBG1tO9YyUeEg+hIZF2QilqqTJTGMGxrH0MuYUPEFtA8XJwEPjiJhCXAQQyW08V9lJAQpe2amyZFJqxUcmXRS+okaYVzbDBRgVfsFcmVK21b5VZpA8VlKRFiluDpY1nWNDOuV8kZSD9WVLUyZVHGwjVgLoZO2Eud+iZgbO1Z6DgarwBiOCvNYLW0CqB2ILQkAnTR86ZtmKH+W2qCbYlA4hrEN2sCwQA
13:32:02: [INFO] Add SW5 footprint
13:32:02: [INFO] Add D5 footprint
13:32:02: [INFO] Add SW6 footprint
13:32:02: [INFO] Add D6 footprint
13:32:02: [INFO] Add SW7 footprint
13:32:02: [INFO] Add D7 footprint
13:32:02: [INFO] Add SW8 footprint
13:32:02: [INFO] Add D8 footprint
13:32:02: [INFO] Add SW9 footprint
13:32:02: [INFO] Add D9 footprint
13:32:02: [INFO] Add SW10 footprint
13:32:02: [INFO] Add D10 footprint
13:32:02: [INFO] Add SW11 footprint
13:32:03: [INFO] Add D11 footprint
13:32:03: [INFO] Add SW12 footprint
13:32:03: [INFO] Add D12 footprint
13:32:03: [INFO] Add SW13 footprint
13:32:03: [INFO] Add D13 footprint
13:32:03: [INFO] Add SW14 footprint
13:32:03: [INFO] Add D14 footprint
13:32:03: [INFO] Add SW15 footprint
13:32:03: [INFO] Add D15 footprint
13:32:03: [INFO] Add SW16 footprint
13:32:03: [INFO] Add D16 footprint
13:32:03: [INFO] Add SW17 footprint
13:32:03: [INFO] Add D17 footprint
13:32:03: [INFO] Add SW18 footprint
13:32:03: [INFO] Add D18 footprint
13:32:03: [INFO] Add SW19 footprint
13:32:03: [INFO] Add D19 footprint
13:32:03: [INFO] Add SW20 footprint
13:32:03: [INFO] Add D20 footprint
13:32:03: [INFO] Add SW21 footprint
13:32:03: [INFO] Add D21 footprint
13:32:03: [INFO] Add SW22 footprint
13:32:03: [INFO] Add D22 footprint
13:32:03: [INFO] Add SW23 footprint
13:32:03: [INFO] Add D23 footprint
13:32:03: [INFO] Add SW24 footprint
13:32:03: [INFO] Add D24 footprint
13:32:03: [INFO] Add SW25 footprint
13:32:03: [INFO] Add D25 footprint
13:32:03: [INFO] Add SW26 footprint
13:32:03: [INFO] Add D26 footprint
13:32:03: [INFO] Add SW27 footprint
13:32:03: [INFO] Add D27 footprint
13:32:03: [INFO] Add SW28 footprint
13:32:04: [INFO] Add D28 footprint
13:32:04: [INFO] Add SW29 footprint
13:32:04: [INFO] Add D29 footprint
13:32:04: [INFO] Add SW30 footprint
13:32:04: [INFO] Add D30 footprint
13:32:04: [INFO] Add SW31 footprint
13:32:04: [INFO] Add D31 footprint
13:32:04: [INFO] Add SW32 footprint
