=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:36:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwHYB0AmArAXwDR3AAw4IDMAOgHaWVELh6HEAs1VFt4AujgFBhSw4aFEgwMAnoIIox+AMaDwAYgCGa9eFz5aGenAjR402eAXxlSS1c0MiBPRDP4lc125vbiexmm9ESfjhMgbq2OABsgUiBAByBAJyBCPZhCHSpvniOiqrqat4A7oJoWowILGw0OCn4TMxcvPyGQiLYDAjEofoCRjIMRfAIMqUdNdnmLm6uHuAd6fgdmQs4Ae1B3h1dsxEbONFrcWuJa8m7aWdLEAOIwwxoxGislKMOpjl5+SP1WT03Jk4WKyWQqCIaYBgAC2K-V8gz6+AhsMQDEgSIAtNJMF9SE8KHMGnwDMVWgwAbk8jN7ggukTeiZrkNRKV7mM3hMptNmV47jgluB7qt8PdgjytvdIjz9kKcIdpcdpaceecfmSgcD+sSsSdyJU8dVXmSPipKd9us1jKSchyFFyEI9dfjuIS2c4jSC4Vr8CRqriqQarRyZt6EL7uWapPCXco3aVgzTfhb8NdhJ7wN6CKHWWTrUHed5vYK0+sGN6tt6JV69vmZdX5UXFZXld1DR93TcmSWHtXSN3gk6msSO7VOq9zZGGeg2sOM7r068J6m6iHZ-qfgup+A6vbWHOVQGpm3wpPSnVwrjd833q2TzLz6vh-E7zVN8QZzv7y+m5++UuAv3aXATCThIEaiBqHobnUb5sMG86gseDBLne8xXPBi68sh-rsoG4FwEe6FniuKFRuSGi4WCkG3kRcEQTej7Uf+vxAeCSZoZR0GUN6lzgOuN7Lu+3G8YhGErtx2Y4ax8D4ZRhECVhrqtuRtzDjEd6CfBlH0XJjHNMx9IaTeHEUAWNF-Hxd6CuMzg5rhSA3rJMErPJ0aKZJZnCapK6WTxBnCVpjl-o0AF6Up7F3iK3QTpR-GORFVnKDZbl2cJDmccWl4TDGHnhaZQyaTlnCcEAA
13:36:25: [INFO] Placing additional elements for SW57
13:36:25: [INFO] Placing additional elements for SW56
13:36:25: [INFO] Placing additional elements for SW55
13:36:25: [INFO] Placing additional elements for SW54
13:36:25: [INFO] Placing additional elements for SW53
13:36:25: [INFO] Placing additional elements for SW52
13:36:25: [INFO] Placing additional elements for SW51
13:36:25: [INFO] Placing additional elements for SW50
13:36:25: [INFO] Placing additional elements for SW49
13:36:25: [INFO] Placing additional elements for SW48a
13:36:25: [INFO] Placing additional elements for SW48
13:36:25: [INFO] Placing additional elements for SW47
13:36:25: [INFO] Placing additional elements for SW46
13:36:25: [INFO] Placing additional elements for SW45a
13:36:25: [INFO] Placing additional elements for SW45
13:36:25: [INFO] Placing additional elements for SW44
13:36:25: [INFO] Placing additional elements for SW43
13:36:25: [INFO] Placing additional elements for SW42
13:36:25: [INFO] Placing additional elements for SW41
13:36:25: [INFO] Placing additional elements for SW40
13:36:25: [INFO] Placing additional elements for SW39
13:36:25: [INFO] Placing additional elements for SW38
13:36:25: [INFO] Placing additional elements for SW37
13:36:25: [INFO] Placing additional elements for SW36
13:36:25: [INFO] Placing additional elements for SW35
13:36:25: [INFO] Placing additional elements for SW34
13:36:25: [INFO] Placing additional elements for SW33
13:36:25: [INFO] Placing additional elements for SW32
13:36:25: [INFO] Placing additional elements for SW31
13:36:25: [INFO] Placing additional elements for SW30a
13:36:25: [INFO] Placing additional elements for SW30
13:36:25: [INFO] Placing additional elements for SW29
13:36:25: [INFO] Placing additional elements for SW28
13:36:25: [INFO] Placing additional elements for SW27
13:36:25: [INFO] Placing additional elements for SW26
13:36:25: [INFO] Placing additional elements for SW25
13:36:25: [INFO] Placing additional elements for SW24
13:36:25: [INFO] Placing additional elements for SW23
13:36:25: [INFO] Placing additional elements for SW22
13:36:25: [INFO] Placing additional elements for SW21
13:36:25: [INFO] Placing additional elements for SW20
13:36:25: [INFO] Placing additional elements for SW19
13:36:25: [INFO] Placing additional elements for SW18
13:36:25: [INFO] Placing additional elements for SW17
13:36:25: [INFO] Placing additional elements for SW16
13:36:25: [INFO] Placing additional elements for SW15a
13:36:25: [INFO] Placing additional elements for SW15
13:36:25: [INFO] Placing additional elements for SW14
13:36:25: [INFO] Placing additional elements for SW13
13:36:25: [INFO] Placing additional elements for SW12
13:36:25: [INFO] Placing additional elements for SW11
13:36:25: [INFO] Placing additional elements for SW10
13:36:25: [INFO] Placing additional elements for SW9
13:36:25: [INFO] Placing additional elements for SW8
13:36:25: [INFO] Placing additional elements for SW7
13:36:25: [INFO] Placing additional elements for SW6
13:36:25: [INFO] Placing additional elements for SW5
13:36:25: [INFO] Placing additional elements for SW4
13:36:25: [INFO] Placing additional elements for SW3
13:36:25: [INFO] Placing additional elements for SW2
