=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:30:59: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgMwF8A0dwAYUPGi14B2AOgDZDV0BWbcAXRQCgwpY4AmNcATzYFoMxABwUuWdrjj42ARkqYUAFknT4VMqOpKVreDOIZ5NCQ2aq4NdL3gDhQ+Vio6CiDUZRPTLF6S7W4tgCcDiikzrJuXDRhXhD+QYRcAMZs4ADEhJlZ4CEYOinw6UnFJTliKDLhevrk7pV44AXoaQCGbe1lWnmxuoh+-IIIQsmpaSWl8jK0DS4ktVy+OD0unFYDwprgUxIzspPau2qR6L7Kh3D6hgsoJkzebJY860L2XFNO5wjH4L6ed+a+NY2QTBN6hKoXb6+GL-J7A4iBRLoJrpdodfZ5BoosbjFL7epSXoyGqbXwEiDYtFtTo-FDdWEuBD9eFDEaFHHjGmcHDnOabRJLBlsVZwgKCETyTg7QkuORcThnGUPb6JRXmS7yRK3My9R7xcWvdCcD5K+BfeboRJ-HU+ZlihGS8HnEma8E9fUIpGNUZUlpcun5Ua4vHyioQ4kqsNYn1UmmJek2thMoH21nIoO4mlMnmmuB8+TDQWJ+Aij0SrhM6Xq+RMtW677DOuygwFm70IVqO22F41jwQ82bYbW+7wQGioK9sLOhtu2EexFs5q+rMB6Ps4Mr8lEl1cYZbymx1sJkd9FO2IbyRTTXP5riBWjLYVd8WbK9VomXg659QW8D3psRFc6D3tqLAeoQVCfpi6BXluso7sBUaIceEAAE5Jlg6CoT4xCPKh-iKAiIouLYpbrFQXrYlk2RcAAZmwwzoAAFhEkFcFeMLFgE+hkfCiiMd67LLnRSafsOaH8AgmHgNhbCBMQ7CPCR4rJuOggUYu6TUZkkjgPR8ACSxei4fI96cSeggyF6HpUKpB5orp+mIKZfZ0HQQA
13:31:02: [INFO] Add D41 footprint
13:31:02: [INFO] Add SW42 footprint
13:31:02: [INFO] Add D42 footprint
13:31:02: [INFO] Add SW43 footprint
13:31:02: [INFO] Add D43 footprint
13:31:02: [INFO] Add SW44 footprint
13:31:02: [INFO] Add D44 footprint
13:31:02: [INFO] Add SW45 footprint
13:31:02: [INFO] Add D45 footprint
13:31:02: [INFO] Add SW46 footprint
13:31:02: [INFO] Add D46 footprint
13:31:02: [INFO] Add SW47 footprint
13:31:02: [INFO] Add D47 footprint
13:31:02: [INFO] Add SW48 footprint
13:31:02: [INFO] Add D48 footprint
13:31:02: [INFO] Add SW49 footprint
13:31:02: [INFO] Add D49 footprint
13:31:03: [INFO] Add SW50 footprint
13:31:03: [INFO] Add D50 footprint
13:31:03: [INFO] Add SW51 footprint
13:31:03: [INFO] Add D51 footprint
13:31:03: [INFO] Add SW52 footprint
13:31:03: [INFO] Add D52 footprint
13:31:03: [INFO] Add SW53 footprint
13:31:03: [INFO] Add D53 footprint
13:31:03: [INFO] Add SW54 footprint
13:31:03: [INFO] Add D54 footprint
13:31:03: [INFO] Add SW55 footprint
13:31:03: [INFO] Add D55 footprint
13:31:03: [INFO] Add SW56 footprint
13:31:03: [INFO] Add D56 footprint
13:31:03: [INFO] Add SW57 footprint
13:31:03: [INFO] Add D57 footprint
13:31:03: [INFO] Add SW58 footprint
13:31:03: [INFO] Add D58 footprint
13:31:03: [INFO] Add SW59 footprint
13:31:03: [INFO] Add D59 footprint
13:31:03: [INFO] Add SW60 footprint
13:31:03: [INFO] Add D60 footprint
13:31:03: [INFO] Add SW61 footprint
13:31:03: [INFO] Add D61 footprint
13:31:03: [INFO] Add SW62 footprint
13:31:03: [INFO] Add D62 footprint
13:31:03: [INFO] Add SW63 footprint
13:31:03: [INFO] Add D63 footprint
13:31:03: [INFO] Add SW64 footprint
13:31:03: [INFO] Add D64 footprint
13:31:03: [INFO] Add SW65 footprint
13:31:03: [INFO] Add D65 footprint
13:31:03: [INFO] Add SW66 footprint
13:31:03: [INFO] Add D66 footprint
13:31:04: [INFO] Add SW67 footprint
13:31:04: [INFO] Add D67 footprint
13:31:04: [INFO] Add SW68 footprint
13:31:04: [INFO] Add D68 footprint
13:31:04: [INFO] Add SW69 footprint
13:31:04: [INFO] Add D69 footprint
13:31:04: [INFO] Add SW70 footprint
13:31:04: [INFO] Add D70 footprint
13:31:04: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:04: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:04: [INFO] Layout offset: (28575000, 28575000)
13:31:04: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:04: [INFO] Placing additional elements for SW70
13:31:04: [INFO] Placing additional elements for SW69
13:31:04: [INFO] Placing additional elements for SW68
13:31:04: [INFO] Placing additional elements for SW67
13:31:04: [INFO] Placing additional elements for SW66
13:31:04: [INFO] Placing additional elements for SW65
