=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYB0AGA7AGjuAnrHGigEwC+O4ArFkgDoB2jjJWC4OEAxoeAMQBDIcPAVcNDMyYNW7ALpYAUGCiESKACwJKBeMRI1cPePwxnzoymixoOcbrz5dnLy7mvtOq+AE4USJDFqLA07YKo7BxNBYSEwgHc1IIkpFhtI7yIUKiRKY1wnF2c3cGwMcAVlCGh4dRIADjzHWLjKRPgEbKDtWy98-iLi7rYMmrh6lB8NINzQylyI+doM9sQupclpRmte+0ziLSDG8q8xzvrsI0dzCzbCToNKAAs1NpJ77Of3jspIb7gALT6KhBbD0LYMDwVJQqMbEQzgfqFIolDRYRZ7OH+NFXaItAQJD4YEGUVi7KIFQY8IKyUaEPzkSjYOa4bAYimmG4nXCrOok1m0VKQ9KnQgHbS4ymDEo+LDc6pilDEmZyoVQyqwxX88BopB0vSfSX8fGE2qkbUAZhsQp6GSRVJKVs8mMIEw0GCOWAtYUaLI5MViprWysojQiGoVHQwSoRukBxGJTWiXPKnr1Ef2hvwhCB5qTUpRQTR8szCKRJruHXNRZFe1WD21aPeot8mkaPI+BiCsudEHr1cosveGbOqETuDjufHiOuXJlXrCspZ4Fl4ZhkbgrAnWvzxpaQYbQStaBtIz6jgdNYQp-k6-AACdXZR72cY781JNLtmDT4LUFrM27gLlYIRhNYGLgNY6Z3mMFqaB6lDaIB4DaN6iGgeha5VJkcEYIyuCsMhrBoXsDCEAALveACuACmNIYQR6LQthYwaKQ+HgFayFWiRnEMXxWGavAbF4buAYiJWaxdpQaIWkKx52he0qSXyNYaPJ6QjoQIlbt+WTTryA64Gi6kQk6il4vukmHjJXoabe2GPvAALtpk0YXDoOZsVQrn2tKyS1sEzrBMhNDelp8DRhaCG4LkuzgLkwW5MhuThTBhDRkgHHYOS4BkfAlG0aCZ4Csh2BpSxGUoAgunlvu3bLOe0SXqGgWNMFjTDulkXVbphkhrgsq2HIchAA
13:41:21: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:21: [INFO] Add ST20 footprint
13:41:21: [INFO] Add SW20a footprint
13:41:21: [INFO] Add SW21 footprint
13:41:21: [INFO] Add D21 footprint
13:41:21: [INFO] Add SW22 footprint
13:41:21: [INFO] Add D22 footprint
13:41:21: [INFO] Add SW23 footprint
13:41:21: [INFO] Add D23 footprint
13:41:21: [INFO] Add SW24 footprint
13:41:21: [INFO] Add D24 footprint
13:41:21: [INFO] Add SW25 footprint
13:41:21: [INFO] Add D25 footprint
13:41:21: [INFO] Add SW26 footprint
13:41:21: [INFO] Add D26 footprint
13:41:21: [INFO] Add SW27 footprint
13:41:22: [INFO] Add D27 footprint
13:41:22: [INFO] Add SW28 footprint
13:41:22: [INFO] Add D28 footprint
13:41:22: [INFO] Add SW29 footprint
13:41:22: [INFO] Add D29 footprint
13:41:22: [INFO] Add SW29a footprint
13:41:22: [INFO] Add SW30 footprint
13:41:22: [INFO] Add D30 footprint
13:41:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:22: [INFO] Add ST30 footprint
13:41:22: [INFO] Add SW30a footprint
13:41:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:22: [INFO] Add ST30a footprint
13:41:22: [INFO] Add SW31 footprint
13:41:22: [INFO] Add D31 footprint
13:41:22: [INFO] Add SW32 footprint
13:41:22: [INFO] Add D32 footprint
13:41:22: [INFO] Add SW33 footprint
13:41:22: [INFO] Add D33 footprint
13:41:22: [INFO] Add SW34 footprint
13:41:22: [INFO] Add D34 footprint
13:41:22: [INFO] Add SW35 footprint
13:41:22: [INFO] Add D35 footprint
13:41:22: [INFO] Add SW36 footprint
13:41:22: [INFO] Add D36 footprint
13:41:22: [INFO] Add SW37 footprint
13:41:22: [INFO] Add D37 footprint
13:41:22: [INFO] Add SW38 footprint
13:41:22: [INFO] Add D38 footprint
13:41:22: [INFO] Add SW39 footprint
13:41:22: [INFO] Add D39 footprint
