=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:41:25: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGcFtwLgATgE4HsAuB9ApgYwIz7gC+ANEgAykUA6AdvYw80-dheALqkBQY4AD3gJ8AOgCs5cAE9hAWgqiA7JKS5h4AMRKdu8FJgaSUqvnoBRAMoBhfQgjrEW3C9fHKpAEx3wVAMw+VAAsgaTioQBsoUqhAByhAJyh+BwmpITJ3mn4AeQOGpoAhsUlPgDuwp5kHvgheYLCiuLVvunh3Hz5Tpqubi341HYQQohNUo5IRSXF5cJizVIDRPUTzr3q-V4+A7lIA3V7YdukUYukMWfxZ0lnKccZt1mHOUPgFYjzm7WvIwhjagVpjMvu1ePxVj11u5wJ5BvVfv9wBCgYVZh9lAskLDlvYkQV1hspLCnjDSLtSQdSeEiScfLCLljSFdGTdGXcaQ82U8upNdHopO8EJ5RJ5MaTvvDGhJxoCgdDsaDOnjugToX44biEdKAd0UWihSKxeqcTy1r01WSfOrKerqUh1ad7ecrUyXazwMbUk7OR70tzlZM9QK5hiWsbdsMQ0a2lwwZGPuIMVJZIgFEmdby+TEw+kQh1+CmEGnRTKVVCWkENfG-tqA1og0hBWJRRX0q8m4bW-6Oy2pJWI3XIebg4gIp2+86VrLptDK+ykHOceA59589XaumZPJFCpS5m+bP0uS55S5+1OEA
13:41:27: [INFO] Add SW34 footprint
13:41:28: [INFO] Add D34 footprint
13:41:28: [INFO] Add SW35 footprint
13:41:28: [INFO] Add D35 footprint
13:41:28: [INFO] Add SW36 footprint
13:41:28: [INFO] Add D36 footprint
13:41:28: [INFO] Add SW37 footprint
13:41:28: [INFO] Add D37 footprint
13:41:28: [INFO] Add SW38 footprint
13:41:28: [INFO] Add D38 footprint
13:41:28: [INFO] Add SW39 footprint
13:41:28: [INFO] Add D39 footprint
13:41:28: [INFO] Add SW40 footprint
13:41:28: [INFO] Add D40 footprint
13:41:28: [INFO] Add SW41 footprint
13:41:28: [INFO] Add D41 footprint
13:41:28: [INFO] Add SW42 footprint
13:41:28: [INFO] Add D42 footprint
13:41:28: [INFO] Add SW43 footprint
13:41:28: [INFO] Add D43 footprint
13:41:28: [INFO] Add SW44 footprint
13:41:28: [INFO] Add D44 footprint
13:41:28: [INFO] Add SW45 footprint
13:41:28: [INFO] Add D45 footprint
13:41:28: [INFO] Add SW46 footprint
13:41:28: [INFO] Add D46 footprint
13:41:28: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:41:28: [INFO] Add ST46 footprint
13:41:28: [INFO] Add SW47 footprint
13:41:28: [INFO] Add D47 footprint
13:41:28: [INFO] Add SW48 footprint
13:41:28: [INFO] Add D48 footprint
13:41:28: [INFO] Add SW49 footprint
