=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:37:17: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoAsaCsAaO4CetEkEBGADixwGMDwBiAQ0afAF9twFMFxsJp4ATEjIIAbO2rw6lGbNbtOAZh5w+BUqnQoAnGxydiA8AF1MAKDBQCxdEVLt88ALTJSbiuEk4GTRivAA7gQCehyYxCgm5pb8cBF2AooOBC5I2uniVDS0snKhBsqmFmqCSKIopCjJzsjp2qT5mEZFMdZl6GLVcKl12hLZAOxDw-L64VHFVvDIAgKiAl2pxBFJWVI+vqPgxFwTrfCGSPY4jt21KOX967kyWzvLeyVxikckHqc9KBGh90a8U4QMgscEEDkh0D9wpEWk94gN0sc8ClanVIcRCtEnkJtAIcYsUelIc1MQDiKhFMQBvi0ukqWtvL4-OxQXFwWjHkiasIIihQgtuDDSbYBAMyNS3KQdvS6MMRszgkgBBD2AsIhzYmSBGRVpyzjT6lcGYz-CyyQNlThVSpYchFAhSHTPNkbtQ+eFiOqFdpROg+idkfrdCqmtbSbaENpFG7DJ74C8BBdgbrUggECF2EliZMNdjvY6PgSgzgkg9-rEU2mLeAS39VACK0rDXRGfQTQrzaES9CSbECZlk335aUlZ3xoKNURU+8A6nGyC2lWqh7x9ZREQLoiCzSBjrTWz2Evu5MAE7WJPH2IvSOkfvH04oYQRoesxeYDEn2IP0TpKXgO8EGYlURXtuR0akIx1LxpBuLZOEiBRMHQfxOFEZDMAGWM9TQbRfy3WcGnYHZlEIzB4JwHYkJI1CVy5YgfzdYjLVI-wFkopjqJ7ACkDtCNR0Y6tmIzRD-CSDiPwIWwUEURQqhwf94AfGS8XnYdXyQwULwIAYyhk897yOSkmw2ZhQiqMTLFPZxDHYTT4G0IhiDTGzTlcX1HSgnIYMaUg0O0NDHP85dOK5DonP9aZJwQKMSIwkifJIvySICmi9SVNM3Vipj4qYxKmOS4K9XNdKhMygTsoE3KBPy8S7MfchnIIB8cUSZ8hA7A9MB8jSNTJUhFFEW99JQAQn2lYymRUl9TPCAVjCAA
13:37:21: [INFO] Add SW64 footprint
13:37:21: [INFO] Add D64 footprint
13:37:21: [INFO] Detected layout convertible to matrix annotated keyboard
13:37:21: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:37:21: [INFO] Layout offset: (20107275, 28222575)
13:37:21: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:37:21: [INFO] Placing additional elements for SW64
13:37:21: [INFO] Placing additional elements for SW63
13:37:21: [INFO] Placing additional elements for SW62
13:37:21: [INFO] Placing additional elements for SW61
13:37:21: [INFO] Placing additional elements for SW60
13:37:21: [INFO] Placing additional elements for SW59
13:37:21: [INFO] Placing additional elements for SW58
13:37:21: [INFO] Placing additional elements for SW57
13:37:21: [INFO] Placing additional elements for SW56
13:37:21: [INFO] Placing additional elements for SW55
13:37:21: [INFO] Placing additional elements for SW54
13:37:21: [INFO] Placing additional elements for SW53
13:37:21: [INFO] Placing additional elements for SW52
13:37:21: [INFO] Placing additional elements for SW51
13:37:21: [INFO] Placing additional elements for SW50
13:37:21: [INFO] Placing additional elements for SW49
13:37:21: [INFO] Placing additional elements for SW48
13:37:21: [INFO] Placing additional elements for SW47
13:37:21: [INFO] Placing additional elements for SW46
13:37:21: [INFO] Placing additional elements for SW45
13:37:21: [INFO] Placing additional elements for SW44
13:37:21: [INFO] Placing additional elements for SW43
13:37:21: [INFO] Placing additional elements for SW42
13:37:21: [INFO] Placing additional elements for SW41
13:37:21: [INFO] Placing additional elements for SW40
13:37:21: [INFO] Placing additional elements for SW39
13:37:21: [INFO] Placing additional elements for SW38
13:37:21: [INFO] Placing additional elements for SW37
13:37:21: [INFO] Placing additional elements for SW36
13:37:21: [INFO] Placing additional elements for SW35
13:37:21: [INFO] Placing additional elements for SW34
13:37:21: [INFO] Placing additional elements for SW33
13:37:21: [INFO] Placing additional elements for SW32
13:37:21: [INFO] Placing additional elements for SW31
