=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:51: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NobwRAdghgtgpmAXAAjAQQKIHECSBlMAXwBoAoUMADyWQEYAmAOgHYBWY1AYxrAGIoBgsBzAAXHgAYp0oiInEJw1LQVKw82mpWaO4aigmN2XHrwAcFy7NTz6SvTVqN5JlH04fP1sCrtziAMxagWryACz2VDSGxmDcbvyCAt4qEf6swRn+AGyR+sgxIvGovJ5eJMrEuf7MwbX+ZmAAumQU+QwssQCe0Yz0scV8SckVYPSqIgETqOM6qFNzDgZGRaZlHt7jfvPE22MhkwczxGk7p-tZO5f71Tu3+-U7j-uNunGmw1BqAO409KNTMwAHQgIJB8kUb3yhn6qwS624AOIwNBqI0wRRYIg6Ja5DAYQUWJB4yCInYEiJEBJagJtEp1LJxDpqOJRyWBT6rFGBIpLKpuzU5PpApEtOF23Ag0SSW87GZWK2eV6sNQAAs-qNsoS+bNIlKEbLtQqmTSmcK5mA5ealcsVe8Ep9vDzhZDkJK1utDbzja78WaddNLf6fTaOQMPsMfo4jNyRW77SUDaN2HsCaTUOx037zuxzgTruxrgT7ux7gTnuxngTXvGpY6RL8UE4uYzGriKPrPZqjaiGahmD3WVmtfLe0cwAPR0PQzCW6gtd6x3sB4vWXsR+K9RGZSJ1Sh-iIAJzBpehpx2ztlbwr60iDcBi2T2-x6GcuElR3d1f813u+FdkQbwDX17xDQCT1ZX8omWcMHUjBtozYbsJQTdwAP7OMwC1LMB2HE41AHc4tWuAdri1e4B3uLVngHR4-w-eDUEbZAmH6bs21aei0KvUYzEHfks2Pb8+zAPipwEtRj3Evt2VnXj+MVI8FMwsTNyhaML23IRdw1EQ+OEk03kvcolIMi1VIfSSIP5RZoI5TS4J3NVdNQfSXS3f8eNM9y9Os8ZfSknyX2jWCGKcsBmPPOcwGPFDjI2eTBPHPjzmPc4+OuY9rj4+5j3uPjnmPOjUOlbSmL+Tp5MxVEVCg187UiyrfOqkFtCslqIDa9t2VoAdUB6FAAFpDDYd8+EsKx5LsbqwAG5BhrfVxE3QnwIWFLNaFq9atA0bb1KbRaIpc1blL2WhdoDFD8lY2JmIPZQLuNWzrs5UZNuU31zr86Z2QCFYlqGSM3vkDaVHTLjSk9BCUGYN6VEuCH63Kg7ove54vprcBGtRlQOPIHqtX6mgFtGgHzAmxo4cMh7MPe6amiAA
13:32:52: [INFO] Add SW6 footprint
13:32:52: [INFO] Add D6 footprint
13:32:53: [INFO] Add SW7 footprint
13:32:53: [INFO] Add D7 footprint
13:32:53: [INFO] Add SW8 footprint
13:32:53: [INFO] Add D8 footprint
13:32:53: [INFO] Add SW9 footprint
13:32:53: [INFO] Add D9 footprint
13:32:53: [INFO] Add SW10 footprint
13:32:53: [INFO] Add D10 footprint
13:32:53: [INFO] Add SW11 footprint
13:32:53: [INFO] Add D11 footprint
13:32:53: [INFO] Add SW12 footprint
13:32:53: [INFO] Add D12 footprint
13:32:53: [INFO] Add SW13 footprint
13:32:53: [INFO] Add D13 footprint
13:32:53: [INFO] Add SW14 footprint
13:32:53: [INFO] Add D14 footprint
13:32:53: [INFO] Add SW15 footprint
13:32:53: [INFO] Add D15 footprint
13:32:53: [INFO] Add SW16 footprint
13:32:53: [INFO] Add D16 footprint
13:32:53: [INFO] Add SW17 footprint
13:32:53: [INFO] Add D17 footprint
13:32:53: [INFO] Add SW18 footprint
13:32:53: [INFO] Add D18 footprint
13:32:53: [INFO] Add SW19 footprint
13:32:53: [INFO] Add D19 footprint
13:32:53: [INFO] Add SW20 footprint
13:32:53: [INFO] Add D20 footprint
13:32:53: [INFO] Add SW21 footprint
13:32:53: [INFO] Add D21 footprint
13:32:53: [INFO] Add SW22 footprint
13:32:53: [INFO] Add D22 footprint
13:32:53: [INFO] Add SW23 footprint
13:32:53: [INFO] Add D23 footprint
13:32:54: [INFO] Add SW24 footprint
13:32:54: [INFO] Add D24 footprint
13:32:54: [INFO] Add SW25 footprint
13:32:54: [INFO] Add D25 footprint
13:32:54: [INFO] Add SW26 footprint
13:32:54: [INFO] Add D26 footprint
13:32:54: [INFO] Add SW27 footprint
13:32:54: [INFO] Add D27 footprint
13:32:54: [INFO] Add SW28 footprint
13:32:54: [INFO] Add D28 footprint
13:32:54: [INFO] Add SW29 footprint
13:32:54: [INFO] Add D29 footprint
13:32:54: [INFO] Add SW30 footprint
13:32:54: [INFO] Add D30 footprint
13:32:54: [INFO] Add SW31 footprint
13:32:54: [INFO] Add D31 footprint
13:32:54: [INFO] Add SW32 footprint
13:32:54: [INFO] Add D32 footprint
13:32:54: [INFO] Add SW33 footprint
13:32:54: [INFO] Add D33 footprint
13:32:54: [INFO] Add SW34 footprint
13:32:54: [INFO] Add D34 footprint
13:32:54: [INFO] Add SW35 footprint
