=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:33: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwDoCsAaO4DGtMGIBDI48AXw3AAY1LwLqBGOzahZqtAZmYmnktQUc8cHgDsEyWXpoALDyi4BCdJmH4smrdJZoU7agDYDaMSYAcCvnGUpyugJwmGtDL1wMkle+EM12fkxuivxIKj5+3BR+8tF6AWjGwda2EaZWSmGq2LiixCRplnFOALpoAFBgIYiCmACemXYUDP7NaEGYLWxtUXDuodnqolraPi2xnfFtSZNmbUWTTm0uGfCe3hRirZhbHeBb3Ttc7FsT+1N9OSKE+QTsAO64CD5bYgA6AHafn9SulylZF5oBbnJb-DxeIS5PAjTQ6c6Gb5fD6ME6mJE-drgMqVCAACyePk4NAxH12qxsgIoCC4pMCFNS1JJyM+Wz+4BpexphwgQxu+XYBPgzwoxM4dO2-Up2Uea1QPhpE150NhOAVFw5iXYNLmmBpIJpYKl6x85m24DNezNhwtxwoZrOZv09q1wVlcE8TUwZveLI+LT+UtsUOutzupuB7DNRuqnjEg2hkikFHdnhUFCFiBTbDl2TxOY9FEgBYAtIzMA50X6WkwcVVrGmE9dVfCxRKOkGqZhiZRSWz2MS9sSebHald8GGHhD40S5Ao+S3Z87u66V7rwMSQcSYw2vD5K+zK3tKzbK71wJWzpXl8rrkmJFPhV2L1WkQGGVkQxPbvDKyDKzumTxl+wywr+iSkjW2IVPWTzyhQsjMkiB7sIheyISOfKThmhIUOg4p+magbVAIMpweECFyKSNLEQuYE+IhMzgIh66ISCiFgsx7TEbuGydKizSsOwLh2vxc6CRct7fgKKZwTOEmIn6PYUsgZFyvJYmKUig7CdQvraVidZSggnCfvUuBlkgwFqCq9ESZYRnVKpFANPAlnppg7oipg6AMKSKF4WgCCkkRFKeiB-IkLJuY+Ogsikoh7LoCgCWSuAqbwT5r7Iol862SMj5wJwsVoA4qU8RC1CebgxXNF0pLoLR0LYdVMV1VRfqNcJLQpZ1aUZV64AMC0WnIl1jnWAgyAeeArlwJZ1njqBBVjC067DZG7WlDBEBzcGmCZt54CNf5WLJBCFGYIlp0jtYpmLVhP7RR6mXHR1SJoQoGWXW9vUfWdlwDSV+k5QDUnLdoz3IBpb1lX6n3nXKVXpXJg0bcFfUdktkVEIVnqre9Y1gyjco-Rtf1E1jQPtaNny+dBuKxhFi6BX5fpHh+P0nezQXsL5N2c020lRa1L0-Yh8V+pyqF6NRxMAjN32DXFqUjkrJUU58GFfRdyvZVrvOBeYqt5c2YFQ8+6Bw-9t2VRbZP1X1mHNT+BMEUi6Bq7rBOSx7huA977Wax8ns66TaMjQ1vMTR4LmNMzdlXbShHy4HSfu8i1oM1UXklRjSKWoLechf7b0Z58WclCUQA
13:29:36: [INFO] Add SW25 footprint
13:29:36: [INFO] Add D25 footprint
13:29:36: [INFO] Add SW26 footprint
13:29:36: [INFO] Add D26 footprint
13:29:36: [INFO] Add SW27 footprint
13:29:36: [INFO] Add D27 footprint
13:29:36: [INFO] Add SW28 footprint
13:29:36: [INFO] Add D28 footprint
13:29:36: [INFO] Add SW29 footprint
13:29:36: [INFO] Add D29 footprint
13:29:36: [INFO] Add SW30 footprint
13:29:36: [INFO] Add D30 footprint
13:29:36: [INFO] Add SW31 footprint
13:29:36: [INFO] Add D31 footprint
13:29:36: [INFO] Add SW32 footprint
13:29:36: [INFO] Add D32 footprint
13:29:36: [INFO] Add SW33 footprint
13:29:36: [INFO] Add D33 footprint
13:29:36: [INFO] Add SW33a footprint
13:29:36: [INFO] Add ST33a footprint
13:29:36: [INFO] Add SW34 footprint
13:29:36: [INFO] Add D34 footprint
13:29:36: [INFO] Add SW35 footprint
13:29:36: [INFO] Add D35 footprint
13:29:36: [INFO] Add SW36 footprint
13:29:36: [INFO] Add D36 footprint
13:29:36: [INFO] Add ST36 footprint
13:29:36: [INFO] Add SW36a footprint
13:29:36: [INFO] Add SW37 footprint
13:29:37: [INFO] Add D37 footprint
13:29:37: [INFO] Add SW38 footprint
13:29:37: [INFO] Add D38 footprint
13:29:37: [INFO] Add SW39 footprint
13:29:37: [INFO] Add D39 footprint
13:29:37: [INFO] Add SW40 footprint
13:29:37: [INFO] Add D40 footprint
13:29:37: [INFO] Add SW41 footprint
13:29:37: [INFO] Add D41 footprint
13:29:37: [INFO] Add SW42 footprint
13:29:37: [INFO] Add D42 footprint
13:29:37: [INFO] Add SW43 footprint
13:29:37: [INFO] Add D43 footprint
13:29:37: [INFO] Add SW44 footprint
13:29:37: [INFO] Add D44 footprint
13:29:37: [INFO] Add SW45 footprint
13:29:37: [INFO] Add D45 footprint
13:29:37: [INFO] Add SW46 footprint
13:29:37: [INFO] Add D46 footprint
13:29:37: [INFO] Add SW47 footprint
13:29:37: [INFO] Add D47 footprint
13:29:37: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:37: [INFO] Add ST47 footprint
13:29:37: [INFO] Add SW47a footprint
13:29:37: [INFO] Add SW48 footprint
13:29:37: [INFO] Add D48 footprint
13:29:37: [INFO] Add SW49 footprint
13:29:37: [INFO] Add D49 footprint
13:29:37: [INFO] Add SW50 footprint
13:29:37: [INFO] Add D50 footprint
13:29:37: [INFO] Add SW51 footprint
13:29:37: [INFO] Add D51 footprint
13:29:37: [INFO] Add SW52 footprint
13:29:37: [INFO] Add D52 footprint
13:29:38: [INFO] Add SW53 footprint
13:29:38: [INFO] Add D53 footprint
13:29:38: [INFO] Add SW54 footprint
13:29:38: [INFO] Add D54 footprint
13:29:38: [INFO] Add ST54 footprint
13:29:38: [INFO] Add SW54a footprint
13:29:38: [INFO] Add SW55 footprint
13:29:38: [INFO] Add D55 footprint
13:29:38: [INFO] Add ST55 footprint
13:29:38: [INFO] Add SW55a footprint
13:29:38: [INFO] Add SW56 footprint
13:29:38: [INFO] Add D56 footprint
13:29:38: [INFO] Add SW56a footprint
13:29:38: [INFO] Add ST56a footprint
13:29:38: [INFO] Add SW57 footprint
13:29:38: [INFO] Add D57 footprint
13:29:38: [INFO] Add ST57 footprint
13:29:38: [INFO] Add SW57a footprint
13:29:38: [INFO] Add SW58 footprint
13:29:38: [INFO] Add D58 footprint
13:29:38: [INFO] Add SW58a footprint
13:29:38: [INFO] Add SW59 footprint
13:29:38: [INFO] Add D59 footprint
13:29:38: [INFO] Add SW59a footprint
13:29:38: [INFO] Add SW59b footprint
13:29:38: [INFO] Add SW60 footprint
13:29:38: [INFO] Add D60 footprint
13:29:38: [INFO] Add SW60a footprint
13:29:38: [INFO] Add SW60b footprint
13:29:38: [INFO] Add SW61 footprint
13:29:38: [INFO] Add D61 footprint
13:29:38: [INFO] Add SW62 footprint
13:29:38: [INFO] Add D62 footprint
13:29:38: [INFO] Add ST62 footprint
13:29:38: [INFO] Add SW62a footprint
13:29:38: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:29:38: [INFO] Add ST62a footprint
13:29:38: [INFO] Add SW62b footprint
13:29:38: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:38: [INFO] Add ST62b footprint
13:29:38: [INFO] Add SW63 footprint
13:29:39: [INFO] Add D63 footprint
13:29:39: [INFO] Add SW64 footprint
13:29:39: [INFO] Add D64 footprint
13:29:39: [INFO] Add SW65 footprint
13:29:39: [INFO] Add D65 footprint
13:29:39: [INFO] Add SW66 footprint
13:29:39: [INFO] Add D66 footprint
13:29:39: [INFO] Add SW67 footprint
13:29:39: [INFO] Add D67 footprint
13:29:39: [INFO] Add SW68 footprint
13:29:39: [INFO] Add D68 footprint
13:29:39: [INFO] Add SW69 footprint
13:29:39: [INFO] Add D69 footprint
13:29:39: [INFO] Add SW70 footprint
13:29:39: [INFO] Add D70 footprint
13:29:39: [INFO] Add SW71 footprint
13:29:39: [INFO] Add D71 footprint
13:29:39: [INFO] Add SW72 footprint
13:29:39: [INFO] Add D72 footprint
13:29:39: [INFO] Add SW73 footprint
13:29:39: [INFO] Add D73 footprint
13:29:39: [INFO] Add SW74 footprint
13:29:39: [INFO] Add D74 footprint
13:29:39: [INFO] Add SW75 footprint
13:29:39: [INFO] Add D75 footprint
13:29:39: [INFO] Add SW76 footprint
13:29:39: [INFO] Add D76 footprint
13:29:39: [INFO] Add SW77 footprint
13:29:39: [INFO] Add D77 footprint
13:29:39: [INFO] Add SW78 footprint
13:29:39: [INFO] Add D78 footprint
13:29:40: [INFO] Add SW79 footprint
13:29:40: [INFO] Add D79 footprint
13:29:40: [INFO] Add ST79 footprint
13:29:40: [INFO] Add SW79a footprint
13:29:40: [INFO] Add SW80 footprint
13:29:40: [INFO] Add D80 footprint
13:29:40: [INFO] Add SW81 footprint
13:29:40: [INFO] Add D81 footprint
13:29:40: [INFO] Add SW82 footprint
13:29:40: [INFO] Add D82 footprint
13:29:40: [INFO] Add SW83 footprint
13:29:40: [INFO] Add D83 footprint
13:29:40: [INFO] Add SW84 footprint
13:29:40: [INFO] Add D84 footprint
13:29:40: [INFO] Add SW85 footprint
13:29:40: [INFO] Add D85 footprint
13:29:40: [INFO] Add SW86 footprint
13:29:40: [INFO] Add D86 footprint
13:29:40: [INFO] Add SW87 footprint
13:29:40: [INFO] Add D87 footprint
13:29:40: [INFO] Add SW88 footprint
13:29:40: [INFO] Add D88 footprint
13:29:40: [INFO] Add SW89 footprint
13:29:40: [INFO] Add D89 footprint
13:29:40: [INFO] Add SW90 footprint
13:29:40: [INFO] Add D90 footprint
13:29:40: [INFO] Add SW91 footprint
13:29:40: [INFO] Add D91 footprint
13:29:40: [INFO] Add SW92 footprint
13:29:40: [INFO] Add D92 footprint
13:29:40: [INFO] Add SW93 footprint
13:29:41: [INFO] Add D93 footprint
13:29:41: [INFO] Add SW94 footprint
13:29:41: [INFO] Add D94 footprint
13:29:41: [INFO] Add SW95 footprint
13:29:41: [INFO] Add D95 footprint
13:29:41: [INFO] Add SW96 footprint
13:29:41: [INFO] Add D96 footprint
13:29:41: [INFO] Add SW97 footprint
13:29:41: [INFO] Add D97 footprint
13:29:41: [INFO] Add SW98 footprint
13:29:41: [INFO] Add D98 footprint
13:29:41: [INFO] Add SW99 footprint
13:29:41: [INFO] Add D99 footprint
13:29:41: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:29:41: [INFO] Add ST99 footprint
13:29:41: [INFO] Add SW99a footprint
