=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:42:57: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0B2JBfANHcDsEBmAHQDtzyCFxd9CAWSis68AXWwCgwpY4ATOiR0AnvwAMKASLwBjfuADEaVWvA48E7BNpwI0eFNngF8ZXMtWNdbTVvYBe8NqLPtDPQckosDgGzu2GhBABxBAJxefEa+mi6Eug4I9lqETsluuN6xfmnIHNy8hoLCYj559El4bHQEGTXYWY2eddhIzgSBbSFt4W1RbQjV9Cmd6dFmeEoAhnPzzgDu-ALx1KQsVDqTikpW1muEHZw8OaUYdFPK8wt0y-AIcXQC29mmu-uWNngvqeAvDX+TWcL1aP3aIOw3XBvXB-XBg3Bw0hY2eEzeV1mNxmS34j0qvyYmzIL2qEExnwU8V+HTeJXxl12anUdzx0hMAAsVncnA9fHQObzEHRIEKALRSGTxIiMZjkX6FU4xc4mTHYnGsvkYaWvfTvcx7T7fcAyv4ywEy5om7Bg620vAy6HW2HW+HWxHW5F0U2pclM5ku+6lKXe2XE0k7A2U42m+1nYw64hykmERW8NXY3F8kN4Bg6ZOmyPTaPxPMIAupukVRkG9VZ4OVPMSCtk-XFo2lxzOPNWvO2vP28B5p15l15t15j1lkZl31t66ZzWIYSdhANP0GgMhVdgjft-bGsvHIpnIQXeS7OtLx458AiZvE7StoM3yoicuP3UQF-s+IiATJk+RYWEaS7+L+dD+FCgFfvOWI3PWr7xFBwwwc+bK3ihH7MEBVa5DW0xbsaKFWihtooceSolGeqqXoueA-m++afn874wXOjF-o47HAYaB5LmgyHQSxvFXgxbKVFhPHsOwQA
13:43:03: [INFO] Placing additional elements for SW16
13:43:03: [INFO] Placing additional elements for SW15
13:43:03: [INFO] Placing additional elements for SW14
13:43:03: [INFO] Placing additional elements for SW13
13:43:03: [INFO] Placing additional elements for SW12
13:43:03: [INFO] Placing additional elements for SW11
13:43:03: [INFO] Placing additional elements for SW10
13:43:03: [INFO] Placing additional elements for SW9
13:43:03: [INFO] Placing additional elements for SW8
13:43:03: [INFO] Placing additional elements for SW7
13:43:03: [INFO] Placing additional elements for SW6
13:43:03: [INFO] Placing additional elements for SW5
13:43:03: [INFO] Placing additional elements for SW4
13:43:03: [INFO] Placing additional elements for SW3
13:43:03: [INFO] Placing additional elements for SW2
13:43:03: [INFO] Placing additional elements for SW1
13:43:03: [INFO] Routing SW84 with D84
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW84:2' at (383540000, 156845000) with pad 'D84:2' at (386080000, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Adding track segment (B.Cu): [(383540000, 156845000), (383540000, 161985000)]
13:43:03: [INFO] Adding track segment (B.Cu): [(383540000, 161985000), (386080000, 164525000)]
13:43:03: [INFO] Routing SW83 with D83
13:43:03: [INFO] Using internal autorouter method
13:43:03: [INFO] Routing pad 'SW83:2' at (364490000, 156845000) with pad 'D83:2' at (367030000, 164525000) using coordinate system rotated by 0 degree(s)
13:43:03: [INFO] Adding track segment (B.Cu): [(364490000, 156845000), (364490000, 161985000)]
13:43:03: [INFO] Adding track segment (B.Cu): [(364490000, 161985000), (367030000, 164525000)]
13:43:03: [INFO] Routing SW82 with D82
13:43:03: [INFO] Using internal autorouter method
