=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:43: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUfGzKFd0sAmI-AZnKwBZqUBWegNnoHZ6AOegTnoRx4sCQkIJkAuigBQYKLDgYAdGwZ4A7goRKSDVOgTZyh0QZRk8hqpZR0bTG6xscb3G3xsCiETfG2r9cBNCKVkIaHhlXQ0tFT08EiMEgnJEi3RE6wzbVMZcp2yXbLdsj2yvNB9Y3UDEkXBQuV9EHXj0CiS4Kr9WwI7TbpaavA70we1h9pQswZI+vMrwZrmRlALwDpKNlDLtiqn6iQkgA
13:33:47: [INFO] Routing pad 'SW45:2' at (231140000, 90170000) with pad 'D45:2' at (233680000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 90170000), (231140000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 95310000), (233680000, 97850000)]
13:33:47: [INFO] Routing SW44 with D44
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW44:2' at (212090000, 90170000) with pad 'D44:2' at (214630000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 90170000), (212090000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(212090000, 95310000), (214630000, 97850000)]
13:33:47: [INFO] Routing SW43 with D43
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW43:2' at (183515000, 90170000) with pad 'D43:2' at (186055000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(183515000, 90170000), (183515000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(183515000, 95310000), (186055000, 97850000)]
13:33:47: [INFO] Routing SW42 with D42
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW42:2' at (145415000, 90170000) with pad 'D42:2' at (147955000, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(145415000, 90170000), (145415000, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(145415000, 95310000), (147955000, 97850000)]
13:33:47: [INFO] Routing SW41 with D41
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW41:2' at (114458750, 90170000) with pad 'D41:2' at (116998750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(114458750, 90170000), (114458750, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(114458750, 95310000), (116998750, 97850000)]
13:33:47: [INFO] Routing SW40 with D40
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW40:2' at (90646250, 90170000) with pad 'D40:2' at (93186250, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(90646250, 90170000), (90646250, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(90646250, 95310000), (93186250, 97850000)]
13:33:47: [INFO] Routing SW39 with D39
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW39:2' at (66833750, 90170000) with pad 'D39:2' at (69373750, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(66833750, 90170000), (66833750, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(66833750, 95310000), (69373750, 97850000)]
13:33:47: [INFO] Routing SW38 with D38
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW38:2' at (43021250, 90170000) with pad 'D38:2' at (45561250, 97850000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(43021250, 90170000), (43021250, 95310000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(43021250, 95310000), (45561250, 97850000)]
13:33:47: [INFO] Routing SW37 with D37
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW37:2' at (271621250, 71120000) with pad 'D37:2' at (274161250, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(271621250, 71120000), (271621250, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(271621250, 76260000), (274161250, 78800000)]
13:33:47: [INFO] Routing SW36 with D36
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW36:2' at (250190000, 71120000) with pad 'D36:2' at (252730000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 71120000), (250190000, 76260000)]
13:33:47: [INFO] Adding track segment (B.Cu): [(250190000, 76260000), (252730000, 78800000)]
13:33:47: [INFO] Routing SW35 with D35
13:33:47: [INFO] Using internal autorouter method
13:33:47: [INFO] Routing pad 'SW35:2' at (231140000, 71120000) with pad 'D35:2' at (233680000, 78800000) using coordinate system rotated by 0 degree(s)
13:33:47: [INFO] Adding track segment (B.Cu): [(231140000, 71120000), (231140000, 76260000)]
