=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:35:18: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcDsEBmAHQDtzyAGQ8XcIw0ilmhcAXWwCgwpY4adFno0qdOBGjwqwnHjYTwNNEppE12ACwSpA2RnnLsSTQDZNAdk0AOXfxlzR2AJyaE45wnZfVuPY6GXhr+DnAGInhI2CFRJpw8fNKIliiRxgg6XLwBgsL0AJ4CALSylukEnngEPtXYfnWx+NpKBKb0BBYd2Nbddt1u3R6thLXNCA0QAO4CaEY1zJRkYgk5YUIY9DPwCGlGaNhV4AdjBw3HMUoHOvQH7XgHXQ89V9j9z4PPw7ejrxP220Qex+xHsyQi+0INy+pmySVm+TwgN25SMjCOjDGjHOjCajGhDHi9EYT0JvTwjHehM+hO+FN+oUBG3SmMmYQhxKhSkxsMS0wEuyCeC0hyW5BqShFCDFZAljIRQvAIqoMsqkvq6qaIoJIvuSuwpJF5P1VJFNKlRyltX58CEqPoUrQMoO4jhuQQqWieCK8FKKHtwq5bvWiPAPrgfs2SIFTjiVRtQMV0Wt4GRsfA0TZgLM6eiZhl6IBMaThHjqeL6WTKbTJf+weSCBzXrDJTKlaYSmTBOTvLWyTMhVboaZue0Bdo8p2o-zLHImKLtv97Zs45T4KXWxjAf1E2dE8DxD37A4HCAA
13:35:21: [INFO] Add D46 footprint
13:35:21: [INFO] Add SW47 footprint
13:35:21: [INFO] Add D47 footprint
13:35:21: [INFO] Add SW48 footprint
13:35:21: [INFO] Add D48 footprint
13:35:22: [INFO] Add SW49 footprint
13:35:22: [INFO] Add D49 footprint
13:35:22: [INFO] Add SW50 footprint
13:35:22: [INFO] Add D50 footprint
13:35:22: [INFO] Add SW51 footprint
13:35:22: [INFO] Add D51 footprint
13:35:22: [INFO] Add SW52 footprint
13:35:22: [INFO] Add D52 footprint
13:35:22: [INFO] Add SW53 footprint
13:35:22: [INFO] Add D53 footprint
13:35:22: [INFO] Add SW54 footprint
13:35:22: [INFO] Add D54 footprint
13:35:22: [INFO] Add SW55 footprint
13:35:22: [INFO] Add D55 footprint
13:35:22: [INFO] Add SW56 footprint
13:35:22: [INFO] Add D56 footprint
13:35:22: [INFO] Add SW57 footprint
13:35:22: [INFO] Add D57 footprint
13:35:22: [INFO] Add SW58 footprint
13:35:22: [INFO] Add D58 footprint
13:35:22: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:35:22: [INFO] Add ST58 footprint
13:35:22: [INFO] Add SW59 footprint
13:35:22: [INFO] Add D59 footprint
13:35:22: [INFO] Add SW60 footprint
13:35:22: [INFO] Add D60 footprint
13:35:22: [INFO] Add SW61 footprint
13:35:22: [INFO] Add D61 footprint
