=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:07: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgBwDoCsAaO4DGtMGIBDI48AXw3AAY1LwLqBGOzagJmarQGZmJp5KSVukw544PAHZpMsvTQAWXlFyCR2XBOIlyLNCg7UAbIbSTTCZfzhrdnBrXkMmT9k54Y+q1HcYGnJk7mTpaeKgI+TgCc4AC6aABQYOAAnt7CFGL4WDm5cpgMNAA6AHalpQpobgVoDOVlJZXV4IWs9RVVHIVc7Y2dYdaCGaKahNoE+S3FDR0uNXUzfXNTbYuVy92961bpKHaFlFs0XbVHjjWr9ZXnUz1rxwO7+4rKWRK5ec-+NYE1wTWhGoxCiFBwnZzg5qgjzzJQg2rfKYMX4QN5jbQcADuuFYzwYkl61BuoOBcC88AYQj28PxhNq4IQdKY8SSqNGHxyk1Y0yu-Uw3IWvOa3MuDSaHG5dyFOwiww04nRJAoAAscXZuYd7nM2QqOTh1actRKqkdlpLTTKbFSDZreTcBWdjaKOucdfhxhMVWqKOb7q7wla5diKZF+S8wmi9Vz9MbfuBuf942hAUnSUmwT7ambasLajD03CwwxEQKUeBg3BKdSi4zFgdXqMPdGGKTyXBWEhqJgK5S5ar4Nzu+wQ+plcPKxRIOOALRDavp2v1UFxRLJSMcyZcHlivkQEq4AAuACcAK4AUzsW8FO+aW+dfVv3CO1TbvfU+-gx-Pl8NvOWd4tCgtylHdtQDOcf1tHd-Q-OAvwvIDf2gjgAL9S030yRtxixXBKUkect0LN13g3H9ES3OMt3+PdD1PBDMC3FMtzTK8YNo79EIhTjHwYfMr0LcAr2+YipBkaQcIHa1OMXBp6wjLCMR-Ft0M7JSZNKZcWTXdlSIoa5nw4dYDL0k17maSoQI6F9wKpTCFSbL0BzsfSjXk3VdMwIzXM80y-0Mp9vLbCCTKgl1-OvMKTPva4G3s7DHPbZyArtS05woCsO2EJKFF6DVYuyDzwEqONKkTSoU0qNN1hudZlnWcy83CgT1mE+V3Xi7tcKQfCktpRYt39NExPE3r1JKAb8q0bDetbGz1Ay7r53WAl+vpLSRKjOx0FCh8OHQCLdoodBor5cB0Esw6yQDN8tqQ2ZJsVIgJMSo7fNA1LbM6pzXp2mK3IKj5JmOx1HhDOU0Qcr7KykzB0ByxZtuUHsYbO-RekRsJkay16jHRh4rorIwUf2naMYJrrsdhvNeiMfGICx+d9pQGm6bakjAfS7x1AAE3Y+jwBZwbRmG8xbvxPbahTfbZsGVA7PaxSTL6+o7yRrqeqVsbVfW66O3wig0gieaKaWxRcvpEzmcWAUV1ZXXFoNrqu3LLrGbNhGLapq36n2tWR1u3GPbA9cOahowxdJz2RMhl3-de3iWbA5G3eLRPbeSawGD14246p+Gfd3WPobd72GmOh6o05+BJAjvHrIh6b44u2nmn2-OGhbiXU8WTudcz7Oq+L2729Kc6JdL0fuD9oecbx-N0BWguYQ2jdB64WuPeXtnHomMWDrH+P7zH2JYiAA
13:31:10: [INFO] Add D38 footprint
13:31:10: [INFO] Add SW39 footprint
13:31:10: [INFO] Add D39 footprint
13:31:11: [INFO] Add SW39a footprint
13:31:11: [INFO] Add ST39a footprint
13:31:11: [INFO] Add SW40 footprint
13:31:11: [INFO] Add D40 footprint
13:31:11: [INFO] Add SW41 footprint
13:31:11: [INFO] Add D41 footprint
13:31:11: [INFO] Add SW42 footprint
13:31:11: [INFO] Add D42 footprint
13:31:11: [INFO] Add ST42 footprint
13:31:11: [INFO] Add SW42a footprint
13:31:11: [INFO] Add SW43 footprint
13:31:11: [INFO] Add D43 footprint
13:31:11: [INFO] Add SW44 footprint
13:31:11: [INFO] Add D44 footprint
13:31:11: [INFO] Add SW45 footprint
13:31:11: [INFO] Add D45 footprint
13:31:11: [INFO] Add SW46 footprint
13:31:11: [INFO] Add D46 footprint
13:31:11: [INFO] Add SW47 footprint
13:31:11: [INFO] Add D47 footprint
13:31:11: [INFO] Add SW48 footprint
13:31:11: [INFO] Add D48 footprint
13:31:11: [INFO] Add SW49 footprint
13:31:11: [INFO] Add D49 footprint
13:31:11: [INFO] Add SW50 footprint
13:31:11: [INFO] Add D50 footprint
13:31:11: [INFO] Add SW51 footprint
13:31:11: [INFO] Add D51 footprint
13:31:11: [INFO] Add SW52 footprint
13:31:11: [INFO] Add D52 footprint
13:31:11: [INFO] Add SW53 footprint
13:31:11: [INFO] Add D53 footprint
13:31:11: [INFO] Add SW54 footprint
13:31:11: [INFO] Add D54 footprint
13:31:11: [INFO] Add SW55 footprint
13:31:11: [INFO] Add D55 footprint
13:31:11: [INFO] Add SW56 footprint
13:31:12: [INFO] Add D56 footprint
13:31:12: [INFO] Add SW56a footprint
13:31:12: [INFO] Add ST56a footprint
13:31:12: [INFO] Add SW57 footprint
13:31:12: [INFO] Add D57 footprint
13:31:12: [INFO] Add SW58 footprint
13:31:12: [INFO] Add D58 footprint
13:31:12: [INFO] Add SW59 footprint
13:31:12: [INFO] Add D59 footprint
13:31:12: [INFO] Add SW60 footprint
13:31:12: [INFO] Add D60 footprint
13:31:12: [INFO] Add SW61 footprint
13:31:12: [INFO] Add D61 footprint
13:31:12: [INFO] Add SW62 footprint
13:31:12: [INFO] Add D62 footprint
13:31:12: [INFO] Add SW63 footprint
13:31:12: [INFO] Add D63 footprint
13:31:12: [INFO] Add SW64 footprint
13:31:12: [INFO] Add D64 footprint
13:31:12: [INFO] Add SW65 footprint
13:31:12: [INFO] Add D65 footprint
13:31:12: [INFO] Add SW66 footprint
13:31:12: [INFO] Add D66 footprint
13:31:12: [INFO] Add SW67 footprint
13:31:12: [INFO] Add D67 footprint
13:31:12: [INFO] Add SW68 footprint
13:31:12: [INFO] Add D68 footprint
13:31:12: [INFO] Add SW69 footprint
13:31:12: [INFO] Add D69 footprint
13:31:12: [INFO] Add SW70 footprint
13:31:12: [INFO] Add D70 footprint
13:31:12: [INFO] Add SW71 footprint
13:31:12: [INFO] Add D71 footprint
13:31:12: [INFO] Add SW72 footprint
13:31:12: [INFO] Add D72 footprint
13:31:12: [INFO] Add SW73 footprint
13:31:13: [INFO] Add D73 footprint
13:31:13: [INFO] Add SW74 footprint
13:31:13: [INFO] Add D74 footprint
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [INFO] Add ST74 footprint
13:31:13: [INFO] Add SW74a footprint
13:31:13: [INFO] Add SW75 footprint
13:31:13: [INFO] Add D75 footprint
13:31:13: [INFO] Add SW76 footprint
13:31:13: [INFO] Add D76 footprint
13:31:13: [INFO] Add SW76a footprint
13:31:13: [INFO] Add ST76a footprint
13:31:13: [INFO] Add SW77 footprint
13:31:13: [INFO] Add D77 footprint
13:31:13: [INFO] Add SW78 footprint
13:31:13: [INFO] Add D78 footprint
13:31:13: [INFO] Add SW79 footprint
13:31:13: [INFO] Add D79 footprint
13:31:13: [INFO] Add ST79 footprint
13:31:13: [INFO] Add SW79a footprint
13:31:13: [INFO] Add SW80 footprint
13:31:13: [INFO] Add D80 footprint
13:31:13: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:31:13: [INFO] Add ST80 footprint
13:31:13: [INFO] Add SW80a footprint
13:31:13: [INFO] Add SW81 footprint
13:31:13: [INFO] Add D81 footprint
13:31:13: [INFO] Add SW82 footprint
13:31:13: [INFO] Add D82 footprint
13:31:13: [INFO] Add SW83 footprint
13:31:13: [INFO] Add D83 footprint
13:31:13: [INFO] Add SW84 footprint
13:31:13: [INFO] Add D84 footprint
13:31:13: [INFO] Add SW85 footprint
13:31:13: [INFO] Add D85 footprint
13:31:13: [INFO] Add SW86 footprint
13:31:13: [INFO] Add D86 footprint
13:31:13: [INFO] Add SW87 footprint
13:31:13: [INFO] Add D87 footprint
13:31:13: [INFO] Add SW88 footprint
13:31:13: [INFO] Add D88 footprint
13:31:13: [INFO] Add SW89 footprint
13:31:14: [INFO] Add D89 footprint
13:31:14: [INFO] Add SW90 footprint
13:31:14: [INFO] Add D90 footprint
13:31:14: [INFO] Add SW91 footprint
13:31:14: [INFO] Add D91 footprint
13:31:14: [INFO] Add SW92 footprint
13:31:14: [INFO] Add D92 footprint
13:31:14: [INFO] Add SW92a footprint
13:31:14: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:31:14: [INFO] Add ST92a footprint
13:31:14: [INFO] Add SW92b footprint
13:31:14: [INFO] Add SW93 footprint
13:31:14: [INFO] Add D93 footprint
13:31:14: [INFO] Add SW93a footprint
13:31:14: [INFO] Add SW94 footprint
13:31:14: [INFO] Add D94 footprint
13:31:14: [INFO] Add SW95 footprint
13:31:14: [INFO] Add D95 footprint
13:31:14: [INFO] Add ST95 footprint
13:31:14: [INFO] Add SW95a footprint
13:31:14: [INFO] Add SW96 footprint
13:31:14: [INFO] Add D96 footprint
13:31:14: [INFO] Add SW97 footprint
13:31:14: [INFO] Add D97 footprint
13:31:14: [INFO] Add SW97a footprint
13:31:14: [INFO] Add ST97a footprint
13:31:14: [INFO] Add SW98 footprint
13:31:14: [INFO] Add D98 footprint
13:31:14: [INFO] Add SW99 footprint
13:31:14: [INFO] Add D99 footprint
13:31:14: [INFO] Add SW99a footprint
13:31:14: [INFO] Add SW100 footprint
13:31:14: [INFO] Add D100 footprint
13:31:14: [INFO] Add SW100a footprint
13:31:14: [INFO] Add SW100b footprint
13:31:14: [INFO] Add SW101 footprint
13:31:14: [INFO] Add D101 footprint
13:31:14: [INFO] Add SW101a footprint
13:31:14: [INFO] Add SW102 footprint
13:31:14: [INFO] Add D102 footprint
13:31:14: [INFO] Add SW103 footprint
13:31:15: [INFO] Add D103 footprint
13:31:15: [INFO] Add ST103 footprint
13:31:15: [INFO] Add SW103a footprint
13:31:15: [INFO] Add ST103a footprint
13:31:15: [INFO] Add SW103b footprint
13:31:15: [INFO] Add ST103b footprint
13:31:15: [INFO] Add SW104 footprint
13:31:15: [INFO] Add D104 footprint
13:31:15: [INFO] Add SW105 footprint
13:31:15: [INFO] Add D105 footprint
13:31:15: [INFO] Add SW106 footprint
13:31:15: [INFO] Add D106 footprint
13:31:15: [INFO] Add SW106a footprint
13:31:15: [INFO] Add SW106b footprint
13:31:15: [INFO] Add SW107 footprint
13:31:15: [INFO] Add D107 footprint
13:31:15: [INFO] Add SW108 footprint
13:31:15: [INFO] Add D108 footprint
13:31:15: [INFO] Add SW108a footprint
13:31:15: [INFO] Add SW108b footprint
13:31:15: [INFO] Add SW109 footprint
13:31:15: [INFO] Add D109 footprint
13:31:15: [INFO] Add SW110 footprint
13:31:15: [INFO] Add D110 footprint
13:31:15: [INFO] Add SW111 footprint
13:31:15: [INFO] Add D111 footprint
13:31:15: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:15: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:15: [INFO] Layout offset: (38100000, 28575000)
13:31:15: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:15: [INFO] Placing additional elements for SW111
13:31:15: [INFO] Placing additional elements for SW110
13:31:15: [INFO] Placing additional elements for SW109
13:31:15: [INFO] Placing additional elements for SW108b
13:31:15: [INFO] Placing additional elements for SW108a
13:31:15: [INFO] Placing additional elements for SW108
13:31:15: [INFO] Placing additional elements for SW107
13:31:15: [INFO] Placing additional elements for SW106b
13:31:15: [INFO] Placing additional elements for SW106a
13:31:15: [INFO] Placing additional elements for SW106
13:31:15: [INFO] Placing additional elements for SW105
13:31:15: [INFO] Placing additional elements for SW104
13:31:15: [INFO] Placing additional elements for SW103b
13:31:15: [INFO] Placing additional elements for SW103a
13:31:15: [INFO] Placing additional elements for SW103
13:31:15: [INFO] Placing additional elements for SW102
13:31:15: [INFO] Placing additional elements for SW101a
13:31:15: [INFO] Placing additional elements for SW101
13:31:15: [INFO] Placing additional elements for SW100b
13:31:15: [INFO] Placing additional elements for SW100a
13:31:15: [INFO] Placing additional elements for SW100
