=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:12: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgEwAYB0BWANHcATWcAXAJwFcBTAXy3AEYEMaAdAOxZaQyXCwgGN9wAYgCGoseCrY6DNq2Yca4ALoYAUGHABPfAFpUaSeA5dqNTt2wKLtBhYjR4qBJmz94QgOxfvE6hwR2UPj61G7YImKivlIYAX4YAMzWZknxACyBDnD6hhxoyRj58QBsBaU8QY7ohmYe1hwAHAVN8QCcmcHVphjtKur2+Mjo1NrwesOuAoK8M7PWePDE5DX0SLLs5hVhQpFRK5zr8rZ9GqNw486Gq9YJm9j0itS3j3ADVc6hU7NzV7E3f9R6KlsLdgeB6BknhhIfdCv8irDyiCMEjwRg6lCMbCWq9wNsIpFrAB3QaGW4NQ7XKG9NQafHfGbRcBpA5yFhmEzYTBrNnMDnWFlMXn8rZTXbCawAC1J1EwQtkItxWScLnAJPgNC62BZcVx9IZTMwuuZiWsmDBLJh4EwVpZCOtcOoLNRmFRLKxDo9LJxEHVcE1BidPUOLM5fDFu0NPWUtPD7mmBsMxVZCru4A8KbkivAyflWbub39KA+k3j4uJ+E1HkD2GTurj4QZ-EMGeNybBGbByatGatyftGftydRGdRyY9GaxDc83i8FfgCGLNfTGApvNDgXx5Zb0ZO04T3yZDUz7LTrRPfLTx7zp7DeIjhOo0oXhnPN8vd+VS+ofsXl2ox4IIctx3vqh6GMeYLnmCx5WueVrHva572seqLnqix4eueU73mWkY-pWKDVq+q6blMs5zhB0ainhhIkTS-S4Y2BoES+pjGIc2Y0AonEFpURYlkxOz4dgfqav+Uj+Ic3KBGJS41GYQG8jJFRyRJtAcAk0l8WBcysXAxTyexhTaaBD7iPp4nLtx6KmbJhHqTQtR2RUX6qviFF1AppHGe0phmAxpydIJW4ieAz6IIYoa8S8+5NlGPKpi8JrvmYyVyjFHQagk36luE25QmusgPNY9CtJSxyxvxZh5UI8U7ol+bJbmmXUBmqW2K5lYsrVgiefOAmqhF9CiQEGoTOFY3+tQkBTRcy4suV66VYxoWPtgw1UY1p6xUJB4-NQ57bZeyXXq12BvudhY0AkO5FXIgoxoxWRpLlWi6Kg1afLRFmiQ5y6AcBnV6l8iaHbEQOKHu1UjB9RlSByV1qjKCMyMKK0aC9b1nOMX29eWlnwxpEPKcDvr-d5SmyHK9njY5mnabtumMvphn0yZpNM+ZezGR4jPJM5nPJI0-PQ8zzZBsdilmhe0tBh1xoZej9b8Sq335WFanWVJpMq1rlPaXrFPGVputkfG8Ws0TNloIb5sa+tyPjdrtlm6phEu-dLBGk9dKg+B1DJlLALYBmwdtmjqbGu1vEq1+IXcxKhMu1TcjmgLJPU6a7vOzUDOk8CcUsX98AeHnHNZ4Xe0EyXRbWYLle+0XAfYMe4fWEdsfWGdysd5H+Zx8F7mJwNAbl6n3vQhnE-MDatN1+XptZzCzd6bXZfGbbpMr9XkbeXz2-C6u2kZGL-sHZJssh7QiO98ZCsZw-ShKEAA
13:31:13: [INFO] Add SW2 footprint
13:31:13: [INFO] Add D2 footprint
13:31:13: [INFO] Add SW3 footprint
13:31:13: [INFO] Add D3 footprint
13:31:13: [INFO] Add SW4 footprint
13:31:13: [INFO] Add D4 footprint
13:31:13: [INFO] Add SW5 footprint
13:31:13: [INFO] Add D5 footprint
13:31:13: [INFO] Add SW6 footprint
13:31:13: [INFO] Add D6 footprint
13:31:13: [INFO] Add SW7 footprint
13:31:13: [INFO] Add D7 footprint
13:31:13: [INFO] Add SW8 footprint
13:31:13: [INFO] Add D8 footprint
13:31:13: [INFO] Add SW9 footprint
13:31:14: [INFO] Add D9 footprint
13:31:14: [INFO] Add SW10 footprint
13:31:14: [INFO] Add D10 footprint
13:31:14: [INFO] Add SW11 footprint
13:31:14: [INFO] Add D11 footprint
13:31:14: [INFO] Add SW12 footprint
13:31:14: [INFO] Add D12 footprint
13:31:14: [INFO] Add SW13 footprint
13:31:14: [INFO] Add D13 footprint
13:31:14: [INFO] Add SW14 footprint
13:31:14: [INFO] Add D14 footprint
13:31:14: [INFO] Add SW15 footprint
13:31:14: [INFO] Add D15 footprint
13:31:14: [INFO] Add SW16 footprint
13:31:14: [INFO] Add D16 footprint
13:31:14: [INFO] Add SW17 footprint
13:31:14: [INFO] Add D17 footprint
13:31:14: [INFO] Add SW18 footprint
13:31:14: [INFO] Add D18 footprint
13:31:14: [INFO] Add SW19 footprint
13:31:14: [INFO] Add D19 footprint
13:31:14: [INFO] Add SW20 footprint
13:31:14: [INFO] Add D20 footprint
13:31:14: [INFO] Add SW21 footprint
13:31:14: [INFO] Add D21 footprint
13:31:14: [INFO] Add SW22 footprint
13:31:14: [INFO] Add D22 footprint
13:31:14: [INFO] Add SW23 footprint
13:31:14: [INFO] Add D23 footprint
13:31:14: [INFO] Add SW24 footprint
13:31:14: [INFO] Add D24 footprint
13:31:14: [INFO] Add SW25 footprint
13:31:14: [INFO] Add D25 footprint
13:31:14: [INFO] Add SW26 footprint
13:31:14: [INFO] Add D26 footprint
13:31:14: [INFO] Add SW27 footprint
13:31:14: [INFO] Add D27 footprint
13:31:14: [INFO] Add SW28 footprint
13:31:15: [INFO] Add D28 footprint
13:31:15: [INFO] Add SW29 footprint
13:31:15: [INFO] Add D29 footprint
13:31:15: [INFO] Add SW30 footprint
13:31:15: [INFO] Add D30 footprint
13:31:15: [INFO] Add SW31 footprint
13:31:15: [INFO] Add D31 footprint
13:31:15: [INFO] Add SW32 footprint
13:31:15: [INFO] Add D32 footprint
13:31:15: [INFO] Add SW33 footprint
13:31:15: [INFO] Add D33 footprint
13:31:15: [INFO] Add SW34 footprint
13:31:15: [INFO] Add D34 footprint
13:31:15: [INFO] Add SW35 footprint
13:31:15: [INFO] Add D35 footprint
13:31:15: [INFO] Add SW36 footprint
13:31:15: [INFO] Add D36 footprint
13:31:15: [INFO] Add SW37 footprint
13:31:15: [INFO] Add D37 footprint
13:31:15: [INFO] Add ST37 footprint
13:31:15: [INFO] Add SW37a footprint
13:31:15: [INFO] Add SW38 footprint
13:31:15: [INFO] Add D38 footprint
13:31:15: [INFO] Add SW39 footprint
13:31:15: [INFO] Add D39 footprint
13:31:15: [INFO] Add SW39a footprint
13:31:15: [INFO] Add ST39a footprint
13:31:15: [INFO] Add SW40 footprint
13:31:15: [INFO] Add D40 footprint
13:31:15: [INFO] Add SW41 footprint
13:31:15: [INFO] Add D41 footprint
13:31:15: [INFO] Add SW42 footprint
13:31:15: [INFO] Add D42 footprint
13:31:15: [INFO] Add SW43 footprint
13:31:15: [INFO] Add D43 footprint
13:31:15: [INFO] Add SW44 footprint
13:31:15: [INFO] Add D44 footprint
13:31:15: [INFO] Add SW45 footprint
13:31:15: [INFO] Add D45 footprint
13:31:15: [INFO] Add SW46 footprint
13:31:15: [INFO] Add D46 footprint
13:31:15: [INFO] Add SW47 footprint
13:31:16: [INFO] Add D47 footprint
13:31:16: [INFO] Add SW48 footprint
13:31:16: [INFO] Add D48 footprint
13:31:16: [INFO] Add SW48a footprint
13:31:16: [INFO] Add ST48a footprint
13:31:16: [INFO] Add SW49 footprint
13:31:16: [INFO] Add D49 footprint
13:31:16: [INFO] Add SW50 footprint
13:31:16: [INFO] Add D50 footprint
13:31:16: [INFO] Add ST50 footprint
13:31:16: [INFO] Add SW50a footprint
13:31:16: [INFO] Add SW51 footprint
13:31:16: [INFO] Add D51 footprint
13:31:16: [INFO] Add SW52 footprint
13:31:16: [INFO] Add D52 footprint
13:31:16: [INFO] Add SW53 footprint
13:31:16: [INFO] Add D53 footprint
13:31:16: [INFO] Add SW54 footprint
13:31:16: [INFO] Add D54 footprint
13:31:16: [INFO] Add SW55 footprint
13:31:16: [INFO] Add D55 footprint
13:31:16: [INFO] Add SW56 footprint
13:31:16: [INFO] Add D56 footprint
13:31:16: [INFO] Add SW57 footprint
13:31:16: [INFO] Add D57 footprint
13:31:16: [INFO] Add SW58 footprint
13:31:16: [INFO] Add D58 footprint
13:31:16: [INFO] Add SW59 footprint
13:31:16: [INFO] Add D59 footprint
13:31:16: [INFO] Add SW60 footprint
13:31:16: [INFO] Add D60 footprint
13:31:16: [INFO] Add SW61 footprint
13:31:16: [INFO] Add D61 footprint
13:31:16: [INFO] Add SW62 footprint
13:31:16: [INFO] Add D62 footprint
13:31:16: [INFO] Add SW63 footprint
13:31:16: [INFO] Add D63 footprint
13:31:17: [INFO] Add SW64 footprint
