=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:34:34: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwFYB0AmJBfANHcAGbBAZgB0A7CiwhcXAogFisvJvAF1sAoMKWOPhRIk9AJ4ChyegGMB4AMQBDFavA48xInTgRo8NCml458RTIuX19Qmh16BADmFYbRWl14P4CFAHZxAQBaIQBOWXkFP2iY6zxCfHtwUzwFSysNBlpcb0QhEUyaOxzkyNU1egB3ATRCojJWamxEkv1BFAA2TMYmTh4+NqFiUTwJeBCjTIRe1oEEXw6IszT0uSmiRM8BueFA8bCR0uXylR1wap9hdZbdI9TVtfpp7Nu20JRQ1zxnl-Bn4tuKUUJyUZwuiCuT3qfS8-HgUkOYzgEwQmTQvS2uV8WlGwTCVR2fi+4HRNwgQJW6TiJO0s3g72GaI2Z3R8ySFJBYJq6GJrOIMO2l2meHBhgwmS0ZLu5lW1K0ANyziJEvcZy0CAV0uUJy5l2V9HV-JKFJisRVCEYAqxRiWqU5BMuxJ6UraJB5tsUpui1J6bPovoB4F9-Mx4AATnN0Xg2ojgh0UIQTJEHtTCEb4thLW4kGdCB0rXC4IxId9sIHpum-pmztMc6G2sXHEzA+jK+is3h0XX+rlUMQVZWtB3wFocwbsPn6wJ44xDqKed1sGPAWUdYvJz3C8XPntkQcHRCndgQ5uI+MNfQ2s4RLugr5Zx7KRk3H5c9hHG-Qm+EJtN1eE8S0z5lCr5Qh+UJflO8DOLU9DosBnbYKBiHgYhkF-gIfj+MSWjISO75qtgX7jj+BZtFhRIHoY+p4D0H5QXkuy4vsHyHByOoHr4R6kRwHBAA
13:34:38: [INFO] Routing pad 'SW68:2' at (389255000, 129222500) with pad 'D68:2' at (391795000, 136902500) using coordinate system rotated by 0 degree(s)
13:34:38: [INFO] Adding track segment (B.Cu): [(389255000, 129222500), (389255000, 134362500)]
13:34:38: [INFO] Adding track segment (B.Cu): [(389255000, 134362500), (391795000, 136902500)]
13:34:38: [INFO] Routing SW67 with D67
13:34:38: [INFO] Using internal autorouter method
13:34:38: [INFO] Routing pad 'SW67:2' at (370205000, 129222500) with pad 'D67:2' at (372745000, 136902500) using coordinate system rotated by 0 degree(s)
13:34:38: [INFO] Adding track segment (B.Cu): [(370205000, 129222500), (370205000, 134362500)]
13:34:38: [INFO] Adding track segment (B.Cu): [(370205000, 134362500), (372745000, 136902500)]
13:34:38: [INFO] Routing SW66 with D66
13:34:38: [INFO] Using internal autorouter method
13:34:38: [INFO] Routing pad 'SW66:2' at (351155000, 129222500) with pad 'D66:2' at (353695000, 136902500) using coordinate system rotated by 0 degree(s)
13:34:38: [INFO] Adding track segment (B.Cu): [(351155000, 129222500), (351155000, 134362500)]
13:34:38: [INFO] Adding track segment (B.Cu): [(351155000, 134362500), (353695000, 136902500)]
13:34:38: [INFO] Routing SW65 with D65
13:34:38: [INFO] Using internal autorouter method
13:34:38: [INFO] Routing pad 'SW65:2' at (281277055, 131253833) with pad 'D65:2' at (285358311, 138237911) using coordinate system rotated by 348.0 degree(s)
13:34:38: [INFO] Adding track segment (B.Cu): [(281277055, 131253833), (282345720, 136281511)]
13:34:39: [INFO] Adding track segment (B.Cu): [(282345720, 136281511), (285358311, 138237911)]
13:34:39: [INFO] Routing SW64 with D64
