=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:19: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDoBMBWANHcB3WcAGJAdk2wBN8AXAJwFcBTAXy3AB0A7TzgjBcVrwTcuHIQOy8UInnwnheAZhli5gjABYV4rBADG+cAGIAhmfPy88ImXCV4tRi0kY02tS4Bs7-uuI-5XgAOAPUATlC4CGhrJFsDeGM9ZJTwZwU+AkiMhGFRWV8XBGl81UL9QyNiapr5AGcAW0MaAHsqAH0GPVy09QRlUoQ+FRUGAnAAXQwAKDBwRsNel3HdKHwidFYE7CMU1PShdxWXEpFeY4yBs4wL3i1S84lo9dR4yvMLA9cjwIxvB5uv38ANuGBCIKea1im2w2ySewMXwiEL6WRRRTy11BxR+qxihFeW0qNVqX36KiGx2e0LeiVMHxMSxyGl+CDQrM8kxmcwAni8Ybh8Mg0OlKZC4bsEUyhoVwEMUPIhopFZoVezWENORqMMQVUEVWEVQgLjLZTKFasJQzGawrIg4qK+Mq8fyRdqECz3ersDLOVNZhA7cL0ihAZbKgjEaxQ7LQxbsKHnQnVdHXOL3gz5AALIUO1P-EShqngHPwYOp4GFsNRcASyNM0P61OG1PG+Qx2N8eMVOnWyy5t3J-qQ-EbQfgGOeofeid8LU10evEN-FQx9s61dyf1zIN57CKas9nb19IH2UH+PgA9JiAcaj0ZisA9Tq9pl3wFBIAinsGQu8OB8fxbfdMnkM9zy7dNe0zW0Bx-Yd3zgRQ91fAtRDXJ8N1KNdt2pOBPDiVg+XgABaGxWFLe1xw0FdsMPEs4NYGjK3QwFcPAYi4DIwjsF3aj6LrKV0ho2UaMvGik3AGiXxo708M-b8mN-JTgKk0ClJ6DTu1rDMPn7MsUJEm8oXtAUJRJaomREuSTOQMzdM+JS0M4DDsGYzd+HYvj0kwC5MFlTBTlEA8-IwK5gvo-FuNsO1yIoe8nFYFQaNC+4RBS+RMDcUoMvDOl61gj8fNo9KBIcswmUwcFStC5EasyzIVF8kd8BI5BeF4l5bHsOBHEfbBksirrityJrq3AfztO81h-OMxd7LpCzdRGl9-Jnfy-W5eSeI410iWgvTCqo4qgs4M9IVinaer64rwrOjw8IIjrBVibqEv6ibGtKfyLsY7B-MxUQfvY-EaNhCMpSOxRirS0QRIa5yOHh1Y7WhmaMDquGty2kywZeuBiGKxGxK5ANcf2nY+yOuK7He9JBuMwS9n0pDiuy0rjNR4rqqxxnyptTrXtYa7AKSnKwtJuZQepq66bF0qpyPeFmaOzwicGxWdIOiwZbegDEoG8WWRB-A8cuvXetFw3SpspnUiOlAYcGmy7Ud9HibfGtXeKzHOFkqDKZgwWCQtm75ax9kTfgM2uuFuXrax+dPthv2-gD5X7eDt3-u+cX50DfBs8+nnU-zrXA70p289+oX4v1j7Br9CYgA
13:31:20: [INFO] Add SW8 footprint
13:31:20: [INFO] Add D8 footprint
13:31:20: [INFO] Add SW9 footprint
13:31:20: [INFO] Add D9 footprint
13:31:20: [INFO] Add SW10 footprint
13:31:20: [INFO] Add D10 footprint
13:31:20: [INFO] Add SW10a footprint
13:31:20: [INFO] Add SW11 footprint
13:31:21: [INFO] Add D11 footprint
13:31:21: [INFO] Add SW11a footprint
13:31:21: [INFO] Add SW12 footprint
13:31:21: [INFO] Add D12 footprint
13:31:21: [INFO] Add SW12a footprint
13:31:21: [INFO] Add SW13 footprint
13:31:21: [INFO] Add D13 footprint
13:31:21: [INFO] Add SW13a footprint
13:31:21: [INFO] Add SW14 footprint
13:31:21: [INFO] Add D14 footprint
13:31:21: [INFO] Add SW14a footprint
13:31:21: [INFO] Add SW15 footprint
13:31:21: [INFO] Add D15 footprint
13:31:21: [INFO] Add SW16 footprint
13:31:21: [INFO] Add D16 footprint
13:31:21: [INFO] Add SW17 footprint
13:31:21: [INFO] Add D17 footprint
13:31:21: [INFO] Add SW18 footprint
13:31:21: [INFO] Add D18 footprint
13:31:21: [INFO] Add SW19 footprint
13:31:21: [INFO] Add D19 footprint
13:31:21: [INFO] Add SW20 footprint
13:31:21: [INFO] Add D20 footprint
13:31:21: [INFO] Add SW21 footprint
13:31:21: [INFO] Add D21 footprint
13:31:21: [INFO] Add SW22 footprint
13:31:21: [INFO] Add D22 footprint
13:31:21: [INFO] Add SW23 footprint
13:31:21: [INFO] Add D23 footprint
13:31:21: [INFO] Add SW24 footprint
13:31:21: [INFO] Add D24 footprint
13:31:21: [INFO] Add SW25 footprint
13:31:21: [INFO] Add D25 footprint
13:31:22: [INFO] Add SW26 footprint
13:31:22: [INFO] Add D26 footprint
13:31:22: [INFO] Add SW27 footprint
13:31:22: [INFO] Add D27 footprint
13:31:22: [INFO] Add SW28 footprint
13:31:22: [INFO] Add D28 footprint
13:31:22: [INFO] Add SW29 footprint
13:31:22: [INFO] Add D29 footprint
13:31:22: [INFO] Add SW30 footprint
13:31:22: [INFO] Add D30 footprint
13:31:22: [INFO] Add SW31 footprint
13:31:22: [INFO] Add D31 footprint
13:31:22: [INFO] Add SW32 footprint
13:31:22: [INFO] Add D32 footprint
13:31:22: [INFO] Add SW33 footprint
13:31:22: [INFO] Add D33 footprint
13:31:22: [INFO] Add SW34 footprint
13:31:22: [INFO] Add D34 footprint
13:31:22: [INFO] Add SW35 footprint
13:31:22: [INFO] Add D35 footprint
13:31:22: [INFO] Add SW36 footprint
13:31:22: [INFO] Add D36 footprint
13:31:22: [INFO] Add SW37 footprint
13:31:22: [INFO] Add D37 footprint
13:31:22: [INFO] Add SW38 footprint
13:31:22: [INFO] Add D38 footprint
13:31:22: [INFO] Add SW39 footprint
13:31:22: [INFO] Add D39 footprint
