=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:29:00: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwF8A0dwAYUIDoDt98BWFDcNTFAJkILxLIqwGZbjTy4Jp4MA6EugDGsdAGIA7FOnhU6LABZOEEfHBihmrbKYoinSgDYDWCSZQAOcwE5zCRvOwI7VO8ztLdCfV+NoVouoAhiGhBgDuolRylAgSbHhYDtyi-BKC4KriWtoxWHEJ+QZU2PF0+EUAuigAUGDgABZRMQikCQwGrbjl9BwUrTQ9Hf0orEN9XFCpAhRZwaEhEaIIAi0onpNzGjkiaz7orX4HKGYjViO2I-adTjcIrlfuVxvgXfuv2EcQkfArRGsFHrMCYpX4zYSBSTSKRLMFUDJNeAldDhVxghFoxAUSCYgC0-HhMRKCEMCWBzmqdVBWIham2OR06GJ7Qm4BKg1owyZoxZySmvHBmUhC0WFB+iD46SJ62UQrpO12FBK7xKRzZJ2Klk1l251yVt31901CCeupexP2ATp0JhYqifEJhtJQJB-Lg-AyWwVjPA5LKtHJ4Ep9URcGiFGBGF5BnJ0Yj1Dj6GBY05rp47sFWxFQVhYYd-3jCgSCldXp2PuBauBpyTWvjOt92AcjYQznjRvbppbL3JRASJT5WZFuaokoLtZJ-bT0wy4pWUvbfZ6xNlZYZMXJztoK4oJEB2+wsvTaXHLaXB4em2Fw7tYIXE63dHZq8h3pie-9T+oQdq9XTrRRZoKBLDk6C5cASxTMDpwFT1rwWXMVkddASw2b5lnzGISy+cA50w4CNX8OVsnLW84EMfD0D3Zs91A-BWkHSEbTMd9sCg+jWT3IsegYgw93POheN3T4El44NqQA8AAE9pnhWZX3LPJsBZNtHDo3pVModiNKPGd5LpbNEMoxtuNoEtVKtEj13jAT8HM3T4AkMd9PEQyyKQ09aNEw8iLw5DwD3bSullPzPOwWy8GC3yMP8vdHw4ilf0s9Q3xGKNxk0roVJudS91lUNw25bS8uDdV0tTTTmQyzVcsPUrI2y9tGtrWqLMaIDa2KuqktwjqIOU6qCNaoNKiAA
13:29:02: [INFO] Add SW14 footprint
13:29:02: [INFO] Add D14 footprint
13:29:02: [INFO] Add SW15 footprint
13:29:02: [INFO] Add D15 footprint
13:29:02: [INFO] Add SW16 footprint
13:29:02: [INFO] Add D16 footprint
13:29:02: [INFO] Add SW17 footprint
13:29:02: [INFO] Add D17 footprint
13:29:02: [INFO] Add ST17 footprint
13:29:02: [INFO] Add SW17a footprint
13:29:02: [INFO] Add SW18 footprint
13:29:02: [INFO] Add D18 footprint
13:29:02: [INFO] Add ST18 footprint
13:29:02: [INFO] Add SW18a footprint
13:29:02: [INFO] Add SW19 footprint
13:29:02: [INFO] Add D19 footprint
13:29:02: [INFO] Add SW20 footprint
13:29:02: [INFO] Add D20 footprint
13:29:02: [INFO] Add SW21 footprint
13:29:02: [INFO] Add D21 footprint
13:29:02: [INFO] Add SW22 footprint
13:29:02: [INFO] Add D22 footprint
13:29:02: [INFO] Add SW23 footprint
13:29:02: [INFO] Add D23 footprint
13:29:02: [INFO] Add SW24 footprint
13:29:02: [INFO] Add D24 footprint
13:29:02: [INFO] Add SW25 footprint
13:29:02: [INFO] Add D25 footprint
13:29:02: [INFO] Add SW26 footprint
13:29:02: [INFO] Add D26 footprint
13:29:02: [INFO] Add SW27 footprint
13:29:02: [INFO] Add D27 footprint
13:29:02: [INFO] Add SW28 footprint
13:29:03: [INFO] Add D28 footprint
13:29:03: [INFO] Add SW29 footprint
13:29:03: [INFO] Add D29 footprint
13:29:03: [INFO] Add SW30 footprint
13:29:03: [INFO] Add D30 footprint
13:29:03: [INFO] Add SW31 footprint
13:29:03: [INFO] Add D31 footprint
13:29:03: [INFO] Add SW32 footprint
13:29:03: [INFO] Add D32 footprint
13:29:03: [INFO] Add SW33 footprint
13:29:03: [INFO] Add D33 footprint
13:29:03: [INFO] Add SW34 footprint
13:29:03: [INFO] Add D34 footprint
13:29:03: [INFO] Add SW35 footprint
13:29:03: [INFO] Add D35 footprint
13:29:03: [INFO] Add SW36 footprint
13:29:03: [INFO] Add D36 footprint
