=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:40:20: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIHdwLgAgIwDoCsBfANHcAGDPwtcMFDs8AmM4gZmrwBZ6MVmA2MiAD1jgdUzY2+asNJFhVCRjrSm01lgjR4ydNI4BdDACgwUXmsHgEIoqfHZTUqzOqn5txbY5LwPeP3XYA7Gd8k1H424H6yAY6hLJwGqgJEflq6+iqI8dgU-uCZltkYIZnheZGZznmucNy8XsYAHFn1ufUh9UX1kfXOyobp4PVJet1x3uA0WWO5YyFjRWORY13uvGy9AJyBROsh60XrkeuLqUabGAP6HnA4vQxZN7k3ITfhVapXIwh4RR8Ykd9l32cIAAnXg0PDYIEXFYoIhAgCe1SQFBh2AuyHB4AR8AAtFdkUQABY9EY3VjaQaY3i41CE4nGG5Mcn6EHwHwopbwCg07BYuDYrkjGFlGF0JkvOAC4wwyIwqhi8Asvls2FosaoqleIi87HIZHGBCmL4WcDyi7YmrmBz2awm5LAqlgohmzI8qno2nDfV4Uimt1aqlvD1pd6UE2aIA
13:40:23: [INFO] Add D36 footprint
13:40:23: [INFO] Add SW37 footprint
13:40:23: [INFO] Add D37 footprint
13:40:23: [INFO] Add SW38 footprint
13:40:23: [INFO] Add D38 footprint
13:40:23: [INFO] Add SW39 footprint
13:40:23: [INFO] Add D39 footprint
13:40:23: [INFO] Add SW40 footprint
13:40:23: [INFO] Add D40 footprint
13:40:23: [INFO] Add SW41 footprint
13:40:23: [INFO] Add D41 footprint
13:40:23: [INFO] Add SW42 footprint
13:40:23: [INFO] Add D42 footprint
13:40:23: [INFO] Add SW43 footprint
13:40:23: [INFO] Add D43 footprint
13:40:23: [INFO] Add SW44 footprint
13:40:23: [INFO] Add D44 footprint
13:40:24: [INFO] Add SW45 footprint
13:40:24: [INFO] Add D45 footprint
13:40:24: [INFO] Add SW46 footprint
13:40:24: [INFO] Add D46 footprint
13:40:24: [INFO] Add SW47 footprint
13:40:24: [INFO] Add D47 footprint
13:40:24: [INFO] Add SW48 footprint
13:40:24: [INFO] Add D48 footprint
13:40:24: [INFO] Add SW49 footprint
13:40:24: [INFO] Add D49 footprint
13:40:24: [INFO] Add SW50 footprint
13:40:24: [INFO] Add D50 footprint
13:40:24: [INFO] Add SW51 footprint
13:40:24: [INFO] Add D51 footprint
13:40:24: [INFO] Add SW52 footprint
13:40:24: [INFO] Add D52 footprint
13:40:24: [INFO] Add SW53 footprint
13:40:24: [INFO] Add D53 footprint
13:40:24: [INFO] Add SW54 footprint
13:40:24: [INFO] Add D54 footprint
13:40:24: [INFO] Add SW55 footprint
13:40:24: [INFO] Add D55 footprint
13:40:24: [INFO] Add SW56 footprint
13:40:24: [INFO] Add D56 footprint
13:40:24: [INFO] Add SW57 footprint
13:40:24: [INFO] Add D57 footprint
13:40:24: [INFO] Add SW58 footprint
13:40:24: [INFO] Add D58 footprint
13:40:24: [INFO] Add SW59 footprint
13:40:24: [INFO] Add D59 footprint
13:40:24: [INFO] Add SW60 footprint
13:40:25: [INFO] Add D60 footprint
13:40:25: [INFO] Add SW61 footprint
13:40:25: [INFO] Add D61 footprint
13:40:25: [INFO] Add SW62 footprint
13:40:25: [INFO] Add D62 footprint
13:40:25: [INFO] Add SW63 footprint
13:40:25: [INFO] Add D63 footprint
13:40:25: [INFO] Add SW64 footprint
13:40:25: [INFO] Add D64 footprint
13:40:25: [INFO] Add SW65 footprint
13:40:25: [INFO] Add D65 footprint
13:40:25: [INFO] Add SW66 footprint
13:40:25: [INFO] Add D66 footprint
13:40:25: [INFO] Add SW67 footprint
13:40:25: [INFO] Add D67 footprint
13:40:25: [INFO] Add SW68 footprint
13:40:25: [INFO] Add D68 footprint
13:40:25: [INFO] Add SW69 footprint
13:40:25: [INFO] Add D69 footprint
13:40:25: [INFO] Add SW70 footprint
13:40:25: [INFO] Add D70 footprint
13:40:25: [INFO] Add SW71 footprint
13:40:25: [INFO] Add D71 footprint
13:40:25: [INFO] Add SW72 footprint
13:40:25: [INFO] Add D72 footprint
13:40:25: [INFO] Add SW73 footprint
13:40:25: [INFO] Add D73 footprint
13:40:25: [INFO] Add SW74 footprint
13:40:25: [INFO] Add D74 footprint
13:40:25: [INFO] Detected layout convertible to matrix annotated keyboard
13:40:25: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:40:25: [INFO] Layout offset: (23812500, 28575000)
13:40:25: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:40:26: [INFO] Placing additional elements for SW74
13:40:26: [INFO] Placing additional elements for SW73
13:40:26: [INFO] Placing additional elements for SW72
13:40:26: [INFO] Placing additional elements for SW71
13:40:26: [INFO] Placing additional elements for SW70
13:40:26: [INFO] Placing additional elements for SW69
13:40:26: [INFO] Placing additional elements for SW68
13:40:26: [INFO] Placing additional elements for SW67
13:40:26: [INFO] Placing additional elements for SW66
13:40:26: [INFO] Placing additional elements for SW65
13:40:26: [INFO] Placing additional elements for SW64
13:40:26: [INFO] Placing additional elements for SW63
13:40:26: [INFO] Placing additional elements for SW62
13:40:26: [INFO] Placing additional elements for SW61
13:40:26: [INFO] Placing additional elements for SW60
13:40:26: [INFO] Placing additional elements for SW59
13:40:26: [INFO] Placing additional elements for SW58
13:40:26: [INFO] Placing additional elements for SW57
13:40:26: [INFO] Placing additional elements for SW56
13:40:26: [INFO] Placing additional elements for SW55
13:40:26: [INFO] Placing additional elements for SW54
13:40:26: [INFO] Placing additional elements for SW53
13:40:26: [INFO] Placing additional elements for SW52
13:40:26: [INFO] Placing additional elements for SW51
13:40:26: [INFO] Placing additional elements for SW50
13:40:26: [INFO] Placing additional elements for SW49
13:40:26: [INFO] Placing additional elements for SW48
13:40:26: [INFO] Placing additional elements for SW47
13:40:26: [INFO] Placing additional elements for SW46
13:40:26: [INFO] Placing additional elements for SW45
13:40:26: [INFO] Placing additional elements for SW44
13:40:26: [INFO] Placing additional elements for SW43
13:40:26: [INFO] Placing additional elements for SW42
13:40:26: [INFO] Placing additional elements for SW41
13:40:26: [INFO] Placing additional elements for SW40
13:40:26: [INFO] Placing additional elements for SW39
13:40:26: [INFO] Placing additional elements for SW38
13:40:26: [INFO] Placing additional elements for SW37
13:40:26: [INFO] Placing additional elements for SW36
13:40:26: [INFO] Placing additional elements for SW35
13:40:26: [INFO] Placing additional elements for SW34
13:40:26: [INFO] Placing additional elements for SW33
13:40:26: [INFO] Placing additional elements for SW32
13:40:26: [INFO] Placing additional elements for SW31
13:40:26: [INFO] Placing additional elements for SW30
13:40:26: [INFO] Placing additional elements for SW29
13:40:26: [INFO] Placing additional elements for SW28
13:40:26: [INFO] Placing additional elements for SW27
13:40:26: [INFO] Placing additional elements for SW26
13:40:26: [INFO] Placing additional elements for SW25
13:40:26: [INFO] Placing additional elements for SW24
13:40:26: [INFO] Placing additional elements for SW23
13:40:26: [INFO] Placing additional elements for SW22
13:40:26: [INFO] Placing additional elements for SW21
13:40:26: [INFO] Placing additional elements for SW20
13:40:26: [INFO] Placing additional elements for SW19
13:40:26: [INFO] Placing additional elements for SW18
13:40:26: [INFO] Placing additional elements for SW17
13:40:26: [INFO] Placing additional elements for SW16
13:40:26: [INFO] Placing additional elements for SW15
13:40:26: [INFO] Placing additional elements for SW14
13:40:26: [INFO] Placing additional elements for SW13
13:40:26: [INFO] Placing additional elements for SW12
13:40:26: [INFO] Placing additional elements for SW11
13:40:26: [INFO] Placing additional elements for SW10
13:40:26: [INFO] Placing additional elements for SW9
13:40:26: [INFO] Placing additional elements for SW8
13:40:26: [INFO] Placing additional elements for SW7
13:40:26: [INFO] Placing additional elements for SW6
13:40:26: [INFO] Placing additional elements for SW5
13:40:26: [INFO] Placing additional elements for SW4
13:40:26: [INFO] Placing additional elements for SW3
13:40:26: [INFO] Placing additional elements for SW2
13:40:26: [INFO] Placing additional elements for SW1
13:40:26: [INFO] Routing SW74 with D74
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW74:2' at (252091208, 180605422) with pad 'D74:2' at (260166919, 180139700) using coordinate system rotated by 285.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(252091208, 180605422), (257056066, 181935751)]
13:40:26: [INFO] Adding track segment (B.Cu): [(257056066, 181935751), (260166919, 180139700)]
13:40:26: [INFO] Routing SW73 with D73
13:40:26: [INFO] Using internal autorouter method
13:40:26: [INFO] Routing pad 'SW73:2' at (233690321, 175674919) with pad 'D73:2' at (241766032, 175209197) using coordinate system rotated by 285.0 degree(s)
13:40:26: [INFO] Adding track segment (B.Cu): [(233690321, 175674919), (238655178, 177005248)]
13:40:26: [INFO] Adding track segment (B.Cu): [(238655178, 177005248), (241766032, 175209197)]
13:40:26: [INFO] Routing SW72 with D72
13:40:26: [INFO] Using internal autorouter method
