=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:32:11: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgIwDYC+AaO4AMaEGYAdAO2OJwXA3ACZdrSSjzwBdNAKDCljjyoE8eWAHQBWKgGMe4AMQB2BYvDpMOLJTgQp8WRL37lVZkbTUN2NHnM4ALNbSj7Se3PsAOewE57CdSYQU-mYYWtIyAIaRUeYA7jzUKhb4DGRofqq4dmycENDwfJhx8AhiiQhpGqE6MvoGZbjm5cGY5VZU5XbtDo1ozl2uXR5d3l2+PQHjzRBFiKWjhIzE5elVmBFRkYYtmZXcxWKSYYpKVDMl1OKYABbxp2b7l+BX94hUkC8AtCIXibTJi0RyhRslw8rxDtUNptTjwSnJRL8KiFwNo1rU9FsaA0qLRmli2phaJ1Cd0cb1zLQBiShiSRiSxmSJsjUbJjgpYvFhD9GQsGMtdiz1htMX9ibkhAdMIL0VJEQh6ACgawOFxBVDwhz9tzMHwsCkiH8BWEZZibGgbPrDciwSJ4RC1urNXBqFyEVRdZakZoUcb0Zi+IEdaZzHwCeA+MTw6Sg30g1SozSo3SowzvWqoU64W6g0yc2GA1kVeL8jCtdnwGaVuAzq7EmbA9NYbWqGapj7qibS3AkFzUC2HPrdbswV9hFhylKwo6u+dy2a6Y2y3XcFWbXNMPXAxXcGH64Wcntu8I7ZhBPBvo9pX6uy7tdveYwA7sa3ezaJB9jvTMXfDl3IP8CLBAA
13:32:15: [INFO] Add SW55 footprint
13:32:15: [INFO] Add D55 footprint
13:32:15: [INFO] Add SW56 footprint
13:32:15: [INFO] Add D56 footprint
13:32:15: [INFO] Add SW57 footprint
13:32:15: [INFO] Add D57 footprint
13:32:15: [INFO] Add SW58 footprint
13:32:15: [INFO] Add D58 footprint
13:32:15: [INFO] Add SW59 footprint
13:32:15: [INFO] Add D59 footprint
13:32:15: [INFO] Add SW60 footprint
13:32:15: [INFO] Add D60 footprint
13:32:15: [INFO] Add SW61 footprint
13:32:15: [INFO] Add D61 footprint
13:32:15: [INFO] Add SW62 footprint
13:32:15: [INFO] Add D62 footprint
13:32:15: [INFO] Add SW63 footprint
13:32:16: [INFO] Add D63 footprint
13:32:16: [WARNING] No stabilizer footprint for width 2.25u, using 2u as fallback
13:32:16: [INFO] Add ST63 footprint
13:32:16: [INFO] Add SW64 footprint
13:32:16: [INFO] Add D64 footprint
13:32:16: [WARNING] Requested width 6.26u not available for SW_Cherry_MX_PCB, using 1.0u fallback
13:32:16: [INFO] Add SW65 footprint
13:32:16: [INFO] Add D65 footprint
13:32:16: [WARNING] Unexpected stabilizer width 6.26u, no footprint will be set
13:32:16: [INFO] Add SW65a footprint
13:32:16: [INFO] Add SW66 footprint
13:32:16: [INFO] Add D66 footprint
13:32:16: [WARNING] No stabilizer footprint for width 2.75u, using 2u as fallback
13:32:16: [INFO] Add ST66 footprint
13:32:16: [INFO] Add SW67 footprint
13:32:16: [INFO] Add D67 footprint
13:32:16: [INFO] Add SW68 footprint
13:32:16: [INFO] Add D68 footprint
13:32:16: [INFO] Add SW69 footprint
13:32:16: [INFO] Add D69 footprint
13:32:16: [INFO] Add SW70 footprint
13:32:16: [INFO] Add D70 footprint
13:32:16: [INFO] Add SW71 footprint
13:32:16: [INFO] Add D71 footprint
13:32:16: [INFO] Detected layout convertible to matrix annotated keyboard
13:32:16: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:32:16: [INFO] Layout offset: (28575000, 38100000)
13:32:16: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:32:16: [INFO] Placing additional elements for SW71
13:32:16: [INFO] Placing additional elements for SW70
13:32:16: [INFO] Placing additional elements for SW69
13:32:16: [INFO] Placing additional elements for SW68
13:32:16: [INFO] Placing additional elements for SW67
13:32:16: [INFO] Placing additional elements for SW66
13:32:16: [INFO] Placing additional elements for SW65a
13:32:16: [INFO] Placing additional elements for SW65
13:32:16: [INFO] Placing additional elements for SW64
13:32:16: [INFO] Placing additional elements for SW63
13:32:16: [INFO] Placing additional elements for SW62
13:32:16: [INFO] Placing additional elements for SW61
13:32:16: [INFO] Placing additional elements for SW60
13:32:16: [INFO] Placing additional elements for SW59
13:32:16: [INFO] Placing additional elements for SW58
13:32:16: [INFO] Placing additional elements for SW57
13:32:16: [INFO] Placing additional elements for SW56
13:32:16: [INFO] Placing additional elements for SW55
13:32:16: [INFO] Placing additional elements for SW54
13:32:16: [INFO] Placing additional elements for SW53
13:32:16: [INFO] Placing additional elements for SW52
13:32:16: [INFO] Placing additional elements for SW51
13:32:16: [INFO] Placing additional elements for SW50
13:32:16: [INFO] Placing additional elements for SW49
13:32:16: [INFO] Placing additional elements for SW48
13:32:16: [INFO] Placing additional elements for SW47
13:32:16: [INFO] Placing additional elements for SW46a
13:32:16: [INFO] Placing additional elements for SW46
13:32:16: [INFO] Placing additional elements for SW45
13:32:16: [INFO] Placing additional elements for SW44a
13:32:16: [INFO] Placing additional elements for SW44
13:32:16: [INFO] Placing additional elements for SW43a
13:32:16: [INFO] Placing additional elements for SW43
13:32:16: [INFO] Placing additional elements for SW42
13:32:16: [INFO] Placing additional elements for SW41
13:32:16: [INFO] Placing additional elements for SW40
13:32:16: [INFO] Placing additional elements for SW39
13:32:16: [INFO] Placing additional elements for SW38
13:32:16: [INFO] Placing additional elements for SW37
13:32:16: [INFO] Placing additional elements for SW36
13:32:16: [INFO] Placing additional elements for SW35
13:32:16: [INFO] Placing additional elements for SW34
13:32:16: [INFO] Placing additional elements for SW33
13:32:16: [INFO] Placing additional elements for SW32
13:32:16: [INFO] Placing additional elements for SW31
13:32:16: [INFO] Placing additional elements for SW30
13:32:16: [INFO] Placing additional elements for SW29
13:32:16: [INFO] Placing additional elements for SW28
13:32:16: [INFO] Placing additional elements for SW27
13:32:16: [INFO] Placing additional elements for SW26
13:32:16: [INFO] Placing additional elements for SW25
13:32:16: [INFO] Placing additional elements for SW24
13:32:16: [INFO] Placing additional elements for SW23
13:32:16: [INFO] Placing additional elements for SW22
13:32:16: [INFO] Placing additional elements for SW21
13:32:16: [INFO] Placing additional elements for SW20
13:32:16: [INFO] Placing additional elements for SW19
13:32:16: [INFO] Placing additional elements for SW18
13:32:16: [INFO] Placing additional elements for SW17
13:32:16: [INFO] Placing additional elements for SW16
13:32:16: [INFO] Placing additional elements for SW15
13:32:16: [INFO] Placing additional elements for SW14a
13:32:16: [INFO] Placing additional elements for SW14
13:32:16: [INFO] Placing additional elements for SW13
13:32:16: [INFO] Placing additional elements for SW12
13:32:16: [INFO] Placing additional elements for SW11
13:32:16: [INFO] Placing additional elements for SW10
13:32:16: [INFO] Placing additional elements for SW9
13:32:16: [INFO] Placing additional elements for SW8
13:32:16: [INFO] Placing additional elements for SW7
13:32:16: [INFO] Placing additional elements for SW6
13:32:16: [INFO] Placing additional elements for SW5
13:32:16: [INFO] Placing additional elements for SW4
13:32:16: [INFO] Placing additional elements for SW3
13:32:16: [INFO] Placing additional elements for SW2
13:32:16: [INFO] Placing additional elements for SW1
13:32:16: [INFO] Routing SW71 with D71
13:32:16: [INFO] Using internal autorouter method
13:32:16: [INFO] Routing pad 'SW71:2' at (383540000, 147320000) with pad 'D71:2' at (386080000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:16: [INFO] Adding track segment (B.Cu): [(383540000, 147320000), (383540000, 152460000)]
13:32:16: [INFO] Adding track segment (B.Cu): [(383540000, 152460000), (386080000, 155000000)]
13:32:16: [INFO] Routing SW70 with D70
13:32:16: [INFO] Using internal autorouter method
13:32:16: [INFO] Routing pad 'SW70:2' at (364490000, 147320000) with pad 'D70:2' at (367030000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:16: [INFO] Adding track segment (B.Cu): [(364490000, 147320000), (364490000, 152460000)]
13:32:16: [INFO] Adding track segment (B.Cu): [(364490000, 152460000), (367030000, 155000000)]
13:32:16: [INFO] Routing SW69 with D69
13:32:16: [INFO] Using internal autorouter method
13:32:16: [INFO] Routing pad 'SW69:2' at (345440000, 147320000) with pad 'D69:2' at (347980000, 155000000) using coordinate system rotated by 0 degree(s)
13:32:16: [INFO] Adding track segment (B.Cu): [(345440000, 147320000), (345440000, 152460000)]
13:32:16: [INFO] Adding track segment (B.Cu): [(345440000, 152460000), (347980000, 155000000)]
13:32:16: [INFO] Routing SW68 with D68
13:32:16: [INFO] Using internal autorouter method
13:32:16: [INFO] Routing pad 'SW68:2' at (314483750, 147320000) with pad 'D68:2' at (317023750, 155000000) using coordinate system rotated by 0 degree(s)
13:32:16: [INFO] Adding track segment (B.Cu): [(314483750, 147320000), (314483750, 152460000)]
13:32:16: [INFO] Adding track segment (B.Cu): [(314483750, 152460000), (317023750, 155000000)]
