=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:38:55: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIA9wLgAgAwDoCsAaO4DOBbWmAnAewBcB9AUwGMBGG8AXw3ATQQB0A7Ln7v3rhQTgMEaPGTpMVfOADEAdiXKRmXLMbNWNLgFEAygGFVY-MgBMU8DPjyAhg8ebMrc6pZoAzCaj4AnEieKEwuaDRuWmHeor4SSJYhHjQALD7iiPHBkTQo4AC6aABQYLEZClYAnmaZzDaYclSNTc7gNGxp1VZ19o4OLW30Md0NTY39aBGYbdFwpvAAHEgAbFlTYZOtUT7DvX3MAO745okDqTHpyEsnYbkFxXMZXbIjoy3m7eedtc+7du6H8BoqES70Gs2sz1GYxBEw6gOQQRh4XcoJmDwsT1simUSn++CBlmYAAsjgc3IDUMTyXA2phINSALQYpFncEXQLfLG-N43fJFErswnSSFQlqeD5sr7Crm7PEU8qJcVgiDDKEyRWwz7wAJXZhKjZKmbgJWsh5A8qc+rcjU5Pn3CFYtUtZIS9GU6VW2UHfGZRIu5UO+pOv2azAutGlAJ+Vbgf0RnZezAAmlIBXMf2pO4C-EKVPMKrwJmpzH1HG4kO2rMQAtwItCwPyYPMdDCLWPS09XpylMJZthHzJgkx9BuKulGhLPOYGtFi0e+RlhQtdA0I0r1ngFe3fkQAj4JbMdIoJAu6f4Bm5hAlztORKsDesXJt5mRJbuVhLsdH1CVar11WitcG5tE+axvswbSfjupTJEgfgwka7wbu8oHgO8b5fvgMbika4obuKqHihh0Hfoi6ZoBuLqoS64FhmgUH2qR15yNy3oUr2mDoPGIqvGxcDmL6famg2LGyok6AMSUe6FgedL4sgV75uesEcR48zvmgfhwhkqnaK2oR0Ha2baieSlxP+PHNNc6kQZp7gDPpmyGZhCxwTCS7MO8NmYO8WmeWEjmgvQLlwAEyQat5xp2XqAXuEqwUkfgizzDGLqRS6fl0TQjn+mCsbrEZDzJVYyYCSgw5oN5Ko-GJfZaXkeRAA
13:39:01: [INFO] Placing additional elements for SW70
13:39:01: [INFO] Placing additional elements for SW69
13:39:01: [INFO] Placing additional elements for SW68
13:39:01: [INFO] Placing additional elements for SW67
13:39:01: [INFO] Placing additional elements for SW66
13:39:01: [INFO] Placing additional elements for SW65
13:39:01: [INFO] Placing additional elements for SW64
13:39:01: [INFO] Placing additional elements for SW63
13:39:01: [INFO] Placing additional elements for SW62
13:39:01: [INFO] Placing additional elements for SW61
13:39:01: [INFO] Placing additional elements for SW60
13:39:01: [INFO] Placing additional elements for SW59
13:39:01: [INFO] Placing additional elements for SW58
13:39:01: [INFO] Placing additional elements for SW57
13:39:01: [INFO] Placing additional elements for SW56
13:39:01: [INFO] Placing additional elements for SW55
13:39:01: [INFO] Placing additional elements for SW54
13:39:01: [INFO] Placing additional elements for SW53
13:39:01: [INFO] Placing additional elements for SW52
13:39:01: [INFO] Placing additional elements for SW51
13:39:01: [INFO] Placing additional elements for SW50
13:39:01: [INFO] Placing additional elements for SW49
13:39:01: [INFO] Placing additional elements for SW48
13:39:01: [INFO] Placing additional elements for SW47
13:39:01: [INFO] Placing additional elements for SW46
13:39:01: [INFO] Placing additional elements for SW45
13:39:01: [INFO] Placing additional elements for SW44
13:39:01: [INFO] Placing additional elements for SW43
13:39:01: [INFO] Placing additional elements for SW42
13:39:01: [INFO] Placing additional elements for SW41
13:39:01: [INFO] Placing additional elements for SW40
13:39:01: [INFO] Placing additional elements for SW39
13:39:01: [INFO] Placing additional elements for SW38
13:39:01: [INFO] Placing additional elements for SW37
13:39:01: [INFO] Placing additional elements for SW36
13:39:01: [INFO] Placing additional elements for SW35
13:39:01: [INFO] Placing additional elements for SW34
13:39:01: [INFO] Placing additional elements for SW33
13:39:01: [INFO] Placing additional elements for SW32
13:39:01: [INFO] Placing additional elements for SW31
13:39:01: [INFO] Placing additional elements for SW30
13:39:01: [INFO] Placing additional elements for SW29
13:39:01: [INFO] Placing additional elements for SW28
13:39:01: [INFO] Placing additional elements for SW27
13:39:01: [INFO] Placing additional elements for SW26
13:39:01: [INFO] Placing additional elements for SW25
13:39:01: [INFO] Placing additional elements for SW24
13:39:01: [INFO] Placing additional elements for SW23
13:39:01: [INFO] Placing additional elements for SW22
13:39:01: [INFO] Placing additional elements for SW21
13:39:01: [INFO] Placing additional elements for SW20
13:39:01: [INFO] Placing additional elements for SW19
13:39:01: [INFO] Placing additional elements for SW18
13:39:01: [INFO] Placing additional elements for SW17
13:39:01: [INFO] Placing additional elements for SW16
13:39:01: [INFO] Placing additional elements for SW15
13:39:01: [INFO] Placing additional elements for SW14
13:39:01: [INFO] Placing additional elements for SW13
13:39:01: [INFO] Placing additional elements for SW12
13:39:01: [INFO] Placing additional elements for SW11
13:39:01: [INFO] Placing additional elements for SW10
13:39:01: [INFO] Placing additional elements for SW9
13:39:01: [INFO] Placing additional elements for SW8
13:39:01: [INFO] Placing additional elements for SW7
13:39:01: [INFO] Placing additional elements for SW6
13:39:01: [INFO] Placing additional elements for SW5
13:39:01: [INFO] Placing additional elements for SW4
13:39:01: [INFO] Placing additional elements for SW3
13:39:01: [INFO] Placing additional elements for SW2
13:39:01: [INFO] Placing additional elements for SW1
13:39:01: [INFO] Routing SW90 with D90
13:39:01: [INFO] Using internal autorouter method
13:39:01: [INFO] Routing pad 'SW90:2' at (406400000, 137795000) with pad 'D90:2' at (408940000, 145475000) using coordinate system rotated by 0 degree(s)
13:39:01: [INFO] Adding track segment (B.Cu): [(406400000, 137795000), (406400000, 142935000)]
13:39:01: [INFO] Adding track segment (B.Cu): [(406400000, 142935000), (408940000, 145475000)]
13:39:01: [INFO] Routing SW89 with D89
13:39:01: [INFO] Using internal autorouter method
13:39:01: [INFO] Routing pad 'SW89:2' at (387350000, 137795000) with pad 'D89:2' at (389890000, 145475000) using coordinate system rotated by 0 degree(s)
13:39:01: [INFO] Adding track segment (B.Cu): [(387350000, 137795000), (387350000, 142935000)]
13:39:01: [INFO] Adding track segment (B.Cu): [(387350000, 142935000), (389890000, 145475000)]
13:39:01: [INFO] Routing SW88 with D88
13:39:01: [INFO] Using internal autorouter method
13:39:01: [INFO] Routing pad 'SW88:2' at (368300000, 137795000) with pad 'D88:2' at (370840000, 145475000) using coordinate system rotated by 0 degree(s)
13:39:01: [INFO] Adding track segment (B.Cu): [(368300000, 137795000), (368300000, 142935000)]
13:39:01: [INFO] Adding track segment (B.Cu): [(368300000, 142935000), (370840000, 145475000)]
13:39:01: [INFO] Routing SW87 with D87
13:39:01: [INFO] Using internal autorouter method
13:39:01: [INFO] Routing pad 'SW87:2' at (279885346, 135969869) with pad 'D87:2' at (283214210, 143342294) using coordinate system rotated by 354.0 degree(s)
13:39:01: [INFO] Adding track segment (B.Cu): [(279885346, 135969869), (280422621, 141081710)]
13:39:01: [INFO] Adding track segment (B.Cu): [(280422621, 141081710), (283214210, 143342294)]
13:39:01: [INFO] Routing SW86 with D86
13:39:01: [INFO] Using internal autorouter method
13:39:01: [INFO] Routing pad 'SW86:2' at (246256831, 139504369) with pad 'D86:2' at (249585695, 146876794) using coordinate system rotated by 354.0 degree(s)
13:39:01: [INFO] Adding track segment (B.Cu): [(246256831, 139504369), (246794107, 144616210)]
