=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:33:48: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgOyreAvgGgQBi7uDhNPEpBZZjuPgIxFwmwIpqrV5YBMjtWAZj74ALMKwBWcQDZxycQA5GEAB4sJ2BNIJ9tDGtt4HBurGONTjs4-ONKAulgBQwcHR3EoLcpQqc3WPoI7kbBJjTu5mGWYdZhtmFKnmrwGjTIHggZQeAZobnhWWZ8GTEFcQUJzGRs7P4ZDs6u3JnVrACGnV3+LTktoW0+vj2F4C1RY5J8LRUtCZNJTOApcGkICpngGzkb+RtCNBsTG2UbFRvzG40ug7XomuACrV41Xd0PTzlPAy+svn4fUZPCZPMpPCpPeZPRaqdQPACcm0ROUR+URBwQiImiLKiLit3YHARWHmiOurhEm0pQVub06-kpP1If3+DNGlImlLKlIqlPmlJhyzhEXwhBFgT4dHw+Slo1lE1lMVpdP8svxvyQhPkD1lVQ1iH+0B1+HJBMJ-gkm0tNP1hotPGU+rp7XtGPAlomlqVttZD0tFUteuZmvNfqwgpWazc7jFS2DBt9EXcOToIUd8edqvcbtTxSTU088a1WawFVz81zDnsQA
13:33:51: [INFO] Add D32 footprint
13:33:51: [INFO] Add SW33 footprint
13:33:51: [INFO] Add D33 footprint
13:33:51: [INFO] Add SW34 footprint
13:33:52: [INFO] Add D34 footprint
13:33:52: [INFO] Add SW35 footprint
13:33:52: [INFO] Add D35 footprint
13:33:52: [INFO] Add SW36 footprint
13:33:52: [INFO] Add D36 footprint
13:33:52: [INFO] Add SW37 footprint
13:33:52: [INFO] Add D37 footprint
13:33:52: [INFO] Add SW38 footprint
13:33:52: [INFO] Add D38 footprint
13:33:52: [INFO] Add SW39 footprint
13:33:52: [INFO] Add D39 footprint
13:33:52: [INFO] Add SW40 footprint
13:33:52: [INFO] Add D40 footprint
13:33:52: [INFO] Add SW41 footprint
13:33:52: [INFO] Add D41 footprint
13:33:52: [INFO] Add SW42 footprint
13:33:52: [INFO] Add D42 footprint
13:33:52: [INFO] Add SW43 footprint
13:33:52: [INFO] Add D43 footprint
13:33:52: [INFO] Add SW44 footprint
13:33:52: [INFO] Add D44 footprint
13:33:52: [INFO] Add SW45 footprint
13:33:52: [INFO] Add D45 footprint
13:33:52: [INFO] Add SW46 footprint
13:33:52: [INFO] Add D46 footprint
13:33:52: [INFO] Add SW47 footprint
13:33:52: [INFO] Add D47 footprint
13:33:52: [INFO] Add SW48 footprint
13:33:52: [INFO] Add D48 footprint
13:33:52: [INFO] Add SW49 footprint
13:33:52: [INFO] Add D49 footprint
13:33:52: [INFO] Add SW50 footprint
13:33:52: [INFO] Add D50 footprint
13:33:52: [INFO] Add SW51 footprint
13:33:53: [INFO] Add D51 footprint
13:33:53: [INFO] Add SW52 footprint
13:33:53: [INFO] Add D52 footprint
13:33:53: [INFO] Add SW53 footprint
13:33:53: [INFO] Add D53 footprint
13:33:53: [INFO] Add SW54 footprint
13:33:53: [INFO] Add D54 footprint
13:33:53: [INFO] Add SW55 footprint
13:33:53: [INFO] Add D55 footprint
13:33:53: [INFO] Add SW56 footprint
13:33:53: [INFO] Add D56 footprint
13:33:53: [INFO] Add SW57 footprint
13:33:53: [INFO] Add D57 footprint
13:33:53: [INFO] Add SW58 footprint
13:33:53: [INFO] Add D58 footprint
13:33:53: [INFO] Add SW59 footprint
13:33:53: [INFO] Add D59 footprint
13:33:53: [INFO] Add SW60 footprint
13:33:53: [INFO] Add D60 footprint
13:33:53: [INFO] Add SW61 footprint
13:33:53: [INFO] Add D61 footprint
13:33:53: [INFO] Add SW62 footprint
13:33:53: [INFO] Add D62 footprint
13:33:53: [INFO] Add SW63 footprint
13:33:53: [INFO] Add D63 footprint
13:33:53: [INFO] Add SW64 footprint
13:33:53: [INFO] Add D64 footprint
13:33:53: [INFO] Add SW65 footprint
13:33:53: [INFO] Add D65 footprint
13:33:53: [INFO] Add SW66 footprint
13:33:53: [INFO] Add D66 footprint
13:33:53: [INFO] Add SW67 footprint
13:33:53: [INFO] Add D67 footprint
13:33:54: [INFO] Add SW68 footprint
13:33:54: [INFO] Add D68 footprint
13:33:54: [INFO] Add SW69 footprint
13:33:54: [INFO] Add D69 footprint
13:33:54: [INFO] Add SW70 footprint
13:33:54: [INFO] Add D70 footprint
13:33:54: [INFO] Add SW71 footprint
13:33:54: [INFO] Add D71 footprint
13:33:54: [INFO] Add SW72 footprint
13:33:54: [INFO] Add D72 footprint
13:33:54: [INFO] Add SW73 footprint
13:33:54: [INFO] Add D73 footprint
13:33:54: [INFO] Add SW74 footprint
13:33:54: [INFO] Add D74 footprint
13:33:54: [INFO] Add SW75 footprint
13:33:54: [INFO] Add D75 footprint
13:33:54: [INFO] Add SW76 footprint
13:33:54: [INFO] Add D76 footprint
13:33:54: [INFO] Add SW77 footprint
13:33:54: [INFO] Add D77 footprint
13:33:54: [INFO] Add SW78 footprint
13:33:54: [INFO] Add D78 footprint
13:33:54: [INFO] Add SW79 footprint
13:33:54: [INFO] Add D79 footprint
13:33:54: [INFO] Add SW80 footprint
13:33:54: [INFO] Add D80 footprint
13:33:54: [INFO] Add SW81 footprint
13:33:54: [INFO] Add D81 footprint
13:33:54: [INFO] Add SW82 footprint
13:33:54: [INFO] Add D82 footprint
13:33:54: [INFO] Add SW83 footprint
13:33:54: [INFO] Add D83 footprint
13:33:55: [INFO] Add SW84 footprint
13:33:55: [INFO] Add D84 footprint
13:33:55: [INFO] Add SW85 footprint
13:33:55: [INFO] Add D85 footprint
13:33:55: [INFO] Add SW86 footprint
13:33:55: [INFO] Add D86 footprint
13:33:55: [INFO] Add SW87 footprint
13:33:55: [INFO] Add D87 footprint
13:33:55: [INFO] Add SW88 footprint
13:33:55: [INFO] Add D88 footprint
13:33:55: [INFO] Add SW89 footprint
13:33:55: [INFO] Add D89 footprint
13:33:55: [INFO] Add SW90 footprint
13:33:55: [INFO] Add D90 footprint
13:33:55: [INFO] Add SW91 footprint
13:33:55: [INFO] Add D91 footprint
13:33:55: [INFO] Add SW92 footprint
13:33:55: [INFO] Add D92 footprint
13:33:55: [INFO] Add SW93 footprint
13:33:55: [INFO] Add D93 footprint
13:33:55: [INFO] Add SW94 footprint
13:33:55: [INFO] Add D94 footprint
13:33:55: [INFO] Add SW95 footprint
13:33:55: [INFO] Add D95 footprint
13:33:55: [INFO] Add SW96 footprint
13:33:55: [INFO] Add D96 footprint
13:33:55: [INFO] Add SW97 footprint
13:33:55: [INFO] Add D97 footprint
13:33:55: [INFO] Add SW98 footprint
13:33:55: [INFO] Add D98 footprint
13:33:55: [INFO] Add SW99 footprint
13:33:56: [INFO] Add D99 footprint
13:33:56: [INFO] Add SW100 footprint
13:33:56: [INFO] Add D100 footprint
13:33:56: [INFO] Add SW101 footprint
13:33:56: [INFO] Add D101 footprint
13:33:56: [INFO] Add SW102 footprint
13:33:56: [INFO] Add D102 footprint
13:33:56: [INFO] Add SW103 footprint
13:33:56: [INFO] Add D103 footprint
13:33:56: [INFO] Add SW104 footprint
13:33:56: [INFO] Add D104 footprint
13:33:56: [INFO] Add SW105 footprint
13:33:56: [INFO] Add D105 footprint
13:33:56: [INFO] Add SW106 footprint
13:33:56: [INFO] Add D106 footprint
13:33:56: [INFO] Add SW107 footprint
13:33:56: [INFO] Add D107 footprint
13:33:56: [INFO] Add SW108 footprint
13:33:56: [INFO] Add D108 footprint
13:33:56: [INFO] Detected layout convertible to matrix annotated keyboard
13:33:56: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:33:56: [INFO] Layout offset: (28575000, 28575000)
13:33:56: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:33:56: [INFO] Placing additional elements for SW108
13:33:56: [INFO] Placing additional elements for SW107
13:33:56: [INFO] Placing additional elements for SW106
13:33:56: [INFO] Placing additional elements for SW105
13:33:56: [INFO] Placing additional elements for SW104
13:33:56: [INFO] Placing additional elements for SW103
13:33:56: [INFO] Placing additional elements for SW102
13:33:56: [INFO] Placing additional elements for SW101
13:33:56: [INFO] Placing additional elements for SW100
13:33:56: [INFO] Placing additional elements for SW99
13:33:56: [INFO] Placing additional elements for SW98
13:33:56: [INFO] Placing additional elements for SW97
13:33:56: [INFO] Placing additional elements for SW96
13:33:56: [INFO] Placing additional elements for SW95
13:33:56: [INFO] Placing additional elements for SW94
13:33:56: [INFO] Placing additional elements for SW93
13:33:56: [INFO] Placing additional elements for SW92
13:33:56: [INFO] Placing additional elements for SW91
13:33:56: [INFO] Placing additional elements for SW90
13:33:56: [INFO] Placing additional elements for SW89
13:33:56: [INFO] Placing additional elements for SW88
13:33:56: [INFO] Placing additional elements for SW87
13:33:56: [INFO] Placing additional elements for SW86
13:33:56: [INFO] Placing additional elements for SW85
13:33:56: [INFO] Placing additional elements for SW84
13:33:56: [INFO] Placing additional elements for SW83
13:33:56: [INFO] Placing additional elements for SW82
13:33:56: [INFO] Placing additional elements for SW81
13:33:56: [INFO] Placing additional elements for SW80
13:33:56: [INFO] Placing additional elements for SW79
13:33:56: [INFO] Placing additional elements for SW78
13:33:56: [INFO] Placing additional elements for SW77
13:33:56: [INFO] Placing additional elements for SW76
13:33:56: [INFO] Placing additional elements for SW75
13:33:56: [INFO] Placing additional elements for SW74
13:33:56: [INFO] Placing additional elements for SW73
13:33:56: [INFO] Placing additional elements for SW72
13:33:56: [INFO] Placing additional elements for SW71
13:33:56: [INFO] Placing additional elements for SW70
13:33:56: [INFO] Placing additional elements for SW69
13:33:56: [INFO] Placing additional elements for SW68
13:33:56: [INFO] Placing additional elements for SW67
13:33:56: [INFO] Placing additional elements for SW66
13:33:56: [INFO] Placing additional elements for SW65
13:33:56: [INFO] Placing additional elements for SW64
13:33:56: [INFO] Placing additional elements for SW63
13:33:56: [INFO] Placing additional elements for SW62
13:33:56: [INFO] Placing additional elements for SW61
13:33:56: [INFO] Placing additional elements for SW60
13:33:56: [INFO] Placing additional elements for SW59
13:33:56: [INFO] Placing additional elements for SW58
13:33:56: [INFO] Placing additional elements for SW57
13:33:56: [INFO] Placing additional elements for SW56
13:33:56: [INFO] Placing additional elements for SW55
13:33:56: [INFO] Placing additional elements for SW54
13:33:56: [INFO] Placing additional elements for SW53
13:33:56: [INFO] Placing additional elements for SW52
13:33:56: [INFO] Placing additional elements for SW51
13:33:56: [INFO] Placing additional elements for SW50
13:33:56: [INFO] Placing additional elements for SW49
13:33:56: [INFO] Placing additional elements for SW48
13:33:56: [INFO] Placing additional elements for SW47
13:33:56: [INFO] Placing additional elements for SW46
13:33:56: [INFO] Placing additional elements for SW45
13:33:56: [INFO] Placing additional elements for SW44
13:33:56: [INFO] Placing additional elements for SW43
13:33:56: [INFO] Placing additional elements for SW42
13:33:56: [INFO] Placing additional elements for SW41
13:33:56: [INFO] Placing additional elements for SW40
13:33:56: [INFO] Placing additional elements for SW39
13:33:56: [INFO] Placing additional elements for SW38
13:33:56: [INFO] Placing additional elements for SW37
13:33:56: [INFO] Placing additional elements for SW36
13:33:56: [INFO] Placing additional elements for SW35
13:33:56: [INFO] Placing additional elements for SW34
13:33:56: [INFO] Placing additional elements for SW33
13:33:56: [INFO] Placing additional elements for SW32
13:33:56: [INFO] Placing additional elements for SW31
13:33:56: [INFO] Placing additional elements for SW30
13:33:56: [INFO] Placing additional elements for SW29
13:33:56: [INFO] Placing additional elements for SW28
13:33:56: [INFO] Placing additional elements for SW27
13:33:56: [INFO] Placing additional elements for SW26
13:33:56: [INFO] Placing additional elements for SW25
13:33:56: [INFO] Placing additional elements for SW24
13:33:56: [INFO] Placing additional elements for SW23
13:33:56: [INFO] Placing additional elements for SW22
13:33:56: [INFO] Placing additional elements for SW21
13:33:56: [INFO] Placing additional elements for SW20
13:33:56: [INFO] Placing additional elements for SW19
13:33:56: [INFO] Placing additional elements for SW18
13:33:56: [INFO] Placing additional elements for SW17
13:33:56: [INFO] Placing additional elements for SW16
13:33:56: [INFO] Placing additional elements for SW15
13:33:56: [INFO] Placing additional elements for SW14
13:33:56: [INFO] Placing additional elements for SW13
13:33:56: [INFO] Placing additional elements for SW12
13:33:56: [INFO] Placing additional elements for SW11
13:33:56: [INFO] Placing additional elements for SW10
13:33:56: [INFO] Placing additional elements for SW9
13:33:56: [INFO] Placing additional elements for SW8
13:33:56: [INFO] Placing additional elements for SW7
13:33:56: [INFO] Placing additional elements for SW6
13:33:56: [INFO] Placing additional elements for SW5
13:33:56: [INFO] Placing additional elements for SW4
13:33:56: [INFO] Placing additional elements for SW3
13:33:56: [INFO] Placing additional elements for SW2
13:33:56: [INFO] Placing additional elements for SW1
13:33:56: [INFO] Routing SW108 with D108
13:33:56: [INFO] Using internal autorouter method
13:33:56: [INFO] Routing pad 'SW108:2' at (459740000, 128270000) with pad 'D108:2' at (462280000, 135950000) using coordinate system rotated by 0 degree(s)
13:33:56: [INFO] Adding track segment (B.Cu): [(459740000, 128270000), (459740000, 133410000)]
13:33:56: [INFO] Adding track segment (B.Cu): [(459740000, 133410000), (462280000, 135950000)]
13:33:56: [INFO] Routing SW107 with D107
