=== kbplacer.kle_serial ===
=== layout2image.py ===
=== kbplacer ===
13:31:27: [INFO] User layout: https://editor.keyboard-tools.xyz/#share=NrDeCIGNwLgAnAYgIareANAg7rOBGAOgFYBfLcABg0szgmniUhdfHIWvzqowCYe1AMyCMAFlHFRANlEB2UQA5RATlH5aFLty0Z8ArAzxI06CrnhEyu-CIC6GAFBhwFgiQ7h8NOkaaJWNk9vHQRvAzCMEQpvCRiMKUMoYxRTZB4ACzwrYIxpAB0AOyKi6k16cCzLD3i5EuLCst9k-0CWdnjleLV4jR4Q0K89CL8EVNMeNxze6IrGMbboXIKG0r1+jDrVxvWHZ1GTNMnsmoQ+HyT55jaOs-WKc4jwc9nn8R5zxIqADzw+QkonnOXTuPTufQeekG530zSu4zMOBO1nBswOARuQLy9TW0M2OJ23D2Ll+8GkJAoAE88ABaSgUhDwtLpChVdwo8BCbHbJpJNnTBBcrb1JrEiDU+B0hmuZGeLnldGLW6c+6C-g8LmvLlxNVfCCkuD-QEULkglVglUQtX4QZc2GXFLM47VDl2tEtBaYk3ckWqlXChpccBij2HCbmWUUMQXBDRwbRvgE7zlcDRoRJmOKm4R+BCTzR4gZhUy3P5jCKItwx1HMsaStRqH12PDZpTU6pvT2Jwkv7thMZ+NRAdV1rZpFkssreohEdjJ21yjDhs24chg3-Dn97bhHhpjNPaNifez66BZ2GsuF7fqpJuPhlivXkahhGoZXRlTH5eLp+7xu-tde03fgM1ePdrzA8RQL-K9pyiE8MTPHMLwbKcGm8d0mRrBtHzgyDPwgv860I5d8GgwD4A3ZCBQ7RNrx1LMkPHOA5EnDMGJfJ1qL7f84IkOw7CAA
13:31:32: [INFO] Add D64 footprint
13:31:32: [INFO] Add ST64 footprint
13:31:32: [INFO] Add SW64a footprint
13:31:32: [INFO] Add ST64a footprint
13:31:32: [INFO] Add SW65 footprint
13:31:32: [INFO] Add D65 footprint
13:31:32: [INFO] Add SW66 footprint
13:31:32: [INFO] Add D66 footprint
13:31:32: [INFO] Add SW67 footprint
13:31:32: [INFO] Add D67 footprint
13:31:32: [INFO] Add SW67a footprint
13:31:32: [INFO] Add SW68 footprint
13:31:32: [INFO] Add D68 footprint
13:31:32: [INFO] Add SW69 footprint
13:31:32: [INFO] Add D69 footprint
13:31:32: [INFO] Detected layout convertible to matrix annotated keyboard
13:31:32: [INFO] Using key 1U distance: (19.05, 19.05) mm
13:31:32: [INFO] Layout offset: (23812500, 28575000)
13:31:32: [INFO] Diode info: [ElementInfo(annotation_format='D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(x=5.08, y=4.0, orientation=90.0, side=<Side.BACK: 'Back'>), template_path='', start_index=-1)]
13:31:32: [INFO] Placing additional elements for SW69
13:31:32: [INFO] Placing additional elements for SW68
13:31:32: [INFO] Placing additional elements for SW67a
13:31:32: [INFO] Placing additional elements for SW67
13:31:32: [INFO] Placing additional elements for SW66
13:31:32: [INFO] Placing additional elements for SW65
13:31:32: [INFO] Placing additional elements for SW64a
13:31:32: [INFO] Placing additional elements for SW64
13:31:32: [INFO] Placing additional elements for SW63
13:31:32: [INFO] Placing additional elements for SW62a
13:31:32: [INFO] Placing additional elements for SW62
13:31:32: [INFO] Placing additional elements for SW61
13:31:32: [INFO] Placing additional elements for SW60
